,code,name,regn,f20d1n9f,f22d1n9,f24d1c,f18d2cn6,f20d2,f18d3n3,f20d4n6,fasat,fams,fapu
23,A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0,0,0,162,0,8.55,0,49.95,28.84,170
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,13.23 ,0,0,2360 ,0,116 ,0,469 ,876 ,2476
25,B002,"Bengal gram, whole (Cicer arietinum)",6,11.77,0,0,2220,0,117,0,453,890,2337
26,B003,"Black gram, dal (Phaseolus mungo)",6,0,0,0,176,0,566,0,276,186,742
27,B004,"Black gram, whole (Phaseolus mungo)",6,0,0,0,117,0,601,0,258,161,718
28,B005,"Cowpea, brown (Vigna catjang)",6,2.89,0,0,343,0,207,0,283,60.58,550
29,B006,"Cowpea, white (Vigna catjang)",1,2.49,0,0,354,0,203,0,285,70.12,557
30,B007,"Field bean, black (Phaseolus vulgaris)",1,0,0,0,398,0,69.82,0,188,80.07,468
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,0,0,0,389,0,70.06,0,198,127,460
32,B009,"Field bean, white (Phaseolus vulgaris)",5,0,0,0,426,0,76.61,0,186,61.57,503
33,B010,"Green gram, dal (Phaseolus aureus)",6,0,0,0,377,0,157,0,247,35.85,534
34,B011,"Green gram, whole (Phaseolus aureus)",6,0,0,0,430,0,180,0,274,27.22,611
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0,0,0,207,0,51.68,0,135,68.89,258
36,B013,Lentil dal (Lens culinaris),6,0,0,0,266,0,70.14,0,91.02,112,336
37,B014,"Lentil whole, brown (Lens culinaris)",6,0,0,0,221,0,55.40,0,81.22,102,277
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,0,0,0,217,0,57.16,0,76.17,92.18,274
39,B016,Moth bean (Vigna aconitifolia),6,0,0,0,609,0,240,0,434,72.25,848
40,B017,"Peas, dry (Pisum sativum)",6,0,0,0,728,0,145,0,242,398,873
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,0,0,0,386,0,541,0,238,105,927
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,0,0,0,344,0,552,0,242,91.76,896
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,0,0,0,374,0,557,0,256,87.84,931
44,B021,"Red gram, dal (Cajanus cajan)",6,0,0,0,600,0,51.44,0,257,89.94,651
45,B022,"Red gram, whole (Cajanus cajan)",6,0,0,0,585,0,51.67,0,277,78.55,637
46,B023,Ricebean (Vigna umbellata ),1,0,0,0,62.93,0,0,0,172,357,62.93
47,B024,"Soya bean, brown (Glycine max)",6,35.99,0,0,9969,0,1310,0,3092,4558,11279
48,B025,"Soya bean, white (Glycine max)",1,68.1,0,0,9754,0,1318,0,3002,4817,11071
49,C001,Agathi leaves (Sesbania grandiflora),1,0,0,0,125,0,407,0,490,57.67,532
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,1.57,0,0,111,0,247,0,194,48.87,358
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,1.39,0,0,112,0,214,0,210,47.34,326
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,1.59,0,0,118,0,214,0,197,46.59,332
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0.34,0,0.45,39.00,0,147,0,85.13,16.46,186
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,0.49,0,0.42,36.85,0,131,0,85.96,17.77,168
55,C007,Basella leaves (Basella alba),2,0,0,0,80.67,0,123,0,101,51.28,203
56,C008,Bathua leaves (Chenopodium album),2,0,0,0,50.68,0,169,0,120,8.61,219
57,C009,Beet greens (Beta vulgaris),6,0,0,0,101,0,207,0,188,79.51,308
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,0,0,0,110,0,146,0,250,93.43,256
59,C011,"Betel leaves, small (Piper betle)",4,0,0,0,104,0,172,0,238,82.67,277
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0,0,0,43.82,0,41.11,0,226,88.69,84.92
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0,0,0,11.68,0,43.33,0,33.01,15.97,55.01
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0,0,0,54.33,0,62.6,0,61.87,37.19,117
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0,0,0,42.80,0,48.61,0,46.54,30.05,91.40
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0,0,0,52.26,0,60.18,0,58.42,41.14,112
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0,0,0,84.83,0,139,0,115,20.80,224
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0,0,0,353,0,335,0,426,47.63,689
67,C019,Drumstick leaves (Moringa oleifera),3,0,0,0,222,0,446,0,560,102,668
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,0,0,0,82.83,0,362,0,199,20.15,445
69,C021,Garden cress (Lepidium sativum),2,0,0,0,34.61,0,24.1,0,28.68,8.24,58.71
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,1.25,0,0,150,0,434,0,245,39.85,584
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,1.05,0,0,132,0,435,0,243,45.93,567
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0,0,0,43,0,111,0,107,18.91,154
73,C025,Lettuce (Lactuca sativa),3,0,0,0,74.85,0,134,0,116,22.22,208
74,C026,Mustard leaves (Brassica juncea),3,0,0,0,83.12,0,240,0,142,27.56,323
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,0,0,0,60.03,0,77.96,0,38.98,23.03,138
76,C028,Parsley (Petroselinum crispum),3,0,0,0,221,0,255,0,345,32.94,476
77,C029,Ponnaganni (Alternanthera sessilis),2,0,0,0,107,0,143,0,204,33.38,250
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.97,0,0,14.95,0,298,0,267,17.67,313
79,C031,Radish leaves (Raphanus sativus),6,0,0,0,45.49,0,203,0,147,26.93,248
80,C032,Rumex leaves (Rumex patientia),2,0,0,0,45.68,0,143,0,60.92,18.68,188
81,C033,Spinach (Spinacia oleracea),6,1.19,0,0,75.06,0,220,0,183,42.83,295
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0,0,0,76.79,0,230,0,176,42.30,306
83,D001 ,Ash gourd (Benincasa hispida) ,6,0,0,0,74.89 ,0,1.58 ,0,25.26 ,7.43 ,76.47
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0,0,0,42.23,0,9.24,0,41.09,7.45,51.46
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0,0,0,203,0,227,0,266,46.81,429
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0,0,2.50,17.74,0,23.04,0,144,8.08,40.78
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0,0,1.29,17.50,0,37.70,0,139,7.61,55.20
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0,0,1.68,22.75,0,36.5,0,142,6.63,59.25
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0,0,0,40.31,0,24.63,0,41.44,3.54,64.94
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0,0,0,40.53,0,22.12,0.82,41.07,3.47,63.46
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0,0,0,32.96,0,19.35,0.61,42.04,9.05,52.92
92,D010,Brinjal-1 (Solanum melongena),1,0,0,0,171,0,38.73,0,94.53,27.94,210
93,D011,Brinjal-2 (Solanum melongena),1,0,0,0,132,0,35.1,0,88.11,16.8,167
94,D012,Brinjal-3 (Solanum melongena),2,0,0,0,143,0,27.38,0,72.34,21.05,171
95,D013,Brinjal-4 (Solanum melongena),4,0,0,0,137,0,21.11,0,66.91,25.20,158
96,D014,Brinjal-5 (Solanum melongena),3,0,0,0,121,0,26.20,0,69.24,18.56,147
97,D015,Brinjal-6 (Solanum melongena),2,0,0,0,117,0,27.38,0,70.99,16.94,144
98,D016,Brinjal-7 (Solanum melongena),1,0,0,0,136,0,17.62,0,71.72,22.92,153
99,D017,Brinjal-8(Solanum melongena),3,0,0,0,135,0,23.15,0,68.17,25.32,159
100,D018,Brinjal-9(Solanum melongena),2,0,0,0,147,0,23.6,0,80.49,25.08,170
101,D019,Brinjal-10 (Solanum melongena),2,0,0,0,117,0,15.18,0,66,21.91,132
102,D020,Brinjal-11 (Solanum melongena),6,0,0,0,119,0,20.90,0,68.14,21.59,140
103,D021,Brinjal-12 (Solanum melongena),2,0,0,0,111,0,19.12,0,68.52,17.14,130
104,D022,Brinjal-13(Solanum melongena),1,0,0,0,126,0,23.51,0,82.96,15.45,150
105,D023,Brinjal-14(Solanum melongena),3,0,0,0,108,0,17.49,0,59.14,16.76,125
106,D024,Brinjal-15 (Solanum melongena),4,0,0,0,131,0,19.20,0,67.08,24.66,150
107,D025,Brinjal-16(Solanum melongena),1,0,0,0,143,0,23.91,0,83.65,21.95,166
108,D026,Brinjal-17(Solanum melongena),1,0,0,0,150,0,28.31,0,81.14,28.21,179
109,D027,Brinjal-18 (Solanum melongena),3,0,0,0,111,0,21.75,0,69.18,20.71,133
110,D028,Brinjal-19(Solanum melongena),3,0,0,0,107,0,16.89,0,59.27,18.19,124
111,D029,Brinjal-20(Solanum melongena),5,0,0,0,140,0,26.55,0,79.91,20.28,167
112,D030,Brinjal-21(Solanum melongena),2,0,0,0,140,0,30.14,0,88.28,25.84,170
113,D031,Brinjal - all varieties (Solanum melongena),6,0,0,0,127,0,22.65,0,71.15,21.45,149
114,D032,Broad beans (Vicia faba),3,0,0,0,42.97,0,21.88,0,42.62,8.53,64.85
115,D033,"Capsicum, green (Capsicum annuum)",6,0,0,0,135,0,37.08,0,77.03,12.71,172
116,D034,"Capsicum, red (Capsicum annuum)",4,0,0,0,180,0,37.77,0,86.39,47.65,217
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0,0,0,161,0,39.49,0,102,55.55,201
118,D036,Cauliflower (Brassica oleracea),6,0,0,0,99,0,117,0,117,24.83,216
119,D037,Celery stalk (Apium graveolens),3,0,0,0,99,0,32.33,0,62.76,5.94,131
120,D038,Cho-cho-marrow (Sechium edule),4,0,0,0,12.60,0,9.98,0,76.12,13.30,22.58
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0,0,0,84.74,0,63.40,0,107,30.24,148
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0,0,0,113,0,41.36,0,103,14.98,154
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0,0,0,82.53,0,27.75,0,67.53,7.78,110
124,D042,"Corn, Baby (Zea mays)",6,7.48,0,0,433,0,25.69,0,211,392,459
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0,0,0,59.30,0,8.63,0,64.17,10.57,67.93
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0,0,0,35.73,0,16.10,0,67.77,8.40,51.83
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0,0,0,45.94,0,22.76,0,71.9,7.41,68.7
128,D046,Drumstick (Moringa oleifera),6,0,0,0,19.14,0,8.07,0,29.05,46.40,27.21
129,D047,"Field beans, tender, broad (Vicia faba)",2,0,0,0,204,0,96.74,0,182,33.91,301
130,D048,"Field beans, tender, lean (Vicia faba)",6,0,0,0,195,0,86.04,0,175,26.28,281
131,D049,"French beans, country (Phaseolus vulgaris)",5,0,0,0,59.21,0,68.19,0,71.07,11.13,127
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0,0,0,62.83,0,72.13,0,66.8,11.85,135
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,9.38,79.52,3.94,68.67,0,38.57,0,47.36,115,107
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0,2.70,0,154,0,26.51,0,146,16.21,181
135,D053,Knol - Khol (Brassica oleracea),6,0,0,0,59.04,0,71.39,0,97.40,31.62,130
136,D054,"Kovai, big (Coccinia cordifolia)",6,0,0,0,59.07,0,39.75,0,68.84,4.35,98.82
137,D055,"Kovai, small (Coccinia cordifolia)",1,0,0,0,83.07,0,29.1,0,75.33,4.51,112
138,D056,Ladies finger (Abelmoschus esculentus),6,0,0,0,76.82,0,32.38,0,69.37,8.10,109
139,D057,"Mango, green, raw (Mangifera indica)",6,0,0,0,17.53,0,12.61,0,27.28,9.25,30.13
140,D058,"Onion, stalk (Allium cepa)",6,0,0,0,55.43,0,43.55,0,92.08,5.52,98.98
141,D059,"Papaya, raw (Carica papaya)",6,0,0,0,66.04,0,9.60,0,69.15,44.53,75.64
142,D060,Parwar (Trichosanthes dioica),6,0,0,0,91.87,0,20.35,0,95.93,13.19,112
143,D061,"Peas, fresh (Pisum sativum)",6,0,0,0,46.75,0,9.49,0,19.01,28.75,56.24
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0,0,0,154,0,44.08,0,273,31.69,198
145,D063,"Plantain, green (Musa x paradisiaca)",6,0,0,0,72.89,0,33.77,0,57.13,16.21,107
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0,0,0,14.12,0,14.38,0,27.45,2.71,28.50
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0,0,0,38.94,0,26.57,0,53.32,25.17,65.51
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0,0,0,36.17,0,26.57,0,44.58,22.02,62.73
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0,0,0,427,0,47.24,0,211,51.13,474
150,D068,Ridge gourd (Luffa acutangula),6,0,0,0,28.66,0,26.42,0,54.49,2.57,55.08
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0,0,0,29.79,0,28.19,0,43.07,2.95,57.98
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0,0,0,42.96,0,54.59,0,94.90,4.89,97.54
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0,0,0,45.65,0,53.71,0,95.87,4.77,99.36
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0,0,0,34.56,0,70.55,0,100,2.96,105
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0,0,0,46.46,0,30.39,0,48.97,6.28,76.11
156,D074,"Tomato, green (Lycopersicon esculentum)",6,0,0,0.77,95.45,0,13.57,0,46.91,36.91,109
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0,0,0.62,104,0,14.70,0,47.65,30.50,119
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0,0,0.89,185,0,23.59,0,79.56,58.66,208
159,D077,"Zucchini, green (Cucurbita pepo)",2,0,0,0,98.72,0,152,0,119,37.83,251
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,0,0,0,43,0,71.42,0,56.92,21.32,114
161,E001 ,"Apple, big (Malus domestica) ",6,0,0,0,249 ,0,32.63 ,0,154 ,51.13 ,282
162,E002,"Apple, green (Malus domestica)",6,0,0,0,173,0,49.73,0,116,40.99,223
163,E003,"Apple, small (Malus domestica)",6,0,0,0,195,0,29.52,0,149,46.96,224
164,E004,"Apple, small, Kashmir (Malus domestica)",1,0,0,0,211,0,41.61,0,176,50.63,253
165,E005,"Apricot, dried (Prunus armeniaca)",6,0,0,0,206,0,79.91,0,200,118,286
166,E006,"Apricot, processed (Prunus armeniaca)",3,0,0,0,165,0,154,0,185,23.33,319
167,E007,Avocado fruit (Persea americana),1,0,0,0,1078,0,62.11,11.14,1237,8710,1141
168,E008,Bael fruit (Aegle marmelos),1,0,0,0,87.01,0,66.18,0,190,112,154
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0,0,0,68.33,0,63.24,0,110,14.38,132
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0,0,0,65.5,0,69.67,0,113,32.29,135
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0,0,0,61.66,0,46.23,0,106,17.78,108
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0,0,0,53.50,0,73.44,0,114,20.89,127
173,E013,Black berry (Rubus fruticosus),5,0,0,0,153,0,80.24,0,195,87.71,234
174,E014,"Cherries, red (Prunus cerasus)",4,0,0,0,116,0,71.55,0,125,95.85,187
175,E015,"Currants, black (Ribes nigrum)",1,3.22,0,0,30.58,0,8.47,0,83.33,302,39.06
176,E016,Custard apple (Annona squamosa),1,0,0,0,78.56,0,53.47,0,138,39.74,132
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0,0,0,140,0,19.49,0,97.03,30.43,159
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0,0,0,129,0,16.35,0,114,21,145
179,E019,"Dates, processed (Phoenix dactylifera)",2,0,0,0,124,0,11.63,0,149,46.88,136
180,E020,Fig (Ficus carica),6,0,0,0,50.57,0,46.52,0,89.44,41.38,97.09
181,E021,Goosberry (Emblica officinalis),5,0,0,0,47.41,0,27.83,0,38.48,23.93,75.24
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0,0,0,94.88,0,44.44,0,106,12.73,139
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0,0,0,82.21,0,36.68,0,92.42,11.10,119
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0,0,0,83.32,0,39.64,0,92.04,12.18,123
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0,0,0,172,0,11.29,0,45.63,33.96,183
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0,0,0,80.70,0,32.12,0,87.11,9.33,113
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0,0,0,109,0,52.81,0,129,12.97,162
188,E028,"Guava, white flesh (Psidium guajava)",5,0.64,0,0,165,0,11.08,0,49.30,35.72,176
189,E029,"Guava, pink flesh (Psidium guajava)",5,0,0,0,84.36,0,7.29,0,27.18,13.97,91.65
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,3.86,28.77,1.56,22.63,0,15.44,0,37.66,44.27,38.07
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,0,0,0,42.4,0,6.37,0,66.49,20.73,48.77
192,E032,Karonda fruit (Carissa carandas),1,0,0,0,45.12,0,7.48,0,66.81,24.12,52.6
193,E033,"Lemon, juice (Citrus limon)",6,0,0,0,270,0,83.53,0,202,47.40,353
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,0,0,0,67.81,0,16.60,0,76.40,35.18,84.41
195,E035,Litchi (Nephelium litchi),4,0,0,0,51.98,0,26.91,0,91.48,45.63,78.89
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,0,0,0,30.72,0,101,0,170,134,132
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,0,0,0,27.91,0,71.39,0,180,145,99.3
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,0,0,0,16.00,0,111,0,174,134,127
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,0,0,0,24.29,0,90.87,0,172,169,115
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,0,0,0,16.56,0,98.95,0,178,147,116
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,0,0,0,20.4,0,65.92,0,186,192,86.32
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,0,0,0,18.64,0,70.06,0,175,168,88.71
203,E043,Mangosteen (Garcinia mangostana),1,0,0,0,20.48,0,68.12,0,176,165,88.6
204,E044,Manila tamarind (Pithecellobium dulce),1,0,0,0,6.01,0,13.48,0,27.81,33.45,19.49
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,0,0,0,97.34,0,61.33,0,92.94,25.18,159
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,0,0,0,72.56,0,41.54,0,79.00,21.12,114
207,E047,"Orange, pulp (Citrus aurantium)",6,0,0,0,36.52,0,11.11,0,37.11,19.26,47.63
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,0,0,0,50.64,0,25.78,0,33.36,38.32,76.42
209,E049,"Papaya, ripe (Carcia papaya)",6,0,0,0,10.33,0,37.91,0,56.08,26.35,48.24
210,E050,Peach (Prunus communis),1,0.3,0,0,62.16,0,0.44,0,23.9,209,62.61
211,E051,Pear (Prunus persica),6,0,0,0,84.54,0,16.58,0,75.94,24.26,101
212,E052,Phalsa (Grewia asiatica),2,0,0,0,362,0,18.66,0,164,167,381
213,E053,Pineapple (Ananas comosus),6,0,0,0,17.75,0,30.00,0,51.09,31.15,47.76
214,E054,Plum (Prunus sp),3,0,0,0,59.08,0,0,0,20.05,170,59.08
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,3.22,0,0,39.16,0,1.82,0,42.50,38.51,40.99
216,E056,Pummelo (Citrus maxima),3,0,0,0,134,0,53.21,0,115,41.00,187
217,E057,"Raisins, dried, black (Vitis vinifera)",6,0,0,0,147,0,11.91,0,62.47,46.53,159
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,0,0,0,93.96,0,30.87,0,121,32.64,125
219,E059,Rambutan (Nephelium lappaceum),1,0,0,0,160,0,202,0,144,160,362
220,E060,Sapota (Achras sapota),6,0,0,0,233,0,125,0,389,255,358
221,E061,Soursop (Annona muricata),1,0,0,0,77.98,0,54.02,0,135,38.54,132
222,E062,Star fruit (Averrhoa carambola),1,0,0,0,151,0,39.9,0,20.77,33.62,191
223,E063,Strawberry (Fragaria ananassa),6,0,0,0,179,0,112,0,66.21,77.87,291
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,0,0,0,4.99,0,12.86,0,27.26,34.89,17.85
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0,0,0,51.90,0,15.55,0,39.70,24.84,67.46
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,0,0,0,54.86,0,10.52,0,50.33,10.96,65.38
227,E067,Wood Apple (Limonia acidissima),3,0,0,0,799,0,636,0,877,595,1435
228,E068,Zizyphus(Zizyphus jujube),1,2.33,0,0,27.18,0,8.07,0,119,126,35.25
229,F001 ,Beet root (Beta vulgaris) ,6,0,0,0,57.23 ,0,6.98 ,0,31.17 ,21.96 ,64.21
230,F002,"Carrot, orange (Dacus carota)",6,0,0,0,241,0,24.38,0,87.71,21.01,266
231,F003,"Carrot, red (Dacus carota)",4,0,0,0,246,0,24.10,0,88.91,18.27,270
232,F004,Colocasia (Colocasia antiquorum),6,0,0,0,69.01,0,8.40,0,41.84,22.92,77.41
233,F005,Lotus root (Nelumbium nelumbo),3,0,0,0,291,0,123,0,249,84.12,414
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,0,0,0,97.45,0,31.84,0,43.56,13.82,129
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,0,0,0,54.34,0,73.68,0,44.03,11.94,128
236,F008,"Potato, red skin (Solanum tuberosum)",1,0,0,0,92.44,0,28.78,0,39.87,14.91,121
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,0,0,0,23.71,0,33.02,0,42.65,7.29,56.73
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,0,0,0,21.64,0,32.00,0,43.88,9.14,53.64
239,F011,"Radish, round, red skin (Raphanus sativus)",1,0,0,0,21.18,0,54.67,0,46.08,6.08,75.85
240,F012,"Radish, round, white skin (Raphanus sativus)",2,0,0,0,15.71,0,46.49,0,41.15,12.64,62.2
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,0,0,0,96.29,0,19.52,0,66.10,4.10,116
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,0,0,0,154,0,25.92,0,101,9.35,180
243,F015,Tapioca (Manihot esculenta),3,0,0,0,78.47,0,12.83,0,59.50,9.20,91.29
244,F016,Water Chestnut (Eleocharis dulcis),1,2.08,1.52,0,97.81,0,6.16,0,87.42,105,104
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,0,0,0,57.08,0,16.44,0,35.72,6.75,73.52
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0,0,0,56.32,0,16.02,0,42.63,13.04,72.34
247,F019,"Yam, wild (Dioscorea versicolor)",2,0,0,0,111,0,30.93,0,79.51,22.66,142
248,G001,"Chillies, green-1 (Capsicum annum)",5,0,0,0,384,0,43.99,0,126,38.19,428
249,G002,"Chillies, green-2 (Capsicum annum)",3,0,0,0,391,0,41.73,0,131,33.39,433
250,G003,"Chillies, green-3 (Capsicum annum)",5,0,0,0,372,0,45.49,0,133,31.74,418
251,G004,"Chillies, green-4 (Capsicum annum)",3,0,0,0,364,0,47.37,0,148,29.25,412
252,G005,"Chillies, green-5 (Capsicum annum)",2,0,0,0,342,0,42.60,0,109,26.97,384
253,G006,"Chillies, green-6 (Capsicum annum)",1,0,0,0,329,0,34.57,0,121,27.57,363
254,G007,"Chillies, green-7 (Capsicum annum)",1,0,0,0,303,0,28.91,0,102,29.66,332
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,0,0,0,370,0,43.14,0,129,32.20,413
256,G009,Coriander leaves (Coriandrum sativum),6,0.75,0,0,151,0,169,0,228,9.06,320
257,G010,Curry leaves (Murraya koenigii),6,0,0,0,152,0,417,0,267,44.57,569
258,G011,"Garlic, big clove (Allium sativum)",6,0,0,0,60.62,0,6.28,0,33.52,14.24,66.90
