,code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
24,B001 ,"Bengal gram, dal (Cicer arietinum) ",6,0,1.59 ,0,0,4.25,0,0,0,0,0
25,B002,"Bengal gram, whole (Cicer arietinum)",6,0,4.17,0,0,10.48,0,0,0,0,0
26,B003,"Black gram, dal (Phaseolus mungo)",6,0.36,0.14,2.43,0.29,0.09,1.40,0.05,0,1.69,0
27,B004,"Black gram, whole (Phaseolus mungo)",6,2.71,0.91,5.64,2.56,1.83,4.79,3.12,0,12.37,0
28,B005,"Cowpea, brown (Vigna catjang)",6,1.30,0,0,0,0,0,0,0,0.27,0
29,B006,"Cowpea, white (Vigna catjang)",1,1.64,0,0,0,0,0,0,0,0.52,0
30,B007,"Field bean, black (Phaseolus vulgaris)",1,6.47,0,0,0,0,0,0,0,0,0
31,B008,"Field bean, brown (Phaseolus vulgaris)",1,5.14,0,0,0,0,0,0,0,0,0
32,B009,"Field bean, white (Phaseolus vulgaris)",5,5.52,0,0,0,0,0,0,0,0,0
33,B010,"Green gram, dal (Phaseolus aureus)",6,0,0,0.04,0,0.40,0,0.08,0.04,0,0
34,B011,"Green gram, whole (Phaseolus aureus)",6,0,0,3.76,0,0.76,0,4.29,0.36,0,0
35,B012,"Horse gram, whole (Dolicus biflorus)",6,0,0,0,0,0,3.32,0,0,0,0
36,B013,Lentil dal (Lens culinaris),6,0.23,0.07,0.02,0.12,0.13,0.02,0.32,0.87,0,0.76
37,B014,"Lentil whole, brown (Lens culinaris)",6,0,0.08,0.72,0.20,0.24,0.12,0.84,1.42,0,1.28
38,B015,"Lentil whole, yellowish (Lens culinaris)",2,2.56,0.12,0.05,0.17,0.22,0.09,0.61,1.46,0,1.21
39,B016,Moth bean (Vigna aconitifolia),6,2.56,0,0,0,0,0,0,0,0,0
40,B017,"Peas, dry (Pisum sativum)",6,2.08,0,0,0,0,1.68,0,0,0,0
41,B018,"Rajmah, black (Phaseolus vulgaris)",2,5.66,0,0,0,28.35,5.9,2.3,0,0,0
42,B019,"Rajmah, brown (Phaseolus vulgaris)",6,6.12,0,0,0,0,4.86,2.58,0,0,0
43,B020,"Rajmah, red (Phaseolus vulgaris)",3,5.93,0,0,0,0,4.76,2.76,0,0,0
44,B021,"Red gram, dal (Cajanus cajan)",6,0,0.05,0.40,0,0,0.05,0,0,0,2.87
45,B022,"Red gram, whole (Cajanus cajan)",6,0,0.12,1.50,0,0,1.16,0,0,0,8.32
46,B023,Ricebean (Vigna umbellata ),1,0,0.32,0.01,0,0,0.01,0,0,0,0
47,B024,"Soya bean, brown (Glycine max)",6,2.52,8.23,1.77,0,0,0,1.67,1.47,1.47,6.51
48,B025,"Soya bean, white (Glycine max)",1,2.45,7.42,2.47,0,0,0,1.47,1.41,1.58,5.93
49,C001,Agathi leaves (Sesbania grandiflora),1,10.9,0.35,0.84,0,0,0.25,0.42,0.51,0,0
50,C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,1.82,1.59,0,0,0,0,0,0,7.93,0
51,C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,1.25,2.41,0,0,0,0,0,0,7.91,0
52,C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,2.07,1.69,0,0,0,0,0,0,8.35,0
53,C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,1.97,0,0,0,0,0,0.74,1.47,0,0
54,C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,2.67,0,0,0,0,0,0.89,1.7,0,0
55,C007,Basella leaves (Basella alba),2,1.12,0.41,2.65,0,0,0,0,0,0,0
56,C008,Bathua leaves (Chenopodium album),2,0.31,0.01,0,0,0,0,0,0,0,2.88
57,C009,Beet greens (Beta vulgaris),6,0,0,0,0,0,0.24,0,0.41,0,0
58,C010,"Betel leaves, big (kolkata) (Piper betle)",6,6.79,0.64,0,0,0,0,0,0,0,0
59,C011,"Betel leaves, small (Piper betle)",4,0.91,0.16,0,0,0,0,0,0,0,0
60,C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0,0,0,0,0,1.25,1.02,0.82,0,0
61,C013,"Cabbage, Chinese (Brassica rupa)",1,0,0,0,0,0,0,0,0,0,0
62,C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,2.64,0,1.57,0,0,0.98,0.67,1.42,0,0
63,C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,2.52,0,1.48,0,0,1.79,2.66,0.35,0,0
64,C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,2.81,0,1.67,0,0,1.71,2.75,0.39,0,0
65,C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0,1.70,0,0,0,0.26,0.59,0.60,0,0
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0,0.06,0,0,0,0.03,0.02,0.04,0,0
67,C019,Drumstick leaves (Moringa oleifera),3,0.58,0.07,0,0,0,0,0,0,0,0
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,1.57,0.58,0.58,0.15,0,0,1.80,0,1.43,2.46
69,C021,Garden cress (Lepidium sativum),2,0.45,0.02,0,0,0,0,0.6,0,0,0
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0.19,2.72,0,0,0,0,0,0.36,1.60,0.62
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0.18,3.61,0,0,0,0,0,0.32,1.71,0.53
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0.08,0,0.39,0,0,0,0,0,0,0
73,C025,Lettuce (Lactuca sativa),3,3.61,0,1.19,0,0,2.77,0.12,0.07,0.20,0.05
74,C026,Mustard leaves (Brassica juncea),3,0.31,2.68,0,0,0,0,1.74,1.44,0,0
75,C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,0,0,0,0,0,0,0,0,0,0
76,C028,Parsley (Petroselinum crispum),3,1.52,0.33,16.14,0,0,0,0.01,0,0,0
77,C029,Ponnaganni (Alternanthera sessilis),2,4.31,0,0.31,0,0,4.98,0.75,0.56,0,0
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.19,0.28,0,0,0,0,0,0.54,0,0
79,C031,Radish leaves (Raphanus sativus),6,0,0.58,0,0,0,3.26,8.23,69.50,0,4.57
80,C032,Rumex leaves (Rumex patientia ),2,3.83,0.41,0,0,0,0,10.73,86.33,0,0
81,C033,Spinach (Spinacia oleracea),6,3.09,0,2.55,0,2.70,0.35,0.08,0.49,0,0
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0,0,0,0,0,0,0,0,0,0
83,D001 ,Ash gourd (Benincasa hispida) ,6,0,0,0,0,0,0,0,0,0,0
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.25,0,0,0,0,0,0,0,0,0
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0.10,0,2.15,0,0,0.52,1.52,3.52,0,0
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0,0,0,0,0,0,0,0,0,0
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0,0,0,0,0,0,0,0,0,0
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0,0,0,0,0,0,0,0,0,0
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,2.47,0,0,0,0,0,0,0,0,0
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.72,0,0,0,0,0,0,0,0,0
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,2.48,0,0,0,0,0,0,0,0,0
92,D010,Brinjal-1 (Solanum melongena),1,0,0.77,0,0,1.47,0,0,0,0,0
93,D011,Brinjal-2 (Solanum melongena),1,0,0.65,0,0,1.43,0,0,0,0,0
94,D012,Brinjal-3 (Solanum melongena),2,0,0.81,0,0,1.5,0,0,0,0,0
95,D013,Brinjal-4 (Solanum melongena),4,0,0.85,0,0,1.56,0,0,0,0,0
96,D014,Brinjal-5 (Solanum melongena),3,0,0.83,0,0,1.32,0,0,0,0,0
97,D015,Brinjal-6 (Solanum melongena),2,0,0.9,0,0,1.35,0,0,0,0,0
98,D016,Brinjal-7 (Solanum melongena),1,0,0.77,0,0,1.26,0,0,0,0,0
99,D017,Brinjal-8(Solanum melongena),3,0,0.79,0,0,1.46,0,0,0,0,0
100,D018,Brinjal-9(Solanum melongena),2,0,0.69,0,0,1.43,0,0,0,0,0
101,D019,Brinjal-10 (Solanum melongena),2,0,0.73,0,0,1.47,0,0,0,0,0
102,D020,Brinjal-11 (Solanum melongena),6,0,0.85,0,0,1.56,0,0,0,0,0
103,D021,Brinjal-12 (Solanum melongena),2,0,0.71,0,0,1.39,0,0,0,0,0
104,D022,Brinjal-13(Solanum melongena),1,0,0.74,0,0,1.29,0,0,0,0,0
105,D023,Brinjal-14(Solanum melongena),3,0,0.69,0,0,1.40,0,0,0,0,0
106,D024,Brinjal-15 (Solanum melongena),4,0,0.67,0,0,1.24,0,0,0,0,0
107,D025,Brinjal-16(Solanum melongena),1,0,0.77,0,0,1.39,0,0,0,0,0
108,D026,Brinjal-17(Solanum melongena),1,0,0.74,0,0,1.16,0,0,0,0,0
109,D027,Brinjal-18 (Solanum melongena),3,0,0.48,0,0,1.23,0,0,0,0,0
110,D028,Brinjal-19(Solanum melongena),3,0,0.66,0,0,1.33,0,0,0,0,0
111,D029,Brinjal-20(Solanum melongena),5,0,0.75,0,0,1.47,0,0,0,0,0
112,D030,Brinjal-21(Solanum melongena),2,0,0.62,0,0,1.32,0,0,0,0,0
113,D031,Brinjal - all varieties (Solanum melongena),6,0,0.75,0,0,1.42,0,0,0,0,0
114,D032,Broad beans (Vicia faba),3,3.88,0.31,0.77,0,0,0,0.04,0,0,0
115,D033,"Capsicum, green (Capsicum annuum)",6,0.39,2.49,1.46,0,0,0,1.44,0,0,0
116,D034,"Capsicum, red (Capsicum annuum)",4,1.58,3.82,0,0,0,0,4.18,0,0,0
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0.25,0.25,0,0,0,0,0.03,0,0,0
118,D036,Cauliflower (Brassica oleracea),6,0,1.49,0,0,0,0.26,0.55,0.40,0,0
119,D037,Celery stalk (Apium graveolens),3,0.26,0.25,0.37,0,0,0.32,0,0.66,0,0
120,D038,Cho-cho-marrow (Sechium edule),4,0.66,0,0,0,0,0,0,0,0,0
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0,0,0,0,0,0,0,0,0,0
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,3.12,0,1.04,0,0,1.38,0,1.02,0,0
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,1.40,0,0.30,0,0,0.27,0,1.53,0,0
124,D042,"Corn, Baby (Zea mays)",6,0.76,0.16,0,0,0,0,0,0,0,0
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0,0,0.88,0,0,0,0.10,0.07,0,0
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0,0,0.82,0,0,0,0.09,0.07,0,0
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0,0,1.23,0,0,0,0.09,0.07,0,0
128,D046,Drumstick (Moringa oleifera),6,4.01,0,0,0,0,0.25,8.14,23.30,0,0
129,D047,"Field beans, tender, broad (Vicia faba)",2,0.62,0,0,0,0,0.65,0,0,0,0
130,D048,"Field beans, tender, lean (Vicia faba)",6,0.45,0,0,0,0,0.60,0,0,0,2.50
131,D049,"French beans, country (Phaseolus vulgaris)",5,0.13,0,2.61,0,0,0.61,1.78,3.17,0,0
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.13,0,2.78,0,0,0.51,1.82,2.85,0,0
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,2.39,0.87,0,0,0,0,0,0,0,0
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0.58,0.88,0,0,0,0,0,0,0,0
135,D053,Knol - Khol (Brassica oleracea),6,0.06,0,0.40,0,0,0,0,0,0,0
136,D054,"Kovai, big (Coccinia cordifolia)",6,0.35,0.05,0.14,0,0,0,0.07,0,0.13,0
137,D055,"Kovai, small (Coccinia cordifolia)",1,0.43,0.08,0.17,0,0,0,0.08,0,0.16,0
138,D056,Ladies finger (Abelmoschus esculentus),6,2.80,0,0,0,0,0,0,0,1.69,2.22
139,D057,"Mango, green, raw (Mangifera indica)",6,0.31,0,0,0,0,0,0.64,0,2.16,0
140,D058,"Onion, stalk (Allium cepa)",6,0.63,1.15,0,0,0,0,1.53,1.42,1.55,0
141,D059,"Papaya, raw (Carica papaya)",6,0.55,0.23,0.05,0,0,0.15,0.25,0,0,0
142,D060,Parwar (Trichosanthes dioica),6,0.08,0,0,0,0,0.35,0.79,0.63,1.30,1.37
143,D061,"Peas, fresh (Pisum sativum)",6,0,0.41,2.03,0,1.82,1.95,1.74,0,0,0
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0.28,0.77,0,0,0,0,0,0,0,0
145,D063,"Plantain, green (Musa x paradisiaca)",6,0,0,0,0,0.60,1.65,0.11,0.07,0,0
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0.29,0,0,0,0,0,0,0,0,0
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.24,0,0,0,0,1.43,0,0,0,0
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.28,0,0,0,0,1.63,0,0,0,0
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0,1.41,0.72,0,0,1.62,0,0,0,4.25
150,D068,Ridge gourd (Luffa acutangula),6,0.36,0,0,0,0,0,0,0.92,0,0
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.61,0,0,0,0,0,0,0.92,0,0
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.28,0,0,0,0,0,0,0,0,0
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.32,0,0,0,0,0,0,0,0,0
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0.24,0,0,0,0,0,0,0,0,0
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.55,0,0.64,0,0,0,0,0,0,0
156,D074,"Tomato, green (Lycopersicon esculentum)",6,1.22,0.08,0,0,0,0,0.03,1.90,0,0
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,1.30,0.68,0,0,0,0,1.17,4.42,8.10,0.15
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,1.89,0.91,0,0,0,0,2.33,3.49,10.68,0.16
159,D077,"Zucchini, green (Cucurbita pepo)",2,0,0,0,0,0,0,0,0,0,1.35
160,D078,"Zucchini, yellow(Cucurbita pepo)",2,0,0,0,0,0,0,0,0,0,1.33
161,E001 ,"Apple, big (Malus domestica) ",6,1.63 ,0.79 ,0,0,0,0,2.96 ,0.87 ,2.87 ,1.54
162,E002,"Apple, green (Malus domestica)",6,1.44,0.71,0,0,0,0,2.45,0.55,2.42,0.55
163,E003,"Apple, small (Malus domestica)",6,1.53,0.77,0,0,0,0,2.67,0.92,2.66,1.10
164,E004,"Apple, small, Kashmir (Malus domestica)",1,2.15,0.31,0,0,0,0,2.63,1.63,3.13,0.63
165,E005,"Apricot, dried (Prunus armeniaca)",6,0,0.28,0,0,0,0,0.96,0.83,0,2.04
166,E006,"Apricot, processed (Prunus armeniaca)",3,0,0.24,0,0,0,0,2.56,2.80,0,0.85
167,E007,Avocado fruit (Persea americana),1,0,0.16,0,0,0,0.33,0,0.23,0,0
168,E008,Bael fruit (Aegle marmelos),1,0,0.19,0,0,0,0.41,0,0.29,0,0
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0,0,0,0,0,0,0,0,0,0
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0,0,0,0,0,0,0,0,0,0
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0,0,0,0,0,0,0,0,0,0
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0,0,0,0,0,0,0,0,0,0
173,E013,Black berry (Rubus fruticosus),5,0,0,0,0,0,0,0,0,3.18,3.58
174,E014,"Cherries, red (Prunus cerasus)",4,5.93,0.32,0,0,0,0,1.39,0.88,0,0
175,E015,"Currants, black (Ribes nigrum)",1,0,0,0,0,0,0,0.02,3.12,0,4.65
176,E016,Custard apple (Annona squamosa),1,0,0,0,0,0,0,0,0,0,0
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0.64,1.18,0,0,0,0,0,0.02,0,0
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0.29,0.13,0,0,0,0,0,0.03,0,0
179,E019,"Dates, processed (Phoenix dactylifera)",2,0,1.57,0,0,0,0,0,0,0,0
180,E020,Fig (Ficus carica),6,0.04,0.01,0,0,0,0,0,0.01,0,0
181,E021,Goosberry (Emblica officinalis),5,0.56,0.30,0,0.23,0,0,0.84,1.26,1.37,7.81
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0.63,0.95,0,0,0,0,0.15,0.70,0,0.11
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0.56,2.46,0,0,0,0,0.13,0.70,0,0.10
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0.52,2.78,0,0,0,0,0.34,0.71,0,0.09
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0.62,2.85,0,0,0,0,0.16,0.72,0,0.12
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0.65,1.63,0,0,0,0,0.09,0.68,0,0.08
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0.75,2.14,0,0,0,0,0.15,0.68,0,0.10
188,E028,"Guava, white flesh (Psidium guajava)",5,0,0,3.61,0,0,0,0,1.44,0,0
189,E029,"Guava, pink flesh (Psidium guajava)",5,0,0,4.67,0,0,0,0,1.99,0,0
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,2.48,1.23,0,0,0,0,0,0,0,0
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,0.13,0,0,0,0,0,0,0,0,0
192,E032,Karonda fruit (Carissa carandas),1,0,0,0,0,0,1.21,0,1.16,0,0
193,E033,"Lemon, juice (Citrus limon)",6,0,0,0,0,0,1.59,0,0.07,0,0
194,E034,"Lime, sweet, pulp (Citrus limetta)",6,1.48,0.02,0,0,0,0,0,0.08,0,0
195,E035,Litchi (Nephelium litchi),4,1.47,0,0,0,0,0,0,0.55,2.72,1.38
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,1.79,0,1.42,0,0,0,0.99,0,2.17,0
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,1.41,0,1.33,0,0,0,2.12,0,1.64,0
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,1.95,0,1.43,0,0,0,1.16,0,2.76,0
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,1.66,0,0.96,0,0,0,0.94,0,2.61,0
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,1.35,0,1.84,0,0,0,3.14,0,1.84,0
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,1.71,0,1.65,0,0,0,1.68,0,2.06,0
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,1.39,0,1.78,0,0,0,1.52,0,1.84,0
203,E043,Mangosteen (Garcinia mangostana),1,0,0,0,0,0,0,0,0,0,0
204,E044,Manila tamarind (Pithecellobium dulce),1,0,0,0,0,0,0,0,0,0,0
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,0.05,0.03,0,0,0,0.49,0,0,0,0
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,0.07,0.05,0,0,0,0.47,0,0,0,0
207,E047,"Orange, pulp (Citrus aurantium)",6,0.42,0.19,0,0,0,0.06,0.14,1.07,0,0
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,0,0,0,0,0,0,0,1.12,0,0
209,E049,"Papaya, ripe (Carcia papaya)",6,2.02,1.65,0,0,0,0.06,0.11,0.03,0,0
210,E050,Peach (Prunus communis),1,0,0,0,0,0,0,0,0,0,0
211,E051,Pear (Pyrus sp.),6,1.27,0,0,0,0,0,0,1.56,0,0.99
212,E052,Phalsa (Grewia asiatica),2,1.28,0,0,0,0,0,0,0.47,0,0
213,E053,Pineapple (Ananas comosus),6,0.74,0,0,0,0,0,0,0.09,0,0
214,E054,Plum (Prunus domestica),3,0,0,0,0,0,0,0,0,0,5.58
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,1.60,0,0,0,0,0,0,2.52,0,0
216,E056,Pummelo (Citrus maxima),3,15.68,0,0.82,0,0,0,0,0,0,0
217,E057,"Raisins, dried, black (Vitis vinifera)",6,7.10,0,0,0,0,0,0,0,0,6.20
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,20.98,0,0,0,0,0,0,0,0,5.69
219,E059,Rambutan (Nephelium lappaceum),1,0.56,0,0,0,0,0,0,0,0,0.12
220,E060,Sapota (Achras sapota),6,0,0,0,0,0,0,0,0,0,0
221,E061,Soursop (Annona muricata),1,0,0,0,0,0,0.16,0,0,0,0.66
222,E062,Star fruit (Averrhoa carambola),1,0,0,0,0,0,0,0.32,0.16,0,0
223,E063,Strawberry (Fragaria ananassa),6,0,0,0,0,0,0,0,0,0,0
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,0,0,3.13,0,0,2.59,0,0,0,0
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.58,0,0,0,0.53,0.58,0.27,0,0,0
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,0.51,0,0,0,0.57,0.70,0.28,0,0,0
227,E067,Wood Apple (Limonia acidissima),3,14.71,0.32,0,0,0,0,0,0,0,0
228,E068,Zizyphus(Zizyphus jujube),1,0,0.14,0,0,0,0.11,0,1.84,0,0.48
229,F001 ,Beet root (Beta vulgaris) ,6,0.38 ,0,0,0,0,0.34 ,0,0.15,0,0
230,F002,"Carrot, orange (Dacus carota)",6,2.66,5.35,0,0,0,2.66,1.49,0.54,0,0
231,F003,"Carrot, red (Dacus carota)",4,4.57,5.89,0,0,0,3.64,1.67,0.63,0,0
232,F004,Colocasia (Colocasia antiquorum),6,2.01,1.55,0,0,0,0,0,0,0,0
233,F005,Lotus root (Nelumbium nelumbo),3,0.37,0,0,0,0,0,0,0,0,0
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,2.98,0,2.99,0,0,0,0.11,0.15,6.87,0
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,3.74,0,2.97,0,0,0,0.12,0.22,6.47,0
236,F008,"Potato, red skin (Solanum tuberosum)",1,2.63,0,2.18,0,0,0,0.15,0.12,6.01,0
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,1.79,0,0,0,0,0,0.56,0,0,0
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,1.74,0,0,0,0,0,0.59,0,0,0
239,F011,"Radish, round, red skin (Raphanus sativus)",1,1.68,0,0,0,0,0,0.61,0,0,0
240,F012,"Radish, round, white skin (Raphanus sativus)",2,1.46,0,0,0,0,0,0.52,0,0,0
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,1.75,0.11,1.36,0,0,0.02,0.03,0.01,0,0
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,2.51,0.14,1.79,0,0,0.05,0.04,0.04,0,0
243,F015,Tapioca (Manihot esculenta),3,0.32,0,0,0,0,0,0,0,0,0
244,F016,Water Chestnut (Eleocharis dulcis),1,0,0,0,0,0,0,0,0,0,0
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,0,0,0,0,0,0,0.26,0,0,0
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0,0,0,0,0,0,0.48,0,0,0
247,F019,"Yam, wild (Dioscorea versicolor)",2,0,0,0,0,0,0,0.53,0,0,0
248,G001,"Chillies, green-1 (Capsicum annum)",5,0,0,5.81,0,11.01,0,0,0,0,0
249,G002,"Chillies, green-2 (Capsicum annum)",3,0,0,2.69,0,15.91,0,0,0,0,0
250,G003,"Chillies, green-3 (Capsicum annum)",5,0,0,3.12,0,11.65,0,0,0,0,0
251,G004,"Chillies, green-4 (Capsicum annum)",3,0,0,4.50,0,5.11,0,0,0,0,0
252,G005,"Chillies, green-5 (Capsicum annum)",2,0,0,5.85,0,9.77,0,0,0,0,0
253,G006,"Chillies, green-6 (Capsicum annum)",1,0,0,5.82,0,4.34,0,0,0,0,0
254,G007,"Chillies, green-7 (Capsicum annum)",1,0,0,2.34,0,16.34,0,0,0,0,0
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,0,0,4.37,0,10.27,0,0,0,0,0
256,G009,Coriander leaves (Coriandrum sativum),6,0.53,0.95,0,0,0,0,0,7.74,2.55,0
257,G010,Curry leaves (Murraya koenigii),6,0.18,0,0,0,0,0,0.24,0,0,0
258,G011,"Garlic, big clove (Allium sativum)",6,0,0.03,0,0,0,0,0.52,2.05,0,0
259,G012,"Garlic, small clove (Allium sativum)",3,0,0.04,0,0,0,0,0.61,1.81,0,0
260,G013,"Garlic, single clove, Kashmir (Allium sativum)",1,0,0.05,0,0,0,0,0.71,1.04,0,0
