,code,name,regn,oxalt,oxals,oxali,caconac,citac,fumac,malac,quinac,sucac,tarac
77,C029,Ponnaganni (Alternanthera sessilis),2,465,165,299,0,5.82,0.83,0,0,246,0
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,13.61,5.06,8.55,30.67,7.74,14.35,30.67,20.22,54.07,0
79,C031,Radish leaves (Raphanus sativus),6,53.83,23.46,30.37,6.04,3.15,1.66,6.04,22.96,139,0
80,C032,Rumex leaves (Rumex patientia ),2,93.76,45.96,47.81,1.64,9.68,3.91,1.64,0,2.58,4.06
81,C033,Spinach (Spinacia oleracea),6,592,241,351,15.79,67.34,5.44,15.79,254,1.64,0
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,150,72.63,77.44,0,0,6.46,0,0,195,44.76
83,D001 ,Ash gourd (Benincasa hispida) ,6,4.89 ,3.28 ,1.61 ,0,36.91 ,0.57,0,0,0,0
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,85.7,75.01,10.69,2.6,12.53,0.1,2.6,30.26,103,0
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,20.97,5.72,16.88,35.70,21.45,1.79,35.91,0,174,0
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,45.40,17.53,27.87,0,59.33,1.41,0,0,7.49,0
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,48.83,16.28,32.55,0,66.42,1.51,0,0,7.44,0
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,43.37,15.33,28.04,0,65.68,1.42,0,0,9.15,0
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,3.75,2.67,1.08,0,31.16,0.16,0,0,64.96,0
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,2.53,1.38,1.15,0,31.12,0.14,0,0,65.18,0
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,1.7,1.32,0.38,0,33.41,0.12,0,0,64.8,0
92,D010,Brinjal-1 (Solanum melongena),1,34,31.26,2.75,1.63,8.21,81.83,22.88,0,0,14.71
93,D011,Brinjal-2 (Solanum melongena),1,35.87,33.45,2.42,0.23,7.31,47.27,26.76,0,0,17.75
94,D012,Brinjal-3 (Solanum melongena),2,32.4,30.44,1.96,1.53,10.49,48.35,36.97,0,0,17.94
95,D013,Brinjal-4 (Solanum melongena),4,29.37,25.15,4.22,1.50,9.54,39.27,66.55,0,0,14.92
96,D014,Brinjal-5 (Solanum melongena),3,33.50,29.75,3.75,2.03,7.75,18.75,45.24,0,0,15.48
97,D015,Brinjal-6 (Solanum melongena),2,36.8,30.16,6.64,2.64,10.49,16.82,87.21,0,0,12.95
98,D016,Brinjal-7 (Solanum melongena),1,33.68,28.92,4.76,1.82,8.88,92.63,25.26,0,0,10.18
99,D017,Brinjal-8 (Solanum melongena),3,37.86,27.54,10.31,2.20,9.44,21.92,66.28,0,0,16.85
100,D018,Brinjal-9 (Solanum melongena),2,43.33,29.17,14.16,1.22,10.41,43.53,71.11,0,0,18.9
101,D019,Brinjal-10 (Solanum melongena),2,34.8,31.32,3.48,0.84,8.45,75.35,44.41,0,0,8.59
102,D020,Brinjal-11 (Solanum melongena),6,32.83,28.92,3.91,1.47,11.27,82.70,43.85,0,0,17.63
103,D021,Brinjal-12 (Solanum melongena),2,31.81,26.14,5.67,1.17,10.49,61.07,64.57,0,0,12.76
104,D022,Brinjal-13 (Solanum melongena),1,29.12,25.33,3.79,0.3,9.12,68.87,44.26,0,0,10.81
105,D023,Brinjal-14 (Solanum melongena),3,32.95,27.09,5.86,1.81,8.63,66.96,48.93,0,0,15.19
106,D024,Brinjal-15 (Solanum melongena),4,29.74,21.77,7.97,0.85,10.85,47.43,48.77,0,0,16.71
107,D025,Brinjal-16 (Solanum melongena),1,32.81,28.76,4.05,1.36,8.65,91.48,35.19,0,0,16.57
108,D026,Brinjal-17 (Solanum melongena),1,37.14,32.46,4.68,1.72,10.12,23.51,98.93,0,0,12.86
109,D027,Brinjal-18 (Solanum melongena),3,37.58,31.76,5.82,1.68,8.79,51.60,52.70,0,0,17.75
110,D028,Brinjal-19 (Solanum melongena),3,37.84,27.09,10.75,0,9.02,47.69,23.76,0,0,15.11
111,D029,Brinjal-20 (Solanum melongena),5,35.39,28.44,6.94,2.99,9.29,63.90,22.64,0,9.26,13.08
112,D030,Brinjal-21 (Solanum melongena),2,34.6,25.48,9.13,2.08,9.01,48.9,50.74,0,0,15.1
113,D031,Brinjal - all varieties (Solanum melongena),6,34.31,28.17,6.14,1.66,9.76,56.02,47.84,0,9.26,15.52
114,D032,Broad beans (Vicia faba),3,20.25,5.81,13.00,0,124,1.12,4.99,0,0,0
115,D033,"Capsicum, green (Capsicum annuum)",6,19.12,6.83,2.29,0,103,0.26,185,0,250,0
116,D034,"Capsicum, red (Capsicum annuum)",4,16.28,10.73,5.54,0,33.39,0.41,116,5.10,151,0
117,D035,"Capsicum, yellow (Capsicum annuum)",4,18.07,11.03,7.04,0,56.43,1.03,115,0,127,0
118,D036,Cauliflower (Brassica oleracea),6,9.82,1.88,7.95,0.25,104,4.60,11.04,4.94,282,4.25
119,D037,Celery stalk (Apium graveolens),3,54.23,23.18,31.04,0,158,0,5.96,51.46,9.36,0
120,D038,Cho-cho-marrow (Sechium edule),4,1.55,1.14,0.41,0.13,60.10,0,0,37.30,32.49,0.51
121,D039,Cluster beans (Cyamopsis tetragonobola),6,16.49,8.55,8.58,0.03,92.19,1.36,6.02,45.46,227,0
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,250,177,73.74,0,20.3,4.65,296,0,62.6,0
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,229,172,64.37,0,24.01,0.15,156,0,96.99,0
124,D042,"Corn, Baby (Zea mays)",6,9.22,4.94,4.27,0.29,21.14,4.15,0,5.57,60.48,4.38
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,12.13,2.28,9.84,0,81.51,4.13,68.75,4.97,40.70,0
126,D044,"Cucumber, green, short (Cucumis sativus)",6,10.49,2.27,8.22,0,60.82,3.50,67.07,3.38,47.40,0
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,11.55,2.31,9.24,0,37.31,4.4,64.48,5.7,50.82,0
128,D046,Drumstick (Moringa oleifera),6,123,66.98,55.82,16.31,72.33,44.83,406,29.95,60.96,130
129,D047,"Field beans, tender, broad (Vicia faba)",2,34.83,8.82,26.02,16.2,52.58,5.26,59.82,0,0,0
130,D048,"Field beans, tender, lean (Vicia faba)",6,35.12,8.81,26.31,12.43,58.47,4.45,54.81,0,0,0
131,D049,"French beans, country (Phaseolus vulgaris)",5,36.01,4.02,31.99,14.40,92.41,13.53,67.01,0,0,0
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,36.97,4.88,32.09,12.6,81.1,14.4,68.6,0,0,0
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,9.60,7.24,2.37,4.81,35.40,7.80,82.78,450,0,0
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,38.51,31.03,7.48,1.72,19.76,7.51,82.47,427,0,0
135,D053,Knol - Khol (Brassica oleracea),6,2.92,1.88,1.04,0,14.19,5.90,5.57,248,6.42,0
136,D054,"Kovai, big (Coccinia cordifolia)",6,7.72,4.76,2.96,5.38,22.68,0.56,46.41,90.46,254,0
137,D055,"Kovai, small (Coccinia cordifolia)",1,8.15,5.01,3.14,5.63,25.89,0.41,51.63,92.82,239.14,0
138,D056,Ladies finger (Abelmoschus esculentus),6,83.87,5.99,77.88,3.65,21.66,64.57,16.24,151,120,0
139,D057,"Mango, green, raw (Mangifera indica)",6,7.51,3.92,3.60,0.47,32.73,1.38,84.39,0,0,85.92
140,D058,"Onion, stalk (Allium cepa)",6,29.72,22.72,7.00,0,839,1.41,76.23,82.32,0,0
141,D059,"Papaya, raw (Carica papaya)",6,9.38,4.77,4.69,2.51,28.85,2.05,57.46,31.63,22.61,0
142,D060,Parwar (Trichosanthes dioica),6,3.24,1.56,1.58,0,28.36,3.26,1.61,3.29,31.10,3.13
143,D061,"Peas, fresh (Pisum sativum)",6,18.42,14.18,4.65,0.15,17.69,0,0.84,160,2.39,0
144,D062,"Plantain, flower (Musa x paradisiaca)",6,169,129,39.91,0.05,57.65,2.04,13.04,0,0,0
145,D063,"Plantain, green (Musa x paradisiaca)",6,85.25,49.83,35.42,0.13,35.87,1.27,33.35,12.62,0,0
146,D064,"Plantain, stem (Musa x paradisiaca)",6,213,159,53.28,0.13,14.29,0.11,34.47,0,0,0
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,57.33,49.61,7.72,1.13,159,1.13,13.51,37.98,0,0
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,41.22,35.84,5.38,1.59,33.32,1.35,3.34,0,4.56,0
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,19.83,19.29,0.54,0,0,28.36,0.77,5.19,0.76,5.6
150,D068,Ridge gourd (Luffa acutangula),6,29.55,1.22,28.33,0.07,152,11.35,12.36,32.05,0,0
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,35.85,1.15,34.70,0.07,112,10.13,45.56,0,0,0
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,24.22,3.88,20.34,2.53,110,1.67,54.35,0,0,0
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,13.44,3.53,9.9,1.29,123,1.91,68.18,36.82,0,0
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,14.25,3.4,10.85,1.82,126,1.89,63.86,33.48,0,0
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,3.36,1.91,1.26,0,119,15.51,62.38,33.36,0,0
156,D074,"Tomato, green (Lycopersicon esculentum)",6,8.47,6.95,1.52,0,135,0.31,6.77,0,0,0
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,2.89,2.12,0.77,0,288,0.06,11.58,0,58.82,2.86
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,5.58,4.32,1.27,0,278,0.07,7.15,0,6.77,2.65
159,D077,"Zucchini, green (Cucurbita pepo)",2,17.83,2.8,15.03,0,47.81,49.65,2.32,0,55.3,0
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,16.06,2.8,13.26,0,47.81,45.17,2.32,0,55.3,0
161,E001 ,"Apple, big (Malus domestica) ",6,13.19 ,6.84 ,6.35 ,0,49.87 ,3.73 ,436 ,0,74.13 ,4.04
162,E002,"Apple, green (Malus domestica)",6,17.63,7.28,10.34,0,30.98,2.60,124,0,29.22,5.49
163,E003,"Apple, small (Malus domestica)",6,15.51,6.17,9.34,0,34.22,4.17,291,0,67.88,5.71
164,E004,"Apple, small, Kashmir (Malus domestica)",1,14.35,7.55,6.8,0,41.58,4.98,298,0,71.52,5.6
165,E005,"Apricot, dried (Prunus armeniaca)",6,113,20.04,90.54,0,119,8.67,422,156,5.42,0
166,E006,"Apricot, processed (Prunus armeniaca)",3,44.87,15.22,29.65,0,295,2.36,170,212,2.61,0
167,E007,Avocado fruit (Persea americana),1,2.78,2.02,0.76,0,0.12,111,1.02,0,111,0
168,E008,Bael fruit (Aegle marmelos),1,3.87,3.11,0.76,0,0.21,1.32,0.33,0,0,0
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,2.8,1.33,1.47,0,290,0.67,2.32,0,0,5.12
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,2.38,2.05,0.34,0.77,285,0.9,2.87,0,0,4.05
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,4.15,3.97,0.18,1.69,296,1.92,4.15,0,0,4.15
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,3.24,2.13,1.11,0.91,293,1.83,3.54,0,0,3.20
173,E013,Black berry (Rubus fruticosus),5,5.33,0.98,4.35,0.05,396,1.44,262,2.59,0,0
174,E014,"Cherries, red (Prunus cerasus)",4,6.15,4.44,1.71,0.28,18.84,0.33,289,5.53,30.22,3.25
175,E015,"Currants, black (Ribes nigrum)",1,10.8,1.95,8.84,0,421,2.76,389,0,0,382
176,E016,Custard apple (Annona squamosa),1,35.1,22.28,13.35,0,11.23,12.81,1.11,0,6.53,0
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,2.11,1.63,0.29,0,58.61,3.55,34.17,16.04,1.75,0
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,1.98,0.99,0.98,0,3.01,3.21,33.23,3.02,2.17,0
179,E019,"Dates, processed (Phoenix dactylifera)",2,1.96,1.56,0.4,0,4.98,7.62,29.08,5.84,3.99,0
180,E020,Fig (Ficus carica),6,46.71,5.26,41.69,0,216,1.51,23.51,134,132,0
181,E021,Goosberry (Emblica officinalis),5,7.96,5.40,2.81,0,751,1.65,7.58,0,44.33,14.06
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,26.12,12.96,10.53,0.03,3.12,1.14,288,0,0,280
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,25.74,18.79,7.09,0.03,3.36,1.47,286,0,0,276
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,23.92,12.77,11.15,0.06,1.82,1.57,291,0,0,272
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,19.07,9.21,9.86,0.03,3.06,1.77,282,0,0,268
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,20.06,13.79,6.27,0.04,3.47,1.56,290,0,0,288
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,22.11,16.09,6.02,0.27,3.98,1.42,282,0,0,274
188,E028,"Guava, white flesh (Psidium guajava)",5,13.05,0.32,10.61,0.62,384,1.83,77.02,0,2.83,1.39
189,E029,"Guava, pink flesh (Psidium guajava)",5,9.57,0.64,7.44,0,87.07,0.46,25.94,24.71,15.47,1.43
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,8.45,5.49,2.96,2.57,35.40,11.19,219,347,0,0
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,9.6,7.24,2.37,0.16,72.26,0.42,23.69,0,0,0
192,E032,Karonda fruit (Carissa carandas),1,5.88,3.18,2.4,0,2.13,0.66,0,0.55,1.07,0
193,E033,"Lemon, juice (Citrus limon)",6,0,0,0,0.80,3490,0.04,243,0,338,2.36
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,0.57,0.24,0.34,0,3416,0.48,125,0,418,0
195,E035,Litchi (Nephelium litchi),4,15.28,11.12,4.16,0,24.21,6.06,97.11,46.55,13.53,0
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,7.94,4.72,3.23,0.29,446,0.43,76.71,0,2.95,0
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,7.7,4.34,3.36,0.59,432,0.7,75.46,0,2.34,0
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,8.09,6.94,1.71,0.30,448,0.58,73.58,0,3.15,0
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,8.31,5.92,2.39,0.32,445,0.48,75.34,0,3.70,0
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,8.46,6.9,1.56,0.49,430,0.58,75.86,0,3.56,0
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,9.71,7.79,1.92,0.44,445,0.45,74.5,0,3.51,0
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,11.5,7.23,4.28,0.45,442,0.81,75.48,0,2.68,0
203,E043,Mangosteen (Garcinia mangostana),1,8.44,5.32,3.07,0,127,0,22.07,0,1.07,0
204,E044,Manila tamarind (Pithecellobium dulce),1,4.32,0.98,3.35,0,10.52,0.34,135,0,79.06,6.5
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,2.62,2.17,0.44,0.41,5.71,0.42,1.32,0,82.54,2.06
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,1.88,1.30,0.58,0.44,9.08,0.55,2.94,0,63.45,10.14
207,E047,"Orange, pulp (Citrus aurantium)",6,8.06,5.59,2.47,0,1281,0.28,122,25.51,45.04,0
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,1.05,0.64,0.41,0,1.31,3.73,0,0,3.73,0
209,E049,"Papaya, ripe (Carcia papaya)",6,5.96,2.27,3.70,0.03,146,0.52,43.40,3.73,39.37,0
210,E050,Peach (Prunus communis),1,6.35,4.05,2.3,0,127,1.65,267.01,0,0,0
211,E051,Pear (Pyrus sp.),6,2.41,1.35,1.27,5.05,81,0.04,63.72,68.62,5.05,0
212,E052,Phalsa (Grewia asiatica),2,352,24.41,326,279,319,1.7,270,0,279,0
213,E053,Pineapple (Ananas comosus),6,3.39,2.55,0.84,4.89,605,0.04,92.39,3.71,4.89,0
214,E054,Plum (Prunus domestica),3,0.74,0.19,0.70,87.64,62.32,0.83,96.33,0,87.64,0
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,253,178,75.75,0,1239,0.05,123,5.94,0,0.39
216,E056,Pummelo (Citrus maxima),3,16.25,8.78,7.47,0,2013,0.84,74.78,0,0,0
217,E057,"Raisins, dried, black (Vitis vinifera)",6,10.71,5.24,5.47,5.89,24.92,1.13,61.00,63.62,5.89,0
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,10.90,5.32,5.86,5.43,17.47,0.23,33.86,338,5.43,0
219,E059,Rambutan (Nephelium lappaceum),1,1.89,1.24,0.65,0,12.65,1.77,0,0,0,0
220,E060,Sapota (Achras sapota),6,8.97,6.68,2.28,440,355,3.26,17.94,44.00,440,0
221,E061,Soursop ( Annona muricata ),1,1.07,0.31,0.76,0,12.33,0,0,0,0,2.25
222,E062,Star fruit (Averrhoa carambola),1,1.23,0.97,0.26,0.15,886,1.23,0,0,0.15,0
223,E063,Strawberry (Fragaria ananassa),6,2.04,1.50,0.52,0,0.11,0.19,2.55,0,0.82,0
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,48.91,21.42,27.50,0,0.06,0.18,2.81,0,0.80,12.25
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.72,0.47,0.25,0.92,47.35,14.58,7.27,0,0,0
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,0.55,0.31,0.24,0.86,52.65,15.18,7.55,0,0,0
227,E067,Wood Apple (Limonia acidissima),3,55.80,7.91,47.88,0.26,257,0.65,13.83,4.86,18.49,2.90
