,code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
66,C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0,0,0,0,3.66,10.50,23.67,14.41,0.39
67,C019,Drumstick leaves (Moringa oleifera),3,0.01,0.03,0,0,4.27,2.02,28.92,128,0.48
68,C020,Fenugreek leaves (Trigonella foenum graecum),5,0.03,0,0,0,1.39,2.37,28.31,18.67,0
69,C021,Garden cress (Lepidium sativum),2,0,0,0,0,1.77,12.14,13.48,16.64,0.62
70,C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0,0,0,0,4.55,6.25,72.17,48.43,0
71,C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0,0,0,0,4.04,5.94,75.89,43.17,0
72,C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0,0,0,0,3.9,0.29,23.38,47.33,0.88
73,C025,Lettuce (Lactuca sativa),3,0,0,0,0,0.42,1.73,6.39,42.28,0.11
74,C026,Mustard leaves (Brassica juncea),3,0.01,0.01,0.01,0,2.05,0.57,16.16,34.69,0.48
75,C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,0,0,0,0,2.02,0.93,14.35,18.05,0
76,C028,Parsley (Petroselinum crispum),3,0,0,0,0,2.08,16.48,13.64,54.32,1.03
77,C029,Ponnaganni (Alternanthera sessilis),2,0,0,0,0,1.07,6.11,24.72,32.02,0.88
78,C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.03,0,0,0,0.33,2.52,18.32,38.27,0
79,C031,Radish leaves (Raphanus sativus),6,0,0,0,0,2.15,0.94,17.44,56.23,0.08
80,C032,Rumex leaves (Rumex patientia),2,0,0,0,0,0.13,7.47,3.81,30.07,0.31
81,C033,Spinach (Spinacia oleracea),6,0,0,0,0,0.77,5.44,17.39,12.01,0
82,C034,"Tamarind leaves, tender (Tamarindus indica)",3,0,0,0,0,4.81,0.64,46.05,33.87,0
83,D001 ,Ash gourd (Benincasa hispida) ,6,0,0,0,0,0.16 ,0.45 ,2.38 ,14.60,0
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0,0.01,0.01,0,2.44,1.27,15.49,19.78,0.05
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0,0,0,0,1.64,5.90,19.20,17.33,0.17
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0,0,0,0,0.45,1.62,11.88,13.84,0
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0,0,0,0,0.45,1.71,12.26,14.39,0
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0,0,0,0,0.43,1.39,12.24,12.68,0
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0,0,0,0,0.22,0.92,6.40,10.64,0
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0,0,0,0,0.21,1.00,6.02,11.83,0
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0,0,0,0,0.25,1.08,6.61,10.86,0
92,D010,Brinjal-1 (Solanum melongena),1,0,0,0,0,0.68,1.6,8.44,14.63,0
93,D011,Brinjal-2 (Solanum melongena),1,0,0,0,0,0.74,1.96,7.01,15.46,0
94,D012,Brinjal-3 (Solanum melongena),2,0,0,0,0,0.78,1.3,7.97,12.79,0
95,D013,Brinjal-4 (Solanum melongena),4,0,0,0,0,0.73,1.52,7.82,14.43,0
96,D014,Brinjal-5 (Solanum melongena),3,0,0,0,0,0.69,1.71,7.85,12.55,0
97,D015,Brinjal-6 (Solanum melongena),2,0,0,0,0,0.73,1.83,7.13,9.51,0
98,D016,Brinjal-7 (Solanum melongena),1,0,0,0,0,0.76,1.65,8.13,18.39,0
99,D017,Brinjal-8 (Solanum melongena),3,0,0,0,0,0.72,1.73,8.42,11.29,0
100,D018,Brinjal-9 (Solanum melongena),2,0,0,0,0,0.69,1.51,8.57,11.49,0
101,D019,Brinjal-10 (Solanum melongena),2,0,0,0,0,0.71,1.78,7.86,15.03,0
102,D020,Brinjal-11 (Solanum melongena),6,0,0,0,0,0.70,1.60,8.24,13.32,0
103,D021,Brinjal-12 (Solanum melongena),2,0,0,0,0,0.68,1.66,8.01,13.41,0
104,D022,Brinjal-13 (Solanum melongena),1,0,0,0,0,0.76,1.8,8.1,7,0
105,D023,Brinjal-14 (Solanum melongena),3,0,0,0,0,0.68,1.68,7.83,15.75,0
106,D024,Brinjal-15 (Solanum melongena),4,0,0,0,0,0.72,1.58,8.59,11.01,0
107,D025,Brinjal-16 (Solanum melongena),1,0,0,0,0,0.66,1.58,8.13,5.82,0
108,D026,Brinjal-17 (Solanum melongena),1,0,0,0,0,0.75,1.81,7.08,15.41,0
109,D027,Brinjal-18 (Solanum melongena),3,0,0,0,0,0.71,1.81,8.15,9.42,0
110,D028,Brinjal-19 (Solanum melongena),3,0,0,0,0,0.73,1.84,8.54,10.96,0
111,D029,Brinjal-20 (Solanum melongena),5,0,0,0,0,0.72,1.82,8.21,10.55,0
112,D030,Brinjal-21 (Solanum melongena),2,0,0,0,0,0.71,1.78,7.52,8.24,0
113,D031,Brinjal - all varieties (Solanum melongena),6,0,0,0,0,0.71,1.67,8.09,12.28,0
114,D032,Broad beans (Vicia faba),3,0,0,0,0,0.82,3.26,13.58,5.78,0.45
115,D033,"Capsicum, green (Capsicum annuum)",6,0,0,0,0,1.25,0.25,4.84,15.96,0.33
116,D034,"Capsicum, red (Capsicum annuum)",4,0,0,0,0,1.09,0.35,4.19,17.68,0.47
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0,0,0,0,0.79,0.23,6.18,14.81,0.31
118,D036,Cauliflower (Brassica oleracea),6,0,0,0,0,1.84,1.30,12.56,18.48,0
119,D037,Celery stalk (Apium graveolens),3,0,0,0,0,4.75,0.39,4.12,25.66,0.07
120,D038,Cho-cho-marrow (Sechium edule),4,0,0,0,0,0.08,0.44,1.66,19.42,0
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0,0,0,0,1.03,8.83,16.50,8.66,2.44
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0,0,0,0,3.15,2.03,16.77,25.85,0.7
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0,0,0,0,3.42,2.03,17.77,26.49,0.56
124,D042,"Corn, Baby (Zea mays)",6,0.02,0.01,0,0,3.82,4.69,20.20,26.44,0
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0,0,0,0,1.36,0.34,7.54,17.52,0
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0,0,0,0,1.36,0.35,7.57,16.35,0
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0,0,0,0,1.32,0.36,7.33,15.8,0
128,D046,Drumstick (Moringa oleifera),6,0,0,0,0,3.76,2.40,16.61,85.74,0
129,D047,"Field beans, tender, broad (Vicia faba)",2,0.01,0,0,0,0.74,4.59,15.17,4.81,3
130,D048,"Field beans, tender, lean (Vicia faba)",6,0.00,0,0,0,0.75,4.38,15.07,5.24,2.93
131,D049,"French beans, country (Phaseolus vulgaris)",5,0,0,0,0,0.96,4.45,17.35,6.11,3.44
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0,0,0,0,0.98,4.09,17.65,7.51,2.9
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,0,0,0,0,2.94,16.36,43.10,68.79,0
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0,0,0,0,1.59,3.66,24.26,141,0
135,D053,Knol - Khol (Brassica oleracea),6,0,0,0,0,1.57,0.21,8.53,16.16,0
136,D054,"Kovai, big (Coccinia cordifolia)",6,0,0,0,0,2.29,0.87,23.62,9.81,0
137,D055,"Kovai, small (Coccinia cordifolia)",1,0,0,0,0,2.36,0.93,25.22,8.79,0
138,D056,Ladies finger (Abelmoschus esculentus),6,0,0,0,0,2.80,3.72,16.23,3.63,0
139,D057,"Mango, green, raw (Mangifera indica)",6,0,0,0,0,2.09,1.62,27.62,15.26,0
140,D058,"Onion, stalk (Allium cepa)",6,0,0,0,0,1.14,18.49,17.32,61.02,0.54
141,D059,"Papaya, raw (Carica papaya)",6,0,0,0,0,3.18,2.40,9.19,22.08,0.43
142,D060,Parwar (Trichosanthes dioica),6,0,0,0,0,0.12,0.95,7.60,29.19,0.29
143,D061,"Peas, fresh (Pisum sativum)",6,0.01,0.05,0.01,0,2.56,1.54,42.23,162,1.26
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0,0,0,0,6.28,6.19,9.59,2.52,0
145,D063,"Plantain, green (Musa x paradisiaca)",6,0,0,0,0,2.25,1.71,16.32,40.44,0
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0,0,0,0,6.22,8.31,31.92,15.33,0.76
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.02,0,0,0,0.18,0.72,2.34,22.51,0
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.01,0,0,0,0.17,0.73,2.48,19.72,0
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0.01,0.03,0.01,0,3.15,2.44,32.41,6.22,0.46
150,D068,Ridge gourd (Luffa acutangula),6,0,0,0,0,0.13,0.61,3.93,14.91,0
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0,0,0,0,0.13,0.65,4.05,14.98,0
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0,0,0,0,0.26,0.87,4.28,13.44,0
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0,0,0,0,0.25,0.85,4.46,13.04,0
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0,0,0,0,0.22,0.81,4.2,12.82,0
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0,0,0,0,1.33,0.73,7.02,5.75,0
156,D074,"Tomato, green (Lycopersicon esculentum)",6,0,0,0,0,0.34,0.86,3.55,1.08,0.37
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0,0,0,0,0.33,0.85,2.33,2.59,0
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0,0,0,0,0.29,0.76,2.24,2.39,0
159,D077,"Zucchini, green (Cucurbita pepo)",2,0,0,0,0,1.01,0.35,7.65,10.57,0
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,0,0,0,0,0.88,0.42,8.77,11.5,0
161,E001 ,"Apple, big (Malus domestica) ",6,0,0,0,0,0.41 ,0.35 ,14.94 ,0.57,0
162,E002,"Apple, green (Malus domestica)",6,0,0,0,0,0.22,0.54,13.76,0.64,0
163,E003,"Apple, small (Malus domestica)",6,0,0,0,0,0.66,0.51,14.15,0.45,0
164,E004,"Apple, small, Kashmir (Malus domestica)",1,0,0,0,0,0.72,0.61,15.33,0.36,0
165,E005,"Apricot, dried (Prunus armeniaca)",6,0.24,0,0,0,1.17,5.18,7.76,194,0
166,E006,"Apricot, processed (Prunus armeniaca)",3,0,0,0,0,1.03,4.65,7.20,112,0
167,E007,Avocado fruit (Persea americana),1,0,0,0,0,12.88,2.58,156,356,0
168,E008,Bael fruit (Aegle marmelos),1,0,0,0,0,0.3,0.41,3.39,28.65,0
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0,0,0,0,1.18,1.23,10.15,12.49,0
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0,0,0,0,1.31,1.46,12.1,11.03,0
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0,0,0,0,1.22,1.39,12.2,10.06,0
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0,0,0,0,0.85,0.84,9.66,13.98,0
173,E013,Black berry (Rubus fruticosus),5,0,0,0,0,0.80,0.12,34.65,8.97,0
174,E014,"Cherries, red (Prunus cerasus)",4,0,0,0,0,0.56,0.07,17.65,39.88,1.60
175,E015,"Currants, black (Ribes nigrum)",1,0,0,0,0,3.53,1.72,17.88,9.6,1.6
176,E016,Custard apple (Annona squamosa),1,0,0,0,0,0.65,2.19,3.81,15.22,0
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0,0,0,0,1.83,1.35,29.78,134,0
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0,0,0,0,1.73,1.27,27.24,126,0
179,E019,"Dates, processed (Phoenix dactylifera)",2,0,0,0,0,1.73,1.22,26.3,106,0
180,E020,Fig (Ficus carica),6,0,0,0,0,0.58,1.67,32.31,48.59,1.00
181,E021,Goosberry (Emblica officinalis),5,0,0,0,0,0.23,0.23,11.50,49.34,0.40
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0,0,0,0,0.55,0.26,12.34,1.52,0
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0,0,0,0,0.47,0.24,10.29,1.27,0
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0,0,0,0,0.46,0.28,10.66,1.60,0
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0,0,0,0,0.54,0.29,13.06,1.00,0
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0,0,0,0,0.42,0.27,14.30,0.85,0
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0,0,0,0,0.53,0.28,13.56,0.69,0
188,E028,"Guava, white flesh (Psidium guajava)",5,0,0,0,0,0.57,0.11,43.09,55.36,0
189,E029,"Guava, pink flesh (Psidium guajava)",5,0,0,0,0,0.59,0.22,40.40,45.89,1.05
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,0,0,0,0,1.04,19.21,34.84,52.94,0
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,0,0,0,0,0.76,0.14,25.45,8.65,1.55
192,E032,Karonda fruit (Carissa carandas),1,0,0,0,0,0.72,0.48,4.92,7.8,0
193,E033,"Lemon, juice (Citrus limon)",6,0,0,0,0,0,0,0,0,0
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,0,0,0,0,0,0,0,0,0
195,E035,Litchi (Nephelium litchi),4,0,0,0,0,5.30,1.43,10.67,2.57,1.04
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,0,0,0,0,0.87,0.47,11.41,85.83,0
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,0,0,0,0,0.84,0.41,12.34,80.24,0
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,0,0,0,0,0.88,0.44,11.39,79.46,0
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,0,0,0,0,0.87,0.43,11.07,90.02,0
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,0,0,0,0,0.91,0.43,10.15,79.49,0
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,0,0,0,0,0.9,0.47,11.66,81.12,0
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,0,0,0,0,0.94,0.49,10.22,75.13,0
203,E043,Mangosteen (Garcinia mangostana),1,0,0,0,0,0.67,0.37,4.32,16.75,0
204,E044,Manila tamarind (Pithecellobium dulce),1,0,0,0,0,0.29,0.97,16.43,22.55,0
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,0,0,0,0,0.15,0.38,2.74,12.18,0
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,0,0,0,0,0.16,0.40,2.89,11.11,0
207,E047,"Orange, pulp (Citrus aurantium)",6,0,0,0,0,0,0,0,0,0
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,0,0,0,0,0,0,0,2.8,0
209,E049,"Papaya, ripe (Carcia papaya)",6,0,0,0,0,1.80,1.12,4.82,25.44,0.49
210,E050,Peach (Prunus communis),1,0,0,0,0,0.5,0.71,14.42,4.55,0
211,E051,Pear (Pyrus sp.),6,0,0,0,0,0.64,0.23,13.33,4.83,0.99
212,E052,Phalsa (Grewia asiatica),2,0,0,0,0,2.28,1.48,24.97,43.03,0.63
213,E053,Pineapple (Ananas comosus),6,0,0,0,0,1.38,0.22,9.25,8.59,1.13
214,E054,Plum (Prunus domestica),3,0,0,0,0,0.86,0.45,13.63,3.81,0
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,0,0,0,0,0.83,0.34,20.79,45.71,0.44
216,E056,Pummelo (Citrus maxima),3,0,0,0,0,34.39,0.92,23.70,20.36,88.76
217,E057,"Raisins, dried, black (Vitis vinifera)",6,0,0,0,0,1.89,1.05,41.10,20.34,2.60
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,0,0,0,0,1.76,0.93,38.46,20.12,2.74
219,E059,Rambutan (Nephelium lappaceum),1,0,0,0,0,0,0,0,5.65,0
220,E060,Sapota (Achras sapota),6,0,0,0,0,1.48,1.48,72.80,8.32,0
221,E061,Soursop ( Annona muricata ),1,0,0,0,0,4.71,1.12,10.88,2.75,0
222,E062,Star fruit (Averrhoa carambola),1,0,0,0,0,0.96,0.41,41.65,3.8,0
223,E063,Strawberry (Fragaria ananassa),6,0,0,0,0,1.71,0.33,9.00,25.07,0
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,0,0,0,0,4.30,0.54,43.29,3.07,0
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0,0,0,0,0,0,0,0.61,0
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,0,0,0,0,0,0,0,0.47,0
227,E067,Wood Apple (Limonia acidissima),3,0.01,0.01,0,0,3.86,4.63,20.55,101,0.28
228,E068,Zizyphus (Zizyphus jujube),1,0,0,0,0,0.63,0.39,10.09,85.6,0
229,F001 ,Beet root (Beta vulgaris) ,6,0.01 ,0,0,0,0.44 ,3.34 ,12.15 ,10.82,0
230,F002,"Carrot, orange (Dacus carota)",6,0.01,0,0,0,1.63,2.47,17.22,19.60,0
231,F003,"Carrot, red (Dacus carota)",4,0.01,0,0,0,1.80,2.37,17.90,17.03,0
232,F004,Colocasia (Colocasia antiquorum),6,0,0,0,0,3.55,2.30,28.45,13.57,0
233,F005,Lotus root (Nelumbium nelumbo),3,0,0,0,0,1.17,1.06,14.75,7.84,0.55
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,0,0,0,0,0.02,0.16,2.10,55.77,0
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,0,0,0,0,0.03,0.16,2.19,62.58,0
236,F008,"Potato, red skin (Solanum tuberosum)",1,0,0,0,0,0.03,0.15,2.07,59.74,0
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,0,0,0,0,1.57,0.34,9.55,6.90,0
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,0,0,0,0,1.61,0.36,9.71,1.75,0
239,F011,"Radish, round, red skin (Raphanus sativus)",1,0.01,0,0,0,1.54,0.32,9.88,7.07,0
240,F012,"Radish, round, white skin (Raphanus sativus)",2,0,0,0,0,1.62,0.33,9.4,1.07,0
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,0,0,0,0,2.18,0.52,13.75,54.02,1.19
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,0,0,0,0,2.31,0.57,13.68,63.69,1.56
243,F015,Tapioca (Manihot esculenta),3,0.02,0,0,0,2.13,0.82,15.72,64.42,0
244,F016,Water Chestnut (Eleocharis dulcis),1,0,0,0,0,0.16,0.43,4.55,25.86,0
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,0,0,0,0,2.66,3.36,13.46,16.23,0
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,0.02,0,0,0,2.51,1.56,19.00,20.99,0
247,F019,"Yam, wild (Dioscorea versicolor)",2,0,0,0,0,2.3,3.03,13.58,24.71,0.46
248,G001,"Chillies, green-1 (Capsicum annum)",5,0,0,0,0,3.59,0.85,15.09,13.54,0
249,G002,"Chillies, green-2 (Capsicum annum)",3,0,0,0,0,3.65,0.87,15.07,13.96,0
250,G003,"Chillies, green-3 (Capsicum annum)",5,0,0,0,0,3.73,0.86,15.07,14.56,0
251,G004,"Chillies, green-4 (Capsicum annum)",3,0,0,0,0,3.52,0.86,14.85,12.31,0
252,G005,"Chillies, green-5 (Capsicum annum)",2,0,0,0,0,3.60,0.86,15.09,12.45,0
253,G006,"Chillies, green-6 (Capsicum annum)",1,0,0,0,0,3.54,0.83,15.3,10.39,0
254,G007,"Chillies, green-7 (Capsicum annum)",1,0,0,0,0,3.81,0.84,15.15,13.29,0
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,0,0,0,0,3.64,0.86,15.06,13.38,0
