,code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
84,D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0,0,0,35.75,1.84,0,1.72,1.77,0,0,7.45
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0,0,3.08,191,40.33,8.93,13.20,9.38,0,8.72,38.09
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0,0,2.99,78.62,50.55,2.89,3.65,5.78,0,1.03,4.55
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0,0,3.35,84.32,41.25,3.09,3.44,3.74,0,0.96,5.36
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0,0,4.25,86.82,40.28,3.16,3.47,4.14,0,1.05,3.91
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0,0,1.32,31.30,4.35,0.70,2.22,1.54,0,0,3.54
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0,0,1.30,30.78,4.54,0.71,2.13,1.61,0,0,3.47
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0,0,2.25,30.94,5.22,0.57,1.83,1.22,0,6.12,2.93
92,D010,Brinjal-1 (Solanum melongena),1,0,0,0,50.39,34.59,5.96,1.9,1.69,0,0,27.94
93,D011,Brinjal-2 (Solanum melongena),1,0,0,0,43.46,34.71,6.53,1.93,1.49,0,0,16.8
94,D012,Brinjal-3 (Solanum melongena),2,0,0,0,39.19,25.72,4.67,1.41,1.35,0,0,21.05
95,D013,Brinjal-4 (Solanum melongena),4,0,0,0,36.90,22.79,4.34,1.60,1.27,0,0,25.20
96,D014,Brinjal-5 (Solanum melongena),3,0,0,0,35.38,25.00,5.27,1.82,1.77,0,0,18.56
97,D015,Brinjal-6 (Solanum melongena),2,0,0,0,38.35,24.82,4.81,1.68,1.33,0,0,16.94
98,D016,Brinjal-7 (Solanum melongena),1,0,0,0,41.45,22.97,4.46,1.3,1.54,0,0,22.92
99,D017,Brinjal-8(Solanum melongena),3,0,0,0,35.37,24.72,4.66,1.92,1.50,0,0,25.32
100,D018,Brinjal-9(Solanum melongena),2,0,0,0,42.11,29.38,5.86,1.55,1.59,0,0,25.08
101,D019,Brinjal-10 (Solanum melongena),2,0,0,0,34.8,24.25,4.35,1.37,1.23,0,0,21.91
102,D020,Brinjal-11 (Solanum melongena),6,0,0,0,35.70,24.58,4.79,1.61,1.47,0,0,21.59
103,D021,Brinjal-12 (Solanum melongena),2,0,0,0,35.21,25.17,5.17,1.57,1.41,0,0,17.14
104,D022,Brinjal-13(Solanum melongena),1,0,0,0,40.89,33.26,5.71,1.49,1.61,0,0,15.45
105,D023,Brinjal-14(Solanum melongena),3,0,0,0,31.02,21.11,4.42,1.38,1.22,0,0,16.76
106,D024,Brinjal-15 (Solanum melongena),4,0,0,0,36.27,23.11,4.37,1.69,1.64,0,0,24.66
107,D025,Brinjal-16(Solanum melongena),1,0,0,0,44.99,29.8,5.53,1.51,1.82,0,0,21.95
108,D026,Brinjal-17(Solanum melongena),1,0,0,0,45.54,26.97,5.06,1.96,1.6,0,0,28.21
109,D027,Brinjal-18 (Solanum melongena),3,0,0,0,35.91,25.50,4.58,1.86,1.32,0,0,20.71
110,D028,Brinjal-19(Solanum melongena),3,0,0,0,31.52,20.62,4.32,1.56,1.25,0,0,18.19
111,D029,Brinjal-20(Solanum melongena),5,0,0,0,41.95,28.44,5.61,2.03,1.89,0,0,20.28
112,D030,Brinjal-21(Solanum melongena),2,0,0,0,45.29,32.46,6.04,2.29,2.2,0,0,25.84
113,D031,Brinjal - all varieties (Solanum melongena),6,0,0,0,37.54,25.49,4.92,1.69,1.52,0,0,21.45
114,D032,Broad beans (Vicia faba),3,0,0,0.45,31.80,6.55,1.10,1.29,1.42,0,0.69,7.85
115,D033,"Capsicum, green (Capsicum annuum)",6,0,0,1.80,48.13,20.10,2.95,2.29,1.76,0,1.42,11.29
116,D034,"Capsicum, red (Capsicum annuum)",4,0,0,4.83,54.51,20.15,1.01,2.44,3.45,0,4.14,43.51
117,D035,"Capsicum, yellow (Capsicum annuum)",4,0,0,4.03,65.88,25.21,1.68,2.66,2.84,0,4.11,51.44
118,D036,Cauliflower (Brassica oleracea),6,0,0,1.73,88.50,15.93,4.27,2.09,4.35,0,0,24.83
119,D037,Celery stalk (Apium graveolens),3,0,0,0,56.15,6.61,0,0,0,0,0,5.94
120,D038,Cho-cho-marrow (Sechium edule),4,0,0,0,64,7.86,1.30,1.90,1.19,0,0,13.30
121,D039,Cluster beans (Cyamopsis tetragonobola),6,0,0,0,64.93,21.69,8.46,6.62,5.24,0,0,30.24
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0,0,0,85.69,8.24,2.1,3.98,2.93,0,1.86,13.12
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0,0,0,53.81,7.73,1.42,2.51,2.06,0,1.42,6.37
124,D042,"Corn, Baby(Zea mays)",6,0,0,0,180,31.08,0,0,0,0,0,384
125,D043,"Cucumber, green, elongate(Cucumis sativus)",6,0,0,0.86,50.34,8.87,0.94,1.05,2.11,0,1.98,8.58
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0,0,1.06,52.54,8.80,1.29,1.97,2.11,0,1.16,7.24
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0,0,1.06,55.72,9.31,1.3,2.45,2.06,0,1.98,5.42
128,D046,Drumstick (Moringa oleifera),6,0,0,0.52,19.22,3.89,1.47,2.53,1.42,0,1.36,45.05
129,D047,"Field beans, tender, broad (Vicia faba)",2,0,0,3.96,131,28.05,4.46,6.2,8.04,0,0,33.91
130,D048,"Field beans, tender, lean (Vicia faba)",6,0,0,3.04,128,27.08,4.20,5.62,6.75,0,0,26.28
131,D049,"French beans, country (Phaseolus vulgaris)",5,0,0,1.42,49.22,12.87,2.31,2.35,2.89,0,2.53,8.60
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,0,0,1.06,50.38,11.55,1.9,1.9,0,0,1.98,9.88
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,0,0,0.65,35.32,3.64,3.58,1.72,2.46,0,0.63,21.79
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0,0,0,123,7.49,5.48,7.44,2.81,0,0,13.52
135,D053,Knol - Khol (Brassica oleracea),6,0,0,0,77.30,11.42,3.39,2.29,3.01,0,4.34,27.29
136,D054,"Kovai, big (Coccinia cordifolia)",6,0,0,3.02,46.28,12.52,2.03,3.03,1.95,0,0.98,3.37
137,D055,"Kovai, small (Coccinia cordifolia)",1,0,0,2.82,55.2,10.68,2.49,1.91,2.22,0,0.55,3.97
138,D056,Ladies finger (Abelmoschus esculentus),6,0,0,1.50,54.61,5.67,1.71,3.36,2.51,0,0.88,7.22
139,D057,"Mango, green, raw (Mangifera indica)",6,0,0,0.67,23.36,1.30,0.55,0.55,0.86,0,2.10,7.15
140,D058,"Onion, stalk (Allium cepa)",6,0,0,8.04,65.71,5.74,0,6.75,5.84,0,0,5.52
141,D059,"Papaya, raw (Carica papaya)",6,0,0,1.35,52.81,7.78,0,3.25,3.97,0,0,44.53
142,D060,Parwar (Trichosanthes dioica),6,0,0,2.96,72.84,14.99,2.26,1.43,1.45,0,0,13.19
143,D061,"Peas, fresh (Pisum sativum)",6,0,0,0,15.88,3.13,0,0,0,0,0,28.75
144,D062,"Plantain, flower (Musa x paradisiaca)",6,0,0,1.87,125,48.84,51.97,23.15,22.09,0,1.85,29.84
145,D063,"Plantain, green (Musa x paradisiaca)",6,0,0,0,53.89,3.25,0,0,0,0,0,16.21
146,D064,"Plantain, stem (Musa x paradisiaca)",6,0,0,0,19.55,3.60,1.07,1.25,1.99,0,0.65,2.06
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0,0,1.1,41.66,7.66,0.81,0.96,1.12,0,1.17,23.99
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0,0,0.91,34.87,6.35,0.68,0.81,0.96,0,0.98,21.04
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,0,0,0,181,30.02,0,0,0,0,0,51.13
150,D068,Ridge gourd (Luffa acutangula),6,0,0,0.83,42.19,6.33,1.22,1.56,2.37,0,0.82,1.75
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0,0,0.77,30.64,6.72,1.21,1.94,1.81,0,0.87,2.08
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0,0,0,72.23,11.64,3.77,4.33,2.94,0,0,4.89
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0,0,0,72.09,11.77,4.36,4.87,2.78,0,0,4.77
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,0,0,0,76.61,10.02,3.87,5.04,4.41,0,0,2.96
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,0,0,1.59,36.25,7.41,0.93,1.41,1.60,0,0.90,5.75
156,D074,"Tomato, green (Lycopersicon esculentum)",6,0,0,0,33.68,10.37,1.36,0.72,0.77,0,0.64,35.51
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0,0,0,35.23,9.50,1.27,0.86,0.79,0,0.64,29.25
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0,0,0,58.47,16.77,1.94,1.23,1.17,0,1.22,56.55
159,D077,"Zucchini, green (Cucurbita pepo)",2,0,3.29,0,98.79,16.94,0,0,0,0,2.88,36.38
160,D078,"Zucchini, yellow(Cucurbita pepo)",2,0,1.51,0,49.25,6.08,0,0,0,0,1.45,19.87
161,E001 ,"Apple, big (Malus domestica) ",6,0,0,0,103 ,39.27 ,11.40 ,0,0,0,0,51.13
162,E002,"Apple, green (Malus domestica)",6,0,0,0,77.85,28.51,9.74,0,0,0,0,40.99
163,E003,"Apple, small (Malus domestica )",6,0,0,0,90.18,33.40,10.58,8.68,6.23,0,0,46.96
164,E004,"Apple, small, Kashmir (Malus domestica)",1,0,0,0,105,40.72,12.27,10.36,7.98,0,0,50.63
165,E005,"Apricot, dried (Prunus armeniaca)",6,0,0,0,168,32.58,0,0,0,0,0,118
166,E006,"Apricot, processed (Prunus armeniaca)",3,0,0,0,155,30.05,0,0,0,0,0,23.33
167,E007,Avocado fruit (Persea americana),1,0,0,0,1237,0,0,0,0,0,495,8215
168,E008,Bael fruit (Aegle marmelos),1,0.45,2.81,3.38,103,18.55,1.58,0.93,0,0,4.17,107
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0,0,0,103,6.8,0,0,0,0,5.65,8.73
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0,0,0,105,8.02,0,0,0,0,3.83,28.45
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,0,0,0,96.58,9.74,0,0,0,0,6.45,11.32
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0,0,0,106,8.15,0,0,0,0,6.61,14.28
173,E013,Black berry (Rubus fruticosus),5,0,0,5.89,134,30.33,7.71,5.86,11.65,0,6.15,81.56
174,E014,"Cherries, red (Prunus cerasus)",4,0,0,0,84,33.98,6.81,0,0,0,0,95.85
175,E015,"Currants, black (Ribes nigrum)",1,0,0,0,51.94,24.41,0,2.05,4.93,0,0,298
176,E016,Custard apple (Annona squamosa),1,0,0,0,90.45,30.45,5.67,3.87,7.56,0,4.89,34.85
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0,0,0,78.83,18.20,0,0,0,0,0,30.43
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0,0,0,91.15,22.69,0,0,0,0,0,21
179,E019,"Dates, processed (Phoenix dactylifera)",2,0,0,0,115,34.16,0,0,0,0,0,46.88
180,E020,Fig (Ficus carica),6,0,0,0,71.61,7.19,8.46,3.48,2.26,0,0,41.38
181,E021,Goosberry (Emblica officinalis),5,0,0,0,26.48,11.99,0,0,0,0,0,23.93
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0,0,0,72.49,15.26,4.45,8.15,5.60,0,0,12.73
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0,0,0,62.35,12.95,3.74,7.38,6.01,0,0,11.10
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0,0,0,66.06,14.28,3.79,6.27,4.77,0,0,12.18
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0,0,0,31.45,9.99,1.96,2.21,0,0,0,33.96
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0,0,0,63.79,15.71,3.61,3.99,0,0,0,9.33
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0,0,0,86.20,17.98,6.88,9.73,8.05,0,0,12.97
188,E028,"Guava, white flesh (Psidium guajava)",5,0,0,0.70,28.95,16.48,1.97,0.55,0.65,0,0,35.08
189,E029,"Guava, pink flesh (Psidium guajava)",5,0,0,0,17.96,9.22,0,0,0,0,0,13.97
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,0,0,0,30.69,1.70,1.77,2.35,1.15,0,0.75,9.34
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,0,0,0,43.42,19.46,3.62,0,0,0,3.17,17.56
192,E032,Karonda fruit (Carissa carandas),1,0,0,0,42.89,20.47,3.45,0,0,0,3.64,20.48
193,E033,"Lemon, juice (Citrus limon)",6,0,0,0,147,27.67,0,27.55,0,0,0,47.40
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,0,0,0,65.42,10.98,0,0,0,0,8.30,26.88
195,E035,Litchi (Nephelium litchi),4,0,0,0,68.53,14.13,0,2.64,6.19,0,4.04,41.60
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,0,0,7.01,150,7.12,0,1.90,3.96,0,52.48,81.18
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,0,2.33,16.5,147,8.2,1.71,1.59,3.26,0,55.42,89.08
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,0,0,5.81,154,6.63,0,2.01,4.99,0,60.51,73.42
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,0,0,5.71,152,7.36,0,2.06,5.15,0,63.91,105
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,0,3.08,17.21,141,6.64,2.44,1.87,5.59,0,56.63,89.89
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,0,2.33,34.58,137,6.26,1.33,1.32,3.27,0,69.02,122.79
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,0,2.43,21.79,136,7.56,1.44,1.53,3.96,0,70.57,97.56
203,E043,Mangosteen (Garcinia mangostana),1,0,2.54,22.48,135,7.85,1.58,2.01,4.12,0,69.87,95.47
204,E044,Manila tamarind (Pithecellobium dulce),1,0,0,0,20.98,3.54,0.97,1.07,1.25,0,0,33.45
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,0,0,0,76.84,16.10,0,0,0,0,7.32,17.86
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,0,0,0,62.61,16.39,0,0,0,0,5.75,15.37
207,E047,"Orange, pulp (Citrus aurantium)",6,0,0,0,29.46,7.66,0,0,0,0,4.27,14.99
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,0,0,2.45,22.45,8.46,0,0,0,0,5.47,32.85
209,E049,"Papaya, ripe (Carcia papaya)",6,0,0,5.52,45.26,5.30,0,0,0,0,9.53,16.83
210,E050,Peach (Prunus communis),1,0,0,0.32,17.24,5.98,0.03,0,0,0.03,1.32,207
211,E051,Pear (Pyrus sp.),6,0,0,0,47.91,15.80,4.52,4.73,2.98,0,0,24.26
212,E052,Phalsa (Grewia asiatica),2,0,0,2.18,107,45.72,4.21,3.06,2.17,0,5.7,162
213,E053,Pineapple (Ananas comosus),6,0,0,0,42.57,8.52,0,0,0,0,0,31.15
214,E054,Plum (Prunus domestica),3,0,0,0,16.00,4.05,0,0,0,0,4.09,166
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,0,1.14,0.48,22.64,13.25,2.90,1.33,0.77,0,0,35.30
216,E056,Pummelo (Citrus maxima),3,0,0,0,88.03,19.32,0,3.66,4.27,0,8.70,32.30
217,E057,"Raisins, dried, black (Vitis vinifera)",6,0,0,0,46.97,15.49,0,0,0,0,0,46.53
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,0,0,0,95.25,25.94,0,0,0,0,0,32.64
219,E059,Rambutan (Nephelium lappaceum),1,0,0,0,120,24.12,0,0,0,0,14.25,145
220,E060,Sapota (Achras sapota),6,0,0,0,343,45.33,0,0,0,0,35.05,220
221,E061,Soursop (Annona muricata),1,0,0,0,89,28.84,4.98,4.01,7.98,0,4.56,33.98
222,E062,Star fruit (Averrhoa carambola),1,0,0,0,10.23,10.54,0,0,0,0,3.5,30.12
223,E063,Strawberry (Fragaria ananassa),6,0,0,0,50.68,10.62,3.81,1.11,0,0,0,77.87
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,0,0,0,20.58,3.14,1.02,1.05,1.46,0,0,34.89
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0,0,0,32.40,7.31,0,0,0,0,0,24.84
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,0,0,0,42.94,7.39,0,0,0,0,0,10.96
227,E067,Wood Apple (Limonia acidissima),3,0,0,0,657,162,28.01,16.23,12.98,0,35.39,559
228,E068,Zizyphus (Zizyphus jujube),1,0,1.92,5.34,85.73,17.22,3.14,1.95,3.65,0,13.76,110
229,F001 ,Beet root (Beta vulgaris) ,6,0,0,0,27.82 ,1.57 ,0,0.70 ,1.08 ,0,0,21.96
230,F002,"Carrot, orange (Dacus carota)",6,0,0,0,72.82,6.87,3.03,2.91,2.08,0,0,21.01
231,F003,"Carrot, red (Dacus carota)",4,0,0,0,70.77,8.40,3.94,3.41,2.67,0,0,18.27
232,F004,Colocasia (Colocasia antiquorum),6,0,0,0,38.35,3.49,0,0,0,0,0,22.92
