,code,name,regn,cho,starch,frus,glus,sucs,mals,fsugar,lactose
85,D003,"Bean scarlet, tender (Phaseolus coccineus)",5,4.56,3.53,0.38,0.51,0.14,0,1.03,0
86,D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0.96,0.92,0.04,0,0,0,0.04,0
87,D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0.99,0.93,0.06,0,0,0,0.06,0
88,D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0.95,0.87,0.08,0,0,0,0.08,0
89,D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,1.03,0.67,0.23,0.13,0,0,0.36,0
90,D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,1.02,0.67,0.25,0.10,0,0,0.34,0
91,D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.97,0.58,0.33,0.06,0,0,0.39,0
92,D010,Brinjal-1 (Solanum melongena),1,1.92,1.04,0.66,0.03,0.19,0,0.88,0
93,D011,Brinjal-2 (Solanum melongena),1,1.99,1.01,0.79,0.04,0.15,0,0.98,0
94,D012,Brinjal-3 (Solanum melongena),2,1.44,0.51,0.52,0.32,0.1,0,0.93,0
95,D013,Brinjal-4 (Solanum melongena),4,1.83,0.97,0.55,0.15,0.17,0,0.86,0
96,D014,Brinjal-5 (Solanum melongena),3,1.84,0.85,0.67,0.10,0.22,0,0.99,0
97,D015,Brinjal-6 (Solanum melongena),2,2.36,1.36,0.52,0.26,0.23,0,1,0
98,D016,Brinjal-7 (Solanum melongena),1,2.27,0.89,1.01,0.3,0.07,0,1.38,0
99,D017,Brinjal-8 (Solanum melongena),3,2.77,1.98,0.41,0.11,0.27,0,0.79,0
100,D018,Brinjal-9 (Solanum melongena),2,2.45,1.54,0.47,0.23,0.21,0,0.91,0
101,D019,Brinjal-10 (Solanum melongena),2,2.15,1.29,0.5,0.23,0.13,0,0.86,0
102,D020,Brinjal-11 (Solanum melongena),6,2.81,1.76,0.54,0.21,0.30,0,1.05,0
103,D021,Brinjal-12 (Solanum melongena),2,1.97,0.75,0.82,0.14,0.27,0,1.22,0
104,D022,Brinjal-13 (Solanum melongena),1,2.27,1.12,0.59,0.37,0.19,0,1.15,0
105,D023,Brinjal-14 (Solanum melongena),3,1.80,0.92,0.40,0.28,0.20,0,0.88,0
106,D024,Brinjal-15 (Solanum melongena),4,1.90,1.08,0.40,0.15,0.27,0,0.82,0
107,D025,Brinjal-16 (Solanum melongena),1,1.6,0.61,0.54,0.13,0.32,0,0.99,0
108,D026,Brinjal-17 (Solanum melongena),1,1.47,0.62,0.4,0.26,0.19,0,0.85,0
109,D027,Brinjal-18 (Solanum melongena),3,2.72,1.28,0.95,0.20,0.29,0,1.44,0
110,D028,Brinjal-19 (Solanum melongena),3,2.02,1.05,0.50,0.32,0.14,0,0.96,0
111,D029,Brinjal-20 (Solanum melongena),5,2.83,2.08,0.42,0.21,0.12,0,0.76,0
112,D030,Brinjal-21 (Solanum melongena),2,2.01,1.08,0.7,0.07,0.15,0,0.93,0
113,D031,Brinjal - all varieties (Solanum melongena),6,2.28,1.31,0.55,0.20,0.22,0,0.97,0
114,D032,Broad beans (Vicia faba),3,2.06,0.84,0.61,0.41,0.20,0,1.22,0
115,D033,"Capsicum, green (Capsicum annuum)",6,1.16,0.31,0.42,0.20,0.23,0,0.86,0
116,D034,"Capsicum, red (Capsicum annuum)",4,1.01,0.08,0.34,0.26,0.33,0,0.93,0
117,D035,"Capsicum, yellow (Capsicum annuum)",4,1.10,0.12,0.38,0.25,0.35,0,0.97,0
118,D036,Cauliflower (Brassica oleracea),6,1.05,0.59,0.27,0.14,0.06,0,0.47,0
119,D037,Celery stalk (Apium graveolens),3,1.42,0.68,0.15,0.25,0.35,0,0.75,0
120,D038,Cho-cho-marrow (Sechium edule),4,1.93,1.17,0.40,0.25,0.12,0,0.76,0
121,D039,Cluster beans (Cyamopsis tetragonobola),6,4.54,4.42,0,0.10,0.02,0,0.12,0
122,D040,"Colocasia, stem, black (Colocasia antiquorum)",1,1.08,0.55,0.37,0.16,0,0,0.53,0
123,D041,"Colocasia, stem, green (Colocasia antiquorum)",5,1.14,0.89,0.09,0.16,0,0,0.25,0
124,D042,"Corn, Baby (Zea mays)",6,4.61,4.12,0.20,0.15,0.14,0,0.49,0
125,D043,"Cucumber, green, elongate (Cucumis sativus)",6,0.76,0.50,0.25,0.02,0,0,0.27,0
126,D044,"Cucumber, green, short (Cucumis sativus)",6,0.79,0.58,0.19,0.02,0,0,0.21,0
127,D045,"Cucumber, orange, round (Cucumis sativus)",2,0.75,0.53,0.18,0.05,0,0,0.22,0
128,D046,Drumstick (Moringa oleifera),6,2.77,1.31,1.02,0.20,0.24,0,1.47,0
129,D047,"Field beans, tender, broad (Vicia faba)",2,2.63,1.68,0.68,0.21,0.06,0,0.95,0
130,D048,"Field beans, tender, lean (Vicia faba)",6,2.27,1.51,0.59,0.15,0.02,0,0.76,0
131,D049,"French beans, country (Phaseolus vulgaris)",5,1.82,0.75,0.60,0.12,0.12,0.22,1.06,0
132,D050,"French beans, hybrid (Phaseolus vulgaris)",2,1.77,0.77,0.65,0.14,0.1,0.12,1,0
133,D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,2.04,0.02,1.21,0.26,0.55,0,2.02,0
134,D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,8.77,6.54,1.45,0.67,0.11,0,2.23,0
135,D053,Knol - Khol (Brassica oleracea),6,0.94,0.51,0.05,0.11,0.27,0,0.43,0
136,D054,"Kovai, big (Coccinia cordifolia)",6,1.21,0.22,0.74,0.06,0,0.19,0.98,0
137,D055,"Kovai, small (Coccinia cordifolia)",1,1.19,0.12,0.83,0.1,0,0.14,1.07,0
138,D056,Ladies finger (Abelmoschus esculentus),6,1.37,0.89,0.40,0.07,0.05,0,0.48,0
139,D057,"Mango, green, raw (Mangifera indica)",6,8.32,5.80,1.84,0.52,0,0,2.42,0
140,D058,"Onion, stalk (Allium cepa)",6,1.51,1.10,0,0.05,0.06,0.31,0.41,0
141,D059,"Papaya, raw (Carica papaya)",6,3.63,0,2.64,0.99,0,0,3.63,0
142,D060,Parwar (Trichosanthes dioica),6,1.26,0.90,0.31,0.06,0,0,0.37,0
143,D061,"Peas, fresh (Pisum sativum)",6,7.89,6.92,0.41,0.20,0.36,0,0.97,0
144,D062,"Plantain, flower (Musa x paradisiaca)",6,2.03,1.86,0.13,0.04,0,0,0.17,0
145,D063,"Plantain, green (Musa x paradisiaca)",6,16.29,15.43,0.76,0.10,0,0,0.86,0
146,D064,"Plantain, stem (Musa x paradisiaca)",6,5.15,4.51,0,0.65,0,0,0.65,0
147,D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,3.1,0.2,1.03,1.01,0.86,0,2.9,0
148,D066,"Pumpkin, orange, round (Cucurbita maxima)",6,3.30,0.33,1.90,0.33,0.74,0,2.97,0
149,D067,"Red gram, tender, fresh (Cajanus cajan)",1,14.57,14.02,0.22,0.1,0.23,0,0.55,0
150,D068,Ridge gourd (Luffa acutangula),6,1.40,0.81,0.45,0.08,0.03,0.06,0.62,0
151,D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,1.19,0.79,0.32,0.06,0.02,0.01,0.41,0
152,D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,1.20,0.78,0.31,0.05,0.01,0.05,0.42,0
153,D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,1.19,0.74,0.3,0.1,0.01,0.04,0.45,0
154,D072,"Snake gourd, short (Trichosanthes anguina)",1,1.18,0.72,0.31,0.12,0.01,0.01,0.46,0
155,D073,"Tinda, tender (Praecitrullus fistulosus)",6,1.07,0.64,0.25,0.07,0,0.12,0.44,0
156,D074,"Tomato, green (Lycopersicon esculentum)",6,1.31,0.48,0.41,0.42,0,0,0.83,0
157,D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,1.82,0,1.65,0.18,0,0,1.82,0
158,D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,1.34,0,1.16,0.18,0,0,1.34,0
159,D077,"Zucchini, green (Cucurbita pepo)",2,1.61,1.47,0.12,0.02,0,0,0.14,0
160,D078,"Zucchini, yellow (Cucurbita pepo)",2,1.37,1.07,0.19,0.1,0,0,0.29,0
161,E001,"Apple, big (Malus domestica)",6,9.53,0,8.36,1.03,0.14,0,9.53,0
162,E002,"Apple, green (Malus domestica)",6,8.39,0,7.19,1.08,0.12,0,8.39,0
163,E003,"Apple, small (Malus domestica)",6,9.80,0,8.52,1.17,0.11,0,9.80,0
164,E004,"Apple, small, Kashmir (Malus domestica)",1,9.15,0,7.18,1.6,0.37,0,9.15,0
165,E005,"Apricot, dried (Prunus armeniaca)",6,70.10,44.38,16.52,6.98,2.21,0,25.72,0
166,E006,"Apricot, processed (Prunus armeniaca)",3,9.34,4.99,1.33,0.43,2.60,0,4.36,0
167,E007,Avocado fruit (Persea americana),1,1.75,0.1,1,0.44,0.21,0,1.65,0
168,E008,Bael fruit (Aegle marmelos),1,23.55,7.2,9.58,2.65,4.12,0,16.35,0
169,E009,"Banana, ripe, montham (Musa x paradisiaca)",1,18.22,3.32,6.32,7.68,0.9,0,14.9,0
170,E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,17.26,4.72,5.43,6.12,0.99,0,12.54,0
171,E011,"Banana, ripe, red (Musa x paradisiaca)",1,18.53,3.96,6.03,4.05,4.49,0,14.57,0
172,E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,18.94,5.29,6.50,4.05,3.10,0,13.65,0
173,E013,Black berry (Rubus fruticosus),5,7.61,0,4.47,2.50,0.64,0,7.61,0
174,E014,"Cherries, red (Prunus cerasus)",4,10.72,0,5.91,4.61,0.20,0,10.72,0
175,E015,"Currants, black (Ribes nigrum)",1,8.89,2.56,2.98,2.85,0.5,0,6.33,0
176,E016,Custard apple (Annona squamosa),1,13.69,0.34,9.1,4.25,0,0,13.35,0
177,E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,67.50,0.87,14.90,6.15,45.58,0,66.63,0
178,E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,69.83,0.99,15.04,6.26,47.54,0,68.84,0
179,E019,"Dates, processed (Phoenix dactylifera)",2,58.74,1.78,22.34,5,29.62,0,56.96,0
180,E020,Fig (Ficus carica),6,9.79,1.15,5.89,1.20,1.55,0,8.64,0
181,E021,Goosberry (Emblica officinalis),5,3.95,0.56,2.10,1.29,0,0,3.39,0
182,E022,"Grapes, seeded, round, black (Vitis vinifera)",4,10.02,0,7.10,2.77,0.15,0,10.02,0
183,E023,"Grapes, seeded, round, green (Vitis vinifera)",5,9.59,0,7.11,2.38,0.10,0,9.59,0
184,E024,"Grapes, seeded, round, red (Vitis vinifera)",5,10.47,0,7.80,2.57,0.10,0,10.47,0
185,E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,9.19,0,7.08,2.01,0.10,0,9.19,0
186,E026,"Grapes, seedless, round, green (Vitis vinifera)",5,9.60,0,7.35,2.15,0.10,0,9.60,0
187,E027,"Grapes, seedless, round, black (Vitis vinifera)",5,10.88,0,7.49,3.29,0.10,0,10.88,0
188,E028,"Guava, white flesh (Psidium guajava)",5,4.74,0.63,2.00,1.90,0.20,0,4.10,0
189,E029,"Guava, pink flesh (Psidium guajava)",5,8.49,0.70,4.01,3.60,0.18,0,7.79,0
190,E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,12.71,0.50,4.12,3.33,4.76,0,12.21,0
191,E031,"Jambu fruit, ripe (Syzygium cumini)",2,8.32,1.48,4.47,2.21,0.16,0,6.84,0
192,E032,Karonda fruit (Carissa carandas),1,2.55,0.8,1.19,0.56,0,0,1.75,0
193,E033,"Lemon, juice (Citrus limon)",6,2.59,0,1.01,1.28,0.30,0,2.59,0
194,E034,"Lime, sweet,pulp (Citrus limetta)",6,3.94,0.52,0.70,2.60,0.12,0,3.42,0
195,E035,Litchi (Nephelium litchi),4,9.30,0,4.05,2.17,3.08,0,9.30,0
196,E036,"Mango, ripe, banganapalli (Mangifera indica)",6,7.77,0,2.38,0.73,4.66,0,7.77,0
197,E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,8.13,0,3.9,2.6,1.63,0,8.13,0
198,E038,"Mango, ripe, himsagar (Mangifera indica)",3,8.06,0,4.50,0.55,3.01,0,8.06,0
199,E039,"Mango, ripe, kesar (Mangifera indica)",4,9.00,0,4.80,2.65,1.55,0,9.00,0
200,E040,"Mango, ripe, neelam (Mangifera indica)",2,7.94,0,4.42,2.71,0.81,0,7.94,0
201,E041,"Mango, ripe, paheri (Mangifera indica)",2,8.48,0,4.95,2.46,1.07,0,8.48,0
202,E042,"Mango, ripe, totapari (Mangifera indica)",1,9.24,0,7.33,1.05,0.86,0,9.24,0
203,E043,Mangosteen (Garcinia mangostana),1,9.41,0.5,5.12,1.67,2.12,0,8.91,0
204,E044,Manila tamarind (Pithecellobium dulce),1,12.63,0.5,3.45,4.12,4.56,0,12.13,0
205,E045,"Musk melon, orange flesh (Cucumis melon)",5,2.99,0,0.62,0.71,1.65,0,2.99,0
206,E046,"Musk melon, yellow flesh (Cucumis melon)",6,2.36,0,0.51,0.84,1.01,0,2.36,0
207,E047,"Orange, pulp (Citrus aurantium)",6,6.86,0,2.86,1.21,2.79,0,6.86,0
208,E048,"Palm fruit, tender (Borassus flabellifer)",1,1.03,0.84,0.17,0.02,0,0,0.19,0
209,E049,"Papaya, ripe (Carcia papaya)",6,4.09,0,2.44,1.15,0.50,0,4.09,0
210,E050,Peach (Prunus communis),1,6.95,0,1.15,0.89,4.61,0.3,6.95,0
211,E051,Pear (Pyrus sp.),6,7.39,0,3.51,2.74,1.12,0,7.39,0
212,E052,Phalsa (Grewia asiatica),2,13.75,0.75,6.12,4.66,2.22,0,13,0
213,E053,Pineapple (Ananas comosus),6,8.56,0,1.21,3.12,4.23,0,8.56,0
214,E054,Plum (Prunus domestica),3,10.13,0,3.50,3.42,3.21,0,10.13,0
215,E055,"Pomegranate, maroon seeds (Punica granatum)",6,10.87,0,1.01,1.74,8.12,0,10.87,0
216,E056,Pummelo (Citrus maxima),3,4.85,0.46,2.09,1.44,0.86,0,4.38,0
217,E057,"Raisins, dried, black (Vitis vinifera)",6,62.80,1.29,23.12,16.22,22.17,0,61.51,0
218,E058,"Raisins, dried, golden (Vitis vinifera)",6,58.17,1.05,26.54,15.58,15.00,0,57.12,0
219,E059,Rambutan (Nephelium lappaceum),1,15.8,0,8.78,6,1.02,0,15.8,0
220,E060,Sapota (Achras sapota),6,12.30,0,8.60,2.85,0.85,0,12.30,0
221,E061,Soursop ( Annona muricata ),1,9.95,0.12,7.99,1.66,0.18,0,9.83,0
222,E062,Star fruit (Averrhoa carambola),1,3.95,0,2.22,1.73,0,0,3.95,0
223,E063,Strawberry (Fragaria ananassa),6,3.66,0.10,1.90,1.60,0.07,0,3.56,0
224,E064,"Tamarind, pulp (Tamarindus indicus)",6,52.88,0,12.31,14.53,26.04,0,52.88,0
225,E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,3.66,0,1.91,0.31,1.44,0,3.66,0
226,E066,"Water melon, pale green (Citrullus vulgaris)",6,3.00,0,2.57,0.21,0.22,0,3.00,0
227,E067,Wood Apple (Limonia acidissima),3,6.60,2.79,1.38,1.41,1.02,0,3.81,0
228,E068,Zizyphus (Zizyphus jujube),1,8.29,0,4.3,2.98,1.01,0,8.29,0
229,F001,Beet root (Beta vulgaris),6,6.04,1.69,1.67,1.46,1.21,0,4.35,0
230,F002,"Carrot, orange (Dacus carota)",6,4.48,1.24,0.11,1.15,1.98,0,3.23,0
231,F003,"Carrot, red (Dacus carota)",4,5.35,1.39,1.08,1.13,1.75,0,3.96,0
232,F004,Colocasia (Colocasia antiquorum),6,14.78,13.88,0.54,0.25,0.12,0,0.90,0
233,F005,Lotus root (Nelumbium nelumbo),3,13.46,13.22,0.07,0.11,0.07,0,0.24,0
234,F006,"Potato, brown skin, big (Solanum tuberosum)",6,11.79,11.47,0.24,0.05,0.04,0,0.32,0
235,F007,"Potato, brown skin, small (Solanum tuberosum)",1,10.73,10.29,0.26,0.08,0.1,0,0.44,0
236,F008,"Potato, red skin (Solanum tuberosum)",1,13.46,13.08,0.22,0.1,0.05,0,0.38,0
237,F009,"Radish, elongate, red skin (Raphanus sativus)",3,1.56,0.41,0.48,0.27,0.40,0,1.15,0
238,F010,"Radish, elongate, white skin (Raphanus sativus)",6,1.54,0.59,0.31,0.03,0.62,0,0.95,0
239,F011,"Radish, round, red skin (Raphanus sativus)",1,1.5,0.64,0.38,0.18,0.3,0,0.86,0
240,F012,"Radish, round, white skin (Raphanus sativus)",2,1.46,0.3,0.36,0.3,0.5,0,1.16,0
241,F013,"Sweet potato, brown skin (Ipomoes batatas)",4,22.45,18.82,0.46,0.71,2.47,0,3.63,0
242,F014,"Sweet potato, pink skin (Ipomoes batatas)",3,23.91,19.88,0.90,0.97,2.16,0,4.03,0
243,F015,Tapioca (Manihot esculenta),3,17.50,15.36,0.13,0.29,1.72,0,2.14,0
244,F016,Water Chestnut (Eleocharis dulcis),1,17.88,15.93,0.12,0.32,1.51,0,1.95,0
245,F017,"Yam, elephant (Amorphophallus campanulatus)",6,15.94,14.36,0.70,0.16,0.72,0,1.58,0
246,F018,"Yam, ordinary (Amorphophallus campanulatus)",4,16.09,14.94,0.42,0.11,0.62,0,1.15,0
247,F019,"Yam, wild (Dioscorea versicolor)",2,16.89,15.35,0.62,0.12,0.8,0,1.54,0
248,G001,"Chillies, green-1 (Capsicum annum)",5,3.02,2.31,0.54,0.16,0.02,0,0.71,0
249,G002,"Chillies, green-2 (Capsicum annum)",3,3.01,1.96,0.93,0.11,0.02,0,1.05,0
250,G003,"Chillies, green-3 (Capsicum annum)",5,2.39,1.85,0.45,0.08,0.02,0,0.54,0
251,G004,"Chillies, green-4 (Capsicum annum)",3,2.27,1.65,0.47,0.14,0.01,0,0.62,0
252,G005,"Chillies, green-5 (Capsicum annum)",2,2.30,1.84,0.42,0.02,0.02,0,0.46,0
253,G006,"Chillies, green-6 (Capsicum annum)",1,2.29,1.7,0.43,0.15,0.01,0,0.59,0
254,G007,"Chillies, green-7 (Capsicum annum)",1,3.21,2.48,0.66,0.05,0.02,0,0.73,0
255,G008,"Chillies, green - all varieties (Capsicum annum)",6,2.63,1.96,0.55,0.11,0.02,0,0.67,0
