code,name,regn,f11d0,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0
N006,"Poultry, chicken, gizzard",1,,,9.91,,495,256,5.92,4.36,
N007,"Country hen, leg, with skin",1,,,13.27,2.11,362,174,2.63,,
N008,"Country hen, thigh, with skin",1,,,18.74,2.73,421,167,,,
N009,"Country hen, breast, with skin",1,,,10.33,1.35,286,122,,,
N010,"Country hen, wing, with skin",1,,,19.17,2.94,467,199,,,
N011,"Duck, meat, with skin",1,,,,,287,58,,,
N012,"Emu, meat, skinless",1,,,3.36,,137,60,,,
N013,"Guinea fowl, meat, with skin",1,0.9,1.81,17.07,7.03,508,556,17.03,9.63,2.49
N014,"Pigeon, meat, with skin",1,,,10.72,,939,879,,,
N015,"Quail, meat, skinless",1,,,44.53,6.7,1463,479,23.18,,8.54
N016,"Turkey, leg, with skin",1,,,,,667,313,,,
N017,"Turkey, thigh, with skin",1,,,,,681,334,,,
N018,"Turkey, breast, with skin",1,,,,,647,286,,,
N019,"Turkey, wing, with skin",1,,,,,604,275,,,
O001,"Goat, shoulder",6,,45.17±38.01,376±238,,2638±337,2331±160,18.08±3.57,,35.45±26.72
O002,"Goat, chops",6,,16.34±10.05,202±93.7,,1383±160,1252±111,12.19±4.91,,11.48±6.13
O003,"Goat, legs",6,,24.30±15.82,263±105,,1795±154,1522±157,18.61±5.01,,41.99±34.76
O004,"Goat, brain",5,,,32.63±6.10,,1007±97.9,1013±57.5,28.88±3.12,22.73±3.77,33.49±7.60
O005,"Goat, tongue",4,,37.79±18.66,388±150,,2556±325,1976±377,21.00±2.75,,49.13±42.98
O006,"Goat, lungs",4,,16.42±20.30,95.79±52.64,,907±156,513±122,12.42±8.43,,20.21±12.37
O007,"Goat, heart",5,,10.26±7.38,128±70.9,,763±183,1017±273,6.51±2.66,,13.97±13.54
O008,"Goat, liver",6,,3.97±1.08,37.41±14.69,,735±173,944±137,,,49.82±39.91
O009,"Goat, tripe",5,,16.61±12.79,155±96.5,,828±144,661±139,9.66±0.82,,12.66±4.47
O010,"Goat, spleen",4,,9.23±3.32,56.89±9.62,,555±51.2,553±138,9.47±4.33,,17.09±9.01
O011,"Goat, kidneys",4,,7.80±3.94,70.83±36.59,,557±61.7,470±66.4,5.20±1.56,,32.65±23.84
O012,"Goat, tube (small intestine)",3,,28.28±23.62,294±258,,1961±184,2103±792,24.09±6.81,,35.02±35.16
O013,"Goat, testis",2,,3.15,33.66,,899,259,5.88,,14.56
O014,"Sheep, shoulder",5,,48.54±32.58,603±320,,3569±629,2595±598,30.32±14.36,,70.13±106
O015,"Sheep, chops",4,,18.76±13.09,221±123,,1323±484,1190±331,10.63±2.76,,9.19±2.99
O016,"Sheep, leg",5,,30.98±14.68,282±152,,1797±145,1591±512,20.00±9.49,,24.42±12.81
O017,"Sheep, brain",1,,,24.69,,938,990,23.43,14.85,49.24
O018,"Sheep, tongue",1,,251,408,,2533,2384,,,
O019,"Sheep, lungs",2,,11.61,33.99,,640,442,6.31,,4.82
O020,"Sheep, heart",1,,20.4,186,,773,690,,,
O021,"Sheep, liver",4,,,24.79±14.41,,681±103,1078±168,,,38.64±47.47
O022,"Sheep, tripe",2,,13.91,154,,989,789,7.63,,8.62
O023,"Sheep, spleen",1,,10.04,74.93,,663,753,9.72,,22.65
O024,"Sheep, kidneys",2,,7.08,60.88,,505,543,4.56,,5.57
O025,"Beef, shoulder",6,,32.91±2.41,392±160,,3772±410,2768±554,41.78±11.66,,39.47±17.43
O026,"Beef, chops",4,,14.18±1.20,168±65.4,,1625±193,1188±218,18.13±5.57,,17.01±7.72
O027,"Beef, round (leg)",6,,13.58±1.50,135±16.2,,1732±197,1023±136,42.45±4.10,,52.78±6.67
O028,"Beef, brain",4,,,67.09±33.46,,1131±90.0,1188±149,19.51±3.09,,84.15±13.23
O029,"Beef, tongue",4,,24.35±2.26,364±42.7,,3197±262,2663±402,25.09±2.92,,13.19±4.30
O030,"Beef, lungs",3,,3.95±0.23,71.64±69.29,,625±123,468±78.5,14.22±9.86,,13.92±8.94
O031,"Beef, heart",5,,5.69±1.23,44.89±16.77,,614±121,787±119,9.39±2.42,,19.06±11.57
O032,"Beef, liver",6,,5.86±0.74,34.29±13.79,,664±179,806±119,6.72±1.34,,26.54±17.71
O033,"Beef, tripe",5,,4.83±1.70,80.33±26.92,,653±179,619±277,9.13±5.37,,4.84±1.46
O034,"Beef, spleen",6,,4.08±0.89,26.85±7.72,,505±70.9,592±69.2,10.29±1.57,,22.43±8.41
O035,"Beef, kidneys",3,,5.50±0.00,56.58±0.00,,777±0.0,892±0.0,6.79±0.00,,5.40±0.00
O036,"Calf, shoulder",2,,13.57,133,,1649,1646,22.73,,45.09
O037,"Calf, chops",2,,3.39,60.78,,830,1036,15.26,,20.25
O038,"Calf, round (leg)",2,,7.65,85.35,,1189,893,41.78,,45.74
O039,"Calf, brain",2,,,53.44,,1048,1064,17.15,,18.83
O040,"Calf, tongue",2,,18.97,320,,2813,2415,22.44,,40.1
O041,"Calf, heart",1,,5.23,46.27,,602,814,9.22,,12.28
O042,"Calf, liver",1,,5.46,28.39,,666,898,9.71,,8.59
O043,"Calf, spleen",1,,3.43,27.07,,486,498,5.85,,9.81
O044,"Calf, kidneys",2,,4.25,52.12,,660,734,7.18,,6.04
O045,"Mithun, shoulder",1,,,96.92,,1427,2772,60.51,,79.49
O046,"Mithun, chops",1,,,65.47,,859,1748,34.94,,28.37
O047,"Mithun, round (leg)",1,,,41.28,,491,817,36.27,,57.04
O048,"Pork, shoulder",6,,,259±107,,4438±899,2151±502,39.02±23.54,,
O049,"Pork, chops",6,,,157±20.5,,3080±135,1531±483,33.99±16.58,,
O050,"Pork, ham",6,,,269±63.7,,4510±482,2101±467,59.11±57.10,,
O051,"Pork, lungs",4,,,34.48±12.10,,776±70.9,431±73.4,6.29±4.17,,
O052,"Pork, heart",4,,,47.89±24.92,,858±192,660±148,8.55±3.25,,
O053,"Pork, liver",5,,,15.29±4.18,,549±33.6,753±85.0,6.89±0.71,,
O054,"Pork, stomach",1,,,102,,1864,1342,19.31,,
O055,"Pork, spleen",3,,,27.99±8.02,,691±190,520±144,6.41±2.90,,
O056,"Pork, kidneys",5,,,29.58±13.59,,672±123,461±87.9,6.33±3.02,,
O057,"Pork, tube (small intestine)",1,,,126,,2318,1639,25.5,,
O058,"Hare, shoulder",1,,,183,,2202,313,,,
O059,"Hare, chops",1,,,80.96,,827,121,,,
O060,"Hare, leg",1,,,59.34,,754,97,,,
O061,"Rabbit, shoulder",1,,,282,,2634,227,,,
O062,"Rabbit, chops",1,,,180,,1606,121,,,
O063,"Rabbit, leg",1,,,163,,1295,117,,,
