code,name,regn,rafs,stas,vers,ajgs,camt,stgstr,stostrb,phytac,sapon
B012,"Horse gram, whole (Dolicus biflorus)",6,0.04±0.015,1.59±0.235,,,3.41±0.30,11.57±0.29,47.56±1.15,339±31.3,2.30±0.44
B013,Lentil dal (Lens culinaris),6,0.07±0.015,0.57±0.066,0.08±0.018,,5.74±0.18,3.32±0.16,75.75±4.23,218±6.2,1.63±0.14
B014,"Lentil whole, brown (Lens culinaris)",6,0.21±0.031,0.92±0.099,0.02±0.009,,4.66±0.13,4.94±0.04,74.08±0.96,564±16.4,1.95±0.24
B015,"Lentil whole, yellowish (Lens culinaris)",2,0.24,0.96,0.04,,4.47,4.96,73.59,585,0.89
B016,Moth bean (Vigna aconitifolia),6,0.18±0.007,1.62±0.061,0.02±0.002,,10.40±0.29,27.32±1.35,93.84±1.32,609±9.3,3.12±0.20
B017,"Peas, dry (Pisum sativum)",6,0.10±0.017,0.61±0.082,0.17±0.060,,6.13±0.11,2.91±0.09,84.85±1.82,413±17.8,1.40±0.20
B018,"Rajmah, black (Phaseolus vulgaris)",2,0.1,1.44,0.02,,2.59,16.5,63.2,470,2.3
B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.05±0.019,1.41±0.312,0.02±0.008,,2.50±0.13,16.44±0.26,64.18±2.25,481±12.0,2.85±0.65
B020,"Rajmah, red (Phaseolus vulgaris)",3,0.07±0.040,1.42±0.565,0.03±0.010,,2.60±0.20,16.23±0.15,64.67±2.18,465±19.0,2.79±0.40
B021,"Red gram, dal (Cajanus cajan)",6,0.33±0.052,0.81±0.120,0.67±0.139,,7.39±0.25,9.46±0.74,68.59±1.39,277±23.4,1.56±0.19
B022,"Red gram, whole (Cajanus cajan)",6,0.24±0.072,0.64±0.174,0.61±0.142,,6.60±0.22,10.49±0.74,69.10±1.35,604±10.8,1.89±0.09
B023,Ricebean (Vigna umbellata ),1,0.05,5,,,0.85,3.13,25.45,486,
B024,"Soya bean, brown (Glycine max)",6,0.33±0.087,2.01±0.456,0.04±0.016,,14.48±0.38,10.38±0.26,88.47±1.53,443±24.6,7.39±0.85
B025,"Soya bean, white (Glycine max)",1,0.31,1.81,0.05,,14.4,10.4,88.09,460,7.51
C001,Agathi leaves (Sesbania grandiflora),1,,,,,4.42,1.37,5.94,63.33,0.69
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,,,,,1.07±0.02,2.69±0.09,16.76±1.29,5.42±0.25,
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,,,,,1.08,2.85,16.34,4.9,
C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,,,,,1.06±0.02,2.71±0.14,16.91±1.45,4.89±1.20,
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,,,,,0.72±0.01,5.71±0.17,33.33±2.14,7.40±0.68,
C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,,,,,0.77,5.54,32.38,7.15,
C007,Basella leaves (Basella alba),2,,,,,1.17,2.25,9.91,49.57,0.06
C008,Bathua leaves (Chenopodium album),2,,,,,0.57,3.01,8.99,18.48,0.63
C009,Beet greens (Beta vulgaris),6,,,,,0.86±0.00,3.21±0.00,15.56±0.00,19.01±2.53,0.43±0.00
C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.01±0.000,,,,4.09±0.02,3.53±0.05,32.83±0.21,57.98±14.04,0.42±0.03
C011,"Betel leaves, small (Piper betle)",4,0.01±0.000,,,,3.86±0.03,3.39±0.06,31.61±0.36,45.34±13.15,0.40±0.02
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,,4.01,0.93,38.2,18.32,0.25
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,,2.06,0.13,17.27,16.85,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0.06,,,,2.55,0.28,16.43,12.08,
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,,,,2.46±0.04,0.27±0.03,16.10±1.16,11.77±0.14,
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,,,,2.54,0.25,15.8,12.81,
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.04±0.004,,,,1.96±0.02,0.44±0.03,15.55±0.51,13.60±0.13,
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,,,,3.66±0.12,10.50±0.29,23.67±0.26,14.41±0.42,0.39±0.05
C019,Drumstick leaves (Moringa oleifera),3,0.01±0.010,0.03±0.013,,,4.27±0.14,2.02±0.03,28.92±1.03,128±9.0,0.48±0.05
C020,Fenugreek leaves (Trigonella foenum graecum),5,0.03±0.021,,,,1.39±0.03,2.37±0.14,28.31±0.78,18.67±0.41,
C021,Garden cress (Lepidium sativum),2,,,,,1.77,12.14,13.48,16.64,0.62
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,,,,4.55±0.25,6.25±0.43,72.17±1.15,48.43±0.66,
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,,,,4.04,5.94,75.89,43.17,
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,,,,3.9,0.29,23.38,47.33,0.88
C025,Lettuce (Lactuca sativa),3,,,,,0.42±0.01,1.73±0.04,6.39±0.17,42.28±7.52,0.11±0.05
C026,Mustard leaves (Brassica juncea),3,0.01±0.008,0.01±0.00,0.01±0.004,,2.05±0.06,0.57±0.04,16.16±0.28,34.69±2.32,0.48±0.15
C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,,,,,2.02,0.93,14.35,18.05,
C028,Parsley (Petroselinum crispum),3,,,,,2.08±0.04,16.48±0.38,13.64±0.26,54.32±0.54,1.03±0.08
C029,Ponnaganni (Alternanthera sessilis),2,,,,,1.07,6.11,24.72,32.02,0.88
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.03±0.009,,,,0.33±0.02,2.52±0.08,18.32±0.77,38.27±1.20,
C031,Radish leaves (Raphanus sativus),6,,,,,2.15±0.03,0.94±0.03,17.44±0.41,56.23±10.05,0.08±0.02
C032,Rumex leaves (Rumex patientia),2,,,,,0.13,7.47,3.81,30.07,0.31
C033,Spinach (Spinacia oleracea),6,,,,,0.77±0.03,5.44±0.13,17.39±0.14,12.01±0.34,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,,4.81±0.10,0.64±0.12,46.05±3.16,33.87±0.12,
D001 ,Ash gourd (Benincasa hispida) ,6,,,,,0.16±0.01 ,0.45±0.02 ,2.38±0.13 ,14.60±0.32,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,0.01,0.01,,2.44,1.27,15.49,19.78,0.05
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,,,,1.64±0.38,5.90±0.73,19.20±1.45,17.33±2.13,0.17±0.00
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,,,0.45±0.03,1.62±0.27,11.88±0.75,13.84±1.43,
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,,,0.45±0.02,1.71±0.30,12.26±1.18,14.39±1.16,
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,,,0.43,1.39,12.24,12.68,
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,,,,,0.22±0.01,0.92±0.06,6.40±0.10,10.64±0.73,
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,,,,,0.21±0.01,1.00±0.06,6.02±0.20,11.83±0.27,
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,,,,,0.25,1.08,6.61,10.86,
D010,Brinjal-1 (Solanum melongena),1,,,,,0.68,1.6,8.44,14.63,
D011,Brinjal-2 (Solanum melongena),1,,,,,0.74,1.96,7.01,15.46,
D012,Brinjal-3 (Solanum melongena),2,,,,,0.78,1.3,7.97,12.79,
D013,Brinjal-4 (Solanum melongena),4,,,,,0.73±0.05,1.52±0.19,7.82±0.26,14.43±1.44,
D014,Brinjal-5 (Solanum melongena),3,,,,,0.69±0.04,1.71±0.23,7.85±0.66,12.55±4.14,
D015,Brinjal-6 (Solanum melongena),2,,,,,0.73,1.83,7.13,9.51,
D016,Brinjal-7 (Solanum melongena),1,,,,,0.76,1.65,8.13,18.39,
D017,Brinjal-8 (Solanum melongena),3,,,,,0.72±0.05,1.73±0.09,8.42±0.32,11.29±5.13,
D018,Brinjal-9 (Solanum melongena),2,,,,,0.69,1.51,8.57,11.49,
D019,Brinjal-10 (Solanum melongena),2,,,,,0.71,1.78,7.86,15.03,
D020,Brinjal-11 (Solanum melongena),6,,,,,0.70±0.05,1.60±0.21,8.24±0.38,13.32±3.27,
D021,Brinjal-12 (Solanum melongena),2,,,,,0.68,1.66,8.01,13.41,
D022,Brinjal-13 (Solanum melongena),1,,,,,0.76,1.8,8.1,7,
D023,Brinjal-14 (Solanum melongena),3,,,,,0.68±0.02,1.68±0.09,7.83±0.18,15.75±1.44,
D024,Brinjal-15 (Solanum melongena),4,,,,,0.72±0.06,1.58±0.28,8.59±0.23,11.01±3.09,
D025,Brinjal-16 (Solanum melongena),1,,,,,0.66,1.58,8.13,5.82,
D026,Brinjal-17 (Solanum melongena),1,,,,,0.75,1.81,7.08,15.41,
D027,Brinjal-18 (Solanum melongena),3,,,,,0.71±0.05,1.81±0.24,8.15±0.09,9.42±5.15,
D028,Brinjal-19 (Solanum melongena),3,,,,,0.73±0.08,1.84±0.13,8.54±0.16,10.96±5.14,
D029,Brinjal-20 (Solanum melongena),5,,,,,0.72±0.05,1.82±0.09,8.21±0.27,10.55±4.33,
D030,Brinjal-21 (Solanum melongena),2,,,,,0.71,1.78,7.52,8.24,
D031,Brinjal - all varieties (Solanum melongena),6,,,,,0.71±0.05,1.67±0.21,8.09±0.47,12.28±3.87,
D032,Broad beans (Vicia faba),3,,,,,0.82±0.02,3.26±0.01,13.58±0.34,5.78±0.42,0.45±0.04
D033,"Capsicum, green (Capsicum annuum)",6,,,,,1.25±0.03,0.25±0.01,4.84±0.03,15.96±2.94,0.33±0.04
D034,"Capsicum, red (Capsicum annuum)",4,,,,,1.09±0.12,0.35±0.25,4.19±1.53,17.68±0.52,0.47±0.15
D035,"Capsicum, yellow (Capsicum annuum)",4,,,,,0.79±0.48,0.23±0.05,6.18±2.97,14.81±0.00,0.31±0.00
D036,Cauliflower (Brassica oleracea),6,,,,,1.84±0.06,1.30±0.13,12.56±0.49,18.48±1.72,
D037,Celery stalk (Apium graveolens),3,,,,,4.75±0.08,0.39±0.01,4.12±0.07,25.66±2.55,0.07±0.01
D038,Cho-cho-marrow (Sechium edule),4,,,,,0.08±0.01,0.44±0.03,1.66±0.21,19.42±0.61,
D039,Cluster beans (Cyamopsis tetragonobola),6,,,,,1.03±0.03,8.83±0.08,16.50±0.26,8.66±0.19,2.44±1.18
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,,,,3.15,2.03,16.77,25.85,0.7
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,,,,3.42±0.06,2.03±0.02,17.77±0.06,26.49±0.68,0.56±0.02
D042,"Corn, Baby (Zea mays)",6,0.02±0.000,0.01±0.000,,,3.82±0.00,4.69±0.00,20.20±0.00,26.44±1.43,
D043,"Cucumber, green, elongate (Cucumis sativus)",6,,,,,1.36±0.09,0.34±0.03,7.54±0.15,17.52±0.43,
D044,"Cucumber, green, short (Cucumis sativus)",6,,,,,1.36±0.13,0.35±0.02,7.57±0.27,16.35±0.37,
D045,"Cucumber, orange, round (Cucumis sativus)",2,,,,,1.32,0.36,7.33,15.8,
D046,Drumstick (Moringa oleifera),6,,,,,3.76±0.13,2.40±0.20,16.61±0.30,85.74±2.67,
D047,"Field beans, tender, broad (Vicia faba)",2,0.01,,,,0.74,4.59,15.17,4.81,3
D048,"Field beans, tender, lean (Vicia faba)",6,0.00±0.005,,,,0.75±0.03,4.38±0.35,15.07±0.69,5.24±0.34,2.93±0.14
D049,"French beans, country (Phaseolus vulgaris)",5,,,,,0.96±0.02,4.45±0.21,17.35±1.15,6.11±0.27,3.44±0.20
D050,"French beans, hybrid (Phaseolus vulgaris)",2,,,,,0.98,4.09,17.65,7.51,2.9
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,,,,,2.94±0.04,16.36±1.44,43.10±1.68,68.79±1.14,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,,,,,1.59±0.07,3.66±0.18,24.26±0.69,141±13.2,
D053,Knol - Khol (Brassica oleracea),6,,,,,1.57±0.05,0.21±0.01,8.53±0.32,16.16±1.30,
D054,"Kovai, big (Coccinia cordifolia)",6,,,,,2.29±0.13,0.87±0.05,23.62±1.66,9.81±0.42,
D055,"Kovai, small (Coccinia cordifolia)",1,,,,,2.36,0.93,25.22,8.79,
D056,Ladies finger (Abelmoschus esculentus),6,,,,,2.80±0.12,3.72±0.25,16.23±0.67,3.63±0.24,
D057,"Mango, green, raw (Mangifera indica)",6,,,,,2.09±0.08,1.62±0.12,27.62±1.32,15.26±0.29,
D058,"Onion, stalk (Allium cepa)",6,,,,,1.14±0.02,18.49±0.02,17.32±0.08,61.02±2.54,0.54±0.04
D059,"Papaya, raw (Carica papaya)",6,,,,,3.18±0.08,2.40±0.02,9.19±0.09,22.08±1.80,0.43±0.04
D060,Parwar (Trichosanthes dioica),6,,,,,0.12±0.01,0.95±0.02,7.60±0.10,29.19±0.64,0.29±0.03
D061,"Peas, fresh (Pisum sativum)",6,0.01±0.000,0.05±0.011,0.01±0.000,,2.56±0.03,1.54±0.02,42.23±0.80,162±10.8,1.26±0.43
D062,"Plantain, flower (Musa x paradisiaca)",6,,,,,6.28±0.25,6.19±0.21,9.59±0.31,2.52±0.23,
D063,"Plantain, green (Musa x paradisiaca)",6,,,,,2.25±0.21,1.71±0.07,16.32±0.20,40.44±0.21,
D064,"Plantain, stem (Musa x paradisiaca)",6,,,,,6.22±0.03,8.31±0.06,31.92±0.90,15.33±0.46,0.76±0.04
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.02,,,,0.18,0.72,2.34,22.51,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.01±0.005,,,,0.17±0.01,0.73±0.02,2.48±0.10,19.72±1.81,
D067,"Red gram, tender, fresh (Cajanus cajan)",1,0.01,0.03,0.01,,3.15,2.44,32.41,6.22,0.46
D068,Ridge gourd (Luffa acutangula),6,,,,,0.13±0.02,0.61±0.05,3.93±0.17,14.91±0.79,
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,,,,,0.13±0.01,0.65±0.04,4.05±0.12,14.98±0.80,
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,,,,,0.26±0.02,0.87±0.02,4.28±0.10,13.44±0.44,
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,,,,,0.25,0.85,4.46,13.04,
D072,"Snake gourd, short (Trichosanthes anguina)",1,,,,,0.22,0.81,4.2,12.82,
D073,"Tinda, tender (Praecitrullus fistulosus)",6,,,,,1.33±0.14,0.73±0.01,7.02±0.52,5.75±0.19,
D074,"Tomato, green (Lycopersicon esculentum)",6,,,,,0.34±0.01,0.86±0.01,3.55±0.02,1.08±0.10,0.37±0.02
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,,,,,0.33±0.02,0.85±0.03,2.33±0.09,2.59±0.28,
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,,,,,0.29±0.02,0.76±0.03,2.24±0.12,2.39±0.18,
D077,"Zucchini, green (Cucurbita pepo)",2,,,,,1.01,0.35,7.65,10.57,
D078,"Zucchini, yellow (Cucurbita pepo)",2,,,,,0.88,0.42,8.77,11.5,
E001 ,"Apple, big (Malus domestica) ",6,,,,,0.41±0.00 ,0.35±0.00 ,14.94±0.00 ,0.57±0.07,
E002,"Apple, green (Malus domestica)",6,,,,,0.22±0.00,0.54±0.00,13.76±0.00,0.64±0.05,
E003,"Apple, small (Malus domestica)",6,,,,,0.66±0.07,0.51±0.01,14.15±1.00,0.45±0.04,
E004,"Apple, small, Kashmir (Malus domestica)",1,,,,,0.72,0.61,15.33,0.36,
E005,"Apricot, dried (Prunus armeniaca)",6,0.24±0.039,,,,1.17±0.05,5.18±0.20,7.76±0.18,194±19.5,
E006,"Apricot, processed (Prunus armeniaca)",3,,,,,1.03±0.03,4.65±0.14,7.20±0.12,112±3.0,
E007,Avocado fruit (Persea americana),1,,,,,12.88,2.58,156,356,
E008,Bael fruit (Aegle marmelos),1,,,,,0.3,0.41,3.39,28.65,
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,,,,1.18,1.23,10.15,12.49,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,,,,1.31,1.46,12.1,11.03,
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,,,,1.22,1.39,12.2,10.06,
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,,,,0.85±0.03,0.84±0.07,9.66±0.13,13.98±1.75,
E013,Black berry (Rubus fruticosus),5,,,,,0.80±0.03,0.12±0.01,34.65±1.66,8.97±0.17,
E014,"Cherries, red (Prunus cerasus)",4,,,,,0.56±0.01,0.07±0.00,17.65±0.18,39.88±0.57,1.60±0.02
E015,"Currants, black (Ribes nigrum)",1,,,,,3.53,1.72,17.88,9.6,1.6
E016,Custard apple (Annona squamosa),1,,,,,0.65,2.19,3.81,15.22,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,,,,,1.83±0.08,1.35±0.14,29.78±0.34,134±20.5,
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,,,,,1.73,1.27,27.24,126,
E019,"Dates, processed (Phoenix dactylifera)",2,,,,,1.73,1.22,26.3,106,
E020,Fig (Ficus carica),6,,,,,0.58±0.00,1.67±0.00,32.31±0.00,48.59±4.55,1.00±0.17
E021,Goosberry (Emblica officinalis),5,,,,,0.23±0.01,0.23±0.01,11.50±0.27,49.34±3.36,0.40±0.12
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,,,,,0.55±0.02,0.26±0.01,12.34±0.20,1.52±0.22,
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,,,,,0.47±0.01,0.24±0.02,10.29±0.15,1.27±0.11,
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,,,,,0.46±0.07,0.28±0.03,10.66±0.67,1.60±0.19,
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,,,,,0.54±0.15,0.29±0.03,13.06±1.73,1.00±0.12,
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,,,,,0.42±0.08,0.27±0.05,14.30±0.66,0.85±0.05,
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,,,,,0.53±0.05,0.28±0.02,13.56±0.94,0.69±0.09,
E028,"Guava, white flesh (Psidium guajava)",5,,,,,0.57±0.01,0.11±0.01,43.09±1.33,55.36±2.30,
E029,"Guava, pink flesh (Psidium guajava)",5,,,,,0.59±0.05,0.22±0.01,40.40±0.23,45.89±6.29,1.05±0.15
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,,,,,1.04±0.04,19.21±1.16,34.84±1.02,52.94±3.15,
E031,"Jambu fruit, ripe (Syzygium cumini)",2,,,,,0.76,0.14,25.45,8.65,1.55
E032,Karonda fruit (Carissa carandas),1,,,,,0.72,0.48,4.92,7.8,
E033,"Lemon, juice (Citrus limon)",6,,,,,,,,,
E034,"Lime, sweet,pulp (Citrus limetta)",6,,,,,,,,,
E035,Litchi (Nephelium litchi),4,,,,,5.30±0.03,1.43±0.03,10.67±0.15,2.57±0.14,1.04±0.04
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,,,,0.87±0.04,0.47±0.01,11.41±0.68,85.83±3.60,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,,,,0.84,0.41,12.34,80.24,
E038,"Mango, ripe, himsagar (Mangifera indica)",3,,,,,0.88±0.06,0.44±0.02,11.39±0.73,79.46±1.30,
E039,"Mango, ripe, kesar (Mangifera indica)",4,,,,,0.87±0.03,0.43±0.01,11.07±0.51,90.02±1.55,
E040,"Mango, ripe, neelam (Mangifera indica)",2,,,,,0.91,0.43,10.15,79.49,
E041,"Mango, ripe, paheri (Mangifera indica)",2,,,,,0.9,0.47,11.66,81.12,
E042,"Mango, ripe, totapari (Mangifera indica)",1,,,,,0.94,0.49,10.22,75.13,
E043,Mangosteen (Garcinia mangostana),1,,,,,0.67,0.37,4.32,16.75,
E044,Manila tamarind (Pithecellobium dulce),1,,,,,0.29,0.97,16.43,22.55,
E045,"Musk melon, orange flesh (Cucumis melon)",5,,,,,0.15±0.00,0.38±0.01,2.74±0.07,12.18±1.26,
E046,"Musk melon, yellow flesh (Cucumis melon)",6,,,,,0.16±0.00,0.40±0.00,2.89±0.03,11.11±1.25,
E047,"Orange, pulp (Citrus aurantium)",6,,,,,,,,,
E048,"Palm fruit, tender (Borassus flabellifer)",1,,,,,,,,2.8,
E049,"Papaya, ripe (Carcia papaya)",6,,,,,1.80±0.04,1.12±0.04,4.82±0.14,25.44±1.66,0.49±0.06
E050,Peach (Prunus communis),1,,,,,0.5,0.71,14.42,4.55,
E051,Pear (Pyrus sp.),6,,,,,0.64±0.02,0.23±0.02,13.33±0.08,4.83±0.81,0.99±0.05
E052,Phalsa (Grewia asiatica),2,,,,,2.28,1.48,24.97,43.03,0.63
E053,Pineapple (Ananas comosus),6,,,,,1.38±0.06,0.22±0.02,9.25±0.16,8.59±0.33,1.13±0.11
E054,Plum (Prunus domestica),3,,,,,0.86±0.10,0.45±0.09,13.63±3.20,3.81±0.32,
E055,"Pomegranate, maroon seeds (Punica granatum)",6,,,,,0.83±0.03,0.34±0.02,20.79±0.46,45.71±2.97,0.44±0.05
E056,Pummelo (Citrus maxima),3,,,,,34.39±2.85,0.92±0.09,23.70±3.22,20.36±0.51,88.76±4.50
E057,"Raisins, dried, black (Vitis vinifera)",6,,,,,1.89±0.04,1.05±0.05,41.10±0.10,20.34±1.86,2.60±0.13
E058,"Raisins, dried, golden (Vitis vinifera)",6,,,,,1.76±0.11,0.93±0.04,38.46±0.69,20.12±1.58,2.74±0.20
E059,Rambutan (Nephelium lappaceum),1,,,,,,,,5.65,
E060,Sapota (Achras sapota),6,,,,,1.48±0.10,1.48±0.13,72.80±1.95,8.32±0.67,
E061,Soursop ( Annona muricata ),1,,,,,4.71,1.12,10.88,2.75,
E062,Star fruit (Averrhoa carambola),1,,,,,0.96,0.41,41.65,3.8,
E063,Strawberry (Fragaria ananassa),6,,,,,1.71±0.10,0.33±0.02,9.00±0.96,25.07±3.24,
E064,"Tamarind, pulp (Tamarindus indicus)",6,,,,,4.30±0.20,0.54±0.02,43.29±1.46,3.07±0.32,
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,,,,,,,,0.61±0.09,
E066,"Water melon, pale green (Citrullus vulgaris)",6,,,,,,,,0.47±0.06,
