code,name,regn,al,as,cd,ca,cr,co,cu,fe,pb,li
B001,"Bengal gram, dal (Cicer arietinum)",6,0.65±0.19,,,46.32±5.12,0.008±0.006,0.024±0.006,0.82±0.12,6.08±0.27,0.011±0.013,0.003±0.001
B002,"Bengal gram, whole (Cicer arietinum)",6,2.10±0.19,,,150±18.3,0.015±0.003,0.021±0.005,0.85±0.12,6.78±0.75,0.006±0.002,0.006±0.002
B003,"Black gram, dal (Phaseolus mungo)",6,1.19±0.33,,,55.67±6.10,0.011±0.004,0.014±0.004,0.64±0.08,4.67±0.55,0.004±0.000,0.002±0.001
B004,"Black gram, whole (Phaseolus mungo)",6,2.25±0.63,,,86.18±8.99,0.019±0.007,0.018±0.004,0.76±0.12,5.97±0.56,0.008±0.006,0.005±0.002
B005,"Cowpea, brown (Vigna catjang)",6,1.36±0.61,,,81.73±7.63,0.010±0.002,0.013±0.002,0.81±0.16,5.90±1.26,,0.006±0.002
B006,"Cowpea, white (Vigna catjang)",1,0.4,,,84.1,0.004,0.017,0.68,5.04,,0.007
B007,"Field bean, black (Phaseolus vulgaris)",1,0.53,,,78.16,0.01,0.021,1.03,4.5,,0.001
B008,"Field bean, brown (Phaseolus vulgaris)",1,0.73,,,75.2,0.01,0.018,0.9,4.99,,0.001
B009,"Field bean, white (Phaseolus vulgaris)",5,0.52±0.24,,,77.24±10.17,0.019±0.014,0.014±0.005,0.94±0.09,5.50±0.72,,0.001±0.001
B010,"Green gram, dal (Phaseolus aureus)",6,2.47±0.24,,,43.13±5.14,0.002±0.001,0.006±0.001,0.97±0.11,3.93±0.30,0.002±0.001,0.002±0.001
B011,"Green gram, whole (Phaseolus aureus)",6,3.24±0.39,,,92.43±10.68,0.012±0.006,0.021±0.009,1.00±0.14,4.89±0.46,,0.002±0.002
B012,"Horse gram, whole (Dolicus biflorus)",6,4.69±1.04,,0.001±0.001,269±34.9,0.027±0.010,0.054±0.024,1.29±0.09,8.76±1.16,0.007±0.002,0.005±0.008
B013,Lentil dal (Lens culinaris),6,1.60±0.14,1.19±0.76,,44.32±4.74,0.006±0.002,0.009±0.003,0.96±0.11,7.06±0.55,,0.003±0.003
B014,"Lentil whole, brown (Lens culinaris)",6,2.60±0.43,0.46±0.47,,76.13±7.23,0.022±0.013,0.015±0.004,0.98±0.07,7.57±0.67,0.016±0.013,0.004±0.002
B015,"Lentil whole, yellowish (Lens culinaris)",2,1.02,,,76.66,0.012,0.012,0.88,7.91,0.016,0.004
B016,Moth bean (Vigna aconitifolia),6,0.54±0.42,,,154±17.0,0.003±0.001,0.019±0.007,0.64±0.06,7.90±0.17,,0.005±0.002
B017,"Peas, dry (Pisum sativum)",6,0.52±0.19,,,75.11±13.93,0.010±0.007,0.009±0.004,0.68±0.06,5.09±0.45,0.005±0.003,0.003±0.003
B018,"Rajmah, black (Phaseolus vulgaris)",2,0.75,,,134,0.032,0.006,0.87,6.17,0.012,0.002
B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.92±0.20,,,134±17.6,0.025±0.015,0.024±0.024,0.89±0.12,6.30±0.61,0.006±0.005,0.002±0.002
B020,"Rajmah, red (Phaseolus vulgaris)",3,0.65±0.16,,,126±8.1,0.029±0.013,0.013±0.004,0.78±0.08,6.13±0.77,0.003±0.000,0.003±0.004
B021,"Red gram, dal (Cajanus cajan)",6,0.83±0.48,,,71.73±6.41,0.007±0.003,0.003±0.002,1.14±0.14,3.90±0.46,0.003±0.001,0.004±0.003
B022,"Red gram, whole (Cajanus cajan)",6,2.21±0.40,,0.001±0.001,139±11.8,0.022±0.005,0.020±0.007,1.32±0.15,5.37±1.36,0.004±0.001,0.008±0.005
B023,Ricebean (Vigna umbellata ),1,,,,200,0.002,,0.75,4.76,,
B024,"Soya bean, brown (Glycine max)",6,1.45±0.39,,0.001±0.000,239±26.6,0.003±0.003,0.049±0.012,1.29±0.22,8.29±0.51,,0.001±0.001
B025,"Soya bean, white (Glycine max)",1,0.71,,,195,0.007,0.018,0.79,8.22,,
C001,Agathi leaves (Sesbania grandiflora),1,,3.92,0.001,901,,0.007,0.25,4.36,0.013,
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,3.91±0.77,,0.002±0.001,330±74.2,0.027±0.009,0.005±0.002,0.21±0.08,4.64±0.85,0.004±0.000,0.009±0.004
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,3.03,,0.002,245,0.028,0.023,0.22,7.25,,0.009
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,3.59±0.47,,0.002±0.000,269±34.0,0.024±0.008,0.012±0.002,0.17±0.08,5.28±0.75,0.004±0.001,0.007±0.006
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,2.87±0.87,,,359±39.7,0.035±0.015,0.002±0.001,0.23±0.07,6.37±1.59,0.001±0.001,0.008±0.008
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,3.61,,,372,0.028,0.005,0.33,4.58,0.001,0.014
C007,Basella leaves (Basella alba),2,2.69,2.75,0.002,93.89,0.046,0.006,0.12,4.2,0.006,0.006
C008,Bathua leaves (Chenopodium album),2,,0.82,0.001,211,,0.001,0.1,2.66,0.001,
C009,Beet greens (Beta vulgaris),6,,3.53±1.92,0.01±0.01,151±46.9,,0.004±0.001,0.14±0.01,5.80±0.57,0.011±0.006,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,2.01±0.51,1.17±0.85,0.002±0.001,207±14.9,0.026±0.010,0.003±0.001,0.24±0.05,3.00±0.77,0.005±0.002,0.012±0.006
C011,"Betel leaves, small (Piper betle)",4,1.85±0.43,1.68±0.00,,196±13.7,0.019±0.005,0.002±0.001,0.29±0.02,2.87±0.29,0.004±0.003,0.005±0.006
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,0.57,0.001,53.99,0.002,0.001,0.08,1.54,0.004,
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,58.46,0.001,,0.05,0.39,,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,2.29,,0.001,170,0.001,0.002,0.06,2.67,,0.004
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,,,51.76±4.44,0.004±0.002,0.001±0.001,0.03±0.02,0.35±0.16,,0.001±0.001
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,,,48,0.004,0.002,0.02,0.24,,0.001
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.46±0.16,,0.001±0.000,96.70±16.41,0.014±0.007,,0.14±0.01,2.42±0.32,0.006±0.002,0.003±0.003
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,2.74±1.45,0.001±0.001,216±50.8,0.004±0.003,0.003±0.002,0.29±0.06,3.41±0.50,0.007±0.004,
C019,Drumstick leaves (Moringa oleifera),3,1.15±0.07,1.60±0.01,0.001±0.000,314±71.0,0.020±0.003,,0.44±0.26,4.56±1.09,0.004±0.001,0.019±0.013
C020,Fenugreek leaves (Trigonella foenum graecum),5,2.01±0.21,,0.001±0.000,274±27.8,0.039±0.004,0.006±0.003,0.18±0.04,5.69±1.37,0.006±0.001,0.007±0.002
C021,Garden cress (Lepidium sativum),2,,3.89,0.005,217,0.001,0.006,0.23,6.19,0.015,
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,2.30±0.29,,,145±15.3,0.061±0.014,0.004±0.002,0.23±0.08,7.65±1.74,,0.005±0.002
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,2.74,,,129,0.04,0.009,0.16,9.56,0.001,0.005
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,7.98,0.004,368,,0.005,0.07,2.51,0.006,
C025,Lettuce (Lactuca sativa),3,0.90±0.12,1.43±0.31,0.003±0.001,56.71±2.07,0.020±0.010,0.002±0.000,0.14±0.05,2.73±0.59,0.004±0.002,0.008±0.000
C026,Mustard leaves (Brassica juncea),3,1.74±0.05,3.65±0.32,0.004±0.000,191±23.8,0.039±0.005,0.001±0.000,0.24±0.07,2.84±0.12,0.007±0.000,0.008±0.001
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,3.16,3.29,3.098,150,0.028,0.002,0.06,3.78,0.014,0.005
C028,Parsley (Petroselinum crispum),3,,4.04±0.97,0.007±0.002,288±48.7,0.001±0.000,0.002±0.000,0.19±0.04,5.51±2.25,0.052±0.016,
C029,Ponnaganni (Alternanthera sessilis),2,,2.68,0.004,388,0.002,0.014,0.21,3.88,0.008,
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,4.70±0.90,,0.001±0.001,271±73.6,0.053±0.016,0.005±0.002,0.29±0.06,5.58±0.39,0.011±0.005,0.009±0.008
C031,Radish leaves (Raphanus sativus),6,1.95±0.47,4.91±0.52,0.003±0.001,234±53.1,0.051±0.014,0.005±0.003,0.29±0.08,3.82±0.52,0.003±0.000,0.014±0.005
C032,Rumex leaves (Rumex patientia),2,3.15,2.75,0.001,131,0.048,0.002,0.25,3.67,0.005,0.007
C033,Spinach (Spinacia oleracea),6,1.51±0.47,,,82.29±6.51,0.028±0.005,0.002±0.001,0.17±0.05,2.95±0.68,0.001±0.001,0.047±0.017
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,66.93±0.96,0.002±0.001,,0.56±0.04,2.84±0.70,,
D001 ,Ash gourd (Benincasa hispida) ,6,0.04±0.02 ,,,19.39±1.46 ,0.006±0.002 ,0.001±0.001 ,0.04±0.01 ,0.47±0.20 ,0.003±0.000 ,0.001±0.000
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.03,,,10,0.004,,0.14,0.33,0.014,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,0.30±0.07,,43.48±18.32,,0.001±0.000,0.17±0.01,0.73±0.04,,
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0.37±0.20,,,21.36±3.00,0.014±0.002,0.002±0.001,0.09±0.04,1.15±0.36,0.001±0.000,0.002±0.001
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0.40±0.10,,,16.27±2.20,0.013±0.003,0.002±0.000,0.12±0.04,1.08±0.47,,0.002±0.001
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0.4,,,17.62,0.013,0.007,0.1,1.28,0.001,0.002
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0.03±0.01,,,15.42±2.54,0.004±0.001,0.001±0.000,0.05±0.01,0.26±0.03,,
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0.05±0.03,,0.000±0.001,15.05±1.70,0.003±0.001,0.001±0.000,0.05±0.01,0.28±0.02,,
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.03,,,16.64,0.003,0.004,0.07,0.34,,
D010,Brinjal-1 (Solanum melongena),1,0.24,,0.002,22.17,0.004,0.001,0.25,0.49,0.002,0.011
D011,Brinjal-2 (Solanum melongena),1,0.05,,0.002,17.13,0.004,0.003,0.04,0.44,,
D012,Brinjal-3 (Solanum melongena),2,0.05,,0.001,14.58,0.006,0.003,0.11,0.34,,0.011
D013,Brinjal-4 (Solanum melongena),4,0.11±0.00,,,13.39±3.79,0.002±0.001,0.002±0.002,0.14±0.03,0.38±0.12,0.001±0.000,0.009±0.007
D014,Brinjal-5 (Solanum melongena),3,0.08±0.00,,0.001±0.001,17.03±2.93,0.002±0.001,,0.11±0.03,0.36±0.04,0.001±0.000,0.009±0.008
D015,Brinjal-6 (Solanum melongena),2,0.07,,0.001,17.17,0.002,0.001,0.11,0.39,0.001,0.016
D016,Brinjal-7 (Solanum melongena),1,0.15,,0.001,19.95,0.003,,0.09,0.27,,0.004
D017,Brinjal-8(Solanum melongena),3,0.09±0.00,,,21±2,0.004±0.001,0.001±0.001,0.12±0.04,0.42±0.05,0.003±0.003,0.005±0.003
D018,Brinjal-9(Solanum melongena),2,0.02,,,18.79,0.006,0.001,0.11,0.38,0.002,0.001
D019,Brinjal-10 (Solanum melongena),2,0.12,,0.001,15.59,0.007,0.001,0.12,0.41,,0.011
D020,Brinjal-11 (Solanum melongena),6,0.06±0.01,,,15.92±2.76,0.006±0.004,0.001±0.001,0.12±0.03,0.37±0.08,0.001±0.000,0.005±0.003
D021,Brinjal-12 (Solanum melongena),2,0.09,,0.001,19.85,0.007,0.001,0.14,0.37,0.001,0.012
D022,Brinjal-13(Solanum melongena),1,0.04,,,18.95,0.005,0.003,0.11,0.32,,0.003
D023,Brinjal-14(Solanum melongena),3,0.11±0.02,,0.001±0.001,14.43±3.70,0.005±0.002,,0.11±0.02,0.32±0.08,0.001±0.000,0.010±0.005
D024,Brinjal-15 (Solanum melongena),4,0.06±0.02,,,17.82±2.16,0.003±0.002,0.001±0.002,0.12±0.01,0.36±0.14,0.001±0.000,0.009±0.008
D025,Brinjal-16(Solanum melongena),1,0.1,,0.001,18.33,0.01,,0.07,0.32,0.001,0.003
D026,Brinjal-17(Solanum melongena),1,0.1,,,20.83,0.004,0.001,0.12,0.5,0.002,
D027,Brinjal-18 (Solanum melongena),3,0.08±0.02,,0.001±0.001,16.24±4.21,0.007±0.005,0.001±0.002,0.10±0.03,0.38±0.08,0.002±0.002,0.008±0.009
D028,Brinjal-19(Solanum melongena),3,0.07±0.06,,0.001±0.000,16.10±1.74,0.003±0.002,0.001±0.000,0.10±0.03,0.32±0.04,0.002±0.000,0.010±0.004
D029,Brinjal-20(Solanum melongena),5,0.14±0.09,,0.001±0.001,14.36±2.59,0.005±0.004,0.001±0.001,0.10±0.03,0.33±0.10,0.001±0.000,0.010±0.006
D030,Brinjal-21(Solanum melongena),2,0.08,,0.002,15.27,0.007,0.003,0.09,0.34,0.003,0.009
D031,Brinjal - all varieties (Solanum melongena),6,0.08±0.05,,0.001±0.001,16.59±3.13,0.005±0.003,0.001±0.001,0.11±0.03,0.37±0.08,0.001±0.001,0.008±0.006
D032,Broad beans (Vicia faba),3,,0.34±0.16,,64.37±5.06,0.001±0.000,0.002±0.001,0.20±0.01,0.94±0.20,0.003±0.000,
D033,"Capsicum, green (Capsicum annuum)",6,,,0.001±0.000,14.75±2.93,0.017±0.008,0.002±0.001,0.06±0.01,0.48±0.11,0.001±0.000,0.002±0.002
D034,"Capsicum, red (Capsicum annuum)",4,0.25±0.06,,0.001±0.001,15.76±1.11,0.008±0.002,0.001±0.000,0.07±0.01,0.38±0.05,0.001±0.001,0.001±0.000
D035,"Capsicum, yellow (Capsicum annuum)",4,0.23±0.07,0.03±0.02,0.001±0.000,19.13±4.17,0.036±0.015,0.003±0.001,0.09±0.02,0.69±0.12,0.007±0.002,0.001±0.000
D036,Cauliflower (Brassica oleracea),6,0.17±0.13,,,25.16±3.47,0.007±0.003,0.001±0.001,0.05±0.03,0.96±0.34,0.004±0.001,0.001±0.000
D037,Celery stalk (Apium graveolens),3,1.32±0.34,0.51±0.10,0.002±0.001,38.73±3.38,0.016±0.006,0.001±0.000,0.12±0.12,1.36±0.41,0.003±0.001,0.001±0.001
D038,Cho-cho-marrow (Sechium edule),4,,,,18.64±2.31,0.006±0.002,0.001±0.001,0.05±0.01,0.48±0.11,,
D039,Cluster beans (Cyamopsis tetragonobola),6,0.33±0.08,,,121±17.8,0.013±0.004,0.004±0.000,0.14±0.02,3.90±0.66,,0.001±0.001
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,1.16,0.001,29.46,0.015,0.002,0.05,0.77,,
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,1.58±1.42,,40.21±6.92,0.020±0.006,0.002±0.002,0.08±0.03,0.55±0.22,,0.001±0.001
D042,"Corn, Baby (Zea mays)",6,,,,76.51±13.84,0.002±0.001,0.001±0.000,0.12±0.03,1.45±0.23,,
D043,"Cucumber, green, elongate (Cucumis sativus)",6,0.07±0.07,,,16.39±3.74,0.006±0.002,0.002±0.001,0.04±0.01,0.46±0.21,0.001±0.000,0.002±0.002
D044,"Cucumber, green, short (Cucumis sativus)",6,0.05±0.05,,,19.25±3.46,0.005±0.002,0.002±0.001,0.07±0.05,0.59±0.12,0.001±0.000,0.002±0.001
D045,"Cucumber, orange, round (Cucumis sativus)",2,0.1,,0.001,21.98,0.006,0.002,0.04,0.45,0.001,0.002
D046,Drumstick (Moringa oleifera),6,0.24±0.09,,,33.30±5.54,0.008±0.003,,0.10±0.02,0.73±0.18,0.007±0.003,0.002±0.001
D047,"Field beans, tender, broad (Vicia faba)",2,0.64,,,70.57,0.006,0.003,0.24,1.95,0.003,0.002
D048,"Field beans, tender, lean (Vicia faba)",6,0.36±0.13,,,58.59±5.21,0.007±0.003,0.003±0.002,0.20±0.08,1.48±0.39,0.003±0.001,0.002±0.000
D049,"French beans, country (Phaseolus vulgaris)",5,0.50±0.26,,,55.99±10.70,0.007±0.002,0.004±0.003,0.11±0.03,1.25±0.31,0.002±0.000,
D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.35,,,49.9,0.004,0.008,0.07,0.98,,
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,,,,45.74±7.19,0.004±0.002,,0.24±0.07,0.31±0.04,,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,,,,37.56±3.36,0.001±0.001,0.001±0.001,0.21±0.07,0.37±0.15,0.001±0.001,
D053,Knol - Khol (Brassica oleracea),6,,,,35.26±3.81,0.004±0.002,0.002±0.001,0.08±0.03,0.24±0.05,,
D054,"Kovai, big (Coccinia cordifolia)",6,0.06±0.02,,,34.39±5.90,0.003±0.001,0.002±0.001,0.06±0.01,0.38±0.05,,0.001±0.000
D055,"Kovai, small (Coccinia cordifolia)",1,0.02,,,37.12,0.002,0.001,0.06,0.29,,0.001
D056,Ladies finger (Abelmoschus esculentus),6,0.47±0.15,,0.002±0.001,86.12±6.93,0.005±0.001,0.002±0.001,0.13±0.01,0.84±0.15,0.001±0.000,0.002±0.001
D057,"Mango, green, raw (Mangifera indica)",6,0.11±0.02,,,27.00±4.93,0.010±0.003,,0.08±0.02,0.40±0.08,,
D058,"Onion, stalk (Allium cepa)",6,2.78±1.26,1.73±0.46,0.003±0.003,31.12±7.53,0.059±0.014,0.002±0.001,0.14±0.03,3.09±0.54,0.016±0.008,0.007±0.001
D059,"Papaya, raw (Carica papaya)",6,0.05±0.01,0.63±0.34,,22.72±1.71,0.003±0.002,,0.05±0.04,0.20±0.03,0.001±0.000,0.001±0.001
D060,Parwar (Trichosanthes dioica),6,0.33±0.06,0.68±0.38,,30.76±3.08,0.013±0.002,0.001±0.001,0.09±0.01,0.50±0.11,,
D061,"Peas, fresh (Pisum sativum)",6,0.20±0.06,,,28.24±3.62,0.002±0.001,0.003±0.001,0.22±0.03,1.58±0.15,,
D062,"Plantain, flower (Musa x paradisiaca)",6,0.07±0.02,,,34.06±1.85,0.005±0.002,,0.10±0.01,0.40±0.05,,
D063,"Plantain, green (Musa x paradisiaca)",6,0.08±0.06,,,13.80±2.56,0.012±0.009,0.002±0.003,0.10±0.03,0.34±0.09,0.001±0.001,
D064,"Plantain, stem (Musa x paradisiaca)",6,0.13±0.02,0.05±0.03,,11.24±2.30,0.015±0.006,0.001±0.001,0.04±0.02,0.26±0.10,0.002±0.003,0.001±0.001
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.09,,,24.1,0.004,,0.04,0.29,,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.11±0.05,,,23.06±4.30,0.002±0.001,,0.06±0.01,0.36±0.11,,
D067,"Red gram, tender, fresh (Cajanus cajan)",1,,0.11,0.002,58.58,,0.001,0.45,1.18,0.006,
D068,Ridge gourd (Luffa acutangula),6,0.07±0.03,,,13.70±1.38,0.003±0.000,0.001±0.000,0.10±0.03,0.42±0.05,,0.001±0.001
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.10±0.07,,,14.96±2.15,0.003±0.001,0.001±0.001,0.09±0.02,0.50±0.18,,0.001±0.001
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.06±0.03,,,24.60±4.77,0.002±0.002,0.001±0.001,0.09±0.02,0.32±0.08,,0.001±0.000
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.05,,,27.11,0.002,0.001,0.11,0.47,,0.001
D072,"Snake gourd, short (Trichosanthes anguina)",1,0.05,,,17.9,0.001,,0.05,0.2,,
D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.15±0.03,,,19.68±3.27,0.004±0.001,0.001±0.000,0.08±0.01,0.41±0.03,,0.001±0.001
D074,"Tomato, green (Lycopersicon esculentum)",6,,0.18±0.07,0.001±0.000,8.49±1.56,0.028±0.013,0.002±0.001,0.06±0.02,0.42±0.08,0.002±0.001,
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0.05±0.02,,,8.90±1.04,0.003±0.001,0.001±0.000,0.04±0.01,0.22±0.02,0.001±0.000,
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0.04±0.02,,,10.17±1.84,0.005±0.004,,0.06±0.01,0.30±0.09,,
D077,"Zucchini, green (Cucurbita pepo)",2,,,,17.26,0.002,,0.07,0.52,,
D078,"Zucchini, yellow(Cucurbita pepo)",2,,,,20.98,0.003,,0.11,0.34,,
E001 ,"Apple, big (Malus domestica) ",6,0.23±0.12 ,0.96±0.37 ,0.040±0.014 ,13.68±3.20 ,0.007±0.002 ,0.261±0.093 ,0.04±0.01 ,0.26±0.02 ,0.058±0.029 ,0.592±0.402
E002,"Apple, green (Malus domestica)",6,,,,6.53±2.48,0.002±0.001,,0.33±0.04,0.20±0.04,,
E003,"Apple, small (Malus domestica )",6,0.08±0.03,0.19±0.21,,5.39±0.82,0.005±0.002,,0.06±0.03,0.25±0.06,0.002±0.001,0.001±0.000
E004,"Apple, small, Kashmir (Malus domestica)",1,0.11,,,4.72,0.007,,0.06,0.21,0.002,0.001
E005,"Apricot, dried (Prunus armeniaca)",6,2.11±0.51,0.88±0.44,,28.57±4.32,0.016±0.008,0.002±0.001,0.43±0.04,2.50±0.26,0.008±0.012,0.002±0.001
E006,"Apricot, processed (Prunus armeniaca)",3,0.80±0.18,0.26±0.03,,5.42±0.41,0.006±0.001,0.003±0.000,0.42±0.04,1.12±0.23,0.002±0.000,
E007,Avocado fruit (Persea americana),1,,,,28.48,0.002,,0.39,0.81,,
E008,Bael fruit (Aegle marmelos),1,0.11,0.65,0.027,47.95,0.002,0.419,0.15,0.23,0.077,2.446
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,,,6.77,0.017,,0.12,0.4,0.002,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,,,8.73,0.01,,0.1,0.35,0.001,0.001
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,,,9.56,0.008,,0.06,0.24,0.001,0.001
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,,,5.07±0.94,0.007±0.005,,0.13±0.05,0.28±0.05,0.001±0.000,0.001±0.000
E013,Black berry (Rubus fruticosus),5,,,,23.81±2.70,,,0.05±0.01,0.63±0.21,,0.002±0.000
E014,"Cherries, red (Prunus cerasus)",4,0.37±0.05,,,23.88±5.01,0.010±0.003,,0.07±0.02,0.36±0.10,,
E015,"Currants, black (Ribes nigrum)",1,0.5,,0.001,40.32,0.031,,0.08,1.36,,
E016,Custard apple (Annona squamosa),1,,,,28.2,0.003,,0.19,0.42,,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,2.47±0.62,,,71.20±4.51,0.022±0.008,0.001±0.000,0.36±0.05,3.20±0.45,0.013±0.005,0.006±0.002
