code,name,regn,lutn,zea,lycpn,crypxb,cartg,carta,cartb,cartoid
G019,Asafoetida (Ferula assa-foetida),6,23.8±6.80,1.52±0.29,,,,,6.42±0.75,168±24.7
G020,"Cardamom, green (Elettaria cardamomum)",6,37.0±10.0,32.85±4.78,,,,,21.91±2.31,366±22.6
G021,"Cardamom, black (Elettaria cardamomum)",4,56.9±17.6,10.31±2.62,,,,,77.48±13.27,1137±95.2
G022,"Chillies, red (Capsicum annum)",6,1843±342,2712±789,36.44±10.4,1599±203,,,1542±288,101812±5619
G023,Cloves (Syzygium aromaticum),6,16.9±3.39,1.55±0.23,,,,8.55±0.71,73.51±2.74,356±38.2
G024,Coriander seeds (Coriandrum sativum),6,225±34.0,10.96±2.23,,,,,122±13.5,996±50.0
G025,Cumin seeds (Cuminum cyminum),6,170±10.8,42.60±6.86,,,,,89.19±19.24,553±32.5
G026,Fenugreek seeds (Trigonella foenum graecum),6,586±91.3,201±12.0,,,,,142±1.5,1210±162
G027,Mace (Myristica fragrans),6,135±26.7,196±22.4,,,,,2322±157,9203±880
G028,Nutmeg (Myristica fragrans),6,4.01±1.18,1.33±0.26,,,,,15.37±1.11,80.91±9.87
G029,Omum (Trachyspermum ammi),6,494±61.2,8.30±2.99,,51.37±9.37,,,746±17.7,1836±22.1
G030,Pippali (Piper longum),6,666±92.3,479±54.8,,110±10.5,,278±28.4,545±50.4,2401±205
G031,"Pepper, black (Piper nigrum)",6,650±62.3,158±15.4,,165±11.6,,157±10.1,767±65.5,2219±56
G032,Poppy seeds (Papaver somniferum),6,23.5±15.0,1.76±0.79,,,,,3.51±0.66,34.45±10.70
G033,Turmeric powder (Curcuma domestica),6,99.8±16.0,3.56±1.60,,,,,55.20±1.77,427±85.8
H001,Almond (Prunus amygdalus),6,5.93±1.89,1.79±0.12,,,,,,11.31±1.57
H002,"Arecanut, dried, brown (Areca catechu)",6,21.3±6.13,3.83±2.00,,,,,,41.96±3.23
H003,"Arecanut, dried, red color (Areca catechu)",3,27.5±7.24,3.12±1.66,,,,,,63.72±3.91
H004,"Arecanut, fresh (Areca catechu)",2,31.65,6.23,,,,,,47.78
H005,Cashew nut (Anacardium occidentale),6,5.87±1.91,3.21±1.77,,,,,,16.94±3.30
H006,"Coconut, kernal, dry (Cocos nucifera)",6,62.5±9.59,3.12±1.03,,,,,,176±9.4
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,122±15.4,4.84±1.66,,,,,2.66±0.28,204±11.3
H008,"Garden cress, seeds (Lepidium sativum)",5,22.5±7.41,33.93±10.2,,,,,,559±34.6
H009,"Gingelly seeds, black (Sesamum indicum)",6,22.9±11.0,2.67±1.21,,,,,13.09±2.67,60.78±13.60
H010,"Gingelly seeds, brown (Sesamum indicum)",4,17.0±4.46,2.40±0.61,,,,,5.41±0.57,86.72±3.90
H011,"Gingelly seeds, white (Sesamum indicum)",5,19.7±5.45,1.88±0.33,,,,,12.94±1.55,57.06±19.48
H012,Ground nut (Arachis hypogea),6,4.42±1.04,8.07±2.32,,,,,22.75±2.13,82.80±6.06
H013,Mustard seeds (Brassica juncea),6,192±16.3,6.54±2.42,,,,,36.72±7.07,675±77.0
H014,Linseeds (Linum usitatissimum),6,5.67±0.81,7.22±0.70,,,,,1.05±0.03,92±22.8
H015,"Niger seeds, black (Guizotia abyssinica)",4,22.1±4.41,9.61±1.59,,,,,2.15±0.81,295±39.1
H016,"Niger seeds, gray (Guizotia abyssinica)",5,6.00±0.54,2.38±1.13,,2.73±0.91,,,8.49±0.83,187±21.6
H017,Pine seed (Pinus gerardiana),5,97.0±17.4,11.55±1.53,,,,,1.98±0.52,297±40.4
H018,Pistachio nuts (Pistacla vera),6,171±6.8,,,,,,110±10.4,519±31.3
H019,Safflower seeds (Carthamus tinctorius),5,27.6±7.88,11.04±2.45,,,,,2.07±0.58,142±13.8
H020,Sunflower seeds (Helianthus annuus),5,20.0±2.52,2.48±0.71,,,,,8.15±1.18,249±12.0
H021,Walnut (Juglans regia),6,21.7±10.05,2.30±0.82,,4.94±0.79,,,9.53±0.91,122±5.8
I001,"Jaggery, cane (Saccharum officinarum)",6,5.90±1.83,,,,,,,18.49±2.26
I002,"Sugarcane, juice (Saccharum officinarum)",6,8.36±2.40,,,,,,7.87±0.37,41.23±4.16
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,,,,,,,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,,,,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,,,,,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,,,,,,
K001 ,Toddy ,10,,,,,,,,
K002,Coconut Water,6,4.53±2.12,,,,,,,46.12±7.32
L001 ,"Milk, whole, Buffalo ",6,8.78±2.21 ,,,,,,8.42±0.40 ,80.87±1.41
L002,"Milk, whole, Cow",6,9.62±1.51,5.01±1.15,,,,,13.67±3.79,200±55.9
L003,Paneer,6,7.58±0.97,,,,,,4.39±1.44,194±1.7
L004,Khoa,6,2.70±0.69,,,,,,3.52±1.16,190±8.0
M001,"Egg, poultry, whole, raw",6,17.61±2.89,37.23±7.16,,0.97±0.44,,,13.60±2.04,135±2.6
M002,"Egg, poultry, white, raw",6,,,,,,,,
M003,"Egg, poultry, yolk, raw",6,27.29±1.29,56.60±15.23,,2.09±0.78,,,88.87±0.94,241±6.7
M004,"Egg, poultry, whole, boiled",6,14.69±3.40,26.29±11.09,,1.07±0.53,,,13.19±0.49,136±7.3
M005,"Egg, poultry, white, boiled",6,,,,,,,,5.30±0.31
M006,"Egg, poultry, yolk, boiled",6,19.36±3.98,54.75±12.66,,1.69±0.77,,,68.59±2.93,218±9.8
M007,"Egg, poultry, omlet",3,14.47±0.35,19.03±0.96,,0.75±0.10,,,11.36±0.84,111±1.0
M008,"Egg, country hen, whole, raw",1,26.86,47.26,,1.56,,,18.55,191
M009,"Egg, country hen, whole, boiled",1,23.61,37.85,,1.06,,,17.45,166
M010,"Egg, country hen, omlet",1,20.55,30.85,,0.95,,,14.75,161
M011,"Egg, duck, whole, boiled",1,22.21,10.16,,9.25,,,34.59,228
M012,"Egg, duck, whole, raw",1,29.5,17.96,,11.08,,,35.66,249
M013,"Egg, duck, whole, omlet",1,20.05,9.55,,8.98,,,30.08,213
M014,"Egg, quial, whole, raw",1,14.83,28.48,,3.57,,,12.96,242
M015,"Egg, quial, whole, boiled",1,12.55,14.75,,1.86,,,10.55,230
