code,name,regn,thia,ribf,nia,pantac,vitb6c,biot,folsum,vitc
A017,Varagu (Setaria italica),5,0.29±0.054,0.20±0.018,1.49±0.08,0.63±0.07,0.07±0.017,1.49±0.18,39.49±4.52,
A018,"Wheat flour, refined (Triticum aestivum)",6,0.15±0.017,0.06±0.008,0.77±0.07,0.72±0.08,0.08±0.008,0.58±0.09,16.25±2.62,
A019,"Wheat flour, atta (Triticum aestivum)",6,0.42±0.044,0.15±0.010,2.37±0.10,0.87±0.04,0.25±0.032,0.76±0.12,29.22±1.92,
A020,"Wheat, whole (Triticum aestivum)",6,0.46±0.067,0.15±0.041,2.68±0.19,1.08±0.21,0.26±0.036,1.03±0.58,30.09±3.79,
A021,"Wheat, bulgur (Triticum aestivum)",6,0.24±0.027,0.12±0.004,2.05±0.05,0.84±0.03,0.24±0.011,2.50±0.35,26.30±3.61,
A022,"Wheat, semolina (Triticum aestivum)",6,0.29±0.025,0.04±0.004,1.13±0.10,0.75±0.08,0.11±0.010,0.44±0.04,25.68±3.64,
A023,"Wheat, vermicelli (Triticum aestivum)",6,0.13±0.011,0.01±0.003,0.86±0.02,0.52±0.05,0.03±0.004,2.00±0.19,14.35±2.38,
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,0.12±0.012,0.01±0.002,0.67±0.05,0.49±0.05,0.03±0.001,1.34±0.18,13.21±2.15,
B001,"Bengal gram, dal (Cicer arietinum)",6,0.35±0.029,0.15±0.003,1.87±0.06,1.60±0.24,0.19±0.008,0.81±0.09,182±4.5,
B002,"Bengal gram, whole (Cicer arietinum)",6,0.37±0.040,0.24±0.011,2.10±0.06,2.38±0.26,0.36±0.025,0.93±0.07,233±12.9,
B003,"Black gram, dal (Phaseolus mungo)",6,0.21±0.005,0.09±0.003,1.76±0.09,2.95±0.26,0.22±0.029,0.81±0.13,88.75±2.35,
B004,"Black gram, whole (Phaseolus mungo)",6,0.32±0.024,0.11±0.008,1.85±0.13,3.98±0.70,0.53±0.039,1.28±0.18,134±14.2,
B005,"Cowpea, brown (Vigna catjang)",6,0.33±0.087,0.09±0.009,1.64±0.03,1.47±0.31,0.30±0.033,3.97±0.12,231±27.3,
B006,"Cowpea, white (Vigna catjang)",1,0.34,0.09,1.51,1.66,0.26,4.28,249,
B007,"Field bean, black (Phaseolus vulgaris)",1,0.35,0.07,1.88,0.85,0.35,0.66,291,
B008,"Field bean, brown (Phaseolus vulgaris)",1,0.32,0.07,2.04,0.97,0.37,0.76,292,
B009,"Field bean, white (Phaseolus vulgaris)",5,0.37±0.082,0.07±0.009,1.96±0.09,0.92±0.19,0.38±0.017,0.68±0.11,289±27.0,
B010,"Green gram, dal (Phaseolus aureus)",6,0.35±0.071,0.12±0.016,1.84±0.23,1.68±0.17,0.19±0.011,0.65±0.06,92.11±5.11,
B011,"Green gram, whole (Phaseolus aureus)",6,0.45±0.027,0.27±0.011,2.16±0.13,2.02±0.24,0.35±0.034,1.35±0.16,145±5.4,
B012,"Horse gram, whole (Dolicus biflorus)",6,0.32±0.002,0.24±0.033,1.82±0.26,1.58±0.06,0.21±0.017,0.59±0.07,163±5.3,
B013,Lentil dal (Lens culinaris),6,0.34±0.034,0.16±0.005,1.81±0.02,1.32±0.03,0.18±0.022,1.25±0.20,49.99±4.91,
B014,"Lentil whole, brown (Lens culinaris)",6,0.40±0.073,0.22±0.026,2.54±0.12,1.84±0.22,0.46±0.022,1.74±0.16,132±6.7,
B015,"Lentil whole, yellowish (Lens culinaris)",2,0.42,0.22,2.56,1.68,0.47,1.63,121,
B016,Moth bean (Vigna aconitifolia),6,0.45±0.070,0.09±0.005,1.87±0.08,1.41±0.06,0.16±0.009,2.12±0.21,349±10.8,
B017,"Peas, dry (Pisum sativum)",6,0.56±0.049,0.16±0.013,2.69±0.15,1.26±0.03,0.26±0.045,0.53±0.12,110±9.3,
B018,"Rajmah, black (Phaseolus vulgaris)",2,0.21,0.19,2.61,1.91,0.23,0.63,332,
B019,"Rajmah, brown (Phaseolus vulgaris)",6,0.26±0.035,0.21±0.005,2.37±0.12,2.06±0.05,0.21±0.016,0.77±0.13,330±29.6,
B020,"Rajmah, red (Phaseolus vulgaris)",3,0.30±0.020,0.19±0.018,2.42±0.15,1.82±0.10,0.21±0.033,0.77±0.18,316±20.1,
B021,"Red gram, dal (Cajanus cajan)",6,0.45±0.046,0.11±0.006,2.09±0.14,1.27±0.08,0.24±0.026,0.31±0.04,108±8.7,
B022,"Red gram, whole (Cajanus cajan)",6,0.74±0.028,0.15±0.015,2.42±0.18,1.56±0.13,0.42±0.033,0.65±0.04,229±19.0,
B023,Ricebean (Vigna umbellata ),1,0.46,0.14,2.32,0.98,0.13,2.65,122,1.11
B024,"Soya bean, brown (Glycine max)",6,0.59±0.069,0.24±0.002,2.12±0.14,1.97±0.25,0.43±0.012,0.73±0.09,297±26.1,
B025,"Soya bean, white (Glycine max)",1,0.61,0.23,2.28,1.97,0.45,0.77,288,
C001,Agathi leaves (Sesbania grandiflora),1,0.26,0.33,1.18,0.53,0.22,7.75,120,121
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,0.01±0.000,0.19±0.028,0.71±0.06,0.41±0.09,0.21±0.010,2.46±0.25,70.33±8.10,83.54±10.54
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,0.010,0.269,0.62,0.37,0.22,2.95,81.95,86.20
C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,0.01±0.000,0.22±0.030,0.69±0.04,0.37±0.03,0.19±0.015,2.41±0.24,69.08±6.27,77.24±7.57
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,0.01±0.000,0.13±0.011,0.63±0.02,0.33±0.02,0.22±0.051,3.07±0.09,41.44±3.48,82.56±8.24
C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,0.01,0.15,0.72,0.31,0.20,2.91,44.23,77.30
C007,Basella leaves (Basella alba),2,0.06,0.15,0.46,0.48,0.18,1.07,90.31,63.35
C008,Bathua leaves (Chenopodium album),2,0.06,0.51,0.54,0.41,0.17,1.25,42.55,41.03
C009,Beet greens (Beta vulgaris),6,0.02±0.01,0.17±0.05,0.43±0.08,0.29±0.07,0.13±0.03,4.66±0.66,11.52±1.39,35.83±5.51
C010,"Betel leaves, big (kolkata) (Piper betle)",6,0.03±0.012,0.08±0.012,0.45±0.05,0.51±0.09,0.04±0.007,2.18±0.25,15.96±2.25,18.40±2.49
C011,"Betel leaves, small (Piper betle)",4,0.02±0.010,0.07±0.009,0.47±0.07,0.47±0.04,0.04±0.005,1.28±0.15,16.56±2.67,24.51±8.66
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,0.06,0.16,0.50,0.47,0.19,2.45,85.01,89.45
C013,"Cabbage, Chinese (Brassica rupa)",1,0.01,0.05,0.38,0.58,0.19,1.08,54.51,19.32
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0.03,0.05,0.26,0.49,0.24,1.38,63.46,40.76
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0.03±0.005,0.05±0.001,0.24±0.02,0.24±0.01,0.13±0.016,1.41±0.14,46.36±4.48,33.25±4.21
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0.04,0.05,0.27,0.25,0.17,1.43,34.81,43.49
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,0.05±0.010,0.05±0.011,0.21±0.01,0.34±0.02,0.23±0.016,1.38±0.03,42.99±3.13,52.84±0.94
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,0.08±0.013,0.07±0.015,0.80±0.07,0.27±0.07,0.29±0.031,12.10±1.25,159±18.5,40.71±7.47
C019,Drumstick leaves (Moringa oleifera),3,0.06±0.006,0.45±0.042,0.82±0.09,0.39±0.04,0.87±0.074,2.26±0.09,42.89±5.31,108±16.7
C020,Fenugreek leaves (Trigonella foenum graecum),5,0.11±0.015,0.22±0.023,0.70±0.05,0.49±0.03,0.38±0.106,4.82±0.62,75.26±9.18,58.25±17.08
C021,Garden cress (Lepidium sativum),2,0.03,0.06,1.20,0.22,0.20,12.01,58.10,42.75
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,0.13±0.006,0.06±0.009,0.58±0.04,0.70±0.04,0.33±0.012,3.38±0.20,74.94±12.55,29.65±9.71
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,0.12,0.05,0.56,0.71,0.31,3.43,88.63,35.43
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0.06,0.15,0.86,0.27,0.28,13.57,41.55,71.11
C025,Lettuce (Lactuca sativa),3,0.05±0.013,0.09±0.008,0.17±0.02,0.11±0.01,0.08±0.016,2.15±0.09,30.69±6.48,11.91±3.07
C026,Mustard leaves (Brassica juncea),3,0.08±0.011,0.18±0.015,0.58±0.07,0.26±0.01,0.16±0.007,1.70±0.21,110±6.6,60.32±1.32
C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,0.02,0.22,0.66,0.31,0.96,10.25,98.50,55.60
C028,Parsley (Petroselinum crispum),3,0.19±0.022,0.10±0.005,0.36±0.01,0.20±0.03,0.19±0.011,13.47±1.03,197±13.9,133±16.3
C029,Ponnaganni (Alternanthera sessilis),2,0.02,0.10,0.32,0.21,0.19,11.18,48.42,103
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,0.07±0.010,0.13±0.025,1.49±0.09,0.36±0.01,0.17±0.022,3.40±0.29,33.82±4.70,12.33±0.17
C031,Radish leaves (Raphanus sativus),6,0.06±0.005,0.13±0.024,0.47±0.06,0.14±0.01,0.16±0.032,4.39±0.12,53.14±5.32,65.76±18.69
C032,Rumex leaves (Rumex patientia),2,0.03,0.14,0.33,0.25,0.09,1.30,41.01,53.76
C033,Spinach (Spinacia oleracea),6,0.16±0.016,0.10±0.009,0.33±0.03,0.22±0.03,0.15±0.011,4.14±0.27,142±10.3,30.28±4.71
C034,"Tamarind leaves, tender (Tamarindus indica)",3,0.12±0.020,0.03±0.007,0.79±0.02,0.30±0.04,0.14±0.010,3.29±0.60,91.82±9.56,28.22±8.82
D001,Ash gourd (Benincasa hispida),6,0.03±0.003,0.01±0.001,0.12±0.02,0.37±0.03,0.18±0.058,2.01±0.15,14.11±1.85,11.41±1.31
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,0.06,0.06,0.25,0.22,0.13,5.93,17.05,15.74
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0.13±0.016,0.12±0.016,0.52±0.08,0.42±0.03,0.31±0.021,12.26±1.53,45.26±0.73,6.61±1.00
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,0.05±0.005,0.04±0.009,0.27±0.03,0.33±0.09,0.05±0.009,5.76±0.52,60.28±7.22,46.53±2.81
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,0.06±0.008,0.04±0.005,0.29±0.03,0.36±0.01,0.04±0.004,5.55±1.17,51.45±6.97,50.87±3.03
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,0.06,0.04,0.30,0.28,0.05,6.85,60.03,54.30
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,0.03±0.003,0.01±0.001,0.14±0.01,0.56±0.09,0.02±0.005,2.55±0.29,41.99±3.56,4.33±1.55
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,0.03±0.004,0.01±0.001,0.14±0.01,0.50±0.06,0.02±0.006,2.33±0.14,49.59±3.82,4.54±1.78
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,0.03,0.01,0.14,0.59,0.01,2.54,46.31,3.80
D010,Brinjal-1 (Solanum melongena),1,0.07,0.13,0.74,0.29,0.05,1.17,37.22,1.58
D011,Brinjal-2 (Solanum melongena),1,0.09,0.11,0.56,0.27,0.05,1.83,27.22,1.03
D012,Brinjal-3 (Solanum melongena),2,0.050,0.109,0.60,0.29,0.07,1.32,32.29,2.34
D013,Brinjal-4 (Solanum melongena),4,0.06±0.019,0.11±0.003,0.52±0.07,0.42±0.10,0.07±0.013,1.70±0.62,36.67±7.69,2.22±0.57
D014,Brinjal-5 (Solanum melongena),3,0.07±0.023,0.11±0.002,0.49±0.05,0.29±0.04,0.08±0.012,1.42±0.49,32.21±4.79,3.15±0.88
D015,Brinjal-6 (Solanum melongena),2,0.05,0.11,0.51,0.30,0.07,1.65,34.21,1.49
D016,Brinjal-7 (Solanum melongena),1,0.05,0.12,0.44,0.33,0.07,1.32,26.58,1.08
D017,Brinjal-8 (Solanum melongena),3,0.07±0.004,0.11±0.015,0.65±0.01,0.39±0.09,0.07±0.02,1.55±0.32,33.89±6.18,1.89±0.83
D018,Brinjal-9 (Solanum melongena),2,0.06,0.11,0.56,0.30,0.09,2.30,35.89,1.72
D019,Brinjal-10 (Solanum melongena),2,0.06,0.10,0.50,0.29,0.08,1.27,37.11,2.40
D020,Brinjal-11 (Solanum melongena),6,0.06±0.016,0.11±0.014,0.53±0.09,0.29±0.04,0.08±0.017,1.68±0.51,34.24±4.37,2.24±0.65
D021,Brinjal-12 (Solanum melongena),2,0.04,0.10,0.46,0.35,0.06,1.11,27.83,2.55
D022,Brinjal-13 (Solanum melongena),1,0.04,0.12,0.54,0.34,0.09,2.29,30.99,1.49
D023,Brinjal-14 (Solanum melongena),3,0.06±0.012,0.10±0.017,0.46±0.01,0.28±0.03,0.07±0.016,1.36±0.14,38.99±0.97,1.83±0.96
D024,Brinjal-15 (Solanum melongena),4,0.07±0.017,0.11±0.008,0.51±0.02,0.32±0.07,0.07±0.027,1.91±0.63,32.48±9.70,2.01±0.78
D025,Brinjal-16 (Solanum melongena),1,0.04,0.11,0.44,0.29,0.10,2.14,30.87,1.53
D026,Brinjal-17 (Solanum melongena),1,0.08,0.09,0.53,0.34,0.10,3.57,27.70,1.95
D027,Brinjal-18 (Solanum melongena),3,0.04±0.012,0.10±0.010,0.57±0.05,0.30±0.04,0.07±0.025,2.16±0.36,38.27±3.60,1.97±1.44
D028,Brinjal-19 (Solanum melongena),3,0.04±0.007,0.10±0.012,0.53±0.08,0.26±0.08,0.09±0.023,2.54±0.64,34.32±5.55,2.53±1.07
D029,Brinjal-20 (Solanum melongena),5,0.06±0.015,0.10±0.014,0.55±0.09,0.29±0.04,0.07±0.012,1.77±0.44,33.44±4.68,2.21±0.86
D030,Brinjal-21 (Solanum melongena),2,0.05,0.11,0.53,0.32,0.08,1.93,32.60,1.38
D031,Brinjal - all varieties (Solanum melongena),6,0.06±0.016,0.11±0.011,0.53±0.08,0.31±0.06,0.07±0.016,1.76±0.58,33.93±5.33,2.09±0.85
D032,Broad beans (Vicia faba),3,0.12±0.01,0.10±0.03,0.76±0.00,0.45±0.03,0.23±0.01,10.03±0.75,20.46±0.04,10.98±0.97
D033,"Capsicum, green (Capsicum annuum)",6,0.05±0.007,0.03±0.011,0.56±0.05,0.21±0.03,0.15±0.011,4.59±0.46,51.85±3.38,123±7.8
D034,"Capsicum, red (Capsicum annuum)",4,0.10±0.042,0.03±0.014,0.66±0.21,0.25±0.03,0.24±0.007,5.47±0.98,62.54±2.15,112±5.5
D035,"Capsicum, yellow (Capsicum annuum)",4,0.14±0.012,0.02±0.009,0.59±0.20,0.21±0.02,0.25±0.040,6.33±0.85,66.15±2.56,127±12.5
D036,Cauliflower (Brassica oleracea),6,0.04±0.003,0.07±0.007,0.31±0.02,0.62±0.09,0.13±0.020,2.47±0.29,45.95±2.95,47.14±7.47
D037,Celery stalk (Apium graveolens),3,0.03±0.007,0.04±0.008,0.48±0.05,0.42±0.02,0.06±0.010,2.09±0.08,22.48±1.33,12.30±2.89
D038,Cho-cho-marrow (Sechium edule),4,0.01±0.000,0.03±0.003,0.23±0.02,0.21±0.01,0.07±0.015,1.06±0.03,63.03±9.04,20.21±5.48
D039,Cluster beans (Cyamopsis tetragonobola),6,0.05±0.006,0.03±0.005,0.71±0.05,0.35±0.03,0.12±0.008,5.35±0.70,41.24±4.35,17.96±5.83
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,0.02,0.04,0.16,0.47,0.06,3.80,30.88,5.15
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,0.02±0.004,0.03±0.013,0.22±0.03,0.50±0.12,0.07±0.007,3.46±0.37,25.32±3.00,5.83±1.28
D042,"Corn, Baby (Zea mays)",6,0.15±0.054,0.07±0.032,0.53±0.07,0.94±0.16,0.16±0.046,0.79±0.08,45.53±11.69,8.59±1.48
D043,"Cucumber, green, elongate (Cucumis sativus)",6,0.02±0.003,0.01±0.000,0.35±0.04,0.45±0.04,0.06±0.013,2.82±0.47,16.84±3.17,6.11±1.49
D044,"Cucumber, green, short (Cucumis sativus)",6,0.02±0.005,0.01±0.000,0.35±0.04,0.32±0.06,0.07±0.008,2.97±0.73,14.67±1.24,6.21±2.14
D045,"Cucumber, orange, round (Cucumis sativus)",2,0.02,0.01,0.36,0.34,0.04,3.13,18.77,6.24
D046,Drumstick (Moringa oleifera),6,0.04±0.002,0.07±0.007,0.62±0.03,0.57±0.07,0.12±0.011,4.29±0.43,62.75±6.71,71.86±19.13
D047,"Field beans, tender, broad (Vicia faba)",2,0.07,0.07,0.32,0.41,0.42,4.11,123,5.99
D048,"Field beans, tender, lean (Vicia faba)",6,0.08±0.006,0.07±0.007,0.33±0.02,0.35±0.03,0.38±0.069,4.11±0.36,127±28.9,3.84±1.24
D049,"French beans, country (Phaseolus vulgaris)",5,0.04±0.005,0.06±0.004,0.83±0.03,0.28±0.01,0.37±0.053,4.71±0.25,47.45±8.98,15.81±4.23
D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.05,0.05,0.77,0.27,0.44,5.93,61.98,1.38
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,0.05±0.014,0.05±0.010,0.19±0.02,0.37±0.02,0.04±0.005,4.37±0.14,35.73±5.62,17.51±6.00
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0.06±0.010,0.03±0.008,0.19±0.02,0.36±0.01,0.08±0.005,4.10±0.31,54.58±12.31,9.68±6.44
D053,Knol - Khol (Brassica oleracea),6,0.04±0.012,0.06±0.014,0.37±0.02,0.38±0.03,0.19±0.033,2.46±0.11,14.76±1.64,64.70±10.78
D054,"Kovai, big (Coccinia cordifolia)",6,0.04±0.004,0.02±0.002,0.55±0.03,0.27±0.03,0.08±0.012,2.96±0.33,48.68±5.10,17.62±7.24
D055,"Kovai, small (Coccinia cordifolia)",1,0.04,0.02,0.51,0.28,0.05,2.87,50.13,21.08
D056,Ladies finger (Abelmoschus esculentus),6,0.04±0.005,0.07±0.009,0.61±0.01,0.28±0.04,0.27±0.027,1.58±0.33,63.68±10.76,22.51±1.60
D057,"Mango, green, raw (Mangifera indica)",6,0.02±0.003,0.02±0.001,0.26±0.02,0.13±0.02,0.13±0.013,1.41±0.16,25.86±7.38,90.24±10.47
D058,"Onion, stalk (Allium cepa)",6,0.03±0.020,0.05±0.014,0.14±0.02,0.19±0.05,0.17±0.052,6.99±2.48,57.61±11.87,27.23±4.22
D059,"Papaya, raw (Carica papaya)",6,0.02±0.004,0.03±0.007,0.12±0.01,0.24±0.04,0.03±0.008,1.24±0.20,29.79±2.21,20.73±2.35
D060,Parwar (Trichosanthes dioica),6,0.05±0.007,0.05±0.011,0.67±0.04,0.25±0.05,0.20±0.019,9.86±0.74,19.96±1.76,19.24±6.61
D061,"Peas, fresh (Pisum sativum)",6,0.27±0.027,0.03±0.004,1.28±0.03,0.68±0.13,0.19±0.020,4.04±0.33,54.77±12.01,38.40±6.42
D062,"Plantain, flower (Musa x paradisiaca)",6,0.02±0.005,0.02±0.005,0.28±0.03,0.35±0.07,0.13±0.009,2.44±0.25,49.27±7.30,6.49±1.15
D063,"Plantain, green (Musa x paradisiaca)",6,0.01±0.001,0.05±0.005,0.33±0.04,0.26±0.02,0.10±0.006,0.60±0.05,18.96±1.29,23.28±2.40
D064,"Plantain, stem (Musa x paradisiaca)",6,0.02±0.003,0.02±0.004,0.18±0.02,0.24±0.09,0.14±0.01,4.42±0.41,12.85±2.18,3.77±2.74
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.03,0.02,0.44,0.16,0.05,1.41,31.60,7.29
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.03±0.005,0.03±0.003,0.41±0.01,0.18±0.01,0.08±0.015,1.63±0.26,24.14±3.70,8.04±0.87
D067,"Red gram, tender, fresh (Cajanus cajan)",1,0.23,0.09,2.14,0.71,0.30,2.91,94.21,15.13
D068,Ridge gourd (Luffa acutangula),6,0.02±0.003,0.01±0.002,0.20±0.01,0.28±0.04,0.07±0.005,2.27±0.18,29.26±3.12,5.42±1.06
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.02±0.004,0.01±0.001,0.21±0.01,0.25±0.02,0.09±0.007,2.22±0.29,27.36±2.98,8.10±2.67
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.03±0.003,0.03±0.002,0.34±0.02,0.27±0.03,0.10±0.017,2.50±0.30,18.34±1.87,2.72±1.15
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.03,0.03,0.33,0.27,0.07,2.43,16.52,2.85
D072,"Snake gourd, short (Trichosanthes anguina)",1,0.03,0.02,0.33,0.31,0.06,2.50,17.74,2.30
D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.02±0.000,0.03±0.005,0.56±0.02,0.39±0.03,0.06±0.008,3.26±0.72,43.23±5.74,14.20±0.88
D074,"Tomato, green (Lycopersicon esculentum)",6,0.08±0.043,0.05±0.043,0.46±0.16,0.30±0.12,0.07±0.024,4.74±1.99,12.51±4.01,16.41±2.52
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,0.04±0.004,0.02±0.007,0.51±0.02,0.18±0.01,0.08±0.006,1.09±0.10,15.41±2.70,25.27±3.52
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,0.03±0.004,0.03±0.004,0.52±0.01,0.20±0.03,0.09±0.005,1.18±0.11,19.46±2.99,27.47±1.77
D077,"Zucchini, green (Cucurbita pepo)",2,0.05,0.09,1.03,0.99,0.25,1.02,18.85,15.78
D078,"Zucchini, yellow (Cucurbita pepo)",2,0.03,0.02,0.42,0.72,0.20,1.13,21.50,16.71
E001,"Apple, big (Malus domestica)",6,0.03±0.017,0.01±0.011,0.25±0.07,0.09±0.04,0.04±0.027,0.34±0.08,3.04±0.94,3.57±0.58
E002,"Apple, green (Malus domestica)",6,0.01±0.023,0.02±0.016,0.21±0.06,0.12±0.04,0.08±0.016,0.41±0.09,3.43±0.68,2.90±0.32
E003,"Apple, small (Malus domestica)",6,0.01±0.001,0.01±0.000,0.09±0.01,0.09±0.01,0.03±0.004,0.47±0.06,3.52±0.37,4.00±0.72
E004,"Apple, small, Kashmir (Malus domestica)",1,0.01,0.01,0.09,0.12,0.04,0.44,3.97,4.24
E005,"Apricot, dried (Prunus armeniaca)",6,0.04±0.011,0.04±0.006,1.66±0.12,0.62±0.13,0.10±0.005,1.47±0.21,10.50±1.59,0.42±0.14
E006,"Apricot, processed (Prunus armeniaca)",3,0.25±0.011,0.04±0.007,1.07±0.07,0.25±0.02,0.17±0.011,1.55±0.27,5.42±0.98,7.98±1.75
E007,Avocado fruit (Persea americana),1,0.07,0.08,0.90,1.26,0.18,1.25,67.17,9.36
E008,Bael fruit (Aegle marmelos),1,0.03,0.04,0.25,1.62,0.03,1.14,55.22,7.50
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0.01,0.04,0.48,0.35,0.51,1.54,17.93,8.06
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0.01,0.03,0.43,0.40,0.50,1.79,19.95,6.74
E011,"Banana, ripe, red (Musa x paradisiaca)",1,0.01,0.02,0.46,0.41,0.45,1.35,18.92,6.74
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0.01±0.000,0.03±0.005,0.47±0.04,0.36±0.03,0.44±0.045,1.69±0.07,16.81±1.95,4.76±1.34
E013,Black berry (Rubus fruticosus),5,0.01±0.002,0.02±0.005,0.40±0.09,0.21±0.12,0.05±0.011,1.65±0.19,22.95±1.38,19.45±1.54
E014,"Cherries, red (Prunus cerasus)",4,0.07±0.006,0.02±0.004,0.19±0.01,0.23±0.03,0.04±0.005,1.52±0.25,4.92±1.30,8.82±0.57
E015,"Currants, black (Ribes nigrum)",1,0.03,0.03,0.35,0.28,0.09,2.41,8.48,182
E016,Custard apple (Annona squamosa),1,0.13,0.09,0.69,0.19,0.07,0.76,7.60,21.51
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0.03±0.012,0.03±0.008,1.47±0.07,0.51±0.07,0.14±0.009,0.82±0.11,18.65±1.39,4.42±0.54
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0.02,0.03,1.09,0.53,0.153,0.94,12.80,3.84
E019,"Dates, processed (Phoenix dactylifera)",2,0.05,0.02,0.51,0.52,0.06,2.50,24.53,15.51
E020,Fig (Ficus carica),6,0.04±0.020,0.02±0.008,0.27±0.08,0.26±0.08,0.15±0.016,2.64±1.09,13.67±3.81,16.92±4.26
