code,name,regn,water,protcnt,ash,fatce,fibtg,fibins,fibsol,choavldf,enerc
A021,"Wheat, bulgur (Triticum aestivum)",6,8.61±0.32,10.84±0.75,1.23±0.06,1.45±0.02,8.81±0.45,6.56±0.20,2.25±0.38,69.06±0.74,1430±6
A022,"Wheat, semolina (Triticum aestivum)",6,8.94±0.68,11.38±0.37,0.80±0.17,0.74±0.10,9.72±0.74,8.16±0.58,1.55±0.18,68.43±0.99,1396±18
A023,"Wheat, vermicelli (Triticum aestivum)",6,9.59±0.37,9.70±0.52,0.60±0.04,0.45±0.03,9.28±0.69,7.53±0.51,1.75±0.24,70.39±0.61,1392±8
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",6,7.61±0.47,10.37±0.70,0.56±0.04,0.49±0.05,9.55±0.40,7.79±0.29,1.76±0.18,71.42±0.71,1423±13
B001,"Bengal gram, dal (Cicer arietinum)",6,9.18±0.58,21.55±1.45,2.10±0.10,5.31±0.06,15.15±0.17,12.67±0.22,2.48±0.15,46.72±1.29,1377±10
B002,"Bengal gram, whole (Cicer arietinum)",6,8.56±0.37,18.77±0.42,2.78±0.13,5.11±0.11,25.22±0.39,22.70±0.60,2.52±0.87,39.56±0.16,1201±9
B003,"Black gram, dal (Phaseolus mungo)",6,9.16±0.35,23.06±0.59,3.17±0.02,1.69±0.12,11.93±0.26,7.58±0.13,4.35±0.15,51.00±0.80,1356±9
B004,"Black gram, whole (Phaseolus mungo)",6,8.70±0.33,21.97±0.63,3.35±0.03,1.58±0.06,20.41±0.06,15.47±0.05,4.94±0.07,43.99±0.76,1219±5
B005,"Cowpea, brown (Vigna catjang)",6,9.42±0.39,20.36±0.59,2.90±0.11,1.15±0.06,11.54±0.13,8.75±0.09,2.80±0.05,54.62±0.49,1340±7
B006,"Cowpea, white (Vigna catjang)",1,9.32,21.25,2.83,1.14,11.70,8.91,2.79,53.77,1340
B007,"Field bean, black (Phaseolus vulgaris)",1,9.57,19.93,2.73,0.92,23.40,17.99,5.41,43.46,1155
B008,"Field bean, brown (Phaseolus vulgaris)",1,8.74,19.90,2.74,0.98,22.40,17.32,5.08,45.24,1184
B009,"Field bean, white (Phaseolus vulgaris)",5,8.61±0.36,19.84±1.04,3.09±0.15,0.94±0.02,22.99±0.83,17.45±2.27,5.54±2.28,44.53±1.42,1173±24
B010,"Green gram, dal (Phaseolus aureus)",6,9.77±0.67,23.88±0.61,3.04±0.03,1.35±0.20,9.37±0.38,7.75±0.39,1.62±0.19,52.59±0.45,1363±10
B011,"Green gram, whole (Phaseolus aureus)",6,9.95±0.42,22.53±0.43,3.22±0.04,1.14±0.17,17.04±0.38,14.59±0.42,2.44±0.15,46.13±0.64,1229±10
B012,"Horse gram, whole (Dolicus biflorus)",6,9.28±0.57,21.73±0.29,3.24±0.11,0.62±0.04,7.88±0.02,6.22±0.03,1.66±0.03,57.24±0.50,1379±9
B013,Lentil dal (Lens culinaris),6,9.71±0.48,24.35±1.10,2.23±0.13,0.75±0.04,10.43±0.39,8.60±0.42,1.83±0.23,52.53±1.05,1349±11
B014,"Lentil whole, brown (Lens culinaris)",6,9.20±0.77,22.49±0.58,2.39±0.35,0.64±0.02,16.82±1.30,14.16±1.33,2.66±0.42,48.47±1.12,1251±23
B015,"Lentil whole, yellowish (Lens culinaris)",2,9.75,22.87,2.20,0.61,16.66,14.15,2.51,47.91,1246
B016,Moth bean (Vigna aconitifolia),6,8.14±0.49,19.75±0.38,3.14±0.18,1.76±0.09,15.12±0.49,14.50±0.44,0.62±0.10,52.09±0.96,1291±16
B017,"Peas, dry (Pisum sativum)",6,9.33±0.61,20.43±0.79,2.41±0.09,1.89±0.08,17.01±0.63,14.55±0.73,2.47±0.17,48.93±0.45,1269±13
B018,"Rajmah, black (Phaseolus vulgaris)",2,8.69,19.01,3.35,1.62,17.74,15.16,2.58,49.59,1247
B019,"Rajmah, brown (Phaseolus vulgaris)",6,9.68±0.79,19.50±0.84,3.36±0.19,1.68±0.07,16.95±0.27,14.33±0.19,2.62±0.16,48.83±0.59,1245±12
B020,"Rajmah, red (Phaseolus vulgaris)",3,9.87±0.30,19.91±1.44,3.28±0.21,1.77±0.04,16.57±0.63,13.86±0.43,2.70±0.20,48.61±0.65,1252±14
B021,"Red gram, dal (Cajanus cajan)",6,9.20±0.61,21.70±0.50,3.26±0.03,1.56±0.03,9.06±0.30,6.67±0.23,2.39±0.15,55.23±0.83,1384±10
B022,"Red gram, whole (Cajanus cajan)",6,9.30±0.45,20.47±0.72,3.53±0.03,1.38±0.08,22.84±0.43,19.69±0.30,3.15±0.34,42.48±0.77,1146±10
B023,Ricebean (Vigna umbellata ),1,11.12,19.97,3.54,0.74,13.37,10.04,3.33,51.26,1265
B024,"Soya bean, brown (Glycine max)",6,5.51±0.13,35.58±0.66,4.74±0.31,19.82±0.26,21.55±0.66,16.56±0.30,5.00±0.52,12.79±0.97,1596±11
B025,"Soya bean, white (Glycine max)",1,5.47,37.80,4.52,19.42,22.63,17.04,5.59,10.16,1579
C001,Agathi leaves (Sesbania grandiflora),1,74.43,8.01,2.42,1.35,8.60,6.00,2.60,5.21,295
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,86.85±1.21,3.29±0.57,2.52±0.32,0.65±0.07,4.41±0.10,3.21±0.08,1.20±0.09,2.28±0.62,128±17
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,85.56,3.93,2.61,0.63,4.91,3.72,1.19,2.37,140
C004,"Amaranth leaves, red and green mix (Amaranthus gangeticus)",4,86.37±0.38,3.09±0.14,2.55±0.20,0.53±0.03,4.60±0.36,3.23±0.18,1.37±0.23,2.87±0.35,132±6
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,86.46±0.48,3.54±0.31,2.94±0.21,0.36±0.02,5.10±0.32,3.89±0.26,1.20±0.07,1.61±0.40,110±5
C006,"Amaranth spinosus, leaves, red and green mix (Amaranthus spinosus)",2,86.64,2.80,3.20,0.34,5.57,3.82,1.75,1.45,99
C007,Basella leaves (Basella alba),2,92.68,1.57,1.09,0.45,2.21,1.64,0.57,2.01,82
C008,Bathua leaves (Chenopodium album),2,88.77,2.50,1.71,0.44,4.01,2.34,1.68,2.56,116
C009,Beet greens (Beta vulgaris),6,86.68±1.35,2.38±0.35,2.69±0.12,0.75±0.02,3.64±0.13,2.20±0.10,1.43±0.19,3.86±1.63,145±23
C010,"Betel leaves, big (kolkata) (Piper betle)",6,84.93±0.85,2.51±0.29,2.33±0.18,0.75±0.02,2.12±0.20,1.32±0.16,0.80±0.05,7.37±0.66,202±14
C011,"Betel leaves, small (Piper betle)",4,85.92±0.16,2.62±0.28,2.59±0.18,0.75±0.04,1.97±0.13,1.17±0.12,0.80±0.09,6.16±0.33,183±2
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,84.39,4.26,1.47,0.50,4.29,3.35,0.94,5.09,185
C013,"Cabbage, Chinese (Brassica rupa)",1,93.19,1.58,0.73,0.13,2.01,1.55,0.45,2.36,75
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,89.53,3.63,0.81,0.27,2.98,2.04,0.94,2.79,126
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,91.85±0.97,1.36±0.07,0.67±0.06,0.12±0.01,2.76±0.20,1.91±0.18,0.85±0.10,3.25±0.91,90±16
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,91.94,1.39,0.71,0.21,2.21,1.58,0.62,3.54,97
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,87.64±1.33,3.90±0.87,1.22±0.12,0.42±0.02,3.43±0.26,2.37±0.20,1.06±0.12,3.39±0.70,148±22
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,83.61±0.59,3.42±0.29,2.30±0.11,1.38±0.09,5.60±0.18,4.32±0.16,1.29±0.12,3.69±0.49,182±9
C019,Drumstick leaves (Moringa oleifera),3,75.65±1.49,6.41±0.35,2.46±0.18,1.64±0.12,8.21±0.19,6.12±0.08,2.10±0.11,5.62±1.44,282±27
C020,Fenugreek leaves (Trigonella foenum graecum),5,86.73±0.66,3.68±0.36,1.69±0.19,0.83±0.02,4.90±0.21,3.20±0.14,1.70±0.09,2.17±0.32,144±10
C021,Garden cress (Lepidium sativum),2,84.02,5.62,2.48,0.80,2.60,1.77,0.83,4.48,208
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,87.42±0.41,1.86±0.16,0.98±0.08,1.09±0.03,4.59±0.39,3.24±0.16,1.35±0.30,4.06±0.18,152±2
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,87.98,1.85,0.97,1.07,3.89,2.66,1.23,4.24,153
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,86.20,3.12,1.42,0.35,2.76,1.81,0.95,6.16,178
C025,Lettuce (Lactuca sativa),3,92.27±0.99,1.54±0.48,1.11±0.10,0.27±0.03,1.79±0.24,1.32±0.04,0.47±0.28,3.01±0.56,91±16
C026,Mustard leaves (Brassica juncea),3,88.17±0.56,3.52±0.21,1.47±0.11,0.51±0.05,3.92±0.06,3.04±0.03,0.87±0.03,2.41±0.46,127±9
C027,Pak Choi leaves (Brassica rapa var. Chinensis),1,93.56,1.41,1.10,0.25,1.91,1.44,0.47,1.78,67
C028,Parsley (Petroselinum crispum),3,77.76±1.13,5.55±0.34,2.25±0.17,1.14±0.12,3.87±0.05,2.79±0.15,1.09±0.12,9.43±1.05,305±18
C029,Ponnaganni (Alternanthera sessilis),2,79.43,5.29,2.65,0.71,6.74,5.63,1.11,5.17,213
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,85.82±1.04,4.21±0.41,2.24±0.21,0.74±0.03,2.25±0.09,1.56±0.13,0.69±0.15,4.75±1.01,185±15
C031,Radish leaves (Raphanus sativus),6,91.19±0.53,2.22±0.23,1.50±0.21,0.51±0.05,1.82±0.10,1.18±0.04,0.63±0.07,2.77±0.34,109±9
C032,Rumex leaves (Rumex patientia),2,93.18,1.62,1.27,0.33,1.27,0.93,0.34,2.33,82
C033,Spinach (Spinacia oleracea),6,90.31±0.46,2.14±0.14,2.47±0.38,0.64±0.03,2.38±0.24,1.52±0.15,0.86±0.10,2.05±0.31,102±7
C034,"Tamarind leaves, tender (Tamarindus indica)",3,71.69±0.06,5.84±0.01,1.25±0.06,0.49±0.01,10.70±0.02,9.34±0.01,1.36±0.01,10.04±0.02,299±1
D001,Ash gourd (Benincasa hispida),6,92.17±0.42,0.79±0.06,0.70±0.08,0.14±0.02,3.37±0.23,2.52±0.26,0.85±0.13,2.84±0.22,73±4
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,94.56,1.33,0.55,0.35,1.55,1.06,0.49,1.67,68
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,85.51±1.22,2.86±0.27,0.96±0.03,0.99±0.06,4.50±0.25,3.76±0.14,0.74±0.21,5.16±1.45,179±21
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,90.87±0.56,1.44±0.17,0.86±0.04,0.24±0.01,3.78±0.16,3.10±0.19,0.68±0.07,2.82±0.32,87±6
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,91.60±0.28,1.34±0.12,0.81±0.06,0.24±0.01,3.49±0.18,2.96±0.10,0.53±0.11,2.53±0.26,79±5
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,91.24,1.61,0.88,0.26,3.72,3.05,0.67,2.29,81
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,95.17±0.33,0.53±0.05,0.36±0.04,0.13±0.02,2.12±0.07,1.65±0.05,0.48±0.07,1.68±0.33,46±6
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,94.50±0.32,0.42±0.02,0.34±0.05,0.12±0.03,2.10±0.15,1.72±0.13,0.38±0.05,2.53±0.21,57±3
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,94.63,0.49,0.40,0.13,2.11,1.74,0.37,2.25,54
D010,Brinjal-1 (Solanum melongena),1,89.95,1.77,0.83,0.39,3.57,2.37,1.20,3.49,114
D011,Brinjal-2 (Solanum melongena),1,90.28,1.82,0.85,0.34,4.01,2.80,1.21,2.71,99
D012,Brinjal-3 (Solanum melongena),2,90.02,1.36,0.65,0.33,4.26,3.10,1.16,3.38,102
D013,Brinjal-4 (Solanum melongena),4,90.28±1.21,1.51±0.24,0.66±0.09,0.31±0.03,4.04±0.65,3.03±0.82,1.01±0.22,3.19±0.86,100±18
D014,Brinjal-5 (Solanum melongena),3,89.45±1.73,1.38±0.26,0.72±0.12,0.29±0.06,4.13±0.70,3.10±0.43,1.03±0.29,4.02±2.01,111±38
D015,Brinjal-6 (Solanum melongena),2,90.57,1.46,0.72,0.29,3.68,3.00,0.68,3.29,97
D016,Brinjal-7 (Solanum melongena),1,91.25,1.40,0.57,0.37,3.32,2.30,1.02,3.10,98
D017,Brinjal-8 (Solanum melongena),3,89.28±0.39,1.82±0.16,0.80±0.06,0.33±0.04,4.01±0.48,2.79±0.53,1.22±0.05,3.75±0.18,117±2
D018,Brinjal-9 (Solanum melongena),2,89.83,1.47,0.83,0.35,4.00,2.94,1.06,3.52,106
D019,Brinjal-10 (Solanum melongena),2,89.38,1.68,0.72,0.25,3.90,2.74,1.16,4.08,116
D020,Brinjal-11 (Solanum melongena),6,89.93±0.89,1.43±0.20,0.68±0.07,0.31±0.04,4.12±0.52,2.95±0.56,1.17±0.28,3.53±1.01,105±16
D021,Brinjal-12 (Solanum melongena),2,90.94,1.60,0.58,0.27,3.89,2.70,1.19,2.73,93
D022,Brinjal-13 (Solanum melongena),1,89.14,1.49,0.64,0.31,3.92,2.61,1.31,4.51,124
D023,Brinjal-14 (Solanum melongena),3,90.31±0.06,1.56±0.19,0.64±0.02,0.35±0.03,3.87±0.59,2.50±0.76,1.37±0.24,3.27±0.39,106±9
D024,Brinjal-15 (Solanum melongena),4,89.44±0.96,1.58±0.27,0.74±0.05,0.29±0.03,3.99±0.79,2.82±0.72,1.17±0.08,3.96±0.19,114±6
D025,Brinjal-16 (Solanum melongena),1,90.39,1.26,0.80,0.34,3.74,2.54,1.20,3.46,103
D026,Brinjal-17 (Solanum melongena),1,90.83,1.18,0.81,0.36,3.94,2.80,1.14,2.89,91
D027,Brinjal-18 (Solanum melongena),3,89.07±0.78,1.47±0.15,0.66±0.02,0.33±0.06,4.38±0.25,3.23±0.15,1.15±0.18,4.10±0.88,116±18
D028,Brinjal-19 (Solanum melongena),3,90.41±0.55,1.26±0.06,0.66±0.05,0.31±0.02,3.97±0.18,2.81±0.42,1.16±0.27,3.39±0.36,100±8
D029,Brinjal-20 (Solanum melongena),5,90.65±0.79,1.44±0.21,0.68±0.08,0.34±0.04,3.73±0.21,2.64±0.37,1.09±0.21,3.15±0.60,99±10
D030,Brinjal-21 (Solanum melongena),2,89.83,1.36,0.69,0.35,3.85,2.57,1.28,3.93,113
D031,Brinjal - all varieties (Solanum melongena),6,90.00±0.90,1.48±0.22,0.70±0.08,0.32±0.04,3.98±0.49,2.84±0.52,1.14±0.22,3.52±0.80,106±15
D032,Broad beans (Vicia faba),3,84.20±0.17,3.85±0.13,1.05±0.08,0.15±0.01,8.63±0.15,6.61±0.07,2.03±0.09,2.11±0.11,123±4
D033,"Capsicum, green (Capsicum annuum)",6,93.89±0.32,1.11±0.11,0.76±0.05,0.34±0.03,2.06±0.22,1.33±0.29,0.73±0.17,1.84±0.32,68±6
D034,"Capsicum, red (Capsicum annuum)",4,92.99±1.47,1.47±0.36,0.76±0.14,0.47±0.05,2.19±0.17,1.58±0.13,0.61±0.10,2.14±1.06,83±24
D035,"Capsicum, yellow (Capsicum annuum)",4,93.38±0.37,1.35±0.35,0.72±0.12,0.41±0.02,2.19±0.13,1.39±0.06,0.80±0.08,1.95±0.16,78±4
D036,Cauliflower (Brassica oleracea),6,90.76±0.22,2.15±0.15,0.91±0.10,0.44±0.03,3.71±0.27,2.66±0.35,1.04±0.13,2.03±0.22,96±5
D037,Celery stalk (Apium graveolens),3,92.87±0.22,0.98±0.13,1.50±0.16,0.24±0.04,2.09±0.13,1.57±0.07,0.52±0.16,2.33±0.23,69±6
D038,Cho-cho-marrow (Sechium edule),4,93.78±0.12,0.66±0.07,0.38±0.05,0.15±0.03,1.55±0.08,1.19±0.07,0.36±0.12,3.47±0.18,79±2
D039,Cluster beans (Cyamopsis tetragonobola),6,84.65±0.83,3.55±0.38,1.68±0.13,0.37±0.04,4.83±0.54,3.55±0.48,1.28±0.13,4.91±0.58,168±15
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,91.15,0.76,0.91,0.34,3.01,1.81,1.20,3.83,100
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,92.67±0.44,0.91±0.16,1.00±0.04,0.22±0.02,2.33±0.06,1.26±0.03,1.07±0.08,2.86±0.34,81±7
D042,"Corn, Baby (Zea mays)",6,75.44±0.98,2.69±0.23,2.79±0.21,1.33±0.23,6.09±0.50,4.47±0.28,1.62±0.31,11.66±1.40,306±18
D043,"Cucumber, green, elongate (Cucumis sativus)",6,92.96±0.48,0.71±0.11,0.54±0.06,0.16±0.04,2.14±0.42,1.52±0.43,0.63±0.11,3.48±0.47,82±8
D044,"Cucumber, green, short (Cucumis sativus)",6,93.52±0.44,0.83±0.14,0.52±0.06,0.18±0.05,2.13±0.26,1.60±0.33,0.54±0.16,2.82±0.49,73±10
D045,"Cucumber, orange, round (Cucumis sativus)",2,92.80,0.98,0.52,0.24,2.46,1.78,0.68,3.01,82
D046,Drumstick (Moringa oleifera),6,85.39±0.64,2.62±0.22,1.27±0.09,0.12±0.01,6.83±0.22,5.60±0.26,1.23±0.06,3.76±0.70,123±11
D047,"Field beans, tender, broad (Vicia faba)",2,86.98,3.06,0.94,0.64,5.64,4.84,0.79,2.75,129
D048,"Field beans, tender, lean (Vicia faba)",6,85.57±1.32,3.71±0.62,1.08±0.12,0.60±0.02,6.19±0.47,5.37±0.43,0.82±0.10,2.85±0.32,140±15
D049,"French beans, country (Phaseolus vulgaris)",5,89.14±0.52,2.49±0.21,1.05±0.09,0.26±0.02,4.38±0.41,3.88±0.36,0.51±0.11,2.68±0.48,102±8
D050,"French beans, hybrid (Phaseolus vulgaris)",2,90.11,2.12,0.77,0.19,4.18,3.53,0.65,2.63,93
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,85.52±0.86,1.98±0.16,0.99±0.10,0.35±0.05,7.69±0.20,7.15±0.13,0.54±0.08,3.48±0.70,110±15
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,72.32±0.53,5.79±0.14,1.02±0.16,0.44±0.03,8.63±0.09,7.83±0.05,0.80±0.07,11.81±0.74,322±10
D053,Knol - Khol (Brassica oleracea),6,93.14±0.27,1.58±0.24,0.79±0.03,0.35±0.02,2.75±0.07,2.31±0.09,0.44±0.04,1.39±0.21,67±4
D054,"Kovai, big (Coccinia cordifolia)",6,92.78±0.61,1.39±0.23,0.58±0.07,0.24±0.08,3.00±0.26,2.19±0.18,0.81±0.11,2.01±0.54,73±10
D055,"Kovai, small (Coccinia cordifolia)",1,92.40,1.22,0.47,0.24,3.25,2.14,1.12,2.41,80
D056,Ladies finger (Abelmoschus esculentus),6,89.06±0.30,2.08±0.37,0.94±0.09,0.22±0.03,4.08±0.20,2.80±0.29,1.28±0.37,3.62±0.26,115±5
D057,"Mango, green, raw (Mangifera indica)",6,85.14±0.59,0.69±0.09,0.49±0.07,0.08±0.02,3.01±0.19,1.68±0.15,1.34±0.11,10.59±0.37,205±8
D058,"Onion, stalk (Allium cepa)",6,88.35±0.79,2.07±0.21,1.13±0.09,0.26±0.02,5.21±0.10,3.76±0.07,1.45±0.11,2.99±0.50,107±12
D059,"Papaya, raw (Carica papaya)",6,92.04±0.44,0.50±0.06,0.55±0.06,0.23±0.03,2.28±0.05,1.32±0.04,0.96±0.04,4.40±0.37,100±7
D060,Parwar (Trichosanthes dioica),6,91.57±0.27,1.40±0.10,0.59±0.03,0.30±0.04,2.61±0.07,1.82±0.04,0.79±0.07,3.54±0.32,101±5
D061,"Peas, fresh (Pisum sativum)",6,73.37±1.13,7.25±1.03,1.05±0.02,0.13±0.02,6.32±0.26,5.04±0.19,1.28±0.25,11.88±0.67,340±19
D062,"Plantain, flower (Musa x paradisiaca)",6,89.14±0.59,1.47±0.12,1.35±0.09,0.63±0.02,5.25±0.39,4.72±0.44,0.52±0.07,2.15±0.43,89±8
D063,"Plantain, green (Musa x paradisiaca)",6,76.15±0.42,1.18±0.20,1.27±0.14,0.23±0.02,3.60±0.27,2.79±0.25,0.81±0.05,17.58±0.35,334±6
D064,"Plantain, stem (Musa x paradisiaca)",6,87.53±1.01,0.35±0.05,1.20±0.09,0.16±0.07,2.12±0.04,1.33±0.08,0.80±0.09,8.64±0.93,165±15
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,91.73,0.87,0.47,0.18,2.53,1.28,1.25,4.22,103
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,91.85±0.45,0.84±0.21,0.58±0.09,0.16±0.02,2.56±0.11,1.44±0.14,1.12±0.08,4.00±0.64,97±8
D067,"Red gram, tender, fresh (Cajanus cajan)",1,64.00,8.09,1.64,0.92,5.90,3.66,2.25,19.46,520
D068,Ridge gourd (Luffa acutangula),6,94.99±0.35,0.91±0.08,0.44±0.04,0.14±0.01,1.81±0.13,1.20±0.16,0.61±0.08,1.72±0.46,55±7
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,94.27±0.62,0.98±0.13,0.53±0.06,0.13±0.01,1.85±0.28,1.31±0.17,0.54±0.10,2.24±0.41,64±8
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,94.81±0.28,0.98±0.33,0.42±0.04,0.25±0.01,2.27±0.11,1.69±0.15,0.58±0.08,1.27±0.15,52±4
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,94.92,0.89,0.45,0.25,2.27,1.69,0.58,1.23,50
D072,"Snake gourd, short (Trichosanthes anguina)",1,94.35,0.54,0.41,0.26,2.29,1.61,0.68,2.15,61
D073,"Tinda, tender (Praecitrullus fistulosus)",6,94.41±0.32,1.02±0.04,0.51±0.03,0.17±0.01,2.00±0.04,1.68±0.06,0.32±0.02,1.90±0.37,58±6
D074,"Tomato, green (Lycopersicon esculentum)",6,93.21±0.46,1.12±0.08,0.60±0.03,0.27±0.07,1.62±0.08,1.05±0.07,0.57±0.04,3.18±0.40,87±7
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,93.79±0.42,0.76±0.03,0.43±0.05,0.25±0.02,1.58±0.16,1.27±0.13,0.30±0.05,3.20±0.30,79±6
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,93.62±0.16,0.90±0.07,0.52±0.08,0.47±0.06,1.77±0.04,1.44±0.11,0.33±0.08,2.71±0.08,82±4
D077,"Zucchini, green (Cucurbita pepo)",2,92.83,1.10,0.93,0.51,2.30,1.42,0.88,2.33,84
D078,"Zucchini, yellow (Cucurbita pepo)",2,93.15,1.31,1.08,0.44,1.84,1.37,0.47,2.20,79
E001,"Apple, big (Malus domestica)",6,83.01±0.94,0.29±0.08,0.36±0.04,0.64±0.04,2.59±0.15,1.43±0.15,1.16±0.17,13.11±0.76,261±15
E002,"Apple, green (Malus domestica)",6,85.54±0.98,0.46±0.07,0.31±0.04,0.50±0.05,2.54±0.26,1.72±0.22,0.81±0.16,10.65±1.00,214±17
E003,"Apple, small (Malus domestica)",6,82.91±0.48,0.31±0.05,0.24±0.02,0.53±0.05,2.06±0.12,1.44±0.09,0.62±0.12,13.95±0.48,267±8
E004,"Apple, small, Kashmir (Malus sylvestris)",1,82.79,0.27,0.29,0.60,2.07,1.53,0.54,13.99,269
E005,"Apricot, dried (Prunus armeniaca)",6,16.68±0.59,3.17±0.29,3.46±0.14,0.74±0.03,3.32±0.13,2.72±0.11,0.60±0.04,72.63±0.27,1321±9
E006,"Apricot, processed (Prunus armeniaca)",3,85.75±0.81,1.47±0.15,0.61±0.16,0.64±0.04,0.59±0.01,0.43±0.02,0.16±0.02,10.93±0.88,236±12
