code,name,regn,f14d1,f16d1,f18d1,f20d1,f22d1,f24d1,f18d2cn6,f20d2,f18d3n3
N013,"Guinea fowl, meat, with skin",1,1.52,21,879,17.33,1.86,6.23,816,,30.49
N014,"Pigeon, meat, with skin",1,,283,2305,,,,958,,
N015,"Quail, meat, skinless",1,,392,2364,14.13,,12.52,788,,22.5
N016,"Turkey, leg, with skin",1,,0,938,,,,908,,150
N017,"Turkey, thigh, with skin",1,,0,927,,,,904,,131
N018,"Turkey, breast, with skin",1,,0,884,,,,886,,170
N019,"Turkey, wing, with skin",1,,0,826,,,,787,,126
O001,"Goat, shoulder",6,,251±54.2,4563±318,87.48±42.27,,,432±149,,33.28±10.52
O002,"Goat, chops",6,,113±27.3,2193±170,39.47±12.04,,,184±42.1,,16.12±8.80
O003,"Goat, legs",6,,156±22.5,2805±340,77.43±30.80,,,374±74.8,,21.85±2.70
O004,"Goat, brain",5,,23.08±5.65,1304±88,119±83.2,,,43.20±16.81,,80.48±72.83
O005,"Goat, tongue",4,,289±34.9,4498±607,129±54.1,,,504±134,,67.38±29.75
O006,"Goat, lungs",4,,43.19±6.3,836±186,15.22±3.36,,,135±15.8,,13.74±7.83
O007,"Goat, heart",5,,37.69±10.44,953±210,35.14±3.75,,,292±83.0,,9.52±2.65
O008,"Goat, liver",6,,42.04±12.85,879±337,,,,368±67.1,,56.53±24.71
O009,"Goat, tripe",5,,63.87±26.62,1063±234,27.10±7.84,,,154±50.1,,11.70±4.47
O010,"Goat, spleen",4,,25.25±3.79,575±114,15.79±5.62,,,143±17.3,,10.56±4.54
O011,"Goat, kidneys",4,,23.91±8.08,523±42.7,19.00±9.32,,,236±6.5,,10.37±5.92
O012,"Goat, tube (small intestine)",3,,113±27.1,2339±327,51.10±34.11,,,340±203,,33.46±7.08
O013,"Goat, testis",2,,21.27,552,16.51,,,88.56,,9.27
O014,"Sheep, shoulder",5,,329±195,4598±970,169±54.9,,,717±147,,141±206
O015,"Sheep, chops",4,,92.36±46.71,1766±727,57.91±24.42,,,220±80.0,,25.59±6.62
O016,"Sheep, leg",5,,126±44.9,2377±162,103±22.3,,,472±254,,33.55±9.35
O017,"Sheep, brain",1,,28,1060,94.94,,,41,,85.88
O018,"Sheep, tongue",1,,618,4999,258,,,397,,471
O019,"Sheep, lungs",2,,22.22,730,15.63,,,124,,8.92
O020,"Sheep, heart",1,,37.52,815,20.02,,,206,,29.15
O021,"Sheep, liver",4,,30.36±13.93,742±145,,,,346±46.4,,74.97±25.31
O022,"Sheep, tripe",2,,85.72,1417,31.48,,,134,,13.1
O023,"Sheep, spleen",1,,26.6,716,20.83,,,168,,14.37
O024,"Sheep, kidneys",2,,20.68,540,27.78,,,222,,8.25
O025,"Beef, shoulder",6,,486±151,5669±825,72.41±34.10,,,575±325,,153±44.0
O026,"Beef, chops",4,,209±63.6,2440±351,30.87±13.32,,,249±142,,66.06±18.97
O027,"Beef, round (leg)",6,,207±34.6,3026±253,46.84±4.27,,,201±21.0,,67.90±6.17
O028,"Beef, brain",4,,37.16±8.99,1653±128,178±63.1,,,39.04±14.09,,56.26±9.07
O029,"Beef, tongue",4,,351±86.8,4302±421,88.41±16.12,,,341±64.2,,56.10±6.72
O030,"Beef, lungs",3,,41.34±5.15,588±63.5,17.58±5.02,,,92.04±24.05,,6.14±1.51
O031,"Beef, heart",5,,39.33±17.31,780±199,28.50±24.56,,,351±91.7,,11.43±6.51
O032,"Beef, liver",6,,51.37±16.51,740±171,33.85±14.75,,,236±52.0,,8.51±2.53
O033,"Beef, tripe",5,,56.14±19.48,767±194,10.65±2.12,,,49.93±15.98,,9.64±5.00
O034,"Beef, spleen",6,,25.01±8.71,442±119,13.83±2.95,,,127±24.4,,12.22±3.88
O035,"Beef, kidneys",3,,33.01±0.00,790±0,12.02±0.00,,,148±0.0,,8.72±0.00
O036,"Calf, shoulder",2,,166,2452,29.26,,,388,,69.72
O037,"Calf, chops",2,,50,966,17.69,,,311,,32.78
O038,"Calf, round (leg)",2,,180,2207,46.47,,,213,,51.96
O039,"Calf, brain",2,,46.39,1357,56.9,,,45,,45.48
O040,"Calf, tongue",2,,308,4050,47.58,,,434,,46.48
O041,"Calf, heart",1,,19.68,656,20.82,,,563,,11.84
O042,"Calf, liver",1,,30.8,618,21.19,,,271,,14.64
O043,"Calf, spleen",1,,26.95,474,11.5,,,118,,9.7
O044,"Calf, kidneys",2,,31.46,613,15.59,,,243,,8.65
O045,"Mithun, shoulder",1,,108,2049,,,,2339,,385
O046,"Mithun, chops",1,,70.1,1206,,,,1095,,160
O047,"Mithun, round (leg)",1,,48.11,1870,,,,1056,,186
O048,"Pork, shoulder",6,,418±106,7696±1111,,,,1839±775,,170±115
O049,"Pork, chops",6,,242±12.2,4731±361,,,,521±141,,112±41.5
O050,"Pork, ham",6,,466±108,7600±769,,,,1598±387,,163±107
O051,"Pork, lungs",4,,32.88±10.53,834±103,,,,326±40.8,,21.91±17.54
O052,"Pork, heart",4,,46.51±14.55,1201±335,,,,725±243,,38.38±27.92
O053,"Pork, liver",5,,21.63±6.99,678±206,,,,494±186,,26.57±13.51
O054,"Pork, stomach",1,,127,2563,,,,841,,94.61
O055,"Pork, spleen",3,,34.64±7.32,785±276,,,,237±35.1,,23.79±18.93
O056,"Pork, kidneys",5,,28.23±12.20,817±162,,,,474±80.5,,26.28±13.50
O057,"Pork, tube (small intestine)",1,,190,2984,,,,638,,85.9
O058,"Hare, shoulder",1,,240,1366,,,,1261,,267
O059,"Hare, chops",1,,90,523,,,,496,,105
O060,"Hare, leg",1,,75,439,,,,407,,57.78
O061,"Rabbit, shoulder",1,,504,1828,,,,1242,,365
O062,"Rabbit, chops",1,,310,1170,,,,737,,252
O063,"Rabbit, leg",1,,268,935,,,,609,,184
