code,name,regn,f10d0,f12d0,f14d0,f16d0,f18d0,f20d0,f22d0,f24d0,f14d1,f16d1c,f18d1cn9
C010,"Betel leaves, big (kolkata) (Piper betle)",6,,,24.45±2.39,175±7.4,39.33±3.06,,5.21±1.10,6.02±0.97,,21.36±3.47,72.07±4.38
C011,"Betel leaves, small (Piper betle)",4,,,14.65±2.55,177±10.0,37.34±2.31,,4.15±0.69,5.07±1.26,,17.93±2.52,64.74±3.26
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,187,39.75,,,,,,88.69
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,29.26,3.76,,,,,,15.97
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,,,,47.57,7.61,2.19,1.77,2.73,,,37.19
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,,,34.59±2.95,6.02±0.60,2.29±0.30,1.60±0.12,2.05±0.29,,,30.05±1.84
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,,,42.43,7.59,3.24,1.99,3.17,,,41.14
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,,2.76±0.27,85.30±6.47,14.28±1.21,3.92±0.24,3.31±0.43,5.33±0.56,,,20.80±0.81
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,,,334±7.5,52.40±3.04,17.92±1.43,14.16±2.89,7.55±0.70,,17.24±2.64,30.39±2.21
C019,Drumstick leaves (Moringa oleifera),3,,,44.09±6.76,370±28.2,69.53±7.14,,32.64±2.89,43.59±4.28,,,102±8.0
C020,Fenugreek leaves (Trigonella foenum graecum),5,,,22.49±2.23,130±8.6,30.27±2.37,6.85±0.63,4.44±0.67,4.67±0.34,,9.09±1.23,11.06±1.16
C021,Garden cress (Lepidium sativum),2,,,,23.82,2.32,0.49,1.28,0.76,,0.93,7.3
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,,25.70±2.61,170±7.5,27.48±2.77,6.90±1.10,7.41±1.42,6.86±0.77,,16.63±0.41,21.97±1.52
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,,27.56,173,22.69,6.81,7.64,5.8,,18.49,26.39
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,,,67.77,32.78,2.48,1.42,2.39,,5.84,13.07
C025,Lettuce (Lactuca sativa),3,,,8.22±0.57,78.22±8.55,10.96±0.96,,8.47±1.09,10.15±1.25,,9.05±1.53,13.16±2.32
C026,Mustard leaves (Brassica juncea),3,,,12.60±1.33,110±4.2,17.09±0.16,,2.35±0.16,,,16.25±1.15,11.31±0.57
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,,1.53,2.18,33.69,1.58,,,,,,23.03
C028,Parsley (Petroselinum crispum),3,,,15.18±1.18,235±9.1,58.05±2.44,6.04±0.09,13.80±0.36,16.67±0.31,,14.42±0.54,18.52±0.74
C029,Ponnaganni (Alternanthera sessilis),2,,,,148,17.43,2.93,8.73,27.61,,9.77,23.61
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,,,19.86±0.55,188±11.0,32.53±3.60,5.74±0.72,13.53±1.27,6.74±0.15,,9.79±1.11,6.91±0.48
C031,Radish leaves (Raphanus sativus),6,,,9.62±0.95,110±4.6,27.54±2.05,,,,,8.05±0.66,18.88±1.89
C032,Rumex leaves (Rumex patientia),2,,,6.95,49.83,4.14,,,,,6.95,11.73
C033,Spinach (Spinacia oleracea),6,,,17.01±0.72,147±6.3,9.54±1.17,1.29±0.25,4.13±0.29,3.99±0.39,,8.77±0.84,32.87±1.74
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,16.14±0.46,150±2.2,,1.20±0.23,4.08±0.43,4.27±0.40,,9.29±0.35,33.01±2.46
D001 ,Ash gourd (Benincasa hispida) ,6,,,0.81±0.10 ,17.99±1.16 ,5.90±0.20 ,0.55±0.11 ,,,,0.86±0.27 ,6.57±0.35
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,,,35.75,1.84,,1.72,1.77,,,7.45
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,,3.08±0.41,191±5.4,40.33±0.41,8.93±0.31,13.20±0.25,9.38±0.64,,8.72±0.25,38.09±1.54
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,2.99±0.57,78.62±5.32,50.55±3.47,2.89±0.60,3.65±0.77,5.78±0.77,,1.03±0.30,4.55±0.40
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,3.35±0.46,84.32±2.23,41.25±2.34,3.09±0.44,3.44±0.20,3.74±0.64,,0.96±0.33,5.36±0.39
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,4.25,86.82,40.28,3.16,3.47,4.14,,1.05,3.91
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,,,1.32±0.23,31.30±3.01,4.35±0.55,0.70±0.12,2.22±0.30,1.54±0.22,,,3.54±0.58
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,,,1.30±0.32,30.78±1.18,4.54±0.26,0.71±0.12,2.13±0.19,1.61±0.05,,,3.47±0.54
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,,,2.25,30.94,5.22,0.57,1.83,1.22,,6.12,2.93
D010,Brinjal-1 (Solanum melongena),1,,,,50.39,34.59,5.96,1.9,1.69,,,27.94
D011,Brinjal-2 (Solanum melongena),1,,,,43.46,34.71,6.53,1.93,1.49,,,16.8
D012,Brinjal-3 (Solanum melongena),2,,,,39.19,25.72,4.67,1.41,1.35,,,21.05
D013,Brinjal-4 (Solanum melongena),4,,,,36.90±3.89,22.79±2.22,4.34±0.60,1.60±0.40,1.27±0.21,,,25.20±3.49
D014,Brinjal-5 (Solanum melongena),3,,,,35.38±10.09,25.00±9.38,5.27±2.03,1.82±0.78,1.77±1.06,,,18.56±2.24
D015,Brinjal-6 (Solanum melongena),2,,,,38.35,24.82,4.81,1.68,1.33,,,16.94
D016,Brinjal-7 (Solanum melongena),1,,,,41.45,22.97,4.46,1.3,1.54,,,22.92
D017,Brinjal-8(Solanum melongena),3,,,,35.37±3.38,24.72±5.85,4.66±2.18,1.92±0.16,1.50±0.11,,,25.32±4.52
D018,Brinjal-9(Solanum melongena),2,,,,42.11,29.38,5.86,1.55,1.59,,,25.08
D019,Brinjal-10 (Solanum melongena),2,,,,34.8,24.25,4.35,1.37,1.23,,,21.91
D020,Brinjal-11 (Solanum melongena),6,,,,35.70±7.89,24.58±6.59,4.79±1.63,1.61±0.47,1.47±0.50,,,21.59±5.15
D021,Brinjal-12 (Solanum melongena),2,,,,35.21,25.17,5.17,1.57,1.41,,,17.14
D022,Brinjal-13(Solanum melongena),1,,,,40.89,33.26,5.71,1.49,1.61,,,15.45
D023,Brinjal-14(Solanum melongena),3,,,,31.02±14.22,21.11±11.42,4.42±2.22,1.38±0.75,1.22±0.66,,,16.76±7.52
D024,Brinjal-15 (Solanum melongena),4,,,,36.27±6.79,23.11±4.70,4.37±0.45,1.69±0.44,1.64±0.55,,,24.66±5.89
D025,Brinjal-16(Solanum melongena),1,,,,44.99,29.8,5.53,1.51,1.82,,,21.95
D026,Brinjal-17(Solanum melongena),1,,,,45.54,26.97,5.06,1.96,1.6,,,28.21
D027,Brinjal-18 (Solanum melongena),3,,,,35.91±17.94,25.50±11.77,4.58±2.43,1.86±0.93,1.32±0.54,,,20.71±11.35
D028,Brinjal-19(Solanum melongena),3,,,,31.52±12.01,20.62±10.06,4.32±2.05,1.56±0.72,1.25±0.38,,,18.19±9.02
D029,Brinjal-20(Solanum melongena),5,,,,41.95±4.84,28.44±3.75,5.61±1.03,2.03±0.47,1.89±0.42,,,20.28±4.11
D030,Brinjal-21(Solanum melongena),2,,,,45.29,32.46,6.04,2.29,2.2,,,25.84
D031,Brinjal - all varieties (Solanum melongena),6,,,,37.54±8.01,25.49±6.41,4.92±1.34,1.69±0.49,1.52±0.49,,,21.45±5.45
D032,Broad beans (Vicia faba),3,,,0.45±0.06,31.80±3.07,6.55±0.08,1.10±0.10,1.29±0.21,1.42±0.20,,0.69±0.07,7.85±1.02
D033,"Capsicum, green (Capsicum annuum)",6,,,1.80±0.10,48.13±3.56,20.10±1.90,2.95±0.21,2.29±0.08,1.76±0.21,,1.42±0.23,11.29±1.34
D034,"Capsicum, red (Capsicum annuum)",4,,,4.83±0.34,54.51±1.15,20.15±0.40,1.01±0.06,2.44±0.31,3.45±0.34,,4.14±0.17,43.51±0.52
D035,"Capsicum, yellow (Capsicum annuum)",4,,,4.03±0.05,65.88±1.32,25.21±0.80,1.68±0.10,2.66±0.18,2.84±0.22,,4.11±0.30,51.44±1.22
D036,Cauliflower (Brassica oleracea),6,,,1.73±0.20,88.50±5.84,15.93±1.08,4.27±0.30,2.09±0.22,4.35±0.81,,,24.83±1.38
D037,Celery stalk (Apium graveolens),3,,,,56.15±7.07,6.61±0.74,,,,,,5.94±0.81
D038,Cho-cho-marrow (Sechium edule),4,,,,64±3.49,7.86±0.96,1.30±0.05,1.90±0.18,1.19±0.04,,,13.30±1.26
D039,Cluster beans (Cyamopsis tetragonobola),6,,,,64.93±3.40,21.69±0.93,8.46±0.47,6.62±0.79,5.24±0.49,,,30.24±1.96
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,,,85.69,8.24,2.1,3.98,2.93,,1.86,13.12
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,,,53.81±5.81,7.73±0.93,1.42±0.21,2.51±0.42,2.06±0.41,,1.42±0.16,6.37±1.14
D042,"Corn, Baby(Zea mays)",6,,,,180±0.6,31.08±0.93,,,,,,384±2.2
D043,"Cucumber, green, elongate(Cucumis sativus)",6,,,0.86±0.14,50.34±6.34,8.87±0.99,0.94±0.15,1.05±0.22,2.11±0.56,,1.98±0.29,8.58±1.17
D044,"Cucumber, green, short (Cucumis sativus)",6,,,1.06±0.15,52.54±6.03,8.80±0.93,1.29±0.12,1.97±0.66,2.11±0.40,,1.16±0.36,7.24±0.92
D045,"Cucumber, orange, round (Cucumis sativus)",2,,,1.06,55.72,9.31,1.3,2.45,2.06,,1.98,5.42
D046,Drumstick (Moringa oleifera),6,,,0.52±0.06,19.22±1.11,3.89±0.26,1.47±0.09,2.53±0.11,1.42±0.15,,1.36±0.08,45.05±3.01
D047,"Field beans, tender, broad (Vicia faba)",2,,,3.96,131,28.05,4.46,6.2,8.04,,,33.91
D048,"Field beans, tender, lean (Vicia faba)",6,,,3.04±0.79,128±6.4,27.08±1.03,4.20±0.47,5.62±0.77,6.75±0.69,,,26.28±1.87
D049,"French beans, country (Phaseolus vulgaris)",5,,,1.42±0.38,49.22±2.45,12.87±1.42,2.31±0.34,2.35±0.45,2.89±0.37,,2.53±1.91,8.60±0.97
D050,"French beans, hybrid (Phaseolus vulgaris)",2,,,1.06,50.38,11.55,1.9,1.9,,,1.98,9.88
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,,,0.65±0.05,35.32±1.18,3.64±0.11,3.58±0.05,1.72±0.21,2.46±0.17,,0.63±0.02,21.79±1.05
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,,,,123±5.6,7.49±0.48,5.48±0.31,7.44±0.84,2.81±0.26,,,13.52±0.79
D053,Knol - Khol (Brassica oleracea),6,,,,77.30±2.05,11.42±0.29,3.39±0.42,2.29±0.31,3.01±0.18,,4.34±0.18,27.29±0.54
D054,"Kovai, big (Coccinia cordifolia)",6,,,3.02±0.11,46.28±3.04,12.52±0.46,2.03±0.20,3.03±0.37,1.95±0.14,,0.98±0.47,3.37±0.51
D055,"Kovai, small (Coccinia cordifolia)",1,,,2.82,55.2,10.68,2.49,1.91,2.22,,0.55,3.97
D056,Ladies finger (Abelmoschus esculentus),6,,,1.50±0.23,54.61±5.12,5.67±0.62,1.71±0.12,3.36±0.36,2.51±0.30,,0.88±0.46,7.22±1.58
D057,"Mango, green, raw (Mangifera indica)",6,,,0.67±0.18,23.36±2.23,1.30±0.19,0.55±0.10,0.55±0.07,0.86±0.09,,2.10±0.29,7.15±1.16
D058,"Onion, stalk (Allium cepa)",6,,,8.04±0.17,65.71±1.11,5.74±0.40,,6.75±0.30,5.84±0.10,,,5.52±0.10
D059,"Papaya, raw (Carica papaya)",6,,,1.35±0.34,52.81±6.87,7.78±1.60,,3.25±0.42,3.97±0.78,,,44.53±4.38
D060,Parwar (Trichosanthes dioica),6,,,2.96±0.28,72.84±3.17,14.99±1.86,2.26±0.16,1.43±0.07,1.45±0.19,,,13.19±0.91
D061,"Peas, fresh (Pisum sativum)",6,,,,15.88±1.57,3.13±0.18,,,,,,28.75±1.96
D062,"Plantain, flower (Musa x paradisiaca)",6,,,1.87±0.19,125±2.5,48.84±1.97,51.97±3.65,23.15±2.36,22.09±1.49,,1.85±0.14,29.84±1.68
D063,"Plantain, green (Musa x paradisiaca)",6,,,,53.89±2.49,3.25±0.36,,,,,,16.21±0.79
D064,"Plantain, stem (Musa x paradisiaca)",6,,,,19.55±2.65,3.60±0.48,1.07±0.10,1.25±0.10,1.99±0.30,,0.65±0.17,2.06±0.16
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,,,1.1,41.66,7.66,0.81,0.96,1.12,,1.17,23.99
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,,,0.91±0.16,34.87±3.37,6.35±0.36,0.68±0.07,0.81±0.09,0.96±0.15,,0.98±0.09,21.04±2.02
D067,"Red gram, tender, fresh (Cajanus cajan)",1,,,,181,30.02,,,,,,51.13
D068,Ridge gourd (Luffa acutangula),6,,,0.83±0.17,42.19±2.81,6.33±0.68,1.22±0.16,1.56±0.18,2.37±0.15,,0.82±0.11,1.75±0.12
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,,,0.77±0.07,30.64±2.57,6.72±0.51,1.21±0.10,1.94±0.14,1.81±0.11,,0.87±0.13,2.08±0.31
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,,,,72.23±2.64,11.64±1.09,3.77±0.23,4.33±0.38,2.94±0.16,,,4.89±0.85
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,,,,72.09,11.77,4.36,4.87,2.78,,,4.77
D072,"Snake gourd, short (Trichosanthes anguina)",1,,,,76.61,10.02,3.87,5.04,4.41,,,2.96
D073,"Tinda, tender (Praecitrullus fistulosus)",6,,,1.59±0.16,36.25±2.47,7.41±1.55,0.93±0.14,1.41±0.22,1.60±0.08,,0.90±0.17,5.75±1.20
D074,"Tomato, green (Lycopersicon esculentum)",6,,,,33.68±0.98,10.37±0.70,1.36±0.08,0.72±0.01,0.77±0.03,,0.64±0.02,35.51±1.06
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,,,,35.23±2.83,9.50±0.96,1.27±0.10,0.86±0.05,0.79±0.15,,0.64±0.10,29.25±3.48
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,,,,58.47±2.78,16.77±1.47,1.94±0.13,1.23±0.11,1.17±0.14,,1.22±0.15,56.55±6.33
D077,"Zucchini, green (Cucurbita pepo)",2,,3.29,,98.79,16.94,,,,,2.88,36.38
D078,"Zucchini, yellow(Cucurbita pepo)",2,,1.51,,49.25,6.08,,,,,1.45,19.87
E001 ,"Apple, big (Malus domestica) ",6,,,,103±1.8 ,39.27±0.63 ,11.40±0.55 ,,,,,51.13±0.74
E002,"Apple, green (Malus domestica)",6,,,,77.85±0.61,28.51±1.14,9.74±0.36,,,,,40.99±0.84
E003,"Apple, small (Malus domestica )",6,,,,90.18±6.12,33.40±1.55,10.58±0.96,8.68±1.10,6.23±0.63,,,46.96±6.37
E004,"Apple, small, Kashmir (Malus domestica)",1,,,,105,40.72,12.27,10.36,7.98,,,50.63
E005,"Apricot, dried (Prunus armeniaca)",6,,,,168±5.3,32.58±3.32,,,,,,118±3.4
E006,"Apricot, processed (Prunus armeniaca)",3,,,,155±5.9,30.05±2.29,,,,,,23.33±3.37
E007,Avocado fruit (Persea americana),1,,,,1237,,,,,,495,8215
E008,Bael fruit (Aegle marmelos),1,0.45,2.81,3.38,103,18.55,1.58,0.93,,,4.17,107
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,,,103,6.8,,,,,5.65,8.73
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,,,105,8.02,,,,,3.83,28.45
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,,,96.58,9.74,,,,,6.45,11.32
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,,,106±3.6,8.15±1.46,,,,,6.61±0.44,14.28±1.77
E013,Black berry (Rubus fruticosus),5,,,5.89±0.46,134±0.9,30.33±1.74,7.71±1.33,5.86±0.92,11.65±1.36,,6.15±0.53,81.56±4.26
E014,"Cherries, red (Prunus cerasus)",4,,,,84±5,33.98±1.52,6.81±0.69,,,,,95.85±2.36
E015,"Currants, black (Ribes nigrum)",1,,,,51.94,24.41,,2.05,4.93,,,298
E016,Custard apple (Annona squamosa),1,,,,90.45,30.45,5.67,3.87,7.56,,4.89,34.85
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,,,,78.83±3.65,18.20±1.50,,,,,,30.43±3.94
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,,,,91.15,22.69,,,,,,21
E019,"Dates, processed (Phoenix dactylifera)",2,,,,115,34.16,,,,,,46.88
E020,Fig (Ficus carica),6,,,,71.61±0.74,7.19±0.20,8.46±0.13,3.48±0.13,2.26±0.17,,,41.38±1.12
E021,Goosberry (Emblica officinalis),5,,,,26.48±3.16,11.99±0.26,,,,,,23.93±1.89
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,,,,72.49±3.32,15.26±1.74,4.45±0.15,8.15±1.27,5.60±1.35,,,12.73±2.37
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,,,,62.35±3.72,12.95±0.85,3.74±0.25,7.38±0.66,6.01±0.50,,,11.10±1.44
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,,,,66.06±1.13,14.28±0.24,3.79±0.22,6.27±0.91,4.77±0.20,,,12.18±0.22
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,,,,31.45±3.84,9.99±0.89,1.96±0.63,2.21±0.65,,,,33.96±0.80
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,,,,63.79±2.99,15.71±1.40,3.61±1.46,3.99±0.57,,,,9.33±1.22
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,,,,86.20±0.29,17.98±0.07,6.88±0.20,9.73±0.24,8.05±0.16,,,12.97±0.07
E028,"Guava, white flesh (Psidium guajava)",5,,,0.70±0.07,28.95±2.42,16.48±1.53,1.97±0.30,0.55±0.06,0.65±0.06,,,35.08±3.38
E029,"Guava, pink flesh (Psidium guajava)",5,,,,17.96±2.31,9.22±0.63,,,,,,13.97±2.14
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,,,,30.69±2.30,1.70±0.26,1.77±0.17,2.35±0.35,1.15±0.13,,0.75±0.13,9.34±1.06
E031,"Jambu fruit, ripe (Syzygium cumini)",2,,,,43.42,19.46,3.62,,,,3.17,17.56
E032,Karonda fruit (Carissa carandas),1,,,,42.89,20.47,3.45,,,,3.64,20.48
E033,"Lemon, juice (Citrus limon)",6,,,,147±5.2,27.67±1.91,,27.55±4.69,,,,47.40±6.45
E034,"Lime, sweet,pulp (Citrus limetta)",6,,,,65.42±3.97,10.98±0.66,,,,,8.30±0.93,26.88±1.81
E035,Litchi (Nephelium litchi),4,,,,68.53±3.97,14.13±0.14,,2.64±0.41,6.19±0.77,,4.04±0.37,41.60±3.12
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,,7.01±1.49,150±6.1,7.12±0.55,,1.90±0.23,3.96±0.64,,52.48±6.23,81.18±8.57
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,2.33,16.5,147,8.2,1.71,1.59,3.26,,55.42,89.08
E038,"Mango, ripe, himsagar (Mangifera indica)",3,,,5.81±0.78,154±2.7,6.63±0.30,,2.01±0.13,4.99±0.27,,60.51±0.90,73.42±3.26
E039,"Mango, ripe, kesar (Mangifera indica)",4,,,5.71±0.83,152±8.6,7.36±0.43,,2.06±0.18,5.15±0.45,,63.91±2.81,105±6.5
E040,"Mango, ripe, neelam (Mangifera indica)",2,,3.08,17.21,141,6.64,2.44,1.87,5.59,,56.63,89.89
E041,"Mango, ripe, paheri (Mangifera indica)",2,,2.33,34.58,137,6.26,1.33,1.32,3.27,,69.02,122.79
