code,name,regn,chlrac,ferac,apigen,apigen6cgls,apigen7onshps,luteol,kaemf,querce,querce3bdgls,querce3ortns
D019,Brinjal-10 (Solanum melongena),2,,0.73,,,1.47,,,,,
D020,Brinjal-11 (Solanum melongena),6,,0.85±0.04,,,1.56±0.12,,,,,
D021,Brinjal-12 (Solanum melongena),2,,0.71,,,1.39,,,,,
D022,Brinjal-13(Solanum melongena),1,,0.74,,,1.29,,,,,
D023,Brinjal-14(Solanum melongena),3,,0.69±0.05,,,1.40±0.14,,,,,
D024,Brinjal-15 (Solanum melongena),4,,0.67±0.09,,,1.24±0.07,,,,,
D025,Brinjal-16(Solanum melongena),1,,0.77,,,1.39,,,,,
D026,Brinjal-17(Solanum melongena),1,,0.74,,,1.16,,,,,
D027,Brinjal-18 (Solanum melongena),3,,0.48±0.17,,,1.23±0.10,,,,,
D028,Brinjal-19(Solanum melongena),3,,0.66±0.12,,,1.33±0.08,,,,,
D029,Brinjal-20(Solanum melongena),5,,0.75±0.09,,,1.47±0.11,,,,,
D030,Brinjal-21(Solanum melongena),2,,0.62,,,1.32,,,,,
D031,Brinjal - all varieties (Solanum melongena),6,,0.75±0.12,,,1.42±0.15,,,,,
D032,Broad beans (Vicia faba),3,3.88±0.08,0.31±0.01,0.77±0.11,,,,0.04±0.01,,,
D033,"Capsicum, green (Capsicum annuum)",6,0.39±0.09,2.49±0.22,1.46±0.26,,,,1.44±0.27,,,
D034,"Capsicum, red (Capsicum annuum)",4,1.58±0.00,3.82±0.00,,,,,4.18±0.00,,,
D035,"Capsicum, yellow (Capsicum annuum)",4,0.25±0.00,0.25±0.00,,,,,0.03±0.00,,,
D036,Cauliflower (Brassica oleracea),6,,1.49±0.20,,,,0.26±0.03,0.55±0.03,0.40±0.13,,
D037,Celery stalk (Apium graveolens),3,0.26±0.05,0.25±0.02,0.37±0.01,,,0.32±0.07,,0.66±0.04,,
D038,Cho-cho-marrow (Sechium edule),4,0.66±0.07,,,,,,,,,
D039,Cluster beans (Cyamopsis tetragonobola),6,,,,,,,,,,
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,3.12,,1.04,,,1.38,,1.02,,
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,1.40±0.53,,0.30±0.04,,,0.27±0.04,,1.53±0.25,,
D042,"Corn, Baby (Zea mays)",6,0.76±0.01,0.16±0.02,,,,,,,,
D043,"Cucumber, green, elongate (Cucumis sativus)",6,,,0.88±0.39,,,,0.10±0.04,0.07±0.03,,
D044,"Cucumber, green, short (Cucumis sativus)",6,,,0.82±0.41,,,,0.09±0.03,0.07±0.02,,
D045,"Cucumber, orange, round (Cucumis sativus)",2,,,1.23,,,,0.09,0.07,,
D046,Drumstick (Moringa oleifera),6,4.01±0.68,,,,,0.25±0.03,8.14±0.49,23.30±0.80,,
D047,"Field beans, tender, broad (Vicia faba)",2,0.62,,,,,0.65,,,,
D048,"Field beans, tender, lean (Vicia faba)",6,0.45±0.20,,,,,0.60±0.22,,,,2.50±0.09
D049,"French beans, country (Phaseolus vulgaris)",5,0.13±0.02,,2.61±0.28,,,0.61±0.08,1.78±0.18,3.17±0.40,,
D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.13,,2.78,,,0.51,1.82,2.85,,
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,2.39±0.23,0.87±0.06,,,,,,,,
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0.58±0.06,0.88±0.03,,,,,,,,
D053,Knol - Khol (Brassica oleracea),6,0.06±0.01,,0.40±0.14,,,,,,,
D054,"Kovai, big (Coccinia cordifolia)",6,0.35±0.05,0.05±0.02,0.14±0.01,,,,0.07±0.02,,0.13±0.02,
D055,"Kovai, small (Coccinia cordifolia)",1,0.43,0.08,0.17,,,,0.08,,0.16,
D056,Ladies finger (Abelmoschus esculentus),6,2.80±0.61,,,,,,,,1.69±0.28,2.22±0.51
D057,"Mango, green, raw (Mangifera indica)",6,0.31±0.13,,,,,,0.64±0.07,,2.16±0.55,
D058,"Onion, stalk (Allium cepa)",6,0.63±0.01,1.15±0.18,,,,,1.53±0.26,1.42±0.23,1.55±0.10,
D059,"Papaya, raw (Carica papaya)",6,0.55±0.03,0.23±0.05,0.05±0.01,,,0.15±0.02,0.25±0.04,,,
D060,Parwar (Trichosanthes dioica),6,0.08±0.01,,,,,0.35±0.10,0.79±0.09,0.63±0.03,1.30±0.24,1.37±0.10
D061,"Peas, fresh (Pisum sativum)",6,,0.41±0.09,2.03±0.65,,1.82±0.13,1.95±0.86,1.74±0.20,,,
D062,"Plantain, flower (Musa x paradisiaca)",6,0.28±0.03,0.77±0.07,,,,,,,,
D063,"Plantain, green (Musa x paradisiaca)",6,,,,,0.60±0.08,1.65±0.16,0.11±0.01,0.07±0.01,,
D064,"Plantain, stem (Musa x paradisiaca)",6,0.29±0.08,,,,,,,,,
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,0.24,,,,,1.43,,,,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,0.28±0.08,,,,,1.63±0.21,,,,
D067,"Red gram, tender, fresh (Cajanus cajan)",1,,1.41,0.72,,,1.62,,,,4.25
D068,Ridge gourd (Luffa acutangula),6,0.36±0.11,,,,,,,0.92±0.17,,
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,0.61±0.02,,,,,,,0.92±0.04,,
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.28±0.11,,,,,,,,,
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.32,,,,,,,,,
D072,"Snake gourd, short (Trichosanthes anguina)",1,0.24,,,,,,,,,
D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.55±0.07,,0.64±0.18,,,,,,,
D074,"Tomato, green (Lycopersicon esculentum)",6,1.22±0.21,0.08±0.01,,,,,0.03±0.01,1.90±0.04,,
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,1.30±0.05,0.68±0.03,,,,,1.17±0.49,4.42±0.66,8.10±0.64,0.15±0.01
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,1.89±0.11,0.91±0.03,,,,,2.33±0.22,3.49±0.36,10.68±0.62,0.16±0.02
D077,"Zucchini, green (Cucurbita pepo)",2,,,,,,,,,,1.35
D078,"Zucchini, yellow(Cucurbita pepo)",2,,,,,,,,,,1.33
E001 ,"Apple, big (Malus domestica) ",6,1.63±0.13 ,0.79±0.09 ,,,,,2.96±0.49 ,0.87±0.07 ,2.87±0.41 ,1.54±0.06
E002,"Apple, green (Malus domestica)",6,1.44±0.14,0.71±0.12,,,,,2.45±0.37,0.55±0.13,2.42±0.45,0.55±0.03
E003,"Apple, small (Malus domestica)",6,1.53±0.27,0.77±0.40,,,,,2.67±0.26,0.92±0.21,2.66±0.34,1.10±0.60
E004,"Apple, small, Kashmir (Malus domestica)",1,2.15,0.31,,,,,2.63,1.63,3.13,0.63
E005,"Apricot, dried (Prunus armeniaca)",6,,0.28±0.04,,,,,0.96±0.09,0.83±0.10,,2.04±0.70
E006,"Apricot, processed (Prunus armeniaca)",3,,0.24±0.02,,,,,2.56±0.38,2.80±0.29,,0.85±0.04
E007,Avocado fruit (Persea americana),1,,0.16,,,,0.33,,0.23,,
E008,Bael fruit (Aegle marmelos),1,,0.19,,,,0.41,,0.29,,
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,,,,,,,,,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,,,,,,,,,
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,,,,,,,,,
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,,,,,,,,,
E013,Black berry (Rubus fruticosus),5,,,,,,,,,3.18±0.50,3.58±0.32
E014,"Cherries, red (Prunus cerasus)",4,5.93±0.02,0.32±0.05,,,,,1.39±0.43,0.88±0.02,,
E015,"Currants, black (Ribes nigrum)",1,,,,,,,0.02,3.12,,4.65
E016,Custard apple (Annona squamosa),1,,,,,,,,,,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,0.64±0.21,1.18±0.87,,,,,,0.02±0.01,,
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,0.29,0.13,,,,,,0.03,,
E019,"Dates, processed (Phoenix dactylifera)",2,,1.57,,,,,,,,
E020,Fig (Ficus carica),6,0.04±0.00,0.01±0.00,,,,,,0.01±0.00,,
E021,Goosberry (Emblica officinalis),5,0.56±0.04,0.30±0.09,,0.23±0.04,,,0.84±0.04,1.26±0.05,1.37±0.03,7.81±0.82
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0.63±0.08,0.95±0.08,,,,,0.15±0.03,0.70±0.06,,0.11±0.01
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0.56±0.28,2.46±1.07,,,,,0.13±0.07,0.70±0.03,,0.10±0.01
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0.52±0.00,2.78±0.00,,,,,0.34±0.00,0.71±0.00,,0.09±0.00
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0.62±0.00,2.85±0.00,,,,,0.16±0.00,0.72±0.00,,0.12±0.00
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0.65±0.03,1.63±0.06,,,,,0.09±0.10,0.68±0.01,,0.08±0.01
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0.75±0.00,2.14±0.00,,,,,0.15±0.00,0.68±0.00,,0.10±0.00
E028,"Guava, white flesh (Psidium guajava)",5,,,3.61±0.30,,,,,1.44±0.10,,
E029,"Guava, pink flesh (Psidium guajava)",5,,,4.67±0.31,,,,,1.99±0.50,,
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,2.48±0.42,1.23±0.45,,,,,,,,
E031,"Jambu fruit, ripe (Syzygium cumini)",2,0.13,,,,,,,,,
E032,Karonda fruit (Carissa carandas),1,,,,,,1.21,,1.16,,
E033,"Lemon, juice (Citrus limon)",6,,,,,,1.59±0.11,,0.07±0.01,,
E034,"Lime, sweet, pulp (Citrus limetta)",6,1.48±0.51,0.02±0.01,,,,,,0.08±0.01,,
E035,Litchi (Nephelium litchi),4,1.47±0.17,,,,,,,0.55±0.33,2.72±0.43,1.38±0.12
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,1.79±0.52,,1.42±0.41,,,,0.99±0.75,,2.17±0.56,
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,1.41,,1.33,,,,2.12,,1.64,
E038,"Mango, ripe, himsagar (Mangifera indica)",3,1.95±0.64,,1.43±0.36,,,,1.16±0.43,,2.76±0.25,
E039,"Mango, ripe, kesar (Mangifera indica)",4,1.66±0.35,,0.96±0.63,,,,0.94±0.54,,2.61±0.32,
E040,"Mango, ripe, neelam (Mangifera indica)",2,1.35,,1.84,,,,3.14,,1.84,
E041,"Mango, ripe, paheri (Mangifera indica)",2,1.71,,1.65,,,,1.68,,2.06,
E042,"Mango, ripe, totapari (Mangifera indica)",1,1.39,,1.78,,,,1.52,,1.84,
E043,Mangosteen (Garcinia mangostana),1,,,,,,,,,,
E044,Manila tamarind (Pithecellobium dulce),1,,,,,,,,,,
E045,"Musk melon, orange flesh (Cucumis melon)",5,0.05±0.01,0.03±0.01,,,,0.49±0.03,,,,
E046,"Musk melon, yellow flesh (Cucumis melon)",6,0.07±0.01,0.05±0.01,,,,0.47±0.02,,,,
E047,"Orange, pulp (Citrus aurantium)",6,0.42±0.02,0.19±0.01,,,,0.06±0.02,0.14±0.02,1.07±0.04,,
E048,"Palm fruit, tender (Borassus flabellifer)",1,,,,,,,,1.12,,
E049,"Papaya, ripe (Carcia papaya)",6,2.02±0.53,1.65±0.14,,,,0.06±0.02,0.11±0.02,0.03±0.02,,
E050,Peach (Prunus communis),1,,,,,,,,,,
E051,Pear (Pyrus sp.),6,1.27±0.02,,,,,,,1.56±0.25,,0.99±0.09
E052,Phalsa (Grewia asiatica),2,1.28,,,,,,,0.47,,
E053,Pineapple (Ananas comosus),6,0.74±0.05,,,,,,,0.09±0.02,,
E054,Plum (Prunus domestica),3,,,,,,,,,,5.58±0.44
E055,"Pomegranate, maroon seeds (Punica granatum)",6,1.60±0.23,,,,,,,2.52±0.42,,
E056,Pummelo (Citrus maxima),3,15.68±0.00,,0.82±0.00,,,,,,,
E057,"Raisins, dried, black (Vitis vinifera)",6,7.10±1.09,,,,,,,,,6.20±0.76
E058,"Raisins, dried, golden (Vitis vinifera)",6,20.98±2.24,,,,,,,,,5.69±0.97
E059,Rambutan (Nephelium lappaceum),1,0.56,,,,,,,,,0.12
E060,Sapota (Achras sapota),6,,,,,,,,,,
E061,Soursop (Annona muricata),1,,,,,,0.16,,,,0.66
E062,Star fruit (Averrhoa carambola),1,,,,,,,0.32,0.16,,
E063,Strawberry (Fragaria ananassa),6,,,,,,,,,,
E064,"Tamarind, pulp (Tamarindus indicus)",6,,,3.13±0.45,,,2.59±0.77,,,,
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.58±0.14,,,,0.53±0.14,0.58±0.08,0.27±0.02,,,
E066,"Water melon, pale green (Citrullus vulgaris)",6,0.51±0.12,,,,0.57±0.22,0.70±0.20,0.28±0.03,,,
E067,Wood Apple (Limonia acidissima),3,14.71±4.19,0.32±0.04,,,,,,,,
E068,Zizyphus(Zizyphus jujube),1,,0.14,,,,0.11,,1.84,,0.48
F001 ,Beet root (Beta vulgaris) ,6,0.38±0.08 ,,,,,0.34±0.08 ,,0.15±0.05,,
F002,"Carrot, orange (Dacus carota)",6,2.66±0.41,5.35±0.58,,,,2.66±0.25,1.49±0.22,0.54±0.09,,
F003,"Carrot, red (Dacus carota)",4,4.57±0.45,5.89±0.03,,,,3.64±0.69,1.67±0.05,0.63±0.00,,
F004,Colocasia (Colocasia antiquorum),6,2.01±0.61,1.55±0.15,,,,,,,,
F005,Lotus root (Nelumbium nelumbo),3,0.37±0.04,,,,,,,,,
F006,"Potato, brown skin, big (Solanum tuberosum)",6,2.98±0.32,,2.99±0.29,,,,0.11±0.02,0.15±0.02,6.87±0.71,
F007,"Potato, brown skin, small (Solanum tuberosum)",1,3.74,,2.97,,,,0.12,0.22,6.47,
F008,"Potato, red skin (Solanum tuberosum)",1,2.63,,2.18,,,,0.15,0.12,6.01,
F009,"Radish, elongate, red skin (Raphanus sativus)",3,1.79±0.05,,,,,,0.56±0.03,,,
F010,"Radish, elongate, white skin (Raphanus sativus)",6,1.74±0.43,,,,,,0.59±0.07,,,
F011,"Radish, round, red skin (Raphanus sativus)",1,1.68,,,,,,0.61,,,
F012,"Radish, round, white skin (Raphanus sativus)",2,1.46,,,,,,0.52,,,
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,1.75±0.29,0.11±0.02,1.36±0.13,,,0.02±0.01,0.03±0.01,0.01±0.01,,
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,2.51±0.53,0.14±0.02,1.79±0.57,,,0.05±0.01,0.04±0.02,0.04±0.01,,
F015,Tapioca (Manihot esculenta),3,0.32±0.17,,,,,,,,,
F016,Water Chestnut (Eleocharis dulcis),1,,,,,,,,,,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,,,,0.26±0.06,,,
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,,,,,,,0.48±0.02,,,
F019,"Yam, wild (Dioscorea versicolor)",2,,,,,,,0.53,,,
G001,"Chillies, green-1 (Capsicum annum)",5,,,5.81±1.52,,11.01±1.58,,,,,
G002,"Chillies, green-2 (Capsicum annum)",3,,,2.69±0.19,,15.91±1.48,,,,,
G003,"Chillies, green-3 (Capsicum annum)",5,,,3.12±0.58,,11.65±2.24,,,,,
G004,"Chillies, green-4 (Capsicum annum)",3,,,4.50±3.42,,5.11±1.62,,,,,
G005,"Chillies, green-5 (Capsicum annum)",2,,,5.85±2.16,,9.77±1.92,,,,,
G006,"Chillies, green-6 (Capsicum annum)",1,,,5.82,,4.34,,,,,
G007,"Chillies, green-7 (Capsicum annum)",1,,,2.34,,16.34,,,,,
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,4.37±1.98,,10.27±4.19,,,,,
G009,Coriander leaves (Coriandrum sativum),6,0.53±0.26,0.95±0.39,,,,,,7.74±0.81,2.55±0.36,
G010,Curry leaves (Murraya koenigii),6,0.18±0.03,,,,,,0.24±0.02,,,
G011,"Garlic, big clove (Allium sativum)",6,,0.03±0.02,,,,,0.52±0.19,2.05±0.58,,
G012,"Garlic, small clove (Allium sativum)",3,,0.04±0.02,,,,,0.61±0.25,1.81±0.57,,
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,,0.05,,,,,0.71,1.04,,
G014,"Ginger, fresh (Zinziber officinale)",6,,,,,0.27±0.05,4.81±0.11,32.23±1.84,,,
G015,Mango ginger (Curcuma amada),3,0.45±0.06,0.05±0.01,,,,,,,,
G016,Mint leaves (Mentha spicata ),4,0.09±0.01,4.64±0.46,0.43±0.07,,,1.49±0.07,,,,
