code,name,regn,ala,arg,asp,glu,gly,pro,ser,tyr
O008,"Goat, liver",6,2.49±0.15,12.09±1.18,5.29±0.35,1.71±0.74,4.76±0.34,4.61±0.38,4.93±0.21,3.50±0.07
O009,"Goat, tripe",5,2.88±0.20,11.46±0.53,8.20±0.97,1.62±0.42,5.02±0.45,3.24±0.10,4.48±0.35,4.11±0.91
O010,"Goat, spleen",4,2.48±0.61,12.26±0.30,7.86±1.08,1.37±0.17,4.54±0.50,3.44±0.02,4.26±0.15,3.74±0.35
O011,"Goat, kidneys",4,2.66±0.32,12.62±0.77,6.98±0.29,1.71±0.05,4.73±0.29,4.08±0.25,5.08±0.09,4.77±0.87
O012,"Goat, tube (small intestine)",3,2.31±1.02,12.78±0.81,9.29±0.34,1.44±0.05,5.30±0.13,3.50±0.11,4.61±0.09,3.13±0.03
O013,"Goat, testis",2,2.41,12.92,9.35,1.32,5.51,3.4,4.31,3.94
O014,"Sheep, shoulder",5,2.48±0.20,14.72±0.95,5.47±0.39,1.31±0.37,4.64±0.27,4.19±0.19,4.34±0.45,4.10±0.45
O015,"Sheep, chops",4,2.76±0.20,14.31±0.14,5.91±0.80,1.39±0.11,4.24±0.15,4.64±0.38,4.33±0.40,3.59±0.21
O016,"Sheep, leg",5,2.42±0.28,14.46±0.43,5.86±0.67,1.54±0.16,3.97±0.35,4.19±0.04,4.57±0.54,4.10±0.53
O017,"Sheep, brain",1,3.2,13.47,5.28,1.34,3.89,4.69,5.19,4.23
O018,"Sheep, tongue",1,2.72,14.42,6.28,1.48,4.3,3.72,4.79,3.78
O019,"Sheep, lungs",2,2.48,10.53,8.33,1.4,5.48,3.22,4.64,3.37
O020,"Sheep, heart",1,2.09,13.75,5.5,1.61,4.23,4.15,4.72,3.81
O021,"Sheep, liver",4,2.64±0.29,10.93±0.65,5.17±0.20,1.68±0.22,4.79±0.65,4.53±0.12,4.91±0.16,3.67±0.07
O022,"Sheep, tripe",2,2.6,10.8,8.76,1.48,5.11,3.32,4.36,4.42
O023,"Sheep, spleen",1,2.27,12.11,6.76,1.46,4.38,4.02,4.39,3.34
O024,"Sheep, kidneys",2,2.57,12.78,6.65,1.69,4.9,3.78,4.91,4.36
O025,"Beef, shoulder",6,2.60±0.28,13.85±0.62,5.96±0.50,1.38±0.15,4.46±0.31,4.25±0.11,4.45±0.32,3.97±0.44
O026,"Beef, chops",4,2.87±0.40,14.07±0.78,6.26±0.25,1.25±0.09,4.80±0.26,4.73±0.66,4.79±0.57,3.80±0.47
O027,"Beef, round (leg)",6,2.90±0.22,14.70±0.61,5.82±0.65,1.63±0.35,4.13±0.23,4.49±0.29,4.19±0.58,4.28±0.30
O028,"Beef, brain",4,2.75±0.17,12.75±0.54,5.65±0.47,1.35±0.08,4.05±0.23,4.17±0.55,5.43±0.53,4.87±0.58
O029,"Beef, tongue",4,3.02±0.21,13.80±0.47,5.72±0.48,1.25±0.31,4.77±0.21,4.35±0.32,4.67±0.18,3.71±0.43
O030,"Beef, lungs",3,2.61±0.30,11.46±0.08,8.15±0.52,1.64±0.20,5.74±0.34,3.56±0.13,4.78±0.56,3.87±0.55
O031,"Beef, heart",5,2.84±0.16,13.39±0.53,4.60±0.47,1.61±0.23,4.30±0.63,4.53±0.44,4.92±0.54,4.92±0.61
O032,"Beef, liver",6,2.82±0.21,11.84±0.42,5.60±0.37,1.30±0.26,4.59±0.09,4.24±0.18,4.66±0.14,3.77±0.59
O033,"Beef, tripe",5,2.82±0.23,11.70±0.13,7.40±0.23,1.75±0.37,5.40±0.64,4.07±0.14,4.54±0.27,4.16±0.26
O034,"Beef, spleen",6,2.54±0.44,11.81±0.51,7.41±0.60,1.65±0.40,4.75±0.52,3.78±0.49,4.86±0.26,3.17±0.08
O035,"Beef, kidneys",3,2.56±0.26,12.93±0.66,5.26±0.09,1.56±0.21,5.05±0.30,3.78±0.34,4.96±0.23,4.26±0.34
O036,"Calf, shoulder",2,2.36,13.73,5.07,1.04,4.59,3.95,4.64,3.11
O037,"Calf, chops",2,2.82,14.47,5.09,1.08,4.33,4.9,4.43,3.68
O038,"Calf, round (leg)",2,3.01,14.32,5.38,1.66,4.37,4.62,4.52,4.09
O039,"Calf, brain",2,2.3,13.19,5.12,1.32,4.08,4.37,5.59,4.4
O040,"Calf, tongue",2,2.21,12.73,6.61,1.2,4.43,3.92,4.7,3.5
O041,"Calf, heart",1,2.29,13.82,5.5,1.49,3.78,4.13,4.2,4.28
O042,"Calf, liver",1,2.65,12.77,5.66,1.52,4.55,4.28,4.62,3.62
O043,"Calf, spleen",1,2.26,13.25,7.83,1.47,4.54,3.45,4.51,3.25
O044,"Calf, kidneys",2,2.81,12.5,6.08,1.55,5.23,3.88,5.1,4.19
O045,"Mithun, shoulder",1,2.52,16.4,5.63,1.28,4.83,4.45,4.2,3.87
O046,"Mithun, chops",1,3.1,15.61,5.6,1.14,4.29,4.71,4.5,3.87
O047,"Mithun, round (leg)",1,2.58,14.79,5.38,1.21,4.16,4.4,4.37,4.58
O048,"Pork, shoulder",6,2.89±0.40,13.31±0.59,5.37±0.10,1.35±0.43,5.74±0.50,4.40±0.07,4.33±0.12,3.23±0.52
O049,"Pork, chops",6,2.88±0.13,14.27±0.94,5.50±0.13,1.41±0.14,5.27±0.04,4.55±0.08,4.69±0.64,3.46±0.07
O050,"Pork, ham",6,2.78±0.26,14.18±1.07,5.41±0.29,1.77±0.39,4.79±0.54,4.81±0.45,4.49±0.21,4.47±0.51
O051,"Pork, lungs",4,2.27±0.58,11.71±0.39,8.27±0.11,1.84±0.25,6.23±0.22,3.17±0.29,4.75±0.34,2.93±0.22
O052,"Pork, heart",4,2.86±0.34,13.97±0.63,6.09±0.15,1.68±0.44,4.49±0.28,4.44±0.40,4.41±0.33,4.51±0.41
O053,"Pork, liver",5,2.57±0.27,12.99±0.81,5.89±0.44,1.53±0.43,4.34±0.38,4.28±0.19,4.87±0.56,3.61±0.43
O054,"Pork, stomach",1,2.89,9.24,8.41,1.22,4.56,4.49,5.29,5.48
O055,"Pork, spleen",3,2.43±0.65,12.65±0.40,7.08±0.41,1.50±0.51,4.59±0.28,3.61±0.30,4.78±0.42,2.71±0.21
O056,"Pork, kidneys",5,2.53±0.23,11.65±0.48,7.22±0.43,1.36±0.41,4.73±0.27,4.07±0.31,5.08±0.35,3.98±0.66
O057,"Pork, tube (small intestine)",1,2.25,13.19,9.15,1.26,5.32,3.62,4.97,2.92
O058,"Hare, shoulder",1,2.53,15.99,6.27,1.03,4.75,5.04,4.08,3.99
O059,"Hare, chops",1,2.93,14.89,5.53,1.2,4.24,5.26,4.32,3.8
O060,"Hare, leg",1,2.71,15.68,5.22,1.05,4.43,5.18,4.12,4.03
O061,"Rabbit, shoulder",1,2.88,15.43,5.01,1.21,3.83,5.42,4.29,4.35
O062,"Rabbit, chops",1,3.17,15.31,4.8,1.34,4.46,5.56,4.31,4.21
O063,"Rabbit, leg",1,2.54,14.4,6.02,1.21,4.62,5.31,4.26,4.41
P001,Allathi (Elops machnata),1,5.41,5.95,10.7,14.01,4.68,3.39,3.88,5.15
P002,Aluva (Parastromateus niger),3,5.55±0.36,6.97±1.17,9.56±1.05,13.13±0.62,5.47±0.29,3.53±0.40,4.34±0.63,5.13±0.33
P003,Anchovy (Stolephorus indicus),2,5.28,5.83,7.89,14.66,5.57,3.35,4.39,4.15
P004,Ari fish (Aprion virescens),1,5.39,7.56,10.65,12.16,5.83,3.28,4.38,4.26
P005,Betki (Lates calcarifer),1,2.15,5.93,10.35,13.28,6.51,5.55,4.46,5.28
P006,Black snapper (Macolor niger),1,5.67,5.74,11.43,15.7,5.36,3.58,4.07,3.85
P007,Bombay duck (Harpadon nehereus),2,5.95,5.25,9.93,11.16,6.17,6.14,4.5,4.23
P008,Bommuralu (Muraenesox cinerius),3,4.52±0.53,6.73±0.33,10.19±0.81,13.89±0.53,4.76±0.34,3.29±0.42,4.54±0.07,5.46±0.47
P009,Cat fish (Tachysurus thalassinus),1,5.84,5.77,12,15.36,5.19,3.62,4.18,3.91
P010,Chakla (Rachycentron canadum),5,5.57±0.20,6.88±1.24,10.25±0.50,13.92±0.58,4.96±0.22,3.44±0.16,4.30±0.25,4.41±0.59
P011,Chappal (Aluterus monoceros ),1,5.73,8.17,9.16,14.1,6.1,3.75,4.97,3.35
P012,Chelu (Elagatis bipinnulata),2,5.15,6.98,9.86,14.88,5.07,3.34,5.11,4.47
P013,Chembali (Lutjanus quinquelineatus),1,5.72,5.98,11.41,12.69,5.6,3.21,4.28,5.44
P014,Eri meen (Pristipomoides filamentosus),1,5.72,5.97,10.33,15.02,5.89,3.56,4.4,3.48
P015,Gobro (Epinephelus diacanthus),2,5.43,6.38,9.19,14.35,5.02,3.37,4.49,4.26
P016,Guitar fish (Rhinobatus prahli),1,6.14,6.69,9.13,14.68,5.78,5.29,4.29,4.85
P017,Hilsa (Tenualosa ilisha),2,4.43,4.15,1.72,13.13,6.66,6.85,4.43,3.83
P018,Jallal (Arius sp.),1,5.11,6.87,9.54,13.98,5.33,3.14,5.41,4.28
P019,Jathi vela meen (Lethrinus lentjan),2,5.61,6.42,9.92,14.07,5.38,3.73,4.23,4.18
P020,Kadal bral (Synodus indicus),1,5,6.44,10.46,13.8,5.37,3.2,4.34,3.51
P021,Kadali (Nemipterus mesoprion),1,6.23,5.35,8.51,16.44,5.13,3.74,3.87,5.27
P022,Kalamaara (Leptomelanosoma indicum),2,5.48,7.75,8.39,13.66,5.38,3.55,4.44,5.55
P023,Kalava (Epinephelus coioides),1,5.41,6.54,9.33,14.2,5.83,3.82,4.44,4.5
P024,Kanamayya (Lutjanus rivulatus),2,5.66,6.09,10.96,14.6,5.42,3.73,4.63,5.24
P025,Kannadi paarai (Alectis indicus),3,5.34±0.20,6.01±0.22,9.73±1.86,13.56±0.62,5.09±0.25,3.37±0.08,4.43±0.21,4.28±0.13
P026,Karimeen (Etroplus suratensis),1,6.36,6.48,11.62,15.32,6.34,3.69,4.5,3.2
P027,Karnagawala (Anchoa hepsetus),1,5.69,6.63,9.28,13.8,5.18,3.33,5.36,3.39
P028,Kayrai (Thunnus albacores),2,5.56,6.33,9.56,13.19,4.56,3.69,4.04,4.71
P029,Kiriyan (Atule mate),1,5.54,6.56,10.05,14.49,6.06,3.37,4.22,3.93
P030,Kite fish (Mobula kuhlii),1,5.25,6.7,10.35,14.85,6.3,3.57,4.47,4.96
P031,Korka (Terapon jarbua),1,5.36,8.53,8.38,13.01,5.75,3.14,4.22,3.03
P032,Kulam paarai (Carangoides fulvoguttatus),1,5.64,7.64,10.08,12.26,6.13,3.68,5.02,4.09
P033,Maagaa (Polynemus plebeius),1,5.67,6.34,8.91,15.62,4.96,3.54,4.45,5.61
P034,Mackerel (Rastrelliger kanagurta),3,5.41±0.54,5.81±0.54,9.96±0.72,13.38±0.59,5.28±0.26,3.27±0.24,4.46±0.11,4.59±0.15
P035,Manda clathi (Naso reticulatus),1,5.29,6.64,10.88,13.48,5.35,3.22,4.13,4.61
P036,Matha (Acanthurus mata),2,5.52,8.02,8.66,13.56,5.22,3.63,4.39,4.8
P037,Milk fish (Chanos chanos),1,6.23,6.15,8.6,14.07,5.06,3.96,3.93,4.84
P038,Moon fish (Mene maculata),1,5.67,5.74,11.43,14.7,5.36,3.58,4.07,4.26
P039,Mullet (Mugil cephalus),3,5.57±0.29,7.18±0.38,8.33±0.67,14.52±0.52,5.76±0.37,3.54±0.37,4.60±0.36,5.27±0.31
P040,Mural (Tylosurus crocodilus crocodilus),1,5.56,6.08,8.24,14.67,5.8,3.83,4.29,4.98
P041,Myil meen (Istiophorus platypterus),2,5.44,7.37,8.56,13.97,5.65,3.53,4.5,4.08
P042,Nalla bontha (Epinephelus sp.),1,6.61,7.43,9.59,13.21,4.71,2.73,5.41,4.9
P043,Narba (Caranx sexfasciatus),2,5.42,6.11,9.75,13.59,5.44,3.36,4.12,4.74
P044,Paarai (Caranx heberi),1,6.36,6.08,11.1,14.51,6.78,4.66,3.94,3.36
P045,Padayappa (Canthidermis maculata),1,6.3,6.06,13.85,15.76,6.4,4.06,4.3,3.55
P046,Pali kora (Panna microdon),1,5.49,5.72,10.57,15.68,4.78,3.12,4.57,3.19
P047,Pambada (Lepturacanthus savala),2,5.71,6.09,8.95,14.1,6.45,3.77,4.43,5.59
P048,Pandukopa (Pseudosciaena manchurica),1,5.31,7.08,9.66,14.1,5.19,3.75,4.45,5.44
P049,Parava (Lactarius lactarius),1,6.01,6.15,8.08,13.19,6.42,3.45,4,3.15
P050,Parcus (Psettodes erumei),1,5.29,6.43,9.08,14.97,4.69,3.35,4.43,5.58
P051,Parrot fish (Scarus ghobban),1,5.78,5.12,10.4,14.96,5.59,3.64,4.36,4.85
P052,Perinkilichai (Pinjalo pinjalo),1,5.59,7.3,9.94,14.94,4.5,3.47,4.49,4.56
P053,Phopat (Coryphaena hippurus),4,5.63±0.10,6.02±0.51,10.00±0.24,14.08±0.16,5.54±0.38,3.55±0.09,4.41±0.04,4.89±0.11
P054,Piranha (Pygopritis sp.),1,6.18,5.66,11.24,15.79,6.56,3.96,4.33,4.13
P055,"Pomfret, black (Parastromateus niger)",2,5.75,6.86,9.77,12.54,6.07,4.7,4.91,4.98
P056,"Pomfret, snub nose (Trachinotus blochii)",2,5.7,6.07,10.89,14.65,5.01,3.51,4.08,3.74
P057,"Pomfret, white (Pampus argenteus)",2,5.09,6.11,9.11,14.69,5.66,3.15,4.34,5.98
P058,Pranel (Gerres sp.),1,6.41,5.22,8.96,16.31,6.51,3.76,3.85,5.47
P059,Pulli paarai (Gnathanodon speciosus),1,6.42,5.06,11.6,14.05,5.5,3.99,3.93,5.86
P060,Queen fish (Scomberoides commersonianus),3,5.21±0.25,6.26±1.88,9.83±1.11,14.51±0.54,4.84±0.93,3.29±0.10,4.62±1.51,3.93±0.35
P061,Raai fish (Lobotes surinamensis),2,5.67,7.02,8.14,14.18,5.58,3.76,4.61,5.04
P062,Raai vanthu (Epinephelus chlorostigma),1,5.47,7.8,10.14,13.69,4.68,3.32,4.26,4.4
P063,Rani (Pink perch),1,5.4,8.24,9.1,12.08,5.9,4.11,4.34,5.73
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,5.76,6.03,8.38,16.86,6.76,3.94,4.05,3.25
P065,Red snapper (Lutjanus argentimaculatus),1,5.21,6.48,8.8,13.92,5.17,3.31,4.76,5.48
P066,"Red snapper, small (Priacanthus hamrur)",1,5.21,6.75,9.36,13.86,5.88,3.11,4.65,5.26
P067,Sadaya (Platax orbicularis ),1,5.28,7.92,9.15,14,5.28,3.54,4.52,3.95
P068,Salmon (Salmo salar),1,5.31,7.25,9.77,14.05,5.5,3.53,4.82,4.97
P069,Sangada (Nemipterus japonicus),1,4.9,7.36,8.21,13.48,5.29,3.12,4.81,5.92
P070,Sankata paarai (Caranx ignobilis),1,5.56,4.9,10.62,14.54,4.94,3.59,4.87,4.55
P071,Sardine (Sardinella longiceps),1,5.36,6.45,10.65,13.86,5.66,4.41,4.62,4.11
P072,Shark (Carcharhinus sorrah),2,5.54,6.71,8.89,14.2,6.72,3.65,4.57,3.65
P073,"Shark, hammer head (Sphyrna mokarran)",1,5.75,4.23,9.04,13.68,6.24,6.3,4.13,3.54
P074,"Shark, spotted (Stegostoma fasciatum)",1,6.02,6.69,8.71,16.23,6.87,4.56,4.88,3.25
P075,Shelavu (Sphyraena jello),4,5.58±0.23,7.31±1.40,9.05±2.88,14.24±0.50,5.41±0.55,3.39±0.14,4.24±0.18,3.87±0.89
P076,Silan (Silonia silondia),1,5.18,7.44,7.79,15.05,5.76,4.02,6.41,4.26
P077,Silk fish (Beryx sp.),1,5.43,7.53,10.21,14.57,5.25,3.45,4.39,3.53
P078,Silver carp (Hypophthalmichthys molitrix),1,3.31,3.97,9.43,13.75,9.82,7.72,4.54,3.4
P079,Sole fish (Cynoglossus arel),1,5.71,6.24,8.01,14.66,4.98,3.36,4.65,5.79
P080,Stingray (Dasyatis pastinaca),1,5.21,5.94,8.21,13.94,5.65,4.18,5.65,4.33
P081,Tarlava (Drepane punctata),2,5.94,5.94,9.79,14.51,4.96,4.11,4.21,4.64
P082,Tholam (Plectorhinchus schotaf),2,5.86,5.68,9.51,15.03,5.8,3.7,4.36,3.67
P083,Tilapia (Oreochromis niloticus),1,3.05,6.47,9.02,13.03,4.89,5.62,5.17,5.67
P084,Tuna (Euthynnus affinis),5,5.28±0.64,6.46±1.00,8.60±0.30,13.49±0.51,5.60±0.36,3.49±0.36,4.53±0.31,5.19±1.01
P085,"Tuna, striped (Katsuwonus pelamis)",1,5.97,7.02,8.04,14.2,5.24,3.46,4.5,5.72
P086,Valava (Chirocentrus nudus),1,5.6,5.02,10.14,16.04,4.41,3.3,4.9,4.21
P087,Vanjaram (Scomberomorus commerson),2,5.71,6.81,10.31,14.51,5.9,3.74,4.35,3.74
P088,Vela meen (Aprion virescens),1,5.42,6.57,8.71,14.28,6.04,3.53,4.46,4.69
P089,Vora (Siganus javus),2,5.85,4.46,9.41,15.08,5.14,3.7,4.16,4.56
P090,Whale shark (Galeocerdo cuvier),1,5.49,5.88,9.02,13.93,6.13,3.85,4.37,5.16
P091,Xiphinis (Xiphias gladius),1,5.12,5.67,8.73,13.64,5.41,3.51,4.36,4.38
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,3.38,6.53,9.31,12.24,5.28,5.38,4.72,5.57
Q001 ,Crab (Menippe mercenaria) ,1,2.8,3.37,8.31,13.53,7.58,3.34,4.17,3.56
Q002,"Crab, sea (Portunus sanguinolentus)",1,6.19,6.91,8.11,15.34,7.97,3.97,3.62,3.81
Q003,"Lobster, brown (Thenus orientalis)",1,6.08,6.81,10.35,15.93,6.69,3.86,4.68,3.43
Q004,"Lobster, king size (Thenus orientalis)",1,3.43,5.13,8.32,13.76,6.38,7.55,4.77,4.53
Q005,Mud crab (Scylla tranquebarica),1,5.47,7.47,8.68,14.34,7.48,4.85,3.7,3.88
Q006,Oyster (Crassostrea sp.),1,5.57,6.07,10.93,14.64,7.88,5.24,4.61,3.61
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,5.25,7.69,8.84,14.31,5.94,3.52,4.16,3.79
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,5.37,5.65,8.6,14.5,5.95,3.41,4.07,3.4
R001 ,"Clam, green shell (Perna viridis ) ",1,4.44,6.21,10.19,13.15,8.87,3.64,5.2,3.67
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,6.8,7.54,10.2,13.55,8.43,3.35,4.71,3.17
R003,Octopus (Octopus vulgaris),1,5.34,6.59,8.9,10.43,5.84,4.43,4.75,6.32
R004,"Squid, black (Loligo sp.)",1,5.27,6.99,10.65,13.08,5.95,4.56,4.16,4.3
R005,"Squid, hard shell (Sepia pharaonis)",1,4.43,7.03,9.96,13.99,4.64,4.44,4.5,2.91
R006,"Squid, red (Loligo duvauceli)",2,5.71,6.75,8.86,12.38,5.48,3.27,5.79,5.63
R007,"Squid, white, small (Uroteuthis duvauceli )",1,4.74,4.67,9.75,8.18,5.33,4.34,4.6,4.46
S001,Cat fish (Tandanus tandanus),2,2.38±0.43,4.03±0.54,1.56±0.17,6.74±0.65,8.78±0.99,7.13±1.37,4.72±0.54,3.82±0.32
S002,Catla (Catla catla),6,2.64±0.33,3.53±0.05,1.08±0.55,6.64±1.21,9.32±2.68,6.75±1.68,4.43±0.03,2.88±0.75
S003,Freshwater Eel (Anguilla anguilla),1,2.06,4.06,1.12,7.74,6.53,5.97,3.52,3.78
S004,Gold fish (Carassius auratus),1,3.12,3.19,1.61,7.39,8.61,7.77,4.38,3.14
S005,Pangas (Pangasianodon hypophthalmus),2,13.64,95.04,3.34,6.08,2.84,8.44,6.51,5.31
S006,Rohu (Labeo rohita),6,2.45±0.64,3.68±1.15,1.45±0.12,7.19±0.24,9.60±0.89,6.41±0.57,4.63±0.50,3.40±0.92
S007,Crab (Pachygrapsus sp.),1,2.92,5.27,2.03,9.15,8.42,7.73,3.8,5.17
S008,"Prawns, big (Macrobrachium rosenbergii)",3,2.79,3.28,1.82,9.11,9.1,5.49,4.13,2.66
S009,"Prawns, small (Macrobrachium sp.)",6,2.56±0.43,4.42±0.77,1.51±0.43,6.52±1.01,8.32±2.18,6.30±1.04,4.36±0.57,3.86±0.53
S010,Tiger prawns (Macrobrachium sp.),2,2.35,4.06,1.41,10.29,8.84,4.24,4.3,3.59
