code,name,regn,retol,ergcal,chocal,doh25,tocpha,tocphb,tocphg,tocphd,toctra,toctrb,toctrg,toctrd,vite,vitk1,vitk2
P021,Kadali (Nemipterus mesoprion),1,25.61,,0.84,0.20,0.58,,,,,,,,0.58,,1.02
P022,Kalamaara (Leptomelanosoma indicum),2,9.04,,1.45,0.05,0.82,,,,,,,,0.82,,0.85
P023,Kalava (Epinephelus coioides),1,1.29,,1.86,0.07,0.33,,,,,,,,0.33,,1.63
P024,Kanamayya (Lutjanus rivulatus),2,16.42,,0.82,0.34,0.59,,,,,,,,0.59,,2.15
P025,Kannadi paarai (Alectis indicus),3,12.37±5.10,,0.10±0.03,0.19±0.03,0.70±0.24,,,,,,,,0.70±0.24,,0.92±0.05
P026,Karimeen (Etroplus suratensis),1,1.29,,0.87,0.13,0.37,,,,,,,,0.37,,12.04
P027,Karnagawala (Anchoa hepsetus),1,1.82,,1.24,0.04,0.12,,,,,,,,0.12,,0.85
P028,Kayrai (Thunnus albacores),2,10.19,,3.12,0.13,0.75,,,,,,,,0.75,,1.70
P029,Kiriyan (Atule mate),1,1.62,,0.38,0.38,0.35,,,,,,,,0.35,,0.93
P030,Kite fish (Mobula kuhlii),1,1.52,,0.03,0.01,0.24,,,,,,,,0.24,,1.54
P031,Korka (Terapon jarbua),1,6.55,,0.34,0.02,0.63,,,,,,,,0.63,,1.31
P032,Kulam paarai (Carangoides fulvoguttatus),1,3.64,,2.45,0.31,1.05,,,,,,,,1.05,,0.88
P033,Maagaa (Polynemus plebeius),1,1.76,,1.18,0.09,1.03,,,,,,,,1.03,,0.75
P034,Mackerel (Rastrelliger kanagurta),3,16.34±16.88,,0.22±0.02,0.23±0.02,0.71±0.29,,,,,,,,0.71±0.29,,5.25±0.01
P035,Manda clathi (Naso reticulatus),1,1.99,,1.46,0.45,0.16,,,,,,,,0.16,,0.46
P036,Matha (Acanthurus mata ),2,4.99,,1.95,0.11,0.61,,,,,,,,0.61,,0.78
P037,Milk fish (Chanos chanos),1,3.29,,1.20,0.02,1.86,,,,,,,,1.86,,1.18
P038,Moon fish (Mene maculata),1,8.94,,0.48,0.09,1.20,,,,,,,,1.20,,4.20
P039,Mullet (Mugil cephalus),3,18.38±15.27,,0.31±0.07,0.19±0.02,0.53±0.63,,,,,,,,0.53±0.63,,0.83±0.03
P040,Mural (Tylosurus crocodilus crocodilus),1,1.61,,0.86,0.01,0.44,,,,,,,,0.44,,1.34
P041,Myil meen (Istiophorus platypterus),2,21.51,,0.18,0.22,0.53,,,,,,,,0.53,,0.89
P042,Nalla bontha (Epinephelus sp.),1,2.40,,0.54,0.01,0.11,,,,,,,,0.11,,1.20
P043,Narba (Caranx sexfasciatus),2,2.93,,0.19,0.20,0.90,,,,,,,,0.90,,1.11
P044,Paarai (Caranx heberi),1,3.23,,1.40,0.38,0.30,,,,,,,,0.30,,0.97
P045,Padayappa (Canthidermis maculata),1,1.46,,0.62,0.08,0.25,,,,,,,,0.25,,0.63
P046,Pali kora (Panna microdon),1,1.89,,0.11,0.02,0.44,,,,,,,,0.44,,1.92
P047,Pambada (Lepturacanthus savala),2,2.88,,1.15,0.20,0.55,,,,,,,,0.55,,0.98
P048,Pandukopa (Pseudosciaena manchurica),1,1.33,,0.20,0.10,0.47,,,,,,,,0.47,,0.62
P049,Parava (Lactarius lactarius),1,2.56,,1.12,0.01,0.55,,,,,,,,0.55,,0.66
P050,Parcus (Psettodes erumei),1,1.72,,0.57,0.20,0.30,,,,,,,,0.30,,1.84
P051,Parrot fish (Scarus ghobban),1,2.47,,0.67,0.01,0.26,,,,,,,,0.26,,2.83
P052,Perinkilichai (Pinjalo pinjalo),1,1.62,,0.36,0.08,1.10,,,,,,,,1.10,,0.95
P053,Phopat (Coryphaena hippurus),4,3.52±3.27,,0.43±0.24,0.25±0.16,0.58±0.60,,,,,,,,0.58±0.60,,0.75±0.11
P054,Piranha (Pygopritis sp.),1,1.05,,1.06,0.09,0.37,,,,,,,,0.37,,3.15
P055,"Pomfret, black (Parastromateus niger)",1,10.55,,2.28,0.66,0.60,,,,,,,,0.60,,102
P056,"Pomfret, snub nose (Trachinotus blochii)",2,3.91,,0.51,0.08,1.54,,,,,,,,1.54,,0.84
P057,"Pomfret, white (Pampus argenteus)",2,30.31,,0.61,0.10,1.26,,,,,,,,1.26,,0.99
P058,Pranel (Gerres sp.),1,1.84,,0.54,0.01,0.42,,,,,,,,0.42,,0.69
P059,Pulli paarai (Gnathanodon speciosus),1,1.75,,1.60,0.01,0.82,,,,,,,,0.82,,1.24
P060,Queen fish (Scomberoides commersonianus),3,1.52±0.47,,0.19±0.01,,0.40±0.26,,,,,,,,0.40±0.26,,0.79±0.01
P061,Raai fish (Lobotes surinamensis),2,1.15,,2.99,0.14,0.52,,,,,,,,0.52,,1.05
P062,Raai vanthu (Epinephelus chlorostigma),1,2.87,,1.23,,0.02,,,,,,,,0.02,,1.21
P063,Rani (Pink perch),1,1.78,,1.84,0.06,1.65,,,,,,,,1.65,,0.71
P064,"Ray fish, bow head, spotted (Rhina ancylostoma)",1,1.97,,0.81,0.02,0.33,,,,,,,,0.33,,1.51
P065,Red snapper (Lutjanus argentimaculatus),1,4.77,,2.32,0.05,0.41,,,,,,,,0.41,,98.48
P066,"Red snapper, small (Priacanthus hamrur)",1,20.87,,3.05,0.13,0.85,,,,,,,,0.85,,0.97
P067,Sadaya (Platax orbicularis ),1,64.20,,1.56,0.05,0.52,,,,,,,,0.52,,1.77
P068,Salmon (Salmo salar),1,15.63,,0.86,0.08,0.58,,,,,,,,0.58,,0.75
P069,Sangada (Nemipterus japonicus),1,3.07,,0.92,0.13,0.36,,,,,,,,0.36,,0.71
P070,Sankata paarai (Caranx ignobilis),1,2.58,,0.58,0.14,1.07,,,,,,,,1.07,,1.17
P071,Sardine (Sardinella longiceps),1,12.66,,3.51,,0.38,,,,,,,,0.38,,2.65
P072,Shark (Carcharhinus sorrah),2,1.11,,0.18,0.18,0.22,,,,,,,,0.22,,0.78
P073,"Shark, hammer head (Sphyrna mokarran)",1,20.55,,0.58,0.14,0.78,,,,,,,,0.78,,1.16
P074,"Shark, spotted (Stegostoma fasciatum)",1,12.43,,1.23,0.14,0.19,,,,,,,,0.19,,0.86
P075,Shelavu (Sphyraena jello),4,24.82±22.75,,1.77±0.10,0.10±0.01,0.36±0.21,,,,,,,,0.36±0.21,,1.72±0.01
P076,Silan (Silonia silondia),1,3.07,,0.18,,0.48,,,,,,,,0.48,,1.74
P077,Silk fish (Beryx sp.),1,1.69,,0.68,0.04,0.72,,,,,,,,0.72,,0.98
P078,Silver carp (Hypophthalmichthys molitrix),1,6.74,,0.69,0.17,0.60,,,,,,,,0.60,,0.83
P079,Sole fish (Cynoglossus arel),1,9.53,,1.12,0.01,0.18,,,,,,,,0.18,,0.74
P080,Stingray (Dasyatis pastinaca),1,7.55,,0.67,0.23,0.28,,,,,,,,0.28,,0.90
P081,Tarlava (Drepane punctata),2,5.32,,2.35,0.01,0.52,,,,,,,,0.52,,0.76
P082,Tholam (Plectorhinchus schotaf),2,250,,2.80,0.75,0.60,,,,,,,,0.60,,1.33
P083,Tilapia (Oreochromis niloticus),1,17.14,,0.85,0.08,1.86,,,,,,,,1.86,,3.65
P084,Tuna (Euthynnus affinis),5,16.65±8.35,,0.11±0.03,0.63±0.18,0.57±0.17,,,,,,,,0.57±0.17,,11.63±0.28
P085,"Tuna, striped (Katsuwonus pelamis)",1,21.01,,0.65,0.05,0.14,,,,,,,,0.14,,1.23
P086,Valava (Chirocentrus nudus),1,1.25,,0.25,0.01,0.31,,,,,,,,0.31,,0.84
P087,Vanjaram (Scomberomorus commerson),2,81.90,,1.57,0.07,0.67,,,,,,,,0.67,,0.65
P088,Vela meen (Aprion virescens),1,3.03,,0.92,,0.44,,,,,,,,0.44,,0.81
P089,Vora (Siganus javus),2,3.20,,0.60,0.16,0.65,,,,,,,,0.65,,1.97
P090,Whale shark (Galeocerdo cuvier),1,1.97,,1.82,0.35,0.17,,,,,,,,0.17,,0.81
P091,Xiphinis (Xiphias gladius),1,1.14,,0.02,0.07,0.76,,,,,,,,0.76,,0.78
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,2.55,,2.80,0.47,0.28,,,,,,,,0.28,,0.53
Q001,Crab (Menippe mercenaria),1,1.55,,0.21,0.68,6.33,,,,,,,,6.33,,1.04
Q002,"Crab, sea (Portunus sanguinolentus)",1,5.02,,0.63,0.10,2.06,,,,,,,,2.06,,1.11
Q003,"Lobster, brown (Thenus orientalis)",1,1.83,,0.78,0.06,1.35,,,,,,,,1.35,,1.06
Q004,"Lobster, king size (Thenus orientalis)",1,15.02,,0.19,0.09,0.52,,,,,,,,0.52,,1.25
Q005,Mud crab (Scylla tranquebarica),1,8.33,,0.94,0.14,2.34,,,,,,,,2.34,,1.03
Q006,Oyster (Crassostrea sp.),1,25.36,,0.82,0.04,1.11,,,,,,,,1.11,,1.72
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,1.24,,1.18,0.35,3.04,,,,,,,,3.04,,297
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,6.55,,1.62,0.63,2.87,,,,,,,,2.87,,2.32
R001,"Clam, green shell (Perna viridis)",1,29.04,,0.86,0.07,2.7,,,,,,,,2.7,,1.48
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,8.50,,2.08,0.10,1.21,,,,,,,,1.21,,1.53
R003,Octopus (Octopus vulgaris),1,28.00,,0.43,0.24,0.66,,,,,,,,0.66,,0.84
R004,"Squid, black (Loligo sp.)",1,2.55,,0.57,0.32,0.68,,,,,,,,0.68,,1.14
R005,"Squid, hard shell (Sepia pharaonis)",1,1.93,,0.78,0.22,0.55,,,,,,,,0.55,,2.26
R006,"Squid, red (Loligo duvauceli)",2,4.72,,1.05,0.18,0.47,,,,,,,,0.47,,1.14
R007,"Squid, white, small (Uroteuthis duvauceli)",1,8.55,,0.55,0.16,0.66,,,,,,,,0.66,,1.84
S001,Cat fish (Tandanus tandanus),2,13.59±0.70,,1.37±0.12,0.11±0.02,0.38±0.00,,,,,,,,0.38±0.00,,0.96±0.00
S002,Catla (Catla catla),6,4.32±0.78,,1.90±0.19,0.16±0.04,2.35±0.00,,,,,,,,2.35±0.00,,1.12±0.02
S003,Freshwater Eel (Anguilla anguilla),1,866,,3.81,0.57,1.80,,,,,,,,1.80,,1.23
S004,Gold fish (Carassius auratus),2,22.95,,0.21,0.07,2.10,,,,,,,,2.10,,1.26
S005,Pangas (Pangasianodon hypophthalmus),6,14.59±0.00,,0.20±0.04,0.08±0.04,2.80±0.00,,,,,,,,2.80±0.00,,0.92±0.07
S006,Rohu (Labeo rohita),6,3.87±0.94,,0.84±0.11,0.17±0.03,2.40±0.00,,,,,,,,2.40±0.00,,1.03±0.24
S007,Crab (Pachygrapsus sp.),1,12.55,,1.20,0.17,4.85,,,,,,,,4.85,,0.91
S008,"Prawns, big (Macrobrachium rosenbergii)",1,3.56,,0.35,0.10,2.85,,,,,,,,,,0.84
S009,"Prawns, small (Macrobrachium sp.)",3,2.78,,0.95,0.15,1.75,,,,,,,,1.75,,0.80
S010,Tiger prawns (Macrobrachium sp.),2,0.55,,1.34,0.27,1.65,,,,,,,,1.65,,1.02
