code,name,regn,dhbenzac34,hbenzal3,pcathac,vanlac,gallac,cinmac,coumaco,coumacp,caffac
B019,"Rajmah, brown (Phaseolus vulgaris)",6,,,,,,,,3.96±1.08,2.74±0.26
B020,"Rajmah, red (Phaseolus vulgaris)",3,,,,,,,,3.80±1.44,2.42±0.33
B021,"Red gram, dal (Cajanus cajan)",6,0.08±0.01,,0.13±0.02,0.04±0.01,,,,0.36±0.03,
B022,"Red gram, whole (Cajanus cajan)",6,0.59±0.03,,0.63±0.05,0.41±0.12,,,,0.59±0.03,
B023,Ricebean (Vigna umbellata ),1,0.03,,0.11,0.09,,0.03,,0.02,
B024,"Soya bean, brown (Glycine max)",6,1.45±0.14,,1.75±0.06,0.41±0.10,1.28±0.02,,,1.07±0.02,5.88±0.48
B025,"Soya bean, white (Glycine max)",1,1.48,,1.87,0.35,1.31,,,1.04,4.12
C001,Agathi leaves (Sesbania grandiflora),1,1.66,,,,0.99,,0.36,0.41,0.2
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,0.79±0.32,,,1.08±0.32,,,,0.48±0.22,0.54±0.22
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,0.92,,,1.24,,,,1.42,0.57
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,0.64±0.09,,,1.39±0.42,,,,0.67±0.33,0.58±0.09
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,,,,,,,,0.61±0.13,4.06±0.44
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,,,,,,,,0.72,4.41
C007,Basella leaves (Basella alba),2,0.03,,0.07,,,,,,0.05
C008,Bathua leaves (Chenopodium album),2,0.4,,,0.09,,,,,0.23
C009,Beet greens (Beta vulgaris),6,,,,,,,,,
C010,"Betel leaves, big (kolkata) (Piper betle)",6,,,0.12±0.02,,,,,,0.07±0.01
C011,"Betel leaves, small (Piper betle)",4,,,0.28±0.04,,,,,,0.25±0.02
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,,,,,,
C013,"Cabbage, Chinese (Brassica rupa)",1,0.03,,,,,,,,
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,0.03,,,,,,,,2.89
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,0.02±0.01,,,,,,,,3.96±0.41
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,0.05,,,,,,,,4
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,,0.88±0.08,,0.08±0.01,,,0.69±0.01,2.39±0.35
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,,,,,,,0.47±0.02,
C019,Drumstick leaves (Moringa oleifera),3,,,0.28±0.05,,,,,0.93±0.08,0.05±0.01
C020,Fenugreek leaves (Trigonella foenum graecum),5,,,0.67±0.16,,2.64±0.71,,,0.59±0.10,0.86±0.45
C021,Garden cress (Lepidium sativum),2,,,,,,,,0.05,0.04
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,,,,,,,0.40±0.17,0.50±0.15
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,,,,,,,0.51,0.61
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,0.07,,,,,,,0.55,
C025,Lettuce (Lactuca sativa),3,,,,,,,,,
C026,Mustard leaves (Brassica juncea),3,,,,,,,,2.44±0.26,1.66±0.19
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,,,,,,,,,
C028,Parsley (Petroselinum crispum),3,,,,1.18±0.09,,,0.41±0.02,0.02±0.01,0.27±0.04
C029,Ponnaganni (Alternanthera sessilis),2,0.41,,1.57,,,,,,0.03
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,,,,,,,,0.25±0.03,0.40±0.03
C031,Radish leaves (Raphanus sativus),6,,,1.40±0.07,,0.04±0.01,,,0.26±0.03,0.41±0.01
C032,Rumex leaves (Rumex patientia ),2,,,,,,,,0.1,0.77
C033,Spinach (Spinacia oleracea),6,,,2.26±0.51,,,,,4.30±0.56,
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,,,,,,0.23±0.02
D001 ,Ash gourd (Benincasa hispida) ,6,0.03±0.02 ,,,,0.34±0.11 ,0.93±0.73,,,
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,,,,,0.36,,,
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,0.21±0.02,,,,,,,0.85±0.00,1.25±0.00
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,,,0.04±0.01,0.74±0.39,,,0.05±0.03
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,,,0.05±0.04,1.21±1.15,,,0.07±0.04
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,,,0.08,1.64,,,0.05
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,,,,,0.05±0.02,1.96±0.71,,,0.60±0.06
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,,,,,0.05±0.01,1.90±0.67,,,0.79±0.41
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,,,,,0.04,1.84,,,0.59
D010,Brinjal-1 (Solanum melongena),1,,,1.73,,0.21,,,1.39,0.83
D011,Brinjal-2 (Solanum melongena),1,,,1.82,,0.29,,,1.27,0.76
D012,Brinjal-3 (Solanum melongena),2,,,1.96,,0.28,,,1.41,0.8
D013,Brinjal-4 (Solanum melongena),4,,,1.50±0.27,,0.29±0.03,,,1.40±0.04,0.84±0.07
D014,Brinjal-5 (Solanum melongena),3,,,2.32±0.28,,0.32±0.03,,,1.36±0.07,0.78±0.10
D015,Brinjal-6 (Solanum melongena),2,,,1.82,,0.19,,,1.33,0.81
D016,Brinjal-7 (Solanum melongena),1,,,1.69,,0.29,,,1.41,0.88
D017,Brinjal-8(Solanum melongena),3,,,1.82±0.06,,0.31±0.03,,,1.43±0.06,0.84±0.03
D018,Brinjal-9(Solanum melongena),2,,,1.71,,0.35,,,1.43,0.89
D019,Brinjal-10 (Solanum melongena),2,,,1.31,,0.28,,,1.37,0.89
D020,Brinjal-11 (Solanum melongena),6,,,1.74±0.12,,0.30±0.06,,,1.46±0.10,0.79±0.11
D021,Brinjal-12 (Solanum melongena),2,,,2.47,,0.3,,,1.38,0.88
D022,Brinjal-13(Solanum melongena),1,,,1.82,,0.26,,,1.39,0.86
D023,Brinjal-14(Solanum melongena),3,,,1.73±0.16,,0.33±0.04,,,1.45±0.08,0.84±0.03
D024,Brinjal-15 (Solanum melongena),4,,,1.71±0.14,,0.29±0.02,,,1.58±0.13,0.86±0.05
D025,Brinjal-16(Solanum melongena),1,,,1.89,,0.31,,,1.52,0.88
D026,Brinjal-17(Solanum melongena),1,,,1.79,,0.27,,,1.49,0.81
D027,Brinjal-18 (Solanum melongena),3,,,1.75±0.18,,0.30±0.05,,,1.44±0.07,0.77±0.13
D028,Brinjal-19(Solanum melongena),3,,,1.65±0.13,,0.32±0.03,,,1.53±0.14,0.76±0.12
D029,Brinjal-20(Solanum melongena),5,,,1.75±0.13,,0.28±0.02,,,1.44±0.11,0.87±0.08
D030,Brinjal-21(Solanum melongena),2,,,2.86,,0.3,,,1.39,0.83
D031,Brinjal - all varieties (Solanum melongena),6,,,1.81±0.33,,0.29±0.04,,,1.44±0.10,0.82±0.08
D032,Broad beans (Vicia faba),3,,,1.68±0.62,,,,,,0.09±0.01
D033,"Capsicum, green (Capsicum annuum)",6,,,0.46±0.03,0.07±0.02,,,,,0.07±0.02
D034,"Capsicum, red (Capsicum annuum)",4,,,0.58±0.00,1.02±0.00,,,,,0.84±0.00
D035,"Capsicum, yellow (Capsicum annuum)",4,,,0.48±0.00,0.41±0.00,,,,,0.35±0.00
D036,Cauliflower (Brassica oleracea),6,,,0.88±0.05,,0.69±0.05,,,0.57±0.07,1.40±0.29
D037,Celery stalk (Apium graveolens),3,,,0.32±0.04,,,,,,0.30±0.05
D038,Cho-cho-marrow (Sechium edule),4,0.38±0.06,,,,,0.36±0.04,,,0.05±0.01
D039,Cluster beans (Cyamopsis tetragonobola),6,,,,,,,,0.04±0.01,0.78±0.04
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,,,,1.89,,,3.82,4.18
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,,,,0.60±0.37,,,1.38±0.76,1.28±0.59
D042,"Corn, Baby (Zea mays)",6,0.03±0.01,,0.13±0.03,1.20±0.11,,,,0.20±0.15,0.31±0.10
D043,"Cucumber, green, elongate (Cucumis sativus)",6,,,,,,,,,
D044,"Cucumber, green, short (Cucumis sativus)",6,,,,,,,,,
D045,"Cucumber, orange, round (Cucumis sativus)",2,,,,,,,,,
D046,Drumstick (Moringa oleifera),6,2.93±0.51,,,,,3.36±0.89,,,1.67±0.12
D047,"Field beans, tender, broad (Vicia faba)",2,,,,,,,,,0.81
D048,"Field beans, tender, lean (Vicia faba)",6,,,,,,,,,0.62±0.08
D049,"French beans, country (Phaseolus vulgaris)",5,0.27±0.05,,,,,,,0.80±0.10,1.54±0.17
D050,"French beans, hybrid (Phaseolus vulgaris)",2,0.31,,,,,,,0.92,1.71
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,3.03±0.86,,,,,,,,1.04±0.52
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,0.56±0.08,,,,,,,,0.31±0.10
D053,Knol - Khol (Brassica oleracea),6,0.05±0.02,,,,,,,0.57±0.15,
D054,"Kovai, big (Coccinia cordifolia)",6,0.04±0.02,0.08±0.01,,,,,,,0.44±0.03
D055,"Kovai, small (Coccinia cordifolia)",1,0.07,0.07,,,,,,,0.49
D056,Ladies finger (Abelmoschus esculentus),6,,,,,,,,,1.62±0.19
D057,"Mango, green, raw (Mangifera indica)",6,,,,0.18±0.31,0.35±0.08,,,,
D058,"Onion, stalk (Allium cepa)",6,,0.17±0.01,,,,,,0.16±0.01,0.26±0.01
D059,"Papaya, raw (Carica papaya)",6,,,,,,,,,
D060,Parwar (Trichosanthes dioica),6,,,0.44±0.05,0.32±0.07,,,,,0.05±0.01
D061,"Peas, fresh (Pisum sativum)",6,0.61±0.29,,,,,,,2.10±0.86,1.58±0.20
D062,"Plantain, flower (Musa x paradisiaca)",6,,,,,,,,,0.63±0.05
D063,"Plantain, green (Musa x paradisiaca)",6,,,,,0.40±0.23,,,,
D064,"Plantain, stem (Musa x paradisiaca)",6,,,0.49±0.08,0.04±0.01,,,,,0.04±0.02
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,,,,,,,,0.04,
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,,,,,,,,0.06±0.02,0.08±0.01
D067,"Red gram, tender, fresh (Cajanus cajan)",1,0.23,,0.37,0.32,,0.61,,0.46,
D068,Ridge gourd (Luffa acutangula),6,,,,,,,,0.51±0.10,0.54±0.12
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,,,,,,,,0.54±0.03,0.49±0.06
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,0.36±0.14,,,,,,0.47±0.15,0.06±0.01,0.47±0.16
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,0.31,,,,,,0.45,0.07,0.4
D072,"Snake gourd, short (Trichosanthes anguina)",1,0.31,,,,,,0.31,0.09,0.52
D073,"Tinda, tender (Praecitrullus fistulosus)",6,0.42±0.10,,,,,,,0.34±0.03,0.04±0.02
D074,"Tomato, green (Lycopersicon esculentum)",6,,,0.43±0.07,,,,,,0.05±0.01
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,,,,,,,,0.05±0.02,0.41±0.11
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,,,,,,,,0.10±0.02,0.66±0.08
D077,"Zucchini, green (Cucurbita pepo)",2,0.05,,,,,,,,
D078,"Zucchini, yellow(Cucurbita pepo)",2,0.03,,,,,,,,
E001 ,"Apple, big (Malus domestica) ",6,0.84±0.06 ,,,,,,,,0.39±0.11
E002,"Apple, green (Malus domestica)",6,0.81±0.10,,,,,,,,0.27±0.05
E003,"Apple, small (Malus domestica)",6,0.77±0.10,,,,,,,,0.47±0.17
E004,"Apple, small, Kashmir (Malus domestica)",1,0.63,,,,,,,,0.65
E005,"Apricot, dried (Prunus armeniaca)",6,,,,,,,,0.83±0.08,0.12±0.02
E006,"Apricot, processed (Prunus armeniaca)",3,,,,,,,,0.59±0.02,0.05±0.01
E007,Avocado fruit (Persea americana),1,,,0.06,,,,,0.12,
E008,Bael fruit (Aegle marmelos),1,,,0.09,,,,,0.21,
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,,,,,0.31,,,,
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,,,,,0.12,,,,
E011,"Banana, ripe, red (Musa x paradisiaca)",1,,,,,0.12,,,,
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,,,,0.13±0.02,0.12±0.03,,,,
E013,Black berry (Rubus fruticosus),5,,,,,4.68±0.19,,,,0.46±0.06
E014,"Cherries, red (Prunus cerasus)",4,,,,0.65±0.13,,,,0.08±0.01,0.38±0.11
E015,"Currants, black (Ribes nigrum)",1,,,,,,,,,
E016,Custard apple (Annona squamosa),1,,,,,,,,,
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,,,0.51±0.31,0.59±0.22,1.55±0.03,,,2.90±0.53,0.25±0.03
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,,,1.36,1.27,1.57,,,,0.03
E019,"Dates, processed (Phoenix dactylifera)",2,,,0.22,0.63,0.16,,,2.38,0.22
E020,Fig (Ficus carica),6,,,,,,,,,
E021,Goosberry (Emblica officinalis),5,1.34±0.18,,0.47±0.10,,93.12±4.37,,,0.66±0.07,0.20±0.01
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,,,0.54±0.18,0.43±0.28,,,,2.63±0.44,0.10±0.01
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,,,1.61±0.83,2.15±0.85,,,,2.71±0.20,0.25±0.09
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,,,2.84±0.00,2.63±0.00,,,,2.96±0.00,0.37±0.00
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,,,0.63±0.00,0.84±0.00,,,,2.57±0.00,0.14±0.00
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,,,0.85±0.01,1.81±0.09,,,,3.15±0.01,0.22±0.10
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,,,0.60±0.00,0.87±0.00,,,,2.78±0.00,0.12±0.00
E028,"Guava, white flesh (Psidium guajava)",5,,,,,2.51±0.36,,,,
E029,"Guava, pink flesh (Psidium guajava)",5,,,,,5.42±0.49,,,,
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,2.90±0.28,,,,,,,,1.54±0.36
E031,"Jambu fruit, ripe (Syzygium cumini)",2,,,0.06,,0.39,,,,0.02
E032,Karonda fruit (Carissa carandas),1,0.03,,,0.12,,,,0.16,
E033,"Lemon, juice (Citrus limon)",6,,,,,,,,1.61±0.22,3.04±0.58
E034,"Lime, sweet, pulp (Citrus limetta)",6,,,,,,,,,
E035,Litchi (Nephelium litchi),4,,,2.26±0.85,,0.70±0.30,,,,2.12±0.41
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,,,,0.43±0.12,,,0.74±0.19,0.64±0.13
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,,,,0.56,,,0.67,0.93
E038,"Mango, ripe, himsagar (Mangifera indica)",3,,,,,1.29±0.67,,,0.85±0.08,1.43±0.55
E039,"Mango, ripe, kesar (Mangifera indica)",4,,,,,0.56±0.20,,,0.81±0.21,1.01±0.53
E040,"Mango, ripe, neelam (Mangifera indica)",2,,,,,0.41,,,1.02,0.74
E041,"Mango, ripe, paheri (Mangifera indica)",2,,,,,1.22,,,0.93,1.11
E042,"Mango, ripe, totapari (Mangifera indica)",1,,,,,0.93,,,0.74,0.81
E043,Mangosteen (Garcinia mangostana),1,,,,,,,,,
E044,Manila tamarind (Pithecellobium dulce),1,,,,,,,,,
E045,"Musk melon, orange flesh (Cucumis melon)",5,,,,,,,,0.04±0.01,
E046,"Musk melon, yellow flesh (Cucumis melon)",6,,,,,,,,0.02±0.01,
E047,"Orange, pulp (Citrus aurantium)",6,,,,,,,,,
E048,"Palm fruit, tender (Borassus flabellifer)",1,0.03,,,0.09,,,,0.12,
E049,"Papaya, ripe (Carcia papaya)",6,,,,,,,,,
E050,Peach (Prunus communis),1,0.03,,,,,,,,
E051,Pear (Pyrus sp.),6,,0.05±0.01,0.39±0.05,,,,,,
E052,Phalsa (Grewia asiatica),2,,,0.53,,,,,,0.6
E053,Pineapple (Ananas comosus),6,,,,,,,,0.62±0.06,0.90±0.04
E054,Plum (Prunus domestica),3,,,,,,,,,
E055,"Pomegranate, maroon seeds (Punica granatum)",6,,,,,0.09±0.02,,,,
E056,Pummelo (Citrus maxima),3,,,,,,,,,
E057,"Raisins, dried, black (Vitis vinifera)",6,,,,,,,,0.55±0.04,0.71±0.06
E058,"Raisins, dried, golden (Vitis vinifera)",6,,,,,,,,1.66±0.13,0.48±0.13
E059,Rambutan (Nephelium lappaceum),1,0.06,,,0.12,,,,1.21,1.32
E060,Sapota (Achras sapota),6,,,,1.51±0.48,,,,,0.61±0.07
E061,Soursop (Annona muricata),1,,,,0.55,,,,,0.12
E062,Star fruit (Averrhoa carambola),1,,,,0.49,,,,,
E063,Strawberry (Fragaria ananassa),6,,,,,,0.22±0.03,,0.20±0.08,
E064,"Tamarind, pulp (Tamarindus indicus)",6,,,,,,,,,
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,0.34±0.10,,,,,,,1.77±0.13,0.38±0.10
E066,"Water melon, pale green (Citrullus vulgaris)",6,0.34±0.11,,,,,,,1.53±0.14,0.33±0.07
E067,Wood Apple (Limonia acidissima),3,,,,,,,,0.02±0.01,1.11±0.14
E068,Zizyphus (Zizyphus jujube),1,,,,,,,,0.04,
F001 ,Beet root (Beta vulgaris) ,6,,,,0.29±0.03 ,,,,0.05±0.02 ,0.14±0.02
F002,"Carrot, orange (Dacus carota)",6,,,,,,,,,0.73±0.12
F003,"Carrot, red (Dacus carota)",4,,,,,,,,,0.89±0.11
F004,Colocasia (Colocasia antiquorum),6,,,,,0.52±0.21,,,1.61±0.25,2.63±0.34
F005,Lotus root (Nelumbium nelumbo),3,,,,,,,,0.03±0.01,0.37±0.01
F006,"Potato, brown skin, big (Solanum tuberosum)",6,,,,,,,,,2.40±0.38
F007,"Potato, brown skin, small (Solanum tuberosum)",1,,,,,,,,,4.12
F008,"Potato, red skin (Solanum tuberosum)",1,,,,,,,,,4.18
F009,"Radish, elongate, red skin (Raphanus sativus)",3,,,,,0.05±0.01,,,4.27±1.30,2.17±0.85
F010,"Radish, elongate, white skin (Raphanus sativus)",6,,,,,0.03±0.01,,,4.39±0.60,2.46±0.33
F011,"Radish, round, red skin (Raphanus sativus)",1,,,,,0.07,,,4.71,1.69
F012,"Radish, round, white skin (Raphanus sativus)",2,,,,,0.06,,,4.26,2.01
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,,0.37±0.04,,,,,,0.08±0.02
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,,0.52±0.10,,,,,,0.09±0.01
F015,Tapioca (Manihot esculenta),3,,,,,,,,0.04±0.02,0.32±0.01
F016,Water Chestnut (Eleocharis dulcis),1,,,,,,,,,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,0.06±0.01,,,,,
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,,,,0.13±0.01,,,,,
F019,"Yam, wild (Dioscorea versicolor)",2,,,,0.13,,,,,
G001,"Chillies, green-1 (Capsicum annum)",5,,,,,0.07±0.03,,,0.65±0.16,3.20±0.66
G002,"Chillies, green-2 (Capsicum annum)",3,,,,,0.08±0.01,,,0.09±0.01,2.46±1.02
G003,"Chillies, green-3 (Capsicum annum)",5,,,,,0.10±0.02,,,0.23±0.11,3.10±1.16
G004,"Chillies, green-4 (Capsicum annum)",3,,,,,0.09±0.02,,,0.15±0.09,2.59±0.41
G005,"Chillies, green-5 (Capsicum annum)",2,,,,,0.08±0.03,,,0.49±0.07,3.84±0.95
G006,"Chillies, green-6 (Capsicum annum)",1,,,,,0.09,,,0.62,3.66
G007,"Chillies, green-7 (Capsicum annum)",1,,,,,0.07,,,0.06,1.94
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,,,0.08±0.02,,,0.35±0.25,3.03±0.88
G009,Coriander leaves (Coriandrum sativum),6,2.38±0.69,,2.29±0.59,,,,,,0.80±0.12
G010,Curry leaves (Murraya koenigii),6,,,,,,,,,0.15±0.03
G011,"Garlic, big clove (Allium sativum)",6,,,,2.13±0.87,,,,5.88±1.32,6.88±0.30
G012,"Garlic, small clove (Allium sativum)",3,,,,2.49±0.44,,,,5.97±0.75,6.74±0.53
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,,,,2.14,,,,5.98,6.89
G014,"Ginger, fresh (Zinziber officinale)",6,,,,,,,,,11.84±0.41
G015,Mango ginger (Curcuma amada),3,,,0.31±0.01,0.05±0.01,,,,,
G016,Mint leaves (Mentha spicata ),4,,,,,0.99±0.15,,,0.03±0.02,5.66±0.40
G017,"Onion, big (Allium cepa)",6,,,2.91±0.49,,,,,,
G018,"Onion, small (Allium cepa)",5,,,2.71±0.65,,,,,,
G019,Asafoetida (Ferula assa-foetida),6,,,,0.52±0.31,,,,0.23±0.07,
G020,"Cardamom, green (Elettaria cardamomum)",6,,,2.73±0.47,1.40±0.25,,,,1.46±0.25,
G021,"Cardamom, black (Elettaria cardamomum)",4,,,2.78±0.19,1.80±0.12,,,,3.57±0.32,
G022,"Chillies, red (Capsicum annum)",6,,,,,0.28±0.03,,,0.34±0.12,0.72±0.14
G023,Cloves (Syzygium aromaticum),6,,,0.70±0.09,,23.77±2.98,,,7.42±0.75,
G024,Coriander seeds (Coriandrum sativum),6,,,,,,,,0.04±0.02,0.10±0.03
G025,Cumin seeds (Cuminum cyminum),6,,,,,,,,0.03±0.02,0.42±0.20
G026,Fenugreek seeds (Trigonella foenum graecum),6,,,,,,,,,0.05±0.02
G027,Mace (Myristica fragrans),6,0.11±0.02,,0.65±0.06,1.52±0.27,,,,1.52±0.27,0.85±0.10
G028,Nutmeg (Myristica fragrans),6,,,0.05±0.01,0.35±0.16,,,,0.07±0.01,16.04±0.82
G029,Omum (Trachyspermum ammi),6,,,2.02±0.74,0.05±0.01,,,,0.07±0.02,1.91±0.69
G030,Pippali (Piper longum),6,,,6.56±1.17,,,,,,
