code,name,regn,f12d0,f14d0,f15d0,f16d0,f18d0,f20d0,f22d0,f24d0,f16d1c
P091,Xiphinis (Xiphias gladius),1,,39.39,5.47,235,73.36,6.43,3.36,,27.21
P092,"Eggs, Cat fish (Ompok bimaculatus)",1,,67.15,,1206,526,5.72,12.81,,197
Q001 ,Crab (Menippe mercenaria) ,1,,10.85,,131,71.8,,,,29.24
Q002,"Crab, sea (Portunus sanguinolentus)",1,,5.7,1.01,63.49,57.4,0.99,,,20.35
Q003,"Lobster, brown (Thenus orientalis)",1,,6.83,2.32,56.45,37.7,2.26,,,19.88
Q004,"Lobster, king size (Thenus orientalis)",1,,7.51,,95.24,71.66,,,,28.21
Q005,Mud crab (Scylla tranquebarica),1,,4.36,,52.71,38.05,,,,17.87
Q006,Oyster (Crassostrea sp.),1,,126,27.48,736,190,8.39,,,137
Q007,"Tiger prawns, brown (Solenocera crassicornis)",1,,7.19,3.11,65.63,43.57,1.2,,,25.87
Q008,"Tiger Prawns, orange (Penaeus monodon)",1,,5.2,5.31,94.05,72.64,,,,24.59
R001,"Clam, green shell(Perna viridis )",1,,42.42,14.06,185,42.78,1.35,,,57.16
R002,"Clam, white shell, ribbed (Meretrix meretrix)",1,,36.15,10.27,256,132,5.94,,,52.47
R003,Octopus (Octopus vulgaris),1,,17.36,,173,135,,,,23.57
R004,"Squid, black (Loligo sp.)",1,,19.7,,201,65.78,,,,6.59
R005,"Squid, hard shell (Sepia pharaonis)",1,,12.75,3.64,135,74.11,1.6,,,13.13
R006,"Squid, red (Loligo duvauceli)",2,,31.31,6.46,323,87.45,,,,12.49
R007,"Squid, white, small (Uroteuthis duvauceli)",1,,15.78,,182,106,,,,6.79
S001,Cat fish (Tandanus tandanus),2,28.88±30.76,177±133,,1554±1062,395±209,16.30±7.57,11.03±4.77,,538±436
S002,Catla (Catla catla),6,,162±40.1,,1162±142,330±126,15.51±2.56,,,273±89.9
S003,Freshwater Eel (Anguilla anguilla),1,8.87,94.91,,640,217,14.44,5.84,,204
S004,Gold fish (Carassius auratus),2,7.45,77.02,,647,154,8.78,3.43,,260
S005,Pangas (Pangasianodon hypophthalmus),6,,58.54±26.07,,635±269,161±56.7,7.82±1.68,,,132±52.4
S006,Rohu (Labeo rohita),6,6.94±6.00,337±81.1,,2234±531,571±95.7,13.83±3.99,19.47±16.17,,123±17.4
S007,Crab (Pachygrapsus sp.),1,,10.85,,131,71.8,,,,29.24
S008,"Prawns, big (Macrobrachium rosenbergii)",1,,4.5,,53.55,28.81,,,,14.59
S009,"Prawns, small (Macrobrachium sp.)",3,,10.71,,133,53.52,,,,22.05
S010,Tiger prawns (Macrobrachium sp.),2,,4.78,,83.75,45.91,,,,16.21
