code,name,regn,his,ile,leu,lys,met,cys,phe,thr,trp,val
E005,"Apricot, dried (Prunus armeniaca)",6,1.21±0.29,2.25±0.31,4.22±0.08,3.28±0.19,1.19±0.30,0.86±0.11,2.73±0.41,2.48±0.16,0.70±0.07,2.31±0.33
E006,"Apricot, processed (Prunus armeniaca)",3,1.49±0.63,2.22±0.33,4.12±0.14,4.54±0.49,0.80±0.01,0.60±0.01,2.69±0.09,2.58±0.26,0.80±0.02,2.12±0.02
E007,Avocado fruit (Persea americana),1,2.38,3.45,6.27,5.84,1.66,1.58,4.24,3.48,1.04,4.48
E008,Bael fruit (Aegle marmelos),1,2.52,3.29,5.86,4.86,1.26,0.65,4.81,4.16,0.98,4.62
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,6.76,4.94,9.22,4.51,1.18,0.64,5.52,4.66,0.81,5.82
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,6.42,3.79,9.41,4.89,1.05,0.75,5.32,5.08,0.9,6.11
E011,"Banana, ripe, red (Musa x paradisiaca)",1,6.77,4.25,8.72,4.17,1.2,0.53,5.28,4.56,0.82,6.56
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,5.85±0.26,3.69±0.41,8.23±0.47,4.30±0.27,1.09±0.13,0.57±0.11,4.28±0.49,4.09±0.21,0.99±0.08,6.05±0.40
E013,Black berry (Rubus fruticosus),5,3.09±0.34,4.86±0.26,7.82±0.34,4.72±0.13,1.49±0.16,0.66±0.12,5.18±0.91,4.76±0.43,0.83±0.06,6.57±0.58
E014,"Cherries, red (Prunus cerasus)",4,1.76±0.23,3.46±0.88,5.88±1.42,3.88±0.27,1.68±0.61,0.92±0.10,4.10±1.05,4.06±0.75,0.50±0.06,4.78±1.02
E015,"Currants, black (Ribes nigrum)",1,2.25,4.35,8.33,3.82,1.77,0.44,4.42,4.14,1.47,5.11
E016,Custard apple (Annona squamosa),1,5.25,2.26,4.88,4.26,0.99,0.48,4.16,4.37,0.86,4.86
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,1.84±0.38,1.92±0.39,5.17±0.79,2.44±0.77,1.03±0.20,1.33±0.12,3.55±0.72,3.73±0.43,0.85±0.12,2.85±0.46
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,2.06,3.05,5.23,2.81,1.25,1.26,3.46,3.27,1.83,3.3
E019,"Dates, processed (Phoenix dactylifera)",2,1.62,2.29,4.98,2.97,1.05,1.35,2.59,3.64,0.8,2.85
E020,Fig (Ficus carica),6,1.16±0.05,4.84±0.20,5.80±0.19,3.19±0.18,0.90±0.14,1.68±0.12,3.36±0.28,4.24±0.35,0.85±0.03,5.34±0.14
E021,Goosberry (Emblica officinalis),5,2.40±0.26,1.94±0.34,4.25±0.42,4.06±0.50,0.73±0.17,0.61±0.16,4.85±2.04,3.30±0.69,0.75±0.08,2.99±0.39
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,2.59±0.25,1.98±0.37,5.92±0.81,2.15±0.18,1.13±0.31,1.17±0.02,3.59±0.35,4.90±0.39,0.49±0.03,2.60±0.18
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,2.61±0.31,2.20±0.09,6.31±0.72,2.34±0.16,1.04±0.16,1.25±0.11,3.12±0.33,5.33±0.31,0.66±0.06,2.46±0.24
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,2.34±0.19,3.49±0.30,5.86±0.40,1.92±0.13,0.94±0.16,1.14±0.12,4.14±0.53,4.87±0.72,0.69±0.13,2.83±0.25
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,2.78±0.10,2.58±0.31,7.21±0.21,1.92±0.16,1.02±0.12,1.24±0.37,3.85±0.19,5.28±0.13,0.69±0.10,2.73±0.21
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,2.87±0.32,1.98±0.12,7.15±0.15,2.38±0.12,0.91±0.01,1.33±0.17,4.17±0.16,5.25±0.21,0.69±0.18,2.70±0.03
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,2.32±0.18,2.74±0.07,6.44±0.19,2.55±0.16,0.85±0.11,1.15±0.12,4.79±0.13,5.05±0.23,0.76±0.14,2.70±0.07
E028,"Guava, white flesh (Psidium guajava)",5,2.04±0.07,4.08±0.82,6.77±0.86,2.55±0.19,0.96±0.05,0.97±0.12,1.34±0.13,3.15±0.46,0.83±0.12,3.27±0.21
E029,"Guava, pink flesh (Psidium guajava)",5,1.84±0.21,3.94±0.27,6.01±0.60,2.76±0.17,0.89±0.23,1.02±0.30,1.55±0.28,3.77±0.22,0.77±0.04,3.36±0.20
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,1.63±0.23,3.49±0.55,6.76±0.90,3.32±0.40,0.54±0.13,0.50±0.09,4.49±1.06,4.35±0.71,0.62±0.51,5.18±1.28
E031,"Jambu fruit, ripe (Syzygium cumini)",2,2.38,5.21,8.52,1.99,1.85,0.93,5.63,5.32,0.83,6.99
E032,Karonda fruit (Carissa carandas),1,3.08,2.86,4.85,1.98,1.25,1.18,3.86,3.66,0.85,4.62
E033,"Lemon, juice (Citrus limon)",6,1.99±0.16,2.72±0.15,2.51±0.49,5.07±0.09,1.10±0.07,1.28±0.30,3.54±0.20,1.69±0.17,0.45±0.21,2.90±0.42
E034,"Lime, sweet,pulp (Citrus limetta)",6,3.40±0.31,2.12±0.09,2.66±0.27,2.31±0.17,0.97±0.59,1.33±0.04,1.32±0.23,1.29±0.17,0.48±0.09,1.73±0.22
E035,Litchi (Nephelium litchi),4,1.84±0.27,4.73±0.36,8.08±0.63,4.95±0.22,1.46±0.23,1.22±0.15,5.39±0.39,4.74±0.52,0.74±0.04,6.05±0.58
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,2.69±0.29,3.73±0.48,8.18±1.05,5.69±0.24,1.57±0.13,0.78±0.19,3.20±0.17,5.10±0.44,0.94±0.32,5.92±0.91
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,2.33,3.79,9.21,3.34,1.66,0.71,3.75,5.38,1.33,6.32
E038,"Mango, ripe, himsagar (Mangifera indica)",3,2.18±0.33,3.80±0.44,7.55±0.42,4.74±0.56,1.69±0.17,1.04±0.03,3.70±0.33,5.23±0.36,1.16±0.49,4.87±0.76
E039,"Mango, ripe, kesar (Mangifera indica)",4,2.07±0.19,4.05±0.65,8.26±0.97,3.05±0.53,1.59±0.27,0.85±0.28,3.47±0.49,5.29±0.59,1.28±0.26,5.23±0.93
E040,"Mango, ripe, neelam (Mangifera indica)",2,2.46,4.3,9.19,3.1,1.84,1.22,3.38,5.61,1.33,6.29
E041,"Mango, ripe, paheri (Mangifera indica)",2,1.94,4.36,8.25,3.44,1.2,0.94,3.94,5.45,1.49,6.13
E042,"Mango, ripe, totapari (Mangifera indica)",1,2.07,4.2,8.85,3.51,1.65,0.9,4.15,5.25,1.21,5.92
E043,Mangosteen (Garcinia mangostana),1,2.51,4.54,9.1,2.83,1.29,0.81,6.21,6.87,1.21,5.36
E044,Manila tamarind (Pithecellobium dulce),1,2.78,3.64,5.6,2.21,1.26,0.59,4.35,4.81,1.14,4.92
E045,"Musk melon, orange flesh (Cucumis melon)",5,0.93±0.14,1.75±0.37,4.09±1.02,1.84±0.25,0.89±0.10,0.79±0.07,1.82±0.48,3.60±0.83,0.56±0.17,3.33±0.42
E046,"Musk melon, yellow flesh (Cucumis melon)",6,0.88±0.02,2.72±0.21,3.67±0.95,2.27±0.10,0.89±0.04,0.80±0.31,1.62±0.38,2.81±0.14,0.52±0.16,3.06±0.43
E047,"Orange, pulp (Citrus aurantium)",6,0.70±0.16,1.39±0.34,2.11±0.12,2.98±0.38,0.53±0.10,0.48±0.06,1.77±0.20,1.52±0.13,0.54±0.05,2.12±0.39
E048,"Palm fruit, tender (Borassus flabellifer)",1,3.14,4.16,3.74,2.35,0.85,1.1,2.76,4.32,0.44,4.31
E049,"Papaya, ripe (Carcia papaya)",6,0.87±0.36,2.27±0.24,4.43±0.26,4.91±0.40,0.68±0.06,0.73±0.07,1.93±0.11,3.27±0.64,1.66±0.09,3.93±0.79
E050,Peach (Prunus communis),1,1.53,2.54,5.49,2.75,0.98,1.21,2.95,4.92,0.43,5.43
E051,Pear (Pyrus sp.),6,1.39±0.30,3.65±0.28,4.95±0.89,2.27±0.35,1.05±0.22,0.87±0.33,3.04±1.21,3.64±0.51,0.58±0.13,5.10±0.31
E052,Phalsa (Grewia asiatica),2,1.91,4.44,7.19,2.82,2.05,1.1,4.84,4.18,0.66,5.76
E053,Pineapple (Ananas comosus),6,1.37±0.58,2.61±0.69,3.97±0.44,4.03±0.10,1.06±0.28,2.23±0.06,2.59±0.70,3.01±0.87,1.09±0.14,4.07±0.92
E054,Plum (Prunus domestica),3,1.33±0.18,2.20±0.22,3.82±0.10,2.97±0.13,1.08±0.12,1.89±0.15,2.75±0.14,2.33±0.18,1.21±0.10,3.63±0.18
E055,"Pomegranate, maroon seeds (Punica granatum)",6,1.94±0.16,1.67±0.57,4.87±0.64,1.15±0.44,0.61±0.25,0.89±0.29,3.18±0.55,2.59±0.42,0.46±0.08,2.40±0.42
E056,Pummelo (Citrus maxima),3,1.76±0.15,2.81±0.19,4.69±0.20,3.78±0.21,0.87±0.05,0.81±0.14,2.45±0.35,3.19±0.22,0.48±0.03,4.23±0.14
E057,"Raisins, dried, black (Vitis vinifera)",6,2.17±0.32,1.97±0.25,4.80±0.71,2.90±0.60,0.97±0.13,0.61±0.12,2.44±0.24,2.91±0.32,0.97±0.07,2.87±0.06
E058,"Raisins, dried, golden (Vitis vinifera)",6,2.92±0.43,1.88±0.19,4.26±0.32,3.04±0.40,0.74±0.11,0.78±0.16,2.51±0.50,3.39±0.77,0.70±0.33,2.84±0.55
E059,Rambutan (Nephelium lappaceum),1,3.38,1.9,4.66,3.54,1.12,0.76,2.41,4.01,1.25,4.77
E060,Sapota (Achras sapota),6,3.61±0.37,3.52±0.25,6.10±0.43,4.93±0.59,0.82±0.24,0.51±0.15,3.95±0.54,4.68±0.48,0.75±0.09,5.03±0.64
E061,Soursop (Annona muricata),1,2.93,4.45,6.62,4.67,1.02,0.57,4.99,4.56,0.84,5.91
E062,Star fruit (Averrhoa carambola),1,2.6,2.8,5.67,5.3,0.91,0.74,4.07,3.89,0.87,4.21
E063,Strawberry (Fragaria ananassa),6,2.56±0.31,3.61±0.53,5.61±0.44,3.14±0.29,0.86±0.09,0.67±0.11,2.50±0.28,4.32±0.24,0.93±0.17,4.51±0.38
E064,"Tamarind, pulp (Tamarindus indicus)",6,2.58±0.50,3.28±0.75,5.58±0.54,5.18±0.61,0.84±0.15,0.71±0.15,5.46±0.73,3.26±0.51,0.85±0.15,4.02±0.72
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,2.34±0.16,3.34±0.18,2.87±0.19,3.36±0.23,0.78±0.08,0.77±0.05,2.58±0.28,4.60±0.38,1.15±0.24,3.54±0.21
E066,"Water melon, pale green (Citrullus vulgaris)",6,2.80±0.09,3.49±0.24,3.10±0.16,2.91±0.11,0.94±0.25,0.84±0.08,2.69±0.17,4.31±0.17,1.13±0.14,3.64±0.08
E067,Wood Apple (Limonia acidissima),3,1.20±0.21,3.93±0.09,3.17±0.10,2.58±0.05,0.85±0.13,0.41±0.11,2.98±2.82,2.01±0.30,0.85±0.05,3.72±0.29
E068,Zizyphus (Zizyphus jujube),1,1.84,4.09,3.59,1.5,1.06,1.54,3.47,2.35,0.88,4.67
F001 ,Beet root (Beta vulgaris) ,6,2.21±0.36 ,3.90±0.46 ,5.08±0.47 ,4.58±0.48 ,0.88±0.20 ,0.61±0.07 ,2.31±0.43 ,3.60±0.68 ,0.86±0.14 ,5.60±0.58
F002,"Carrot, orange (Dacus carota)",6,1.38±0.21,3.56±0.57,4.84±0.52,3.36±0.23,0.78±0.11,0.90±0.14,2.84±0.64,3.98±0.62,1.01±0.08,4.58±1.24
F003,"Carrot, red (Dacus carota)",4,1.34±0.05,3.04±0.36,4.14±0.38,2.53±0.21,0.90±0.03,0.77±0.05,2.21±0.47,3.00±0.43,1.13±0.17,4.47±0.38
F004,Colocasia (Colocasia antiquorum),6,2.03±0.19,3.06±0.28,6.36±0.48,3.93±0.17,0.77±0.17,1.39±0.23,5.22±0.35,3.40±0.41,1.16±0.38,5.37±0.69
F005,Lotus root (Nelumbium nelumbo),3,1.71±0.13,3.38±0.49,5.47±0.74,3.43±0.49,0.82±0.02,1.03±0.10,4.32±1.18,3.95±0.37,1.02±0.05,4.57±0.29
F006,"Potato, brown skin, big (Solanum tuberosum)",6,1.56±0.49,3.34±0.82,6.44±0.63,5.51±0.41,1.00±0.24,0.83±0.20,5.61±1.70,3.50±0.52,1.03±0.13,4.29±1.33
F007,"Potato, brown skin, small (Solanum tuberosum)",1,1.37,3.77,7.36,5.78,1.17,0.74,4.11,4.08,1.19,4.23
F008,"Potato, red skin (Solanum tuberosum)",1,1.25,3.19,5.64,5.46,0.96,0.79,4.59,4.06,1.2,3.26
F009,"Radish, elongate, red skin (Raphanus sativus)",3,1.70±0.03,3.49±0.68,5.47±0.36,3.35±0.29,0.76±0.10,0.99±0.12,3.41±0.12,4.20±0.42,0.56±0.07,5.15±0.02
F010,"Radish, elongate, white skin (Raphanus sativus)",6,1.78±0.15,3.33±0.50,6.14±1.31,3.02±0.19,0.77±0.15,0.85±0.14,3.26±0.12,4.03±0.49,0.52±0.08,5.57±0.81
F011,"Radish, round, red skin (Raphanus sativus)",1,1.89,3.55,6.19,2.71,0.64,0.83,3.84,4.05,0.58,5.27
F012,"Radish, round, white skin (Raphanus sativus)",2,1.45,3.16,5.5,2.8,0.77,0.94,3.12,3.66,0.6,5.18
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,1.99±0.36,4.56±0.17,7.66±0.69,4.27±1.80,1.63±0.11,1.31±0.24,6.37±0.92,5.41±0.61,1.90±0.12,5.57±0.59
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,1.86±0.30,4.42±0.54,7.23±0.51,4.00±0.81,1.67±0.25,1.12±0.12,5.35±0.50,5.21±0.57,1.46±0.06,5.72±0.40
F015,Tapioca (Manihot esculenta),3,2.01±0.54,2.32±0.11,7.51±0.82,2.96±0.67,0.80±0.11,1.44±0.09,5.29±0.75,5.00±0.53,0.70±0.15,4.72±0.46
F016,Water Chestnut (Eleocharis dulcis),1,1.86,3.27,5.85,3.76,0.98,1.23,4.64,3.75,1.06,3.8
F017,"Yam, elephant (Amorphophallus campanulatus)",6,2.89±0.11,3.36±0.24,6.00±0.56,2.99±0.38,1.55±0.16,1.66±0.10,6.46±0.71,3.81±0.33,1.13±0.04,5.84±0.49
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,2.86±0.65,3.82±0.72,6.71±0.18,4.27±0.28,1.42±0.21,1.65±0.16,4.54±1.15,3.54±0.28,0.96±0.14,4.62±0.90
F019,"Yam, wild (Dioscorea versicolor)",2,2.37,3.27,6.09,3.13,1.18,1.76,6.23,4,1.25,5.98
G001,"Chillies, green-1 (Capsicum annum)",5,1.77±0.38,3.64±0.46,5.13±1.07,3.43±0.59,1.17±0.12,1.52±0.31,4.33±0.68,3.87±0.72,0.82±0.14,4.43±1.19
G002,"Chillies, green-2 (Capsicum annum)",3,1.62±0.18,3.16±0.32,5.02±0.32,3.58±0.52,1.25±0.09,1.41±0.22,4.25±0.31,3.84±0.29,0.75±0.06,4.22±0.48
G003,"Chillies, green-3 (Capsicum annum)",5,1.76±0.25,2.99±0.34,4.94±0.23,3.95±0.24,1.04±0.14,1.61±0.23,4.54±1.01,3.67±0.52,0.80±0.14,4.07±0.44
G004,"Chillies, green-4 (Capsicum annum)",3,1.82±0.12,3.08±0.68,4.99±0.37,3.41±0.82,1.05±0.10,1.22±0.12,4.59±0.32,3.67±0.32,0.72±0.11,3.88±0.47
G005,"Chillies, green-5 (Capsicum annum)",2,1.54±0.15,2.86±0.50,5.01±0.28,3.79±0.29,0.86±0.15,1.01±0.05,5.47±0.43,3.52±0.17,0.68±0.09,3.82±0.76
G006,"Chillies, green-6 (Capsicum annum)",1,1.49,2.97,4.97,3.65,0.66,0.98,4.76,2.95,0.92,3.08
G007,"Chillies, green-7 (Capsicum annum)",1,2,2.89,5.4,4.09,1.18,1.68,6.25,3.14,0.8,3.24
G008,"Chillies, green - all varieties (Capsicum annum)",6,1.72±0.28,3.14±0.47,5.05±0.54,3.66±0.51,1.09±0.18,1.40±0.29,4.69±0.82,3.66±0.47,0.77±0.11,4.02±0.72
G009,Coriander leaves (Coriandrum sativum),6,2.48±0.39,4.37±0.24,6.08±0.63,5.19±0.28,1.30±0.14,0.63±0.05,5.35±0.50,4.00±0.45,1.08±0.07,6.44±0.30
G010,Curry leaves (Murraya koenigii),6,1.73±0.13,3.75±0.17,6.51±0.30,3.66±0.30,0.50±0.09,0.60±0.06,3.50±0.33,3.88±0.26,1.64±0.25,3.92±0.15
G011,"Garlic, big clove (Allium sativum)",6,1.33±0.17,2.25±0.33,3.79±0.24,4.11±0.29,0.75±0.19,1.71±0.38,3.53±0.52,3.18±0.47,0.83±0.09,3.17±0.63
G012,"Garlic, small clove (Allium sativum)",3,1.26±0.06,2.24±0.41,4.07±0.47,3.94±0.26,0.76±0.06,1.93±0.21,3.27±0.37,3.08±0.42,0.73±0.23,3.79±0.99
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,1.3,3.44,5.68,4.15,0.69,1.66,3.46,3.65,0.97,3.58
G014,"Ginger, fresh (Zinziber officinale)",6,1.58±0.17,3.98±0.47,6.49±0.51,2.31±0.48,0.89±0.29,0.82±0.18,4.36±0.40,4.35±0.47,0.99±0.17,4.35±0.65
G015,Mango ginger (Curcuma amada),3,2.05±0.17,4.30±0.65,9.80±0.11,1.88±0.56,1.11±0.05,0.80±0.19,4.52±0.28,5.70±0.67,1.29±0.23,4.79±0.31
G016,Mint leaves (Mentha spicata ),4,1.62±0.29,4.34±0.30,8.22±0.38,2.93±0.19,1.41±0.09,0.72±0.08,5.34±0.47,4.57±0.30,1.23±0.17,5.73±0.38
G017,"Onion, big (Allium cepa)",6,1.76±0.20,2.08±0.40,3.25±0.23,3.52±0.62,0.92±0.13,0.88±0.12,2.77±0.20,2.10±0.36,1.23±0.08,2.75±0.61
G018,"Onion, small (Allium cepa)",5,1.53±0.33,3.91±0.73,5.02±1.29,2.62±0.44,1.84±0.35,1.38±0.38,4.13±0.38,3.62±0.33,0.73±0.09,3.93±0.21
G019,Asafoetida (Ferula assa-foetida),6,2.19±0.84,2.49±0.15,5.61±0.50,2.21±0.45,0.70±0.16,0.89±0.39,4.35±0.62,2.74±0.27,1.23±0.11,1.84±0.27
G020,"Cardamom, green (Elettaria cardamomum)",6,1.91±0.29,2.15±0.45,7.24±0.57,3.24±0.44,1.20±0.18,1.06±0.21,4.32±1.07,3.03±0.50,0.96±0.05,2.85±0.22
G021,"Cardamom, black (Elettaria cardamomum)",4,1.82±0.04,1.80±0.15,6.02±0.22,2.58±0.05,0.86±0.03,0.79±0.04,3.39±0.07,2.95±0.07,0.86±0.18,2.64±0.16
G022,"Chillies, red (Capsicum annum)",6,2.11±0.19,3.75±0.41,6.38±0.59,4.19±0.25,1.26±0.38,1.74±0.13,5.09±0.81,4.08±0.56,0.92±0.18,4.82±0.57
G023,Cloves (Syzygium aromaticum),6,2.28±0.40,2.13±0.13,5.82±0.35,6.60±0.39,1.26±0.12,0.81±0.06,4.10±0.50,2.99±0.33,0.90±0.05,4.31±0.11
G024,Coriander seeds (Coriandrum sativum),6,2.85±0.22,4.52±0.40,6.73±0.42,5.62±0.25,2.04±0.16,0.99±0.07,4.09±0.30,4.02±0.26,1.18±0.16,6.24±0.39
G025,Cumin seeds (Cuminum cyminum),6,2.87±0.09,4.43±0.13,6.23±0.34,4.85±0.16,1.25±0.19,1.02±0.03,4.46±0.36,3.91±0.25,0.95±0.07,5.13±0.15
G026,Fenugreek seeds (Trigonella foenum graecum),6,2.28±0.40,4.57±0.34,6.00±0.41,6.60±0.39,1.22±0.08,1.38±0.16,4.10±0.50,2.85±0.16,1.19±0.01,4.43±0.54
G027,Mace (Myristica fragrans),6,1.89±0.19,2.35±0.26,5.78±0.52,2.61±0.50,1.18±0.01,1.31±0.10,4.29±0.94,5.26±0.67,1.26±0.07,3.09±0.89
G028,Nutmeg (Myristica fragrans),6,1.43±0.36,2.23±0.59,5.20±0.79,3.42±0.52,1.08±0.07,0.83±0.14,4.86±0.40,3.02±0.59,0.88±0.06,3.12±0.22
G029,Omum (Trachyspermum ammi),6,2.38±0.12,1.70±0.18,5.26±0.51,4.17±0.36,0.97±0.10,1.11±0.17,3.23±0.49,3.04±0.47,1.38±0.09,4.70±0.43
G030,Pippali (Piper longum),6,1.46±0.06,2.44±0.48,8.49±0.38,1.95±0.29,0.93±0.13,0.77±0.10,4.25±0.98,3.01±0.14,1.31±0.14,3.82±0.45
G031,"Pepper, black (Piper nigrum)",6,1.28±0.12,3.85±0.39,8.25±0.45,2.23±0.17,0.60±0.10,1.26±0.09,5.15±0.39,2.63±0.78,0.55±0.06,3.62±0.13
G032,Poppy seeds (Papaver somniferum),6,2.18±0.13,3.64±0.08,5.98±0.29,4.45±0.29,1.51±0.29,1.37±0.14,3.69±0.56,3.54±0.29,0.82±0.08,4.33±0.09
G033,Turmeric powder (Curcuma domestica),6,1.88±0.15,4.54±0.32,8.28±0.36,3.76±0.17,1.13±0.23,0.77±0.16,5.56±0.45,4.45±0.19,2.06±0.23,5.81±0.60
H001,Almond (Prunus amygdalus),6,2.22±0.43,2.38±0.38,4.02±0.57,2.28±0.19,1.24±0.27,0.84±0.12,5.61±0.22,2.82±0.40,0.89±0.04,4.45±0.40
H002,"Arecanut, dried, brown (Areca catechu)",6,2.09±0.35,1.74±0.16,4.43±0.43,4.59±0.40,0.98±0.05,0.65±0.18,3.56±0.96,2.81±0.63,0.79±0.17,3.25±0.44
H003,"Arecanut, dried, red color (Areca catechu)",3,2.75±0.96,1.56±0.27,4.26±0.07,4.84±0.36,0.97±0.18,0.55±0.03,3.83±0.72,2.86±0.89,0.76±0.13,3.33±0.18
H004,"Arecanut, fresh (Areca catechu)",2,1.81,1.62,4.51,4.59,1.27,0.64,3.65,2.89,0.7,4.89
H005,Cashew nut (Anacardium occidentale),6,2.27±0.36,3.86±0.30,7.02±0.23,4.80±0.26,1.38±0.11,1.33±0.09,4.87±0.70,3.12±0.17,1.05±0.11,3.23±0.19
H006,"Coconut, kernal, dry (Cocos nucifera)",6,2.15±0.17,3.02±0.69,6.74±0.45,4.31±0.38,1.55±0.20,1.75±0.10,5.19±0.49,3.07±0.18,0.62±0.12,4.81±1.10
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,2.40±0.23,4.37±0.41,6.93±0.38,4.08±0.19,2.19±0.14,1.47±0.13,4.51±0.20,3.25±0.26,1.20±0.15,5.83±0.36
H008,"Garden cress, seeds (Lepidium sativum)",5,2.62±0.10,3.75±0.15,6.58±0.10,3.85±0.19,1.85±0.16,1.23±0.10,3.89±0.18,3.15±0.16,1.24±0.18,4.69±0.18
H009,"Gingelly seeds, black (Sesamum indicum)",6,2.39±0.25,5.69±0.17,5.91±0.78,2.63±0.31,3.36±0.13,1.22±0.16,4.74±0.38,3.19±0.22,1.10±0.11,4.78±0.37
H010,"Gingelly seeds, brown (Sesamum indicum)",4,2.30±0.24,5.01±0.29,6.18±0.37,2.57±0.22,2.69±0.16,1.13±0.13,3.83±0.85,3.05±0.37,1.17±0.10,4.79±0.14
H011,"Gingelly seeds, white (Sesamum indicum)",5,2.41±0.11,6.02±0.02,5.40±0.41,2.59±0.08,2.25±0.04,1.31±0.08,4.38±0.60,3.00±0.28,1.16±0.09,4.64±0.23
H012,Ground nut (Arachis hypogea),6,2.24±0.20,4.67±0.38,6.40±0.57,3.39±0.28,1.21±0.14,1.33±0.11,5.40±1.08,2.54±0.17,0.90±0.14,3.92±0.93
H013,Mustard seeds (Brassica juncea),6,2.76±0.16,3.80±0.46,6.96±0.32,5.31±0.34,1.66±0.43,1.63±0.10,4.47±0.71,4.02±0.31,1.23±0.09,5.00±0.72
H014,Linseeds (Linum usitatissimum),6,2.62±0.10,4.47±0.22,6.81±0.26,4.63±0.22,1.75±0.05,1.61±0.10,5.58±0.26,3.88±0.10,1.57±0.12,5.31±0.13
H015,"Niger seeds, black (Guizotia abyssinica)",4,1.88±0.47,4.57±0.23,4.71±0.27,3.61±0.28,1.31±0.21,1.76±0.53,3.14±0.91,2.70±0.88,1.25±0.14,3.69±0.67
H016,"Niger seeds, gray (Guizotia abyssinica)",5,1.87±0.20,4.69±0.27,5.22±0.77,3.72±0.19,1.32±0.07,1.71±0.14,3.72±0.67,3.12±0.35,1.11±0.10,4.50±0.31
H017,Pine seed (Pinus gerardiana),5,2.38±0.19,4.00±0.22,6.23±0.19,3.79±0.18,1.43±0.13,1.56±0.27,3.68±0.26,3.63±0.32,0.83±0.09,4.73±0.17
H018,Pistachio nuts (Pistacla vera),6,2.28±0.13,5.22±0.15,7.55±0.30,3.32±0.18,1.45±0.12,1.46±0.13,5.52±0.51,4.60±0.17,1.42±0.19,5.27±0.22
H019,Safflower seeds (Carthamus tinctorius),5,2.44±0.21,3.69±0.33,6.32±0.14,3.55±0.09,0.74±0.06,1.60±0.12,4.27±0.19,3.30±0.13,1.43±0.14,4.35±0.24
H020,Sunflower seeds (Helianthus annuus),5,2.30±0.10,4.21±0.08,6.38±0.34,3.26±0.26,0.84±0.19,1.43±0.15,4.97±0.31,3.31±0.16,1.14±0.06,4.99±0.19
H021,Walnut (Juglans regia),6,2.34±0.24,4.74±0.12,6.87±0.50,2.18±0.54,0.73±0.13,1.36±0.13,4.41±0.68,3.08±0.28,1.04±0.13,5.78±0.36
I001,"Jaggery, cane (Saccharum officinarum)",6,1.64±0.41,2.27±0.57,2.97±0.14,2.73±0.15,0.44±0.11,0.49±0.10,4.82±0.46,2.18±0.25,0.59±0.18,3.45±0.30
I002,"Sugarcane, juice (Saccharum officinarum)",6,1.79±0.17,3.81±0.15,3.55±0.08,2.53±0.29,0.40±0.06,0.52±0.14,5.11±0.29,3.02±0.10,0.75±0.16,4.19±0.27
J001,"Button mushroom, fresh (Agaricus sp.)",1,2.68,4.36,6.88,6.82,1.66,0.98,4.63,4.4,1.26,5.48
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,2.16,4.42,7.03,7.2,1.7,1.02,4.5,4.38,1.3,5.36
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,2.2,4.5,7.14,7.36,1.56,1.06,4.2,4.92,1.32,6.08
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,2.81,4.3,7.08,7.54,1.82,1.2,4.52,4.86,1.41,6.16
K001 ,Toddy ,10,,,,,,,,,,
K002,Coconut Water,6,1.75±0.46,1.58±0.28,2.35±0.56,3.84±2.33,0.59±0.12,0.99±0.13,1.95±0.89,2.69±0.66,0.78±0.18,3.02±0.59
L001 ,"Milk, whole, Buffalo ",6,2.08±0.11 ,5.30±0.38 ,9.83±0.05 ,7.87±0.30 ,2.46±0.08 ,1.25±0.08 ,4.26±0.14 ,4.42±0.21 ,1.30±0.18 ,5.86±0.29
L002,"Milk, whole, Cow",6,2.14±0.13,6.20±0.55,10.66±0.41,8.59±0.20,2.51±0.12,1.22±0.04,5.09±0.42,4.81±0.07,1.46±0.11,6.40±0.24
L003,Paneer,6,2.04±0.45,4.79±0.19,9.76±0.14,5.79±0.93,2.28±0.21,0.72±0.16,5.08±0.16,4.37±0.16,1.42±0.87,5.68±0.20
L004,Khoa,6,1.47±0.16,4.93±0.21,10.34±0.28,2.41±0.21,1.95±0.17,0.75±0.17,5.08±0.32,4.63±0.18,1.59±0.80,6.10±0.18
