code,name,regn,epicategc,epicatgc3gal,catec,galcatecgal,galcatec,syrgac,sinpac,ellgac,polyph
B001 ,"Bengal gram, dal (Cicer arietinum) ",6,,,,,,5.68±1.07 ,,,14.13±0.67
B002,"Bengal gram, whole (Cicer arietinum)",6,,,,,,6.00±0.57,,,64.28±3.08
B003,"Black gram, dal (Phaseolus mungo)",6,,,,,,,0.26±0.04,,32.43±6.76
B004,"Black gram, whole (Phaseolus mungo)",6,,,,,,,1.55±0.23,,168±5.4
B005,"Cowpea, brown (Vigna catjang)",6,,,,,,,,,59.65±5.21
B006,"Cowpea, white (Vigna catjang)",1,,,,,,,,,63.57
B007,"Field bean, black (Phaseolus vulgaris)",1,,,,,,,,,180
B008,"Field bean, brown (Phaseolus vulgaris)",1,,,,,,,,,172
B009,"Field bean, white (Phaseolus vulgaris)",5,,,,,,,,,170±6.2
B010,"Green gram, dal (Phaseolus aureus)",6,,,,,,,,,6.44±0.53
B011,"Green gram, whole (Phaseolus aureus)",6,,,,,,,,,90.74±5.49
B012,"Horse gram, whole (Dolicus biflorus)",6,,,,,,,,,332±27.7
B013,Lentil dal (Lens culinaris),6,0.06±0.02,,0.11±0.02,,0.03±0.01,,7.17±0.74,4.10±1.57,14.94±2.10
B014,"Lentil whole, brown (Lens culinaris)",6,0.20±0.07,,0.34±0.08,,0.13±0.01,,13.77±1.70,8.18±0.97,274±21.9
B015,"Lentil whole, yellowish (Lens culinaris)",2,0.11,,0.24,,0.16,,,,266
B016,Moth bean (Vigna aconitifolia),6,,,,,,,,,48.87±2.40
B017,"Peas, dry (Pisum sativum)",6,,,,,,,,,30.65±1.97
B018,"Rajmah, black (Phaseolus vulgaris)",2,,,2.13,,,,,,358
B019,"Rajmah, brown (Phaseolus vulgaris)",6,,,2.40±0.36,,,,,,353±4.7
B020,"Rajmah, red (Phaseolus vulgaris)",3,,,2.79±0.57,,,,,,360±9.9
B021,"Red gram, dal (Cajanus cajan)",6,,,0.09±0.02,,0.02±0.01,,,,15.94±0.87
B022,"Red gram, whole (Cajanus cajan)",6,,,0.24±0.03,,0.15±0.02,,,,204±3.8
B023,Ricebean (Vigna umbellata ),1,,,0.01,,,,,,11.58
B024,"Soya bean, brown (Glycine max)",6,,,,,,7.24±0.08,8.05±0.65,,106±2.8
B025,"Soya bean, white (Glycine max)",1,,,,,,6.93,7.23,,111
C001,Agathi leaves (Sesbania grandiflora),1,,,,,,,,,89.25
C002,"Amaranth leaves, green (Amaranthus gangeticus)",6,,,,,,,,,23.81±2.42
C003,"Amaranth leaves, red (Amaranthus gangeticus)",1,,,,,,,,,27.63
C004,"Amaranth leaves, red and green (Amaranthus gangeticus)",4,,,,,,,,,26.84±1.29
C005,"Amaranth spinosus, leaves, green (Amaranthus spinosus)",4,,,,,,,,,24.15±1.32
C006,"Amaranth spinosus, leaves, red and green (Amaranthus spinosus)",2,,,,,,,,,26.19
C007,Basella leaves (Basella alba),2,,,,,,,,,23.98
C008,Bathua leaves (Chenopodium album),2,,,,,,,,,42.24
C009,Beet greens (Beta vulgaris),6,,,,,,,,,2.85±0.56
C010,"Betel leaves, big (kolkata) (Piper betle)",6,,,,,,,,,89.68±3.06
C011,"Betel leaves, small (Piper betle)",4,,,,,,,,,87.01±3.81
C012,Brussels sprouts (Brassica oleracea var. gemmifera),1,,,,,,,,,16.45
C013,"Cabbage, Chinese (Brassica rupa)",1,,,,,,,,,27.97
C014,"Cabbage, collard greens (Brassica oleracea var. viridis)",1,,,,,,,,,70.89
C015,"Cabbage, green (Brassica oleracea var. capitata f. alba)",6,,,,,,,,,54.92±4.47
C016,"Cabbage, violet (Brassica oleracea var. capitata f. rubra)",2,,,,,,,,,59.94
C017,Cauliflower leaves (Brassica oleracea var. botrytis),6,,,,,,0.09±0.01,0.18±0.01,,28.94±0.36
C018,"Colocasia leaves, green (Colocasia anti-quorum)",6,,,,,,,,,124±1.8
C019,Drumstick leaves (Moringa oleifera),3,,,,,,,,,29.90±14.48
C020,Fenugreek leaves (Trigonella foenum graecum),5,,,,,,,,,105±6.3
C021,Garden cress (Lepidium sativum),2,,,,,,,,,16.19
C022,"Gogu leaves, green (Hibiscus cannabinus)",4,,,,,,,,,199±11.9
C023,"Gogu leaves, red (Hibiscus cannabinus)",1,,,,,,,,,208
C024,"Knol-Khol, leaves (Brassica oleracea var. gongylodes)",2,,,,,,,,,6.16
C025,Lettuce (Lactuca sativa),3,,,,,,,,,19.47±1.92
C026,Mustard leaves (Brassica juncea),3,,,,,,,,,38.02±1.14
C027,Pak Choi leaves(Brassica rapa var. Chinensis),1,,,,,,,,,
C028,Parsley (Petroselinum crispum),3,,,,,,,,,46.58±1.38
C029,Ponnaganni (Alternanthera sessilis),2,,,,,,,,,53.08
C030,"Pumpkin leaves, tender (Cucurbita maxima)",6,,,,,,,,,20.33±1.63
C031,Radish leaves (Raphanus sativus),6,,,,,,2.89±0.35,0.19±0.04,,27.57±7.13
C032,Rumex leaves (Rumex patientia ),2,,,,,,,,,16.13
C033,Spinach (Spinacia oleracea),6,,,,,,,,,233±8.9
C034,"Tamarind leaves, tender (Tamarindus indica)",3,,,,,,,,,27.65±4.01
D001 ,Ash gourd (Benincasa hispida) ,6,,,,,,,,,10.47±1.25
D002,"Bamboo shoot, tender (Bambusa vulgaris)",1,,,,,,,,,9
D003,"Bean scarlet, tender (Phaseolus coccineus)",5,,,,,,,,,12.68±0.00
D004,"Bitter gourd, jagged, teeth ridges, elongate (Momordica charantia)",6,,,,,,,,,49.76±1.87
D005,"Bitter gourd, jagged, teeth ridges, short (Momordica charantia)",4,,,,,,,,,50.46±2.48
D006,"Bitter gourd, jagged, smooth ridges, elongate (Momordica charantia)",1,,,,,,,,,52.98
D007,"Bottle gourd, elongate, pale green (Lagenaria vulgaris)",6,,,,,,,,,34.76±3.15
D008,"Bottle gourd, round, pale green (Lagenaria vulgaris)",5,,,,,,,,,31.83±5.61
D009,"Bottle gourd, elongate, dark green (Lagenaria vulgaris)",1,,,,,,,,,38.2
D010,Brinjal-1 (Solanum melongena),1,,,,,,,,,13.14
D011,Brinjal-2 (Solanum melongena),1,,,,,,,,,12.16
D012,Brinjal-3 (Solanum melongena),2,,,,,,,,,13.8
D013,Brinjal-4 (Solanum melongena),4,,,,,,,,,12.85±1.21
D014,Brinjal-5 (Solanum melongena),3,,,,,,,,,13.49±0.86
D015,Brinjal-6 (Solanum melongena),2,,,,,,,,,12.88
D016,Brinjal-7 (Solanum melongena),1,,,,,,,,,13.17
D017,Brinjal-8(Solanum melongena),3,,,,,,,,,12.63±1.08
D018,Brinjal-9(Solanum melongena),2,,,,,,,,,11.47
D019,Brinjal-10 (Solanum melongena),2,,,,,,,,,13.05
D020,Brinjal-11 (Solanum melongena),6,,,,,,,,,12.79±2.20
D021,Brinjal-12 (Solanum melongena),2,,,,,,,,,13.19
D022,Brinjal-13(Solanum melongena),1,,,,,,,,,13.49
D023,Brinjal-14(Solanum melongena),3,,,,,,,,,12.29±0.72
D024,Brinjal-15 (Solanum melongena),4,,,,,,,,,11.52±0.65
D025,Brinjal-16(Solanum melongena),1,,,,,,,,,12.16
D026,Brinjal-17(Solanum melongena),1,,,,,,,,,13.17
D027,Brinjal-18 (Solanum melongena),3,,,,,,,,,12.62±0.56
D028,Brinjal-19(Solanum melongena),3,,,,,,,,,13.54±1.63
D029,Brinjal-20(Solanum melongena),5,,,,,,,,,12.90±1.62
D030,Brinjal-21(Solanum melongena),2,,,,,,,,,13.19
D031,Brinjal - all varieties (Solanum melongena),6,,,,,,,,,12.79±1.34
D032,Broad beans (Vicia faba),3,,,16.63±0.37,,9.70±0.10,,,,89.14±6.99
D033,"Capsicum, green (Capsicum annuum)",6,,,,,,,,,10.82±2.60
D034,"Capsicum, red (Capsicum annuum)",4,,,,,,,,,20.30±0.00
D035,"Capsicum, yellow (Capsicum annuum)",4,,,,,,,,,7.80±0.00
D036,Cauliflower (Brassica oleracea),6,,,,,,0.07±0.01,0.14±0.02,,32.41±0.92
D037,Celery stalk (Apium graveolens),3,,,,,,,,,2.90±0.21
D038,Cho-cho-marrow (Sechium edule),4,,,,,,,,,5.04±0.75
D039,Cluster beans (Cyamopsis tetragonobola),6,,,,,,,,,53.15±3.94
D040,"Colocasia, stem, black (Colocasia antiquorum)",1,,,,,,,,,15.68
D041,"Colocasia, stem, green (Colocasia antiquorum)",5,,,,,,,,,11.66±1.69
D042,"Corn, Baby(Zea mays)",6,,,,,,,,,1.91±0.08
D043,"Cucumber, green, elongate(Cucumis sativus)",6,,,,,,,,,14.10±0.70
D044,"Cucumber, green, short (Cucumis sativus)",6,,,,,,,,,13.92±0.86
D045,"Cucumber, orange, round (Cucumis sativus)",2,,,,,,,,,14.56
D046,Drumstick (Moringa oleifera),6,,,,,,,,,139±2.2
D047,"Field beans, tender, broad (Vicia faba)",2,,,,,,,,,133
D048,"Field beans, tender, lean (Vicia faba)",6,,,0.43±0.01,,,,,,136±7.7
D049,"French beans, country (Phaseolus vulgaris)",5,,,0.05±0.02,,,,,,14.59±0.98
D050,"French beans, hybrid (Phaseolus vulgaris)",2,,,0.05,,,,,,14.12
D051,"Jack fruit, raw (Artocarpus heterophyllus)",5,,,,,,,,,50.59±7.30
D052,"Jack fruit, seed, mature (Artocarpus heterophyllus)",5,,,,,,,,,15.53±1.08
D053,Knol - Khol (Brassica oleracea),6,,,,,,,,,5.09±1.67
D054,"Kovai, big (Coccinia cordifolia)",6,,,,,,,,,1.76±0.64
D055,"Kovai, small (Coccinia cordifolia)",1,,,,,,,,,1.6
D056,Ladies finger (Abelmoschus esculentus),6,,,,,,,,,32.51±2.82
D057,"Mango, green, raw (Mangifera indica)",6,,,1.74±0.46,,,,,,580±10.0
D058,"Onion, stalk (Allium cepa)",6,,,,,,,,,10.73±3.22
D059,"Papaya, raw (Carica papaya)",6,,,,,,,,,5.54±0.33
D060,Parwar (Trichosanthes dioica),6,,,,,,,,,12.14±2.10
D061,"Peas, fresh (Pisum sativum)",6,2.79±0.62,,,,,,,,22.17±2.86
D062,"Plantain, flower (Musa x paradisiaca)",6,,,,,,,,,4.43±1.07
D063,"Plantain, green (Musa x paradisiaca)",6,1.89±0.20,,1.50±0.16,,,,,,25.27±3.40
D064,"Plantain, stem (Musa x paradisiaca)",6,,,,,,,,,12.24±1.15
D065,"Pumpkin, green, cylindrical (Cucurbita maxima)",1,,,,,,0.23,,,15.21
D066,"Pumpkin, orange, round (Cucurbita maxima)",6,,,,,,0.45±0.13,,,15.25±2.07
D067,"Red gram, tender, fresh (Cajanus cajan)",1,,,0.13,,0.06,,,,6.55
D068,Ridge gourd (Luffa acutangula),6,,,,,,,,,8.31±0.73
D069,"Ridge gourd, smooth skin (Luffa acutangula)",3,,,,,,,,,11.30±0.93
D070,"Snake gourd, long, pale green (Trichosanthes anguina)",6,,,,,,,,,6.78±1.12
D071,"Snake gourd, long, dark green (Trichosanthes anguina)",2,,,,,,,,,6.1
D072,"Snake gourd, short (Trichosanthes anguina)",1,,,,,,,,,5.9
D073,"Tinda, tender (Praecitrullus fistulosus)",6,,,,,,,,,2.61±0.13
D074,"Tomato, green (Lycopersicon esculentum)",6,,,,,,,,,7.62±0.69
D075,"Tomato, ripe, hybrid (Lycopersicon esculentum)",6,,,,,,,,,26.35±2.20
D076,"Tomato, ripe, local (Lycopersicon esculentum)",6,,,,,,,,,36.69±2.09
D077,"Zucchini, green (Cucurbita pepo)",2,,,,,,,,34.77,42.94
D078,"Zucchini, yellow(Cucurbita pepo)",2,,,,,,,,2.62,295
E001 ,"Apple, big (Malus domestica) ",6,,,1.21±0.17 ,,,,,,35.81±4.13
E002,"Apple, green (Malus domestica)",6,,,0.81±0.06,,,,,,45.76±4.22
E003,"Apple, small (Malus domestica)",6,,,0.96±0.14,,,,,,34.87±2.45
E004,"Apple, small, Kashmir (Malus domestica)",1,,,1,,,,,,38.25
E005,"Apricot, dried (Prunus armeniaca)",6,,,3.72±0.64,,,,,,57.33±3.72
E006,"Apricot, processed (Prunus armeniaca)",3,,,2.53±0.51,,,,,,51.31±1.88
E007,Avocado fruit (Persea americana),1,,,11.35,,,,,,105
E008,Bael fruit (Aegle marmelos),1,,,10.26,,,,,,21.36
E009,"Banana, ripe, montham (Musa x paradisiaca)",1,0.72,0.61,0.41,,,,,,10.7
E010,"Banana, ripe, poovam (Musa x paradisiaca)",2,0.56,0.61,0.52,,,,,,18.6
E011,"Banana, ripe, red (Musa x paradisiaca)",1,0.63,0.56,0.64,,,,,,11.1
E012,"Banana, ripe, robusta (Musa x paradisiaca)",6,0.62±0.17,0.53±0.15,0.53±0.08,,,,,,14.41±1.64
E013,Black berry (Rubus fruticosus),5,0.56±0.05,,1.44±0.35,,,,,3.11±0.43,165±6.8
E014,"Cherries, red (Prunus cerasus)",4,0.07±0.01,,2.61±0.20,,,,,,126±2.1
E015,"Currants, black (Ribes nigrum)",1,0.48,,0.7,,,,,,68.29
E016,Custard apple (Annona squamosa),1,,,0.58,,,,,,13.91
E017,"Dates, dry, pale brown (Phoenix dactylifera)",6,,,,,,5.19±0.56,,,102±7.1
E018,"Dates, dry, dark brown (Phoenix dactylifera)",2,,,,,,6.06,,,263
E019,"Dates, processed (Phoenix dactylifera)",2,,,,,,2.24,,,16.91
E020,Fig (Ficus carica),6,,,0.01±0.00,,,,,,25.16±0.00
E021,Goosberry (Emblica officinalis),5,,,,,,,,,1031±3.8
E022,"Grapes, seeded, round, black (Vitis vinifera)",4,0.03±0.01,3.01±0.16,11.04±1.47,,0.05±0.01,,,,144±10.0
E023,"Grapes, seeded, round, green (Vitis vinifera)",5,0.03±0.01,2.10±1.21,2.93±1.88,,0.03±0.01,,,,29.60±13.81
E024,"Grapes, seeded, round, red (Vitis vinifera)",5,0.06±0.00,0.98±0.00,7.93±0.00,,0.06±0.00,,,,14.61±0.00
E025,"Grapes, seedless, oval, black (Vitis vinifera)",5,0.05±0.00,2.94±0.00,11.01±0.00,,0.08±0.00,,,,125±0.0
E026,"Grapes, seedless, round, green (Vitis vinifera)",5,0.03±0.00,2.70±0.02,3.38±2.62,,0.09±0.01,,,,33.91±2.41
E027,"Grapes, seedless, round, black (Vitis vinifera)",5,0.02±0.00,2.80±0.00,11.87±0.00,,0.07±0.00,,,,122±0.0
E028,"Guava, white flesh (Psidium guajava)",5,,,,,,,,0.53±0.08,96.93±3.85
E029,"Guava, pink flesh (Psidium guajava)",5,,,,,,,,1.51±0.10,321±4.8
E030,"Jack fruit, ripe (Artocarpus heterophyllus)",5,,,,,,,,,53.74±1.44
E031,"Jambu fruit, ripe (Syzygium cumini)",2,,,,,,,,,68.47
E032,Karonda fruit (Carissa carandas),1,0.03,0.11,0.19,,,,,,10.65
E033,"Lemon, juice (Citrus limon)",6,,,,,,,,,24.24±3.09
E034,"Lime, sweet, pulp (Citrus limetta)",6,,,,,,,,,117±12.0
E035,Litchi (Nephelium litchi),4,,,,,,,,,124±7.2
E036,"Mango, ripe, banganapalli (Mangifera indica)",6,,,1.55±0.38,,,,,,18.39±3.44
E037,"Mango, ripe, gulabkhas (Mangifera indica)",2,,,1.54,,,,,,22.38
E038,"Mango, ripe, himsagar (Mangifera indica)",3,,,1.64±0.08,,,,,,15.45±0.72
E039,"Mango, ripe, kesar (Mangifera indica)",4,,,1.82±0.35,,,,,,14.74±0.44
E040,"Mango, ripe, neelam (Mangifera indica)",2,,,1.45,,,,,,16.92
E041,"Mango, ripe, paheri (Mangifera indica)",2,,,1.54,,,,,,18.52
E042,"Mango, ripe, totapari (Mangifera indica)",1,,,1.89,,,,,,23.87
E043,Mangosteen (Garcinia mangostana),1,,,,,,,,,
E044,Manila tamarind (Pithecellobium dulce),1,,,,,,,,,10.35
E045,"Musk melon, orange flesh (Cucumis melon)",5,,,,,,,,,4.95±1.22
E046,"Musk melon, yellow flesh (Cucumis melon)",6,,,,,,,,,5.33±0.67
E047,"Orange, pulp (Citrus aurantium)",6,,,,,,,,,54.73±9.78
E048,"Palm fruit, tender (Borassus flabellifer)",1,0.21,0.06,0.15,,,,,,28.36
E049,"Papaya, ripe (Carcia papaya)",6,,,,,,,,,17.88±1.20
E050,Peach (Prunus communis),1,,,2.33,,,,,,279
E051,Pear (Pyrus sp.),6,,,0.04±0.01,,,,,,10.50±1.95
E052,Phalsa (Grewia asiatica),2,,,,,,,,,57.25
E053,Pineapple (Ananas comosus),6,,,,,,,1.43±0.16,,22.69±1.07
E054,Plum (Prunus domestica),3,,,4.58±0.44,,,,,,28.36±0.00
E055,"Pomegranate, maroon seeds (Punica granatum)",6,0.10±0.03,0.22±0.08,0.44±0.05,0.31±0.12,,,,,67.10±3.36
E056,Pummelo (Citrus maxima),3,,,,,,,,,25.35±0.00
E057,"Raisins, dried, black (Vitis vinifera)",6,,,1.44±0.33,,,,,,286±2.8
E058,"Raisins, dried, golden (Vitis vinifera)",6,,,4.10±0.55,,,,,,170±5.1
E059,Rambutan (Nephelium lappaceum),1,,,1.21,,,,,,11.21
E060,Sapota (Achras sapota),6,,,1.40±0.10,,,,,,17.27±0.97
E061,Soursop (Annona muricata),1,1.01,0.16,0.21,,,,,,16.54
E062,Star fruit (Averrhoa carambola),1,1.21,,0.99,,,,,,21.69
E063,Strawberry (Fragaria ananassa),6,0.05±0.02,,6.42±0.15,,0.03±0.01,,,,135±17.1
E064,"Tamarind, pulp (Tamarindus indicus)",6,,,4.00±0.68,,,,,,183±3.2
E065,"Water melon, dark green (sugar baby) (Citrullus vulgaris)",6,,,,,,,,,5.89±0.40
E066,"Water melon, pale green (Citrullus vulgaris)",6,,,,,,,,,5.78±0.33
E067,Wood Apple (Limonia acidissima),3,,,,,,,,,411±5.4
E068,Zizyphus (Zizyphus jujube),1,,,2.89,,,,,,131
F001 ,Beet root (Beta vulgaris) ,6,,,,,,,,,57.56±1.74
F002,"Carrot, orange (Dacus carota)",6,,,,,,,,,49.44±2.56
F003,"Carrot, red (Dacus carota)",4,,,,,,,,,50.69±0.37
F004,Colocasia (Colocasia antiquorum),6,,,,,,,,,59.20±1.25
F005,Lotus root (Nelumbium nelumbo),3,,,,,,,,,
F006,"Potato, brown skin, big (Solanum tuberosum)",6,,,,,,,,,24.61±1.89
F007,"Potato, brown skin, small (Solanum tuberosum)",1,,,,,,,,,27.36
F008,"Potato, red skin (Solanum tuberosum)",1,,,,,,,,,20.35
F009,"Radish, elongate, red skin (Raphanus sativus)",3,,,,,,0.03±0.01,0.14±0.01,,49.75±4.86
F010,"Radish, elongate, white skin (Raphanus sativus)",6,,,,,,0.03±0.01,0.12±0.02,,46.74±3.58
F011,"Radish, round, red skin (Raphanus sativus)",1,,,,,,0.02,0.14,,44.93
F012,"Radish, round, white skin (Raphanus sativus)",2,,,,,,0.04,0.16,,46.39
F013,"Sweet potato, brown skin (Ipomoes batatas)",4,,,,,,,,,6.89±1.65
F014,"Sweet potato, pink skin (Ipomoes batatas)",3,,,,,,,,,11.74±0.97
F015,Tapioca (Manihot esculenta),3,,,,,,,,,11.43±1.22
F016,Water Chestnut (Eleocharis dulcis),1,,,,,,,,,
F017,"Yam, elephant (Amorphophallus campanulatus)",6,,,,,,,,,56.27±5.08
F018,"Yam, ordinary (Amorphophallus campanulatus)",4,,,,,,,,,46.30±1.98
F019,"Yam, wild (Dioscorea versicolor)",2,,,,,,,,,50.58
G001,"Chillies, green-1 (Capsicum annum)",5,,,,,,,,,56.58±3.37
G002,"Chillies, green-2 (Capsicum annum)",3,,,,,,,,,55.69±7.63
G003,"Chillies, green-3 (Capsicum annum)",5,,,,,,,,,56.27±4.45
G004,"Chillies, green-4 (Capsicum annum)",3,,,,,,,,,53.86±4.73
G005,"Chillies, green-5 (Capsicum annum)",2,,,,,,,,,56.50±1.82
G006,"Chillies, green-6 (Capsicum annum)",1,,,,,,,,,54.38
G007,"Chillies, green-7 (Capsicum annum)",1,,,,,,,,,53.2
G008,"Chillies, green - all varieties (Capsicum annum)",6,,,,,,,,,55.66±4.56
G009,Coriander leaves (Coriandrum sativum),6,,,,,,,,,60.28±3.95
G010,Curry leaves (Murraya koenigii),6,,,,,,,,,153±1.2
G011,"Garlic, big clove (Allium sativum)",6,,,,,,,,,95.26±4.55
G012,"Garlic, small clove (Allium sativum)",3,,,,,,,,,96.42±7.01
G013,"Garlic, single clove, Kashmir (Allium sativum)",1,,,,,,,,,99.22
G014,"Ginger, fresh (Zinziber officinale)",6,,,,,,,,,225±8.1
G015,Mango ginger (Curcuma amada),3,,,,,,,,,23.61±1.60
G016,Mint leaves (Mentha spicata ),4,,,,,,,,,79.99±9.66
G017,"Onion, big (Allium cepa)",6,,,,,,,,,35.12±3.56
G018,"Onion, small (Allium cepa)",5,,,,,,,,,18.91±3.97
G019,Asafoetida (Ferula assa-foetida),6,,,,,,,0.56±0.09,,45.23±2.90
G020,"Cardamom, green (Elettaria cardamomum)",6,,,0.79±0.03,,,,,,117±1.7
G021,"Cardamom, black (Elettaria cardamomum)",4,,,1.72±0.26,,,,,,134±6.9
G022,"Chillies, red (Capsicum annum)",6,,,,,,,,,211±5.7
G023,Cloves (Syzygium aromaticum),6,,,,,,2.03±0.53,,,2546±4.8
G024,Coriander seeds (Coriandrum sativum),6,,,,,,,,,79.69±2.44
G025,Cumin seeds (Cuminum cyminum),6,,,,,,,,,165±4.4
G026,Fenugreek seeds (Trigonella foenum graecum),6,,,,,,,,,94.73±3.32
G027,Mace (Myristica fragrans),6,,,,,,0.25±0.04,0.43±0.10,,782±5.2
G028,Nutmeg (Myristica fragrans),6,,,,,,10.97±2.19,,,645±3.9
G029,Omum (Trachyspermum ammi),6,,,,,,,,,129±5.5
G030,Pippali (Piper longum),6,,,,,,,,,194±4.0
G031,"Pepper, black (Piper nigrum)",6,,,,,,,,,254±3.9
G032,Poppy seeds (Papaver somniferum),6,,,,,,,,,221±5.9
G033,Turmeric powder (Curcuma domestica),6,,,,,,,,,988±6.8
H001,Almond (Prunus amygdalus),6,,2.52±0.11,1.24±0.25,0.55±0.04,,,,,84.94±1.88
H002,"Arecanut, dried, brown (Areca catechu)",6,,,8.96±0.69,,,,,,2986±2.5
H003,"Arecanut, dried, red color (Areca catechu)",3,,,2.10±0.36,,,,,,2770±7.3
H004,"Arecanut, fresh (Areca catechu)",2,,,8.7,,,,,,2563
H005,Cashew nut (Anacardium occidentale),6,0.94±0.10,0.42±0.08,1.55±0.35,,,,,,32.86±1.76
H006,"Coconut, kernal, dry (Cocos nucifera)",6,,,,,,,,,72.17±3.90
H007,"Coconut, kernel, fresh (Cocos nucifera)",6,,,,,,,,,35.22±3.14
H008,"Garden cress, seeds (Lepidium sativum)",5,,,,,,,,,115±9.1
H009,"Gingelly seeds, black (Sesamum indicum)",6,,,,,,,,,153±1.5
H010,"Gingelly seeds, brown (Sesamum indicum)",4,,,,,,,,,102±1.6
H011,"Gingelly seeds, white (Sesamum indicum)",5,,,,,,,,,23.00±1.29
H012,Ground nut (Arachis hypogea),6,,,,,,,,,127±10.6
H013,Mustard seeds (Brassica juncea),6,,,,,,,,,48.81±6.17
H014,Linseeds (Linum usitatissimum),6,,,,,,,,,31.60±13.38
H015,"Niger seeds, black (Guizotia abyssinica)",4,,,,,,,,,539±3.8
H016,"Niger seeds, gray (Guizotia abyssinica)",5,,,,,,,,,359±6.9
H017,Pine seed (Pinus gerardiana),5,0.28±0.04,,,,,,,,59.85±4.92
H018,Pistachio nuts (Pistacla vera),6,,2.99±0.30,0.69±0.30,,,,,,132±6.4
H019,Safflower seeds (Carthamus tinctorius),5,,,,,,,,,22.09±1.13
H020,Sunflower seeds (Helianthus annuus),5,,,,,,,,,289±6.8
H021,Walnut (Juglans regia),6,,,,,,,,1.23±0.30,216±1.2
I001,"Jaggery, cane (Saccharum officinarum)",6,,,,,,0.06±0.01,,,127±5.1
I002,"Sugarcane, juice (Saccharum officinarum)",6,,,,,,,,,5.25±1.27
J001 ,"Button mushroom, fresh (Agaricus sp.) ",1,,,,,,,,,
J002,"Chicken mushroom, fresh (Lactiporus sp.)",1,,,,,,,,,
J003,"Shiitake mushroom, fresh (Lentinula sp.)",1,,,,,,,,,
J004,"Oyster mushroom, dried (Pleurotus sp.)",1,,,,,,,,,
K001,Toddy,10,,,0.03±0.01,,,,,,113±1.4
K002,Coconut Water,6,,,,,,,,,19.76±3.14
L001 ,"Milk, whole, Buffalo ",6,,,,,,,,,
L002,"Milk, whole, Cow",6,,,,,,,,,
L003,Paneer,6,,,,,,,,,
L004,Khoa,6,,,,,,,,,
